SOSR_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOSR101,1553,8688,7866,7257,14031,14326,6808,9780,904,71219,2595,9318,9353,7656,17923,20790,6406,11444,20862,106342,57316,203098,211247,191514,399633,449926,191761,303787,40619,2048906
SOSR102,491,2245,1806,1943,3547,3282,1650,2311,151,17420,545,1580,1224,1240,2672,2843,964,1846,3326,16239,15928,52769,47386,51704,84184,79126,38180,54894,7228,431399
SOSR111,58,278,234,260,509,450,240,396,24,2448,49,218,135,143,357,378,126,247,405,2068,2020,6549,5802,6578,10882,9738,5617,7743,915,55831
SOSR112,178,948,729,794,1601,1319,806,1148,76,7598,251,701,472,541,1027,984,422,697,1497,6585,6750,23137,19278,23555,39270,31759,16941,25773,3430,189897
SOSR113,131,582,434,505,873,856,432,669,49,4523,161,468,318,371,668,571,243,376,952,4125,4124,13180,11409,13487,20498,16438,9195,13985,2144,104451
SOSR114,131,500,345,400,706,755,382,596,59,3878,167,418,268,338,514,571,209,422,940,3838,3655,11147,9718,12121,17454,15006,7851,12679,2053,91699
SOSR115,159,734,518,571,1017,1053,553,918,68,5582,282,621,422,470,867,911,356,640,1338,5899,5614,16987,14747,17718,25786,22828,12285,20367,3066,139406
SOSR121,38,200,148,172,279,298,165,252,19,1568,76,176,129,129,245,234,101,197,332,1613,1524,4855,4236,4951,6798,6316,3270,5780,794,38532
SOSR122,32,93,73,87,142,157,80,131,15,815,43,93,73,84,118,113,41,106,239,904,913,2814,2310,2686,3772,3375,1757,3239,507,21364
SOSR131,227,1104,913,948,1634,1767,840,1744,121,9314,533,1217,868,843,1249,1712,618,1680,2519,11236,9613,29799,26294,29007,36538,42067,20374,55610,6089,255400
SOSR179,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
SOSR199,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
