SOSR_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR101,100907,92983,47907,30882,44980,31712,17281,366645,25135,24545,13367,7898,10070,4865,2320,88200,23494,21254,10245,5937,7852,3958,1957,74693,85031,83837,45881,28380,36044,17310,8296,304771,1245,1233,600,436,351,164,75,4102,235812,223844,117998,73527,99297,58004,29928,838416,7585,11702,8475,6558,10416,7209,4436,56382,3834,5340,3405,2413,3131,1397,750,20262,2235,3580,2250,1614,2254,1079,556,13564,12539,16443,10611,7295,9676,3694,1917,62174,1303,1328,768,461,516,189,90,4657,27490,38382,25502,18348,25996,13568,7747,157033,263304,262230,143503,91871,125294,71576,37669,995448
SOSR102,4537,4615,2450,1549,2197,1097,567,17022,3723,4027,2259,1399,1977,811,371,14565,3634,3631,1916,1203,1608,658,303,12957,33584,32873,18574,11570,15296,5527,2449,119879,219,241,142,98,94,16,16,821,45695,45390,25333,15823,21180,8105,3709,165242,293,578,464,342,577,270,168,2695,880,1206,803,587,865,289,125,4759,398,699,507,386,582,216,111,2906,7318,9885,6275,4376,5703,1673,740,35966,350,326,234,151,152,32,9,1252,9245,12689,8288,5842,7878,2482,1156,47580,54943,58079,33627,21663,29059,10587,4864,212819
SOSR111,526,473,233,160,183,86,32,1692,339,326,204,87,149,51,9,1165,309,293,131,107,138,34,21,1032,5425,5136,2752,1756,2265,650,250,18235,20,22,14,15,4,0,0,72,6614,6245,3339,2131,2738,814,313,22204,37,38,27,23,36,27,4,186,120,109,86,63,64,15,5,459,37,61,56,41,34,11,11,253,1429,1783,1109,649,890,186,98,6145,57,46,34,21,8,0,0,170,1678,2035,1311,798,1028,234,129,7213,8294,8279,4645,2936,3771,1055,440,29420
SOSR112,1825,1695,877,569,747,226,58,5997,1146,1333,678,432,579,109,39,4316,1115,1134,601,380,463,113,34,3845,15986,15968,8833,5444,7078,1443,414,55161,108,90,72,38,29,11,0,345,20182,20221,11062,6854,8896,1904,553,69664,156,235,211,149,227,82,38,1105,311,478,294,244,362,65,26,1778,137,260,180,144,218,41,15,999,5270,6511,3847,2611,3194,611,201,22243,229,229,146,82,63,13,7,768,6108,7712,4676,3234,4064,803,285,26891,26287,27934,15741,10088,12955,2709,842,96551
SOSR113,793,782,502,287,375,108,53,2904,533,602,323,241,302,72,29,2102,696,625,288,197,237,74,29,2145,9103,9085,5098,3328,4212,875,266,31981,65,81,37,21,30,6,0,234,11188,11174,6258,4072,5154,1141,383,39362,62,105,76,48,65,20,7,383,199,253,175,132,196,38,12,1001,79,150,117,71,107,21,12,558,3348,4079,2430,1655,1959,355,89,13921,162,184,96,72,38,8,0,560,3854,4777,2897,1972,2372,438,119,16422,15040,15948,9153,6045,7530,1578,503,55786
SOSR114,540,573,270,206,257,56,13,1924,521,622,303,192,211,61,17,1933,604,606,302,180,253,49,22,2016,8364,8452,4398,2832,3563,706,175,28490,60,61,33,36,27,3,0,222,10099,10315,5308,3445,4316,874,228,34579,44,73,61,48,52,8,3,290,178,214,156,116,137,22,3,833,72,124,109,81,126,15,6,531,2554,3277,1967,1355,1673,286,78,11184,139,145,84,48,39,10,3,472,2987,3831,2383,1652,2023,342,91,13316,13082,14147,7692,5095,6344,1220,312,47888
SOSR115,758,796,445,287,361,134,39,2814,859,999,539,352,419,117,39,3323,910,810,445,266,327,83,35,2871,12750,13098,7261,4482,5554,1097,312,44555,99,126,70,31,34,5,3,366,15367,15825,8758,5429,6690,1441,423,53934,50,98,101,67,119,24,5,469,220,333,231,183,236,52,20,1274,78,191,160,119,164,49,18,779,3444,4504,2819,1895,2355,389,94,15498,189,198,115,85,55,5,3,657,3982,5327,3437,2348,2932,514,146,18680,19353,21149,12197,7780,9615,1960,569,72618
SOSR121,119,174,106,65,89,19,7,584,189,265,173,108,119,38,11,905,235,260,139,69,125,29,14,857,3320,3815,2230,1471,1832,414,126,13217,26,46,18,20,12,0,3,129,3889,4556,2674,1736,2182,503,157,15692,11,18,19,18,21,5,0,84,44,69,48,38,43,7,0,252,13,49,33,31,42,11,0,187,837,1144,731,489,554,101,24,3890,35,37,26,8,16,5,0,131,940,1322,866,590,668,134,30,4550,4831,5880,3531,2319,2848,633,188,20240
SOSR122,60,98,49,39,50,16,10,320,105,152,79,58,75,13,5,482,121,137,76,59,64,24,3,482,1724,2020,1132,674,941,220,66,6779,12,21,12,10,8,0,0,66,2021,2421,1346,838,1145,277,81,8128,3,15,15,11,13,0,0,53,23,52,43,28,23,8,4,177,10,27,26,27,16,0,0,113,453,628,394,281,316,52,16,2143,27,32,16,13,7,0,0,100,514,749,491,359,389,63,23,2587,2539,3174,1833,1202,1527,335,104,10715
SOSR131,684,1073,763,521,777,306,157,4274,1071,1541,1006,701,910,275,99,5598,1363,1634,1033,672,902,244,99,5940,18872,24103,15115,9546,12134,2739,923,83415,146,187,123,62,61,13,7,603,22136,28532,18034,11508,14784,3570,1276,99835,66,88,82,66,104,32,20,470,211,320,226,156,203,67,19,1205,102,189,145,104,149,36,17,746,2541,3680,2480,1726,2089,373,115,13001,128,145,84,65,75,11,3,512,3050,4426,3016,2119,2620,509,185,15935,25187,32952,21051,13631,17401,4076,1462,115767
