SOSR_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR101,776295,2491406,71723,172782,138679,387108,210402,559885,87299,185537,150929,326370,206051,453551,1699,3812,445979,969267,355,588,745,1243,277,599,6204,15770,7578,18201,6074,13895,1446323,4052656,112070,..,1558391,4052656
SOSR102,273431,746582,28563,50193,22686,47500,51248,97698,20226,33913,8619,15022,9429,17235,325,596,38598,66764,1204,1842,1437,2217,47,111,806,1842,3487,6007,1601,3029,368375,920071,40155,..,408530,920071
SOSR111,38937,103970,4937,8257,952,1566,5885,9823,866,1271,87,126,57,83,4,9,1022,1483,69,101,35,49,9,23,77,177,184,345,436,656,46467,116285,4505,..,50974,116285
SOSR112,135774,350142,14429,24130,4624,8434,19052,32563,10403,16657,1282,2044,1351,2232,41,69,13081,21006,461,687,588,889,34,59,657,1666,1742,3303,1096,2130,170737,409141,20469,..,191204,409141
SOSR113,85765,215522,8965,14857,4409,8422,13374,23278,5329,8721,767,1213,976,1594,27,46,7099,11578,528,788,689,1046,51,89,216,504,1476,2425,527,1051,108244,253852,20789,..,129034,253852
SOSR114,74441,185469,5668,9429,2091,4297,7760,13724,6184,9576,391,645,119,176,19,28,6711,10432,684,1051,567,837,52,98,311,646,1624,2634,647,1285,91181,213544,13291,..,104468,213544
SOSR115,118355,292772,5434,8803,1745,3535,7181,12333,4918,7394,265,498,56,109,39,71,5281,8074,957,1494,1041,1654,102,179,922,2023,3024,5353,980,2115,134817,320646,25136,..,159959,320646
SOSR121,31667,81373,768,1370,338,680,1104,2046,622,986,76,136,8,15,10,24,720,1151,152,265,332,551,17,39,150,293,645,1148,334,670,34473,86391,7941,..,42414,86391
SOSR122,18805,45971,287,547,72,146,354,692,280,456,3,3,5,16,5,11,293,483,188,323,228,377,22,31,107,219,546,954,285,619,20291,48715,5559,..,25848,48715
SOSR131,176355,476282,975,2158,108,278,1079,2433,487,931,33,49,17,19,69,141,605,1143,1022,1773,1035,1852,708,1506,511,1396,3279,6526,2096,5125,183411,491504,34834,..,218240,491504
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
