SOSR_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOSR101,39273,98400,280212,260388,217649,146126,40436,5080,663,1088223,52,175,445,501,629,425,165,33,4,2437,0,31,243,256,195,86,11,5,0,825,955,2116,8093,9601,10121,6275,1007,84,16,38273,19,145,904,1179,935,421,54,0,0,3659,323,1547,5883,6111,5089,2640,590,64,6,22257,353,1819,7797,8151,6814,3751,723,51,15,29476,11891,18458,23807,17702,16695,10536,2440,214,23,101765,14823,13311,16398,8571,7743,4584,807,78,22,66338,341,1709,6044,6506,6551,3827,558,30,4,25558,690,2289,8060,6669,4061,1790,362,37,3,23954,441,4099,20691,19778,12826,5659,945,80,32,64543,497,1979,5485,4472,3679,2030,685,123,17,18973,1092,8715,30495,23811,16818,8922,2504,214,20,92602,494,3276,10631,8781,8115,5073,1203,108,5,37679,423,2449,11850,13580,12486,7834,1344,80,9,50057,2933,8784,25786,25713,26666,20030,4381,343,34,114669,2974,14676,44300,38629,39303,29616,7139,477,32,177146,1467,2430,4142,3271,2536,1410,432,68,8,15761,1498,3572,8883,7607,6693,3978,938,90,6,33271
SOSR102,12027,21921,47337,48372,48639,34752,7687,911,107,221750,17,61,78,116,153,100,50,9,0,587,3,26,189,165,126,56,11,0,0,573,331,430,1010,1365,1427,859,134,12,0,5573,9,41,182,249,247,155,14,0,0,903,96,309,896,1194,1169,733,116,12,0,4525,74,232,591,761,680,439,86,9,0,2872,4000,4378,4739,4319,5070,3451,601,43,3,26607,5751,3987,3039,2257,2294,1523,263,21,3,19140,61,211,582,751,965,633,135,10,0,3350,167,266,503,467,388,250,48,3,0,2084,77,592,2322,2216,2039,1062,99,10,4,8415,114,417,842,844,768,511,132,12,0,3638,203,1000,2659,2883,2320,1412,360,34,3,10876,158,625,1507,1808,2047,1475,283,17,0,7926,91,616,3161,4282,4139,2174,218,10,4,14692,515,1729,5607,6569,6964,5336,743,44,0,27518,859,4226,11163,11411,13775,10486,1644,76,14,53649,332,451,573,556,475,316,93,9,0,2790,485,1027,1932,1767,1669,1041,216,20,3,8163
SOSR111,1672,2764,6714,6307,5854,4402,976,94,12,28804,4,15,22,31,57,38,8,3,0,189,4,25,76,66,51,10,0,0,0,229,90,113,254,246,275,142,17,0,0,1139,4,3,19,39,38,15,0,0,0,120,15,40,155,150,171,110,17,3,0,654,9,34,59,58,70,56,10,0,0,294,532,576,804,643,693,454,76,4,0,3783,769,515,488,337,261,189,47,0,0,2615,11,35,102,113,153,102,30,3,0,550,19,44,55,45,28,19,4,0,0,217,10,85,222,205,172,79,8,0,0,785,16,56,101,88,87,52,19,0,0,419,27,106,321,286,270,133,41,0,0,1186,33,81,209,255,266,181,28,4,0,1055,8,77,390,528,516,281,41,8,0,1853,69,197,688,830,852,648,87,7,0,3382,121,547,1546,1390,1550,1206,182,6,0,6539,32,61,52,47,47,33,8,0,0,268,57,129,298,217,210,112,21,3,0,1053
SOSR112,5618,9151,20477,19492,19831,16093,4478,632,71,95846,34,93,187,188,194,131,77,16,4,932,3,17,90,62,44,8,3,0,0,234,223,230,570,552,608,423,88,3,0,2700,3,18,79,151,162,84,11,0,0,505,31,100,351,380,432,314,52,4,0,1669,72,76,226,204,258,162,38,4,0,1032,2175,1831,2429,2090,2248,1662,351,37,3,12825,2423,1715,1858,1230,1329,950,203,21,0,9731,28,91,188,294,391,288,78,12,0,1368,73,110,197,188,169,96,20,3,0,851,28,161,512,459,492,313,60,9,0,2033,56,178,299,292,315,244,93,7,3,1492,73,332,970,1074,936,649,195,19,3,4257,73,219,633,727,920,686,166,15,0,3445,36,242,1262,1667,1631,1055,156,5,0,6063,168,758,2500,3141,3506,2835,474,33,7,13420,437,1914,5120,4997,6134,5200,877,47,7,24731,143,137,224,206,238,158,50,6,0,1159,159,396,769,701,664,460,132,16,4,3294
SOSR113,3204,4839,11033,10770,11765,9663,2442,342,60,54133,30,36,120,92,113,96,55,21,5,556,7,62,216,169,132,57,5,0,0,637,150,152,388,376,390,286,43,3,0,1791,5,22,49,52,100,37,3,0,0,269,18,59,187,213,266,170,41,5,0,961,21,37,93,114,136,81,18,6,0,510,1081,921,1386,1375,1521,1086,217,19,3,7598,1322,852,998,843,947,692,138,5,0,5785,6,53,117,155,224,204,59,6,0,819,21,32,78,76,70,46,13,0,0,354,23,86,289,263,304,166,20,3,0,1157,39,94,177,178,206,162,46,3,3,904,39,129,408,469,431,347,90,6,0,1912,45,135,376,465,575,443,88,6,3,2136,20,113,514,747,789,523,63,4,0,2773,80,336,1160,1391,1536,1297,175,19,0,6006,176,809,2137,2377,3224,2903,469,18,0,12117,46,77,94,134,126,68,36,0,0,580,114,238,411,441,424,258,78,9,0,1962
SOSR114,2765,4073,8977,9628,10111,8698,2425,384,57,47116,31,59,125,117,152,109,92,21,3,716,4,21,85,44,35,11,5,0,0,213,96,170,375,376,411,248,43,3,0,1720,0,8,32,39,63,29,6,0,0,179,9,52,176,210,212,145,34,4,0,840,23,50,88,116,149,105,25,5,0,569,950,669,1028,1070,1326,994,207,15,7,6261,1141,693,929,783,820,646,137,9,0,5157,19,34,97,162,230,186,58,4,0,785,15,35,62,53,75,49,6,0,0,308,28,70,261,247,281,149,23,0,0,1064,23,80,164,181,201,137,30,0,0,816,38,143,438,576,488,336,103,6,0,2124,28,83,287,400,504,351,94,8,3,1754,20,98,490,666,676,380,61,3,0,2394,78,330,1062,1415,1531,1186,201,15,0,5817,185,708,1710,2045,2660,2516,356,16,3,10198,37,36,95,109,105,62,28,3,3,479,91,230,364,354,342,245,67,3,3,1696
SOSR115,3982,6045,13473,14438,15841,13870,3837,539,96,72117,47,147,341,256,294,236,124,47,5,1507,3,34,139,103,79,26,5,0,0,392,150,181,393,496,610,363,74,5,0,2277,6,18,37,66,90,40,6,0,0,256,30,78,316,343,378,236,56,10,0,1455,31,77,181,183,224,135,26,8,0,863,1362,915,1489,1548,1832,1438,296,15,13,8911,1429,936,1092,1054,1256,967,215,21,0,6970,24,66,199,279,346,321,85,4,0,1318,29,54,103,122,118,84,28,3,0,541,26,117,326,345,374,196,34,3,0,1415,33,127,225,243,237,178,52,15,0,1108,60,166,625,742,708,535,128,19,0,2984,49,127,413,545,772,593,142,12,0,2660,66,198,875,1176,1202,751,121,6,3,4404,133,497,1737,2229,2511,2005,341,18,6,9478,301,1013,2453,3021,4086,3815,583,26,10,15300,68,118,167,177,199,129,39,5,0,907,139,273,507,525,498,336,84,12,3,2375
SOSR121,1110,1531,3130,3965,4854,4108,1090,169,25,19974,10,30,66,62,77,69,44,14,3,381,0,9,18,23,35,18,0,0,0,101,58,38,88,135,158,113,21,3,0,611,0,0,15,22,24,12,4,0,0,71,15,14,74,148,106,66,17,3,0,441,8,14,45,58,72,40,9,0,0,252,382,230,347,423,523,410,70,8,4,2387,461,273,304,276,325,220,54,0,0,1915,16,16,40,92,135,126,24,3,0,455,16,12,22,34,39,20,3,3,0,152,8,27,87,95,109,81,12,0,0,419,10,28,48,74,78,54,11,0,0,309,12,56,161,243,219,166,40,7,3,898,13,39,89,156,234,133,31,4,0,690,14,39,186,284,305,241,29,0,0,1099,30,115,394,646,792,605,93,6,0,2676,59,232,590,858,1206,1122,153,7,0,4241,21,24,32,38,47,31,10,0,0,205,35,63,116,146,155,92,26,0,0,637
SOSR122,639,798,1695,2191,2691,2438,689,106,14,11261,6,25,27,47,54,56,30,3,0,251,0,0,12,11,8,6,0,0,0,34,23,22,43,63,91,66,13,3,0,322,0,0,10,18,16,8,3,0,0,53,0,7,47,72,73,40,3,3,0,238,8,7,19,28,40,25,3,0,0,135,165,110,173,221,328,199,41,4,0,1243,259,140,178,180,236,159,46,5,0,1207,5,17,28,58,65,54,24,3,0,249,3,3,7,18,22,19,0,0,0,78,0,12,36,52,38,26,3,0,0,173,9,10,24,24,39,24,9,5,0,143,8,31,84,126,110,93,23,3,0,475,5,11,46,90,125,120,28,5,0,433,3,22,106,179,203,102,22,0,0,637,18,57,203,330,413,316,57,4,0,1409,42,112,271,417,630,655,101,3,0,2225,8,17,29,37,42,24,7,0,0,171,17,37,61,53,82,59,10,0,0,320
SOSR131,7592,9664,17839,24392,33329,29754,11860,2840,477,137742,308,509,1237,1907,3036,3403,2662,810,113,13996,7,44,175,181,157,45,16,4,0,629,274,258,511,829,1070,677,174,21,3,3830,4,26,82,155,164,74,11,0,0,516,65,170,533,1037,1031,668,164,18,3,3696,59,121,281,444,550,337,105,10,3,1908,2015,1313,1486,1983,2747,2088,431,43,3,12108,2357,1132,951,1070,1406,1064,235,17,5,8234,48,111,256,507,728,616,168,20,5,2462,55,97,125,177,249,179,44,4,0,927,38,163,462,580,660,396,61,8,0,2368,78,176,291,376,484,318,96,14,0,1835,162,414,1092,1575,1766,1251,372,32,7,6666,74,174,478,854,1288,838,247,40,4,4009,107,312,1036,1851,2171,1200,186,9,4,6880,253,623,2092,3676,4885,3748,676,42,8,16014,399,1196,2806,3989,6424,5829,952,53,8,21660,159,141,234,308,371,281,81,3,0,1578,275,411,647,824,972,615,163,20,3,3937
