SOSR_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOSR101,53064,24587,25826,50417,23612,24575,48185,23473,25078,48550,22635,24198,46840,120351,126703,247058,21898,23389,45291,21063,22502,43565,20226,21948,42172,19751,21148,40900,18548,20245,38796,101491,109237,210729,18403,19785,38185,18167,19277,37444,17114,18284,35401,17310,18330,35645,17418,18655,36075,88418,94333,182744,14942,16020,30963,13714,14841,28553,13390,14287,27676,11439,12665,24098,11025,12240,23265,64504,70055,134560,10438,11850,22290,10084,11278,21362,9216,10788,19997,8549,10295,18844,8157,9925,18088,46442,54134,100577,32230,41534,73761,20362,31287,51641,8136,16665,24803,1618,4460,6078,94,357,446,2131038,2190497,4321535
SOSR102,13493,6223,6925,13148,6180,6607,12788,6139,6718,12858,6061,6451,12513,31166,33629,64793,5796,6335,12131,5615,6234,11847,5580,6025,11607,5555,6234,11790,5331,5887,11219,27876,30720,58596,5388,5760,11149,5109,5885,10996,5212,5621,10836,5449,5700,11145,5619,6092,11716,26775,29063,55836,4721,5174,9896,4592,4986,9581,4361,4877,9232,3865,4413,8276,3812,4370,8189,21353,23817,45167,3527,4030,7555,3380,3842,7223,3188,3799,6984,2970,3702,6678,2888,3540,6420,15951,18907,34863,11179,14899,26081,7197,11065,18254,2793,5506,8303,493,1331,1824,28,129,163,482030,506012,988046
SOSR111,1623,737,815,1552,756,825,1579,745,770,1517,674,779,1451,3710,4016,7730,733,772,1505,621,721,1344,694,697,1393,667,747,1416,679,709,1388,3393,3658,7045,606,700,1302,593,661,1259,572,632,1204,626,682,1305,640,698,1341,3038,3375,6415,482,587,1068,523,564,1095,457,517,975,424,479,905,429,435,857,2316,2580,4894,384,464,846,314,390,700,349,409,760,273,365,638,309,371,679,1632,1993,3628,1060,1536,2598,644,1050,1695,229,506,737,43,132,180,4,14,18,61164,64825,125992
SOSR112,6119,2807,3219,6029,2924,3122,6040,2635,3138,5775,2676,3015,5691,13943,15708,29652,2665,2807,5474,2669,2881,5544,2525,2883,5406,2569,2877,5448,2597,2916,5512,13022,14365,27384,2621,2796,5411,2467,2704,5171,2436,2684,5123,2378,2740,5120,2660,2968,5626,12565,13885,26448,2126,2338,4458,2076,2428,4506,2052,2418,4467,1909,2190,4093,1829,2056,3888,9993,11430,21420,1634,1977,3612,1604,1973,3580,1507,1891,3401,1372,1793,3170,1337,1727,3062,7462,9368,16823,5179,7152,12335,3192,5230,8427,1186,2640,3826,204,669,871,10,76,85,219757,236331,456094
SOSR113,3887,1883,1978,3861,1791,2038,3828,1813,1993,3806,1831,1953,3781,9141,10028,19169,1823,1958,3774,1750,1984,3728,1745,1918,3666,1860,1950,3807,1823,1966,3790,8993,9773,18772,1823,1988,3812,1779,1920,3708,1796,1938,3732,1848,1965,3816,2035,2163,4192,9281,9980,19263,1675,1803,3476,1589,1839,3425,1639,1673,3310,1412,1558,2965,1443,1575,3018,7747,8451,16203,1338,1461,2797,1227,1405,2635,1166,1302,2471,1132,1288,2422,1071,1307,2377,5930,6770,12700,4035,5286,9320,2552,3951,6503,911,1935,2848,194,498,695,7,50,57,136649,144280,280928
SOSR114,3337,1511,1653,3165,1585,1693,3280,1538,1667,3204,1512,1675,3189,7772,8409,16180,1516,1581,3102,1481,1715,3196,1491,1573,3059,1517,1647,3166,1558,1643,3198,7572,8158,15725,1549,1615,3159,1544,1658,3200,1577,1698,3275,1571,1655,3223,1743,1817,3559,7990,8436,16420,1391,1521,2916,1451,1439,2890,1319,1419,2739,1170,1322,2490,1186,1361,2546,6515,7062,13578,1149,1229,2380,1081,1176,2257,1024,1159,2185,917,1122,2041,908,1133,2045,5081,5816,10902,3446,4419,7865,2039,3159,5200,766,1586,2354,115,427,545,9,70,86,114669,122935,237603
SOSR115,5079,2433,2603,5038,2454,2675,5136,2449,2549,5002,2515,2528,5043,12330,12963,25290,2526,2596,5122,2402,2504,4908,2402,2641,5042,2552,2615,5166,2424,2562,4988,12305,12928,25228,2478,2622,5103,2573,2519,5090,2405,2634,5036,2566,2409,4978,2787,2661,5456,12813,12843,25657,2197,2326,4522,2186,2181,4367,2024,2125,4146,1869,1954,3825,1780,1973,3750,10053,10561,20615,1584,1726,3310,1526,1701,3225,1453,1653,3107,1370,1476,2845,1290,1438,2731,7225,7995,15219,4901,6026,10928,2912,4435,7347,1076,2100,3175,209,610,813,27,85,110,174076,182376,356452
SOSR121,1469,669,728,1392,712,815,1529,710,795,1501,706,760,1462,3543,3816,7355,747,750,1493,761,763,1521,741,723,1466,706,727,1438,758,674,1437,3715,3635,7351,675,707,1381,730,692,1424,674,633,1309,675,663,1337,710,707,1422,3469,3402,6869,643,564,1206,557,567,1122,552,504,1059,438,462,900,469,447,911,2661,2545,5197,411,396,803,376,360,735,345,331,679,306,292,602,329,311,642,1771,1690,3456,1061,1144,2211,597,731,1333,174,293,470,35,85,124,4,7,14,46831,47711,94540
SOSR122,958,454,444,902,470,435,900,451,417,866,457,494,951,2316,2268,4580,438,442,875,464,422,891,433,441,876,478,438,919,430,418,843,2234,2165,4400,468,396,862,440,423,861,465,418,884,401,371,775,430,410,841,2208,2017,4230,377,321,697,306,289,599,316,319,639,290,270,555,282,237,522,1581,1436,3010,253,248,500,242,238,476,242,206,451,221,168,392,178,154,329,1129,1009,2140,618,590,1202,306,393,695,101,164,270,24,41,66,0,5,6,27253,26762,54021
SOSR131,9932,4846,4671,9521,4697,4583,9277,4566,4548,9116,4785,4398,9185,23981,23051,47029,4825,4154,8983,4719,4318,9040,4604,4107,8716,4611,4171,8781,4433,3966,8396,23199,20713,43915,4435,3936,8370,4470,3805,8275,4045,3503,7545,4149,3547,7697,4230,3609,7844,21325,18403,39733,3494,2862,6355,3324,2720,6045,3108,2536,5646,2545,2168,4715,2630,2068,4696,15102,12347,27452,2254,1841,4093,2043,1648,3693,1805,1516,3315,1677,1311,2990,1502,1183,2678,9278,7497,16777,5115,4284,9401,2498,2560,5056,732,1070,1806,169,297,470,9,33,46,285013,267300,552316
