SOSR_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,284624,173078,82025,38071,2202073
SOSR102,77317,53739,29081,13730,477775
SOSR111,8734,5509,2821,1084,57130
SOSR112,36392,26512,14456,6361,219189
SOSR113,22130,17859,10654,5062,127659
SOSR114,19053,15450,8799,3649,109178
SOSR115,30238,23678,12145,5047,164378
SOSR121,9231,6469,2718,815,44588
SOSR122,5440,3868,1529,435,25438
SOSR131,58874,38508,13290,3381,274729
SOSR179,43,60,25,3,212
SOSR199,1142,722,150,41,7741
