region_id,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot
101011001,17,6,7,5,8,0,3,0,0,24,95,143,217,410,576,336,457,296,62,13,6,18,90,2624
101011002,3,5,5,3,0,0,0,0,0,7,34,196,30,110,145,86,68,41,23,4,3,12,54,772
101011003,3,0,0,0,0,0,0,0,0,3,9,68,12,49,55,51,96,130,57,7,3,6,17,551
101011004,0,0,0,0,0,0,0,0,0,5,8,135,4,46,66,48,41,64,64,51,13,11,32,575
101011005,9,3,3,0,0,0,0,0,0,9,30,70,41,175,331,184,186,75,9,3,0,9,30,1113
101011006,4,7,0,0,0,0,0,0,3,0,22,199,38,131,154,40,15,9,7,3,3,9,31,639
101021007,0,0,0,3,0,0,0,0,0,0,6,47,8,28,37,38,60,30,0,3,0,6,9,266
101021008,11,3,0,0,3,3,3,0,0,12,41,36,74,93,103,65,77,153,216,66,11,6,43,943
101021009,3,6,8,4,3,0,3,0,0,5,39,70,68,85,182,160,279,384,323,111,15,16,59,1752
101021010,0,3,3,0,3,0,3,0,0,0,12,39,17,49,111,100,131,189,140,44,11,18,18,867
101021011,0,0,3,0,0,0,0,0,0,3,9,86,15,21,34,25,43,85,107,53,44,15,27,555
101021012,0,0,0,0,0,4,3,0,0,5,12,28,18,40,70,69,116,195,226,139,73,39,35,1048
101031013,0,3,0,0,0,0,0,0,0,3,6,60,16,55,45,18,3,0,0,0,0,6,15,218
101031014,3,3,5,3,0,0,0,0,3,8,29,53,60,163,167,109,137,62,15,4,6,13,23,812
101031015,0,0,0,0,0,0,0,0,0,0,3,56,4,26,31,12,16,6,12,5,0,0,18,186
101031016,0,5,0,0,0,0,0,0,9,8,22,70,5,51,90,67,85,85,77,35,33,173,51,822
101041017,7,10,7,4,0,5,0,0,0,4,42,63,49,101,131,110,220,184,79,6,0,7,27,977
101041018,3,3,7,4,0,0,0,0,0,4,21,41,7,58,123,103,223,228,89,9,0,10,26,917
101041019,5,5,3,4,3,0,0,0,0,8,32,72,63,94,185,127,163,109,27,3,0,0,40,883
101041020,3,0,0,3,0,0,0,0,0,3,9,93,20,85,102,65,48,36,0,0,0,3,29,481
101041021,0,0,0,0,0,0,0,0,0,4,7,24,3,28,44,46,72,45,16,0,0,3,13,294
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,6,0,0,0,3,0,0,0,0,0,12,24,33,77,100,46,99,64,5,3,0,3,21,475
101041024,0,0,4,0,0,0,0,0,0,0,4,46,3,58,31,22,28,14,9,3,0,7,10,231
101041025,3,7,0,0,4,0,0,0,0,7,29,60,22,71,213,138,207,213,80,14,3,18,41,1080
101041026,4,4,4,7,3,0,0,0,0,8,30,58,37,101,126,110,174,93,23,3,0,3,29,757
101041027,4,11,5,5,0,0,0,0,0,3,38,79,53,84,210,141,185,85,9,3,3,3,37,892
102011028,0,0,0,0,0,5,0,0,0,0,5,20,0,5,18,38,70,116,138,81,25,19,10,540
102011029,0,3,0,0,0,0,0,0,0,7,13,34,0,27,49,49,62,128,136,56,21,20,11,593
102011030,0,0,0,0,3,0,0,0,0,3,6,71,6,28,52,32,40,50,45,15,3,6,14,362
102011031,3,4,3,3,3,5,0,0,0,3,27,35,46,81,74,79,103,184,135,57,27,9,37,867
102011032,5,12,3,8,8,3,3,0,3,28,106,135,242,243,282,212,612,1089,379,84,7,23,107,3415
102011033,0,3,0,0,0,0,3,0,0,3,9,0,5,28,23,15,38,156,103,24,3,0,3,398
102011034,0,0,0,0,4,3,0,0,0,3,14,24,47,58,35,29,73,120,86,18,12,3,15,520
102011035,0,0,0,3,0,0,0,0,0,3,6,18,13,25,27,18,75,120,73,16,7,0,21,413
102011036,0,0,0,0,0,0,0,0,0,5,12,26,50,30,30,19,63,164,117,13,3,3,18,536
102011037,3,3,0,0,3,3,0,0,0,3,18,17,24,49,41,26,55,146,90,26,6,6,6,492
102011038,0,3,0,0,0,0,0,0,0,0,3,12,18,18,21,29,63,110,104,23,15,15,15,443
102011039,0,0,0,0,3,0,0,0,0,7,10,37,11,30,43,43,120,269,374,158,71,47,25,1228
102011040,12,10,4,18,11,7,0,0,0,29,94,105,34,134,331,238,583,846,491,80,13,17,86,2958
102011041,3,0,0,0,0,3,0,0,0,0,6,24,0,19,23,39,66,132,167,90,21,16,15,612
102011042,10,4,4,10,0,0,0,0,0,22,65,83,183,135,185,130,282,427,233,30,10,13,70,1781
102011043,3,4,3,3,3,3,0,0,0,7,34,41,92,70,69,59,128,281,128,10,4,0,29,911
102021044,12,8,0,12,11,4,0,0,3,11,73,103,157,152,188,126,348,609,265,54,12,14,68,2096
102021045,3,0,3,5,8,0,3,0,0,3,31,27,6,30,55,77,243,390,161,12,0,0,25,1026
102021046,7,3,3,3,3,3,0,0,0,3,28,38,21,69,129,115,247,204,58,3,6,3,29,922
102021047,5,0,0,5,6,0,0,0,0,6,22,42,19,46,65,62,168,397,175,41,16,8,25,1064
102021048,14,9,6,7,10,3,3,0,3,17,80,110,95,152,256,253,578,563,150,21,7,16,59,2260
102021049,0,0,0,0,0,0,0,0,0,3,3,21,0,5,3,15,12,12,22,13,3,4,12,122
102021050,4,3,0,5,3,0,0,0,0,9,24,18,3,79,65,86,201,222,90,5,0,9,28,806
102021051,0,0,0,0,3,0,0,0,0,0,3,23,5,21,22,26,91,119,33,9,3,9,8,369
102021052,0,0,3,3,0,0,0,0,0,3,9,19,0,9,37,47,145,140,52,0,0,0,9,458
102021053,6,12,12,21,9,4,0,0,3,12,93,93,136,132,350,266,645,857,319,51,21,30,70,2970
