region_id,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_c_o_c_c_g,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_over_REA,C11_650over_ST_HA,C11_650ove_Pe_no_sa_ho,C11_650ov_H_co_op_c_ch_gr,C11_650over_Oth_lan_typ,C11_650over_LLT_NS,C11_650_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T
101011001,35,3,411,313,96,132,8,23,3,575,192,46,91,0,8,0,337,328,5,101,4,19,0,457,227,3,60,3,7,0,300,44,0,17,0,3,0,64,0,5,5,0,0,0,10,3,0,3,0,0,0,6,4,3,10,0,3,0,20,22,28,20,6,12,3,91,1300,559,532,62,132,44,2629
101011002,6,0,110,75,3,56,0,11,0,145,49,3,36,0,0,0,88,42,0,20,0,8,0,70,30,0,8,0,0,0,38,18,0,0,0,0,0,18,3,0,3,0,0,0,6,0,0,0,0,4,0,4,3,3,6,0,0,0,12,3,3,27,5,15,0,53,248,18,317,22,98,68,771
101011003,5,0,49,16,11,19,4,8,0,58,30,6,16,0,3,0,55,49,15,26,0,7,0,97,93,0,36,0,0,0,129,35,0,21,0,3,0,59,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,5,4,3,0,17,239,69,158,39,34,12,551
101011004,8,3,46,17,0,43,0,3,0,63,14,0,23,0,8,3,48,11,0,24,0,3,3,41,28,0,33,0,3,0,64,18,0,37,0,10,0,65,22,0,27,0,3,0,52,10,0,4,0,0,0,14,10,0,3,0,0,0,13,0,0,12,0,17,3,32,137,0,288,0,90,60,575
101011005,10,0,175,217,37,63,4,7,3,331,126,6,49,0,4,0,185,166,0,16,3,0,3,188,61,0,9,0,3,3,76,8,0,0,0,0,0,8,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,6,3,7,14,0,3,3,30,671,125,221,27,38,31,1113
101011006,13,4,132,60,7,66,4,13,4,154,24,0,15,0,3,0,42,12,0,3,0,0,0,15,5,0,4,0,0,0,9,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,3,9,0,0,13,3,14,3,33,150,22,258,16,117,76,639
101021007,0,0,25,14,0,14,0,7,0,35,15,3,15,0,3,0,36,39,0,17,0,3,0,59,21,0,5,0,0,0,26,3,0,3,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,3,0,8,104,13,104,0,19,22,262
101021008,0,3,93,21,55,13,5,7,3,104,20,17,13,3,12,0,65,27,22,11,5,12,3,80,71,43,30,0,5,0,149,131,15,56,0,10,3,215,40,0,19,0,5,0,64,9,0,3,0,0,0,12,3,0,3,0,0,0,6,10,24,4,0,4,3,45,337,335,166,27,59,18,942
101021009,5,0,85,120,14,35,11,0,3,183,123,4,28,0,4,0,159,203,6,57,3,8,3,280,276,11,90,0,5,0,382,237,3,72,0,9,3,324,72,3,24,0,11,0,110,12,0,3,0,0,0,15,7,3,3,0,0,3,16,17,13,17,0,10,3,60,1095,167,369,35,52,34,1752
101021010,0,0,49,70,8,25,3,4,3,113,79,3,12,3,4,0,101,107,0,13,0,9,0,129,147,0,27,0,10,5,189,99,4,30,0,7,0,140,36,0,8,0,3,0,47,7,0,3,0,0,0,10,9,0,3,0,0,0,12,10,0,4,0,4,0,18,581,62,145,16,47,16,867
