region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
101011001,20,73,530,19657,639,121,23,783,1377,21817
101011002,5,16,177,10485,334,26,10,370,459,11314
101011003,7,9,175,5753,186,43,4,233,272,6258
101011004,6,9,69,9431,338,25,0,363,403,10197
101011005,8,21,301,9327,265,52,0,317,473,10117
101011006,3,10,152,6735,144,20,3,167,237,7139
101021007,5,4,62,2933,99,5,4,108,210,3251
101021008,16,3,61,7036,1036,163,24,1223,338,8597
101021009,63,20,277,7812,1591,329,35,1955,626,10393
101021010,16,7,46,3637,713,102,15,830,281,4748
101021011,0,3,52,12837,680,50,11,741,755,14333
101021012,11,0,49,10729,1253,132,16,1401,296,12426
101031013,0,10,88,2253,49,4,0,53,63,2369
101031014,27,9,224,5818,461,40,4,505,457,6780
101031015,4,0,36,3225,149,12,3,164,155,3544
101031016,10,8,71,13827,800,58,12,870,2564,17261
101041017,9,44,237,6703,307,35,6,348,449,7500
101041018,28,15,299,7209,339,49,11,399,520,8128
101041019,4,41,206,7412,190,12,6,208,356,7976
101041020,6,6,81,7862,224,9,3,236,347,8445
101041021,4,4,96,2577,102,3,0,105,138,2820
101041022,0,0,0,48,0,0,0,0,0,48
101041023,5,0,88,3019,100,14,0,114,67,3200
101041024,3,0,37,2907,84,10,0,94,147,3148
101041025,26,28,393,9503,359,28,3,390,437,10330
101041026,8,3,169,6993,200,14,0,214,165,7372
101041027,17,24,360,7963,299,25,5,329,294,8586
102011028,8,4,90,6266,261,15,5,281,263,6810
102011029,6,12,209,9364,286,26,10,322,368,10054
102011030,0,5,50,3727,314,43,3,360,400,4487
102011031,40,32,789,12118,728,90,9,827,350,13295
102011032,27,109,616,15044,1438,249,21,1708,1462,18214
102011033,7,0,34,5829,414,33,12,459,154,6442
102011034,26,41,445,6530,207,28,6,241,168,6939
102011035,3,9,78,5857,348,47,0,395,144,6396
102011036,0,0,52,7314,293,27,4,324,220,7858
102011037,13,14,232,5459,327,41,0,368,377,6204
102011038,5,13,165,6073,163,16,9,188,150,6411
102011039,14,8,170,11014,670,59,9,738,658,12410
102011040,30,208,824,19958,859,107,20,986,1188,22132
102011041,11,9,156,8228,338,15,4,357,284,8869
102011042,26,43,580,11806,627,80,19,726,617,13149
102011043,40,23,613,9994,594,71,13,678,375,11047
102021044,36,47,902,19766,601,87,6,694,482,20942
102021045,5,7,80,9826,401,48,3,452,360,10638
102021046,9,14,207,8330,232,24,3,259,247,8836
102021047,22,22,373,14191,408,64,9,481,423,15095
102021048,28,34,692,18812,740,94,11,845,724,20381
102021049,0,0,24,2682,80,8,0,88,169,2939
102021050,6,14,169,9303,202,18,6,226,287,9816
102021051,0,3,33,4350,215,15,0,230,149,4729
102021052,6,3,84,5084,163,22,0,185,99,5368
102021053,12,33,367,12255,656,79,10,745,874,13874
102021054,16,40,416,8134,273,36,7,316,447,8897
102021055,6,11,64,4290,368,72,4,444,223,4957
102021056,12,52,245,11154,628,56,8,692,689,12535
102021057,9,8,122,7106,464,95,6,565,397,8068
103011058,18,20,436,20952,796,99,15,910,1518,23380
103011059,5,12,154,8729,262,37,4,303,341,9373
103011060,0,3,70,5918,142,4,6,152,410,6480
103011061,0,10,74,4053,250,11,0,261,236,4550
103021062,4,19,175,6502,102,8,0,110,273,6885
103021063,8,18,277,8102,197,28,4,229,563,8894
103021064,6,10,119,5027,106,13,7,126,146,5299
103021065,10,15,244,9201,152,24,4,180,268,9649
103021066,0,3,96,3375,49,6,0,55,109,3539
103021067,9,16,294,10025,258,37,4,299,603,10927
103021068,3,4,60,3103,72,7,3,82,173,3358
103021069,0,6,148,5650,80,9,3,92,131,5873
103031070,12,19,294,10823,378,50,3,431,858,12112
103031071,3,9,74,7166,192,22,0,214,309,7689
103031072,11,23,282,9684,291,43,0,334,621,10639
103031073,7,4,74,3053,115,22,0,137,81,3271
103031074,4,15,145,8891,203,23,10,236,538,9665
103031075,0,0,0,0,0,0,0,0,0,0
103041076,3,6,97,6491,118,11,3,132,270,6893
103041077,43,35,585,17937,849,169,20,1038,1311,20286
103041078,16,17,185,14990,816,115,12,943,696,16629
103041079,0,8,128,10278,194,24,6,224,242,10744
104011080,7,36,591,17113,312,56,7,375,893,18381
104011081,7,4,173,14000,279,31,6,316,487,14803
104011082,9,25,504,15632,357,25,8,390,515,16537
104021083,4,6,147,5254,228,14,0,242,112,5608
104021084,21,30,413,15126,858,211,23,1092,827,17045
104021085,30,23,544,8857,619,186,33,838,479,10174
