region_id,C11_1PF_Cu15DS_4000ov,C11_1PF_Cu15DS_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_0_299,C11_1PF_CU15_NDS_300_449,C11_1PF_CU15_NDS_450_599,C11_1PF_CU15_NDS_600_799,C11_1PF_CU15_NDS_800_999,C11_1PF_CU15_NDS_1000_1399,C11_1PF_CU15_NDS_1400_1799,C11_1PF_CU15_NDS_1800_2399,C11_1PF_CU15_NDS_2400_2999,C11_1PF_CU15_NDS_3000_3999,C11_1PF_CU15_NDS_4000ov,C11_1PF_CU15_NDS_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_0_299,C11_1PF_NCu15DS_300_449,C11_1PF_NCu15DS_450_599,C11_1PF_NCu15DS_600_799,C11_1PF_NCu15DS_800_999,C11_1PF_NCu15DS_1000_1399,C11_1PF_NCu15DS_1400_1799,C11_1PF_NCu15DS_1800_2399,C11_1PF_NCu15DS_2400_2999,C11_1PF_NCu15DS_3000_3999,C11_1PF_NCu15DS_4000ov,C11_1PF_NCu15DS_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_0_299,C11_1PF_NDCO_300_449,C11_1PF_NDCO_450_599,C11_1PF_NDCO_600_799,C11_1PF_NDCO_800_999,C11_1PF_NDCO_1000_1399,C11_1PF_NDCO_1400_1799,C11_1PF_NDCO_1800_2399,C11_1PF_NDCO_2400_2999,C11_1PF_NDCO_3000_3999,C11_1PF_NDCO_4000ov,C11_1PF_NDCO_NS,C11_1PF_NDCO_Tot,C11_1PF_T_0_299,C11_1PF_T_300_449,C11_1PF_T_450_599,C11_1PF_T_600_799,C11_1PF_T_800_999,C11_1PF_T_1000_1399,C11_1PF_T_1400_1799,C11_1PF_T_1800_2399,C11_1PF_T_2400_2999,C11_1PF_T_3000_3999,C11_1PF_T_4000ov,C11_1PF_T_NS,C11_1_PF_T_T,C11_T_0_299,C11_T_300_449,C11_T_450_599,C11_T_600_799,C11_T_800_999,C11_T_1000_1399,C11_T_1400_1799,C11_T_1800_2399,C11_T_2400_2999,C11_T_3000_3999,C11_T_4000ov,C11_T_NS,C11_T_T
101011001,0,0,29,0,0,3,3,12,38,30,21,8,3,0,5,123,4,5,0,7,4,12,6,10,0,0,0,0,48,0,5,3,8,6,13,10,4,0,4,6,4,63,4,10,9,23,25,70,52,40,8,7,6,9,263,56,44,52,115,155,420,496,424,171,90,51,95,2169
101011002,0,0,20,0,0,0,7,0,8,7,8,6,4,0,9,49,0,4,0,5,0,4,3,0,0,0,0,0,16,3,0,0,0,5,3,5,4,3,0,3,6,32,3,4,0,12,10,19,19,19,9,4,3,15,117,64,26,20,72,72,202,179,230,136,102,45,79,1227
101011003,0,0,7,3,3,0,0,0,8,10,5,4,3,0,3,39,0,0,4,0,0,4,3,0,0,3,0,0,14,0,0,0,0,0,3,7,5,0,0,0,0,15,3,3,4,0,0,19,20,13,4,6,0,3,75,20,14,12,28,29,109,121,183,98,74,33,39,760
101011004,0,0,3,0,0,0,0,3,10,10,7,7,3,6,3,49,0,0,0,0,3,3,0,3,3,3,0,3,18,0,3,0,3,0,3,3,3,3,0,3,0,21,0,3,0,3,6,16,13,13,16,6,9,6,91,45,26,29,32,50,164,189,255,224,238,159,60,1471
101011005,0,0,9,3,0,3,3,10,18,11,3,3,0,0,3,57,0,0,0,3,3,3,3,0,0,0,0,3,15,3,0,3,5,0,3,0,3,4,0,0,0,21,6,0,6,11,16,27,17,6,7,0,0,6,102,26,32,27,58,90,268,197,125,52,39,14,31,959
101011006,0,0,0,0,4,4,3,7,11,6,0,0,0,0,5,40,0,0,0,3,5,4,0,0,3,0,0,0,15,6,3,0,5,0,3,0,0,0,0,0,5,22,6,7,4,11,12,18,6,0,3,0,0,10,77,74,37,35,60,83,127,79,67,17,22,14,45,660
101021007,0,0,8,0,0,0,0,11,0,4,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,3,0,0,0,0,0,9,4,3,0,3,11,5,7,0,3,0,0,0,36,16,9,6,21,31,41,60,53,30,19,18,19,323
101021008,0,0,7,0,3,0,0,5,8,10,21,13,0,3,4,67,0,0,0,3,0,3,8,3,0,0,0,0,17,5,3,0,6,0,12,4,6,5,3,0,0,44,5,6,0,9,5,26,26,30,18,3,3,4,135,30,20,14,26,46,123,148,279,151,98,37,48,1020
101021009,0,0,15,0,0,3,3,5,8,11,23,5,3,0,5,66,0,3,3,0,3,3,3,3,3,0,0,0,21,0,0,0,7,0,6,6,12,4,3,0,0,38,3,3,6,10,8,20,23,41,15,6,0,5,140,28,10,18,30,43,123,140,226,153,94,27,44,936
101021010,0,0,0,0,0,0,0,0,4,3,4,3,0,3,3,20,0,0,0,0,0,5,3,4,3,0,0,0,15,6,0,0,0,0,0,7,0,0,0,0,0,13,6,0,0,0,0,9,13,8,6,0,3,3,48,11,3,6,9,16,46,66,96,84,47,43,14,441
101021011,0,0,10,0,0,4,0,0,15,11,17,14,7,13,3,84,0,0,0,4,3,3,6,3,0,0,3,0,22,3,0,0,0,5,3,7,3,5,0,3,4,33,3,0,4,4,8,21,27,27,22,7,19,7,149,52,31,29,56,70,204,255,408,330,402,273,64,2174
101021012,3,3,32,3,0,0,0,4,9,13,13,10,10,3,0,65,0,0,0,3,0,7,3,9,6,5,6,3,42,0,0,3,3,0,9,8,7,5,4,3,3,45,3,0,3,10,4,28,27,36,24,25,15,9,184,44,23,19,46,47,153,202,332,297,386,225,85,1859
101031013,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,3,3,0,0,3,0,0,0,0,0,9,3,0,6,3,0,3,6,0,0,3,0,0,24,17,8,17,24,25,42,28,24,12,6,3,11,217
101031014,0,0,7,0,0,3,5,3,13,12,5,3,0,0,3,47,0,0,0,0,0,3,0,3,0,0,0,0,6,5,0,0,0,3,6,4,4,0,0,0,3,25,5,0,3,5,6,29,16,12,3,0,0,6,85,28,15,20,48,70,163,130,113,29,18,6,37,677
101031015,0,0,5,0,0,0,0,0,4,0,3,0,3,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,3,4,0,0,0,0,0,4,15,4,0,0,0,6,8,5,3,0,3,0,4,33,20,12,15,27,28,45,53,65,19,27,12,23,346
