region_id,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
101011001,5499,2549,204,297,8549
101011002,3235,1090,68,230,4623
101011003,1659,570,56,99,2384
101011004,2902,606,56,178,3742
101011005,2631,1115,86,172,4004
101011006,1990,879,62,111,3042
101021007,888,392,27,90,1397
101021008,2281,744,63,155,3243
101021009,2438,1727,193,328,4686
101021010,1150,764,73,145,2132
101021011,3776,649,76,325,4826
101021012,3420,608,87,125,4240
101031013,652,334,23,35,1044
101031014,1725,895,68,110,2798
101031015,881,315,23,101,1320
101031016,1395,544,100,1266,3305
101041017,1995,898,80,194,3167
101041018,2255,843,79,309,3486
101041019,2147,884,103,160,3294
101041020,2485,739,78,171,3473
101041021,746,377,19,78,1220
101041022,13,5,4,0,22
101041023,879,372,43,66,1360
101041024,893,307,24,106,1330
101041025,2764,1156,92,306,4318
101041026,2203,869,75,115,3262
101041027,2393,1189,84,266,3932
102011028,1863,468,51,120,2502
102011029,2871,929,65,156,4021
102011030,1119,344,37,118,1618
102011031,3551,1429,72,126,5178
102011032,4487,2782,343,546,8158
102011033,1700,295,38,41,2074
102011034,1869,834,49,51,2803
102011035,1772,420,58,58,2308
102011036,2134,443,62,66,2705
102011037,1647,608,51,141,2447
102011038,1874,565,43,58,2540
102011039,3369,1089,180,272,4910
102011040,5967,2961,281,382,9591
102011041,2499,510,93,121,3223
102011042,3438,1925,167,265,5795
102011043,2898,1135,120,112,4265
102021044,5734,2100,200,170,8204
102021045,2844,661,110,105,3720
102021046,2481,1103,101,117,3802
102021047,4123,1067,129,116,5435
102021048,5376,2380,233,219,8208
102021049,777,150,17,82,1026
102021050,2901,1151,70,77,4199
102021051,1274,294,49,53,1670
102021052,1512,490,47,44,2093
102021053,3548,2145,241,448,6382
102021054,2344,1338,114,171,3967
102021055,1324,305,47,79,1755
102021056,3200,553,72,129,3954
102021057,2114,899,94,109,3216
103011058,5432,2477,446,435,8790
103011059,2533,592,59,127,3311
103011060,1747,515,54,106,2422
103011061,1183,471,27,73,1754
103021062,1857,742,48,147,2794
103021063,2268,1127,89,236,3720
103021064,1472,603,44,98,2217
103021065,2570,1154,84,147,3955
103021066,1029,438,31,42,1540
103021067,2774,1172,82,285,4313
103021068,888,359,21,90,1358
103021069,1566,644,46,103,2359
103031070,3094,1650,113,200,5057
103031071,2121,741,62,131,3055
103031072,2672,1073,121,294,4160
103031073,897,460,30,55,1442
103031074,2685,882,82,273,3922
103031075,0,0,0,0,0
103041076,1831,684,38,118,2671
103041077,4761,2548,248,462,8019
103041078,4337,1236,197,295,6065
103041079,3058,791,49,111,4009
104011080,4739,2139,208,229,7315
104011081,4110,1306,142,256,5814
104011082,4446,1826,165,745,7182
104021083,1557,548,74,74,2253
104021084,4280,1926,259,409,6874
104021085,2304,1354,230,168,4056
104021086,1005,215,41,43,1304
104021087,858,424,39,80,1401
104021088,2168,458,63,209,2898
104021089,5177,1845,202,307,7531
104021090,1286,553,69,116,2024
104021091,3183,1049,99,378,4709
105011092,929,424,43,314,1710
105011093,1162,524,39,255,1980
105011094,1114,469,35,100,1718
105011095,1326,621,39,138,2124
105011096,1549,969,97,437,3052
105021097,4781,2507,150,618,8056
105021098,631,336,24,225,1216
105031099,2116,946,81,194,3337
105031100,2740,870,127,139,3876
105031101,3953,1873,202,213,6241
105031102,1977,603,78,179,2837
105031103,1422,297,27,102,1848
105031104,1196,465,28,97,1786
105031105,1735,694,55,99,2583
105031106,2124,914,68,150,3256
106011107,2528,563,61,175,3327
106011108,5094,1918,201,356,7569
106011109,1942,468,52,118,2580
106011110,2324,744,51,123,3242
106011111,4386,1478,151,153,6168
106011112,4151,1271,171,273,5866
106011113,1319,263,28,102,1712
106021114,1199,519,62,91,1871
106021115,7010,2363,244,306,9923
106021116,1867,366,22,43,2298
106021117,4958,1355,157,177,6647
106021118,2450,344,54,48,2896
106031119,1476,442,39,92,2049
106031120,1791,677,70,45,2583
106031121,5261,2262,199,670,8392
106031122,3616,1342,140,204,5302
106031123,1441,149,20,46,1656
106031124,1365,540,33,151,2089
106031125,3436,756,66,172,4430
106041126,2948,1106,134,349,4537
106041127,986,314,47,114,1461
106041128,1535,620,81,88,2324
106041129,2123,807,73,182,3185
