region_id,Med_age_persns_C2001,Med_age_persns_C2006,Med_age_persns_C2011,Med_mortg_rep_mon_C2001,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_person_inc_we_C2001,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_rent_weekly_C2001,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_Famly_inc_we_C2001,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Avg_num_p_per_brm_C2001,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Med_tot_hh_inc_wee_C2001,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Average_hh_size_C2001,Average_hh_size_C2006,Average_hh_size_C2011
101011001,35,36,39,760,1105,1480,345,398,525,120,150,185,847,1067,1284,1.1,1.1,1.1,676,809,967,2.4,2.4,2.4
101011002,40,43,46,810,1192,1600,334,388,493,80,100,150,799,1034,1240,1.1,1.1,1.1,674,824,986,2.6,2.5,2.4
101011003,38,39,39,850,1200,1802,348,444,633,110,150,250,876,1142,1600,1.1,1.1,1.1,713,938,1276,2.5,2.5,2.5
101011004,38,39,40,1083,1558,2000,466,600,791,90,130,210,1118,1511,2005,1.1,1.1,1.1,970,1310,1724,2.7,2.7,2.7
101011005,36,37,39,650,975,1300,318,374,447,105,145,185,739,953,1016,1.1,1.1,1.1,595,722,815,2.5,2.5,2.5
101011006,40,43,45,542,798,1000,305,356,434,70,100,130,727,844,1006,1.1,1.1,1.1,605,666,766,2.6,2.4,2.4
101021007,43,47,45,733,935,1517,291,377,521,100,150,200,673,923,1259,1.1,1.1,1.1,557,714,913,2.3,2.2,2.3
101021008,32,34,35,893,1300,1900,430,549,740,115,180,280,988,1316,1814,1.1,1.1,1.1,873,1143,1543,2.8,2.7,2.7
101021009,37,38,37,780,1300,1733,389,551,750,103,170,270,898,1207,1684,1.1,1.1,1.1,664,920,1270,2.2,2.1,2.1
101021010,34,36,35,780,1300,1950,488,667,834,110,170,270,1038,1431,1875,1.1,1.1,1.1,756,1042,1399,2.1,2.1,2.2
101021011,37,38,38,1040,1690,2167,519,695,923,130,210,300,1342,1828,2355,1.1,1.1,1.1,1167,1578,2158,2.9,2.9,2.9
101021012,31,32,34,1083,1733,2383,594,820,1021,154,230,320,1387,1961,2578,1.1,1.0,1.0,1271,1780,2395,3.0,3.0,3.0
101031013,41,43,46,542,796,962,322,388,470,70,100,130,747,956,1008,1.1,1.1,1.1,613,742,798,2.4,2.3,2.2
101031014,36,39,41,650,975,1200,347,432,526,100,140,180,801,1073,1186,1.1,1.1,1.1,625,771,886,2.4,2.3,2.3
101031015,38,41,43,784,1024,1400,356,423,529,83,100,127,797,1041,1227,1.1,1.1,1.1,692,828,980,2.5,2.4,2.4
101031016,29,32,34,900,1300,1584,552,669,760,220,200,290,973,1241,1431,1.1,1.1,1.1,1023,1209,1353,2.5,2.5,2.5
101041017,45,45,47,813,1083,1500,277,347,427,123,177,225,602,766,931,1.1,1.1,1.1,508,665,776,2.3,2.3,2.3
101041018,45,47,50,823,1224,1517,288,356,438,135,190,250,647,817,934,1.1,1.1,1.1,561,705,814,2.3,2.3,2.3
101041019,39,42,44,693,1031,1300,317,381,492,120,155,195,724,970,1116,1.1,1.1,1.1,582,729,902,2.5,2.4,2.4
101041020,39,43,46,693,932,1200,286,354,418,100,110,150,670,890,994,1.2,1.2,1.1,579,734,845,2.7,2.6,2.5
101041021,45,44,49,650,1171,1560,284,347,473,130,180,225,592,813,1025,1.1,1.1,1.1,498,655,826,2.2,2.3,2.2
101041022,0,0,43,0,0,900,0,0,392,0,0,0,0,0,2666,0,0,1.2,0,0,1041,0,0,2.8
101041023,37,43,47,750,1000,1430,293,339,418,115,150,178,672,814,973,1.1,1.1,1.1,575,671,796,2.5,2.4,2.3
101041024,39,43,48,750,975,1440,266,347,439,100,110,167,634,854,969,1.2,1.1,1.1,569,735,848,2.5,2.5,2.4
101041025,49,50,52,849,1196,1500,306,388,478,150,185,230,702,945,1019,1.1,1.1,1.1,588,746,866,2.3,2.3,2.2
101041026,42,47,50,720,1083,1309,275,347,416,110,150,200,635,781,958,1.1,1.1,1.1,544,665,794,2.4,2.3,2.3
101041027,47,50,55,728,1040,1300,259,323,391,115,160,190,564,731,888,1.1,1.1,1.1,480,597,726,2.3,2.2,2.1
102011028,34,37,39,1140,1638,2150,434,515,643,190,250,330,1055,1359,1728,1.1,1.1,1.1,926,1168,1468,2.8,2.7,2.8
102011029,40,43,45,1100,1600,2000,372,450,538,190,240,315,958,1216,1458,1.1,1.1,1.1,794,1032,1151,2.6,2.6,2.5
102011030,39,43,41,1127,1500,1950,388,444,566,112,150,200,936,1174,1395,1.1,1.1,1.1,802,1014,1179,2.6,2.5,2.7
102011031,42,45,47,1200,1647,2000,356,414,499,185,210,265,962,1214,1446,1.1,1.0,1.1,746,975,1019,2.5,2.5,2.5
102011032,37,38,40,1029,1500,1733,362,457,553,170,200,270,912,1159,1335,1.1,1.1,1.1,692,873,995,2.3,2.2,2.2
102011033,30,32,32,1119,1600,1967,459,497,586,200,235,300,1098,1296,1602,1.1,1.1,1.1,1039,1218,1455,3.1,3.1,3.1
102011034,40,43,44,1000,1500,2000,312,368,477,180,210,255,856,1042,1284,1.1,1.1,1.1,610,728,937,2.5,2.4,2.5
102011035,32,35,37,1000,1442,1733,413,475,554,190,210,285,1081,1228,1489,1.1,1.1,1.1,990,1122,1298,3.0,2.8,2.8
102011036,31,33,36,1083,1528,1800,438,506,574,190,230,290,1138,1361,1601,1.1,1.1,1.1,1042,1219,1446,3.1,3.0,2.9
102011037,41,42,43,1083,1443,2000,377,450,531,180,220,293,1018,1216,1470,1.1,1.1,1.1,808,984,1125,2.4,2.4,2.5
102011038,40,42,42,1083,1517,2000,360,434,533,180,225,300,874,1163,1377,1.1,1.1,1.1,730,949,1119,2.5,2.5,2.6
102011039,38,38,40,1200,1733,2167,450,549,644,215,270,360,1104,1357,1687,1.1,1.0,1.0,925,1184,1380,2.6,2.6,2.5
102011040,42,43,44,1000,1387,1800,296,372,466,175,200,275,743,946,1108,1.1,1.1,1.1,576,698,851,2.3,2.3,2.3
102011041,37,38,38,1200,1625,2167,425,507,651,205,250,350,1084,1298,1726,1.1,1.1,1.1,941,1176,1518,2.8,2.8,2.8
102011042,43,45,46,1000,1465,1800,310,369,440,165,195,250,770,1012,1159,1.1,1.1,1.1,589,712,848,2.3,2.2,2.2
