SA4_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
101,2976,4563,4375,8934,5595,5620,11212,7575,7258,14831,738,738,1478,948,923,1871,1123,1056,2183,666,741,1405,854,879,1740,1074,1097,2176,576,641,1216,810,766,1576,1023,1026,2050,581,597,1181,695,742,1429,871,891,1765,556,618,1180,623,699,1321,788,886,1672,3125,3331,6457,3939,4000,7940,4887,4960,9843,2232,2726,4959,2489,2820,5307,3025,3294,6317,1491,2808,4295,1966,3296,5263,2332,3448,5776,103618,104203,207821,109125,109717,218842,119088,119720,238810
102,4231,6335,7109,13434,7840,8717,16557,9275,10662,19938,1032,1240,2270,1311,1517,2827,1633,1818,3453,1022,1291,2310,1285,1336,2617,1535,1715,3251,974,1208,2189,1189,1373,2564,1469,1651,3123,916,1175,2092,1030,1305,2331,1260,1502,2753,959,1172,2131,1036,1193,2234,1207,1446,2655,4904,6092,10991,5855,6722,12568,7100,8139,15241,4020,5504,9522,3866,5255,9122,4747,5712,10463,3159,5807,8962,3868,6410,10275,3929,6619,10545,150699,161483,312181,158767,168970,327736,167980,178618,346596
103,2427,3987,4055,8041,5004,4874,9878,6013,6028,12044,654,765,1421,760,828,1588,991,965,1955,648,692,1339,710,776,1479,1018,918,1938,564,658,1217,715,772,1483,861,899,1759,552,580,1129,668,699,1371,737,827,1561,560,617,1174,657,725,1379,699,785,1474,2980,3306,6287,3500,3796,7304,4298,4390,8689,2103,2673,4777,2307,2899,5208,2676,3122,5794,1283,2768,4045,1825,3247,5070,2090,3417,5504,98324,98412,196738,102700,103463,206158,106203,106759,212962
104,1944,2956,3091,6050,3776,3810,7586,4857,4904,9764,528,552,1080,628,664,1294,804,843,1644,461,525,988,587,593,1184,705,789,1498,434,484,916,540,569,1110,667,667,1335,417,453,869,472,578,1049,587,641,1223,427,466,890,509,549,1061,576,604,1182,2265,2478,4744,2735,2960,5692,3331,3546,6880,1663,1940,3601,1821,2183,4003,2128,2491,4615,1174,2109,3281,1527,2527,4053,1758,2718,4473,63791,66812,130605,66581,69703,136287,71497,74634,146127
105,1258,2312,2347,4659,2603,2610,5217,3026,2916,5942,415,430,843,420,446,874,468,516,983,325,378,707,389,442,835,465,443,910,332,342,679,383,453,836,414,449,867,288,338,630,361,393,758,396,428,825,293,389,682,336,378,715,379,428,804,1654,1883,3538,1899,2119,4013,2126,2263,4389,1244,1561,2801,1198,1535,2731,1398,1708,3109,727,1444,2172,1032,1712,2742,1104,1761,2866,56507,57085,113593,56471,57306,113778,57315,58251,115566
106,3178,4376,4464,8840,5953,5897,11852,7717,7834,15545,784,775,1558,976,906,1877,1314,1326,2642,615,754,1368,819,855,1677,1169,1269,2440,587,700,1296,781,851,1634,1106,1136,2239,593,717,1311,668,780,1451,968,958,1927,554,622,1178,702,795,1495,895,900,1789,3138,3569,6711,3950,4182,8138,5447,5585,11036,2118,2910,5026,2462,3076,5541,3152,3539,6689,1447,2822,4265,1881,3342,5218,2259,3668,5922,120901,122350,243248,130636,132780,263419,145140,146804,291946
107,3106,4992,5606,10600,5944,6510,12454,7424,7866,15292,898,1020,1918,977,1134,2117,1194,1302,2495,795,1001,1798,966,1104,2073,1260,1338,2593,812,928,1742,904,1012,1918,1100,1221,2320,742,894,1640,884,1051,1936,974,1091,2062,736,874,1611,764,997,1760,892,1090,1977,3979,4720,8701,4500,5301,9801,5416,6035,11454,2974,3932,6904,3210,4057,7270,3716,4578,8290,2068,3740,5803,2719,4609,7330,3187,5039,8227,136182,139799,275983,144487,149008,293498,154066,159771,313842
108,3822,5728,5858,11587,7416,7494,14906,9346,9345,18690,1029,1030,2062,1143,1184,2329,1547,1553,3104,881,969,1855,1172,1224,2392,1447,1503,2950,819,947,1768,1054,1087,2140,1377,1462,2840,870,882,1746,973,1005,1979,1156,1281,2439,786,883,1674,947,1033,1984,1224,1210,2436,4387,4711,9105,5286,5534,10822,6755,7009,13767,3273,3918,7192,3424,4012,7442,4156,4641,8803,2395,4005,6408,3030,4715,7745,3396,5138,8536,97966,103140,201110,103299,108903,212197,111336,117699,229035
109,1624,2492,2560,5045,2980,3037,6016,3980,3794,7777,431,464,900,513,564,1073,625,641,1265,373,411,783,435,463,901,561,569,1129,375,384,756,461,507,975,541,586,1127,328,344,675,400,443,842,491,527,1017,283,394,676,401,421,820,466,474,943,1789,1997,3788,2208,2397,4601,2685,2795,5481,1417,1624,3040,1440,1738,3187,1711,2093,3800,917,1651,2568,1268,1942,3205,1382,2032,3413,54549,55766,110320,57057,58738,115802,60918,62639,123552
110,2126,3704,3884,7593,4418,4485,8897,5224,5150,10379,614,660,1276,685,808,1495,847,868,1716,555,644,1195,654,755,1412,805,842,1647,521,526,1046,669,716,1381,739,888,1629,492,569,1062,627,659,1281,637,689,1330,499,498,992,542,681,1223,674,724,1396,2685,2891,5570,3169,3621,6792,3698,4016,7718,1716,2422,4142,2060,2435,4493,2466,2968,5432,1205,2414,3615,1471,2780,4253,1773,2895,4669,86906,89286,176197,89259,92299,181559,91262,94298,185560
111,4116,6135,6954,13086,7689,8436,16125,9383,10504,19889,1109,1348,2460,1246,1314,2564,1663,1777,3436,993,1174,2170,1114,1319,2433,1543,1769,3308,1002,1154,2157,1061,1319,2376,1483,1659,3144,895,1176,2077,1023,1256,2282,1176,1507,2688,869,1120,1991,999,1203,2205,1201,1331,2532,4878,5973,10855,5445,6410,11856,7063,8048,15112,3835,5517,9349,3808,5113,8920,4478,5728,10206,3039,5689,8728,3522,6408,9924,3991,6888,10881,167924,174677,342601,176033,183073,359104,191024,199494,390519
112,3242,4716,5137,9854,6126,6409,12536,8217,8232,16454,845,931,1774,974,1071,2046,1232,1228,2460,788,1018,1803,958,1069,2031,1252,1315,2573,728,904,1629,862,1026,1891,1059,1244,2306,742,859,1598,869,920,1789,1003,1069,2070,728,840,1569,817,947,1768,948,1024,1974,3826,4553,8378,4477,5033,9513,5498,5888,11383,3106,3927,7037,3107,3936,7041,3508,4322,7835,2401,4107,6510,3064,4977,8042,3212,5124,8337,110590,117023,227615,116257,123343,239599,124435,132624,257061
113,1606,2823,2905,5728,3186,3376,6566,3890,4052,7947,463,506,966,572,615,1179,623,611,1230,456,492,956,544,588,1128,597,664,1265,406,484,892,488,577,1060,570,623,1192,366,456,823,468,538,1008,495,548,1038,390,440,827,452,492,943,505,553,1060,2080,2385,4465,2517,2798,5316,2791,3001,5791,1527,1987,3512,1660,2088,3741,1979,2326,4305,1034,2095,3126,1425,2530,3950,1594,2660,4250,74868,75250,150120,77730,78208,155932,81361,82302,163656
114,2590,3829,3869,7701,4820,5065,9891,6010,6373,12386,658,718,1371,821,824,1636,1018,1026,2043,602,625,1227,787,777,1565,998,1005,2004,559,559,1116,680,742,1419,916,990,1905,526,560,1087,667,697,1360,798,846,1647,489,585,1074,611,645,1254,706,769,1478,2843,3045,5885,3562,3679,7239,4445,4634,9078,2041,2387,4428,2237,2596,4829,2832,3093,5916,1397,2333,3737,1836,2743,4583,2168,3093,5266,66880,70128,137003,72085,75277,147359,78909,82094,161006
115,2249,2996,2925,5920,4201,4286,8486,5479,5867,11343,477,453,930,596,657,1257,908,951,1858,396,457,853,586,593,1176,816,931,1746,362,405,763,475,537,1014,887,862,1753,326,344,664,512,547,1061,666,730,1389,303,341,646,451,491,944,664,678,1344,1860,1995,3853,2628,2820,5446,3946,4140,8084,1331,1742,3065,1620,1896,3515,2335,2707,5046,1050,2140,3192,1459,2543,4003,2000,3020,5023,104017,106395,210413,112396,115347,227741,130838,133529,264371
116,2361,3184,3451,6633,4178,4460,8638,5792,6563,12352,539,612,1150,677,739,1413,924,979,1901,429,554,987,533,621,1152,772,909,1679,409,530,939,573,620,1190,760,794,1554,376,525,900,473,605,1082,631,691,1321,386,507,889,472,541,1011,558,664,1221,2135,2731,4868,2726,3127,5852,3636,4048,7681,1434,2021,3452,1629,2251,3885,2202,2651,4861,861,1932,2791,1260,2315,3575,1569,2770,4339,150740,152786,303525,168936,170703,339638,200107,200894,400997
117,1686,3023,3028,6052,3490,3588,7079,4706,4521,9222,505,526,1032,588,620,1206,745,790,1532,502,494,996,517,549,1070,688,699,1389,459,466,928,503,581,1088,597,656,1250,452,505,960,470,502,964,548,578,1133,368,406,775,428,525,945,503,501,1010,2287,2399,4685,2506,2771,5271,3087,3230,6315,1560,1867,3425,1759,2016,3776,2052,2354,4404,960,1828,2785,1320,2109,3428,1566,2297,3864,136854,127690,264542,161062,154483,315551,170509,160839,331340
118,2229,3397,3921,7325,4116,4679,8797,4879,5668,10540,572,660,1233,658,796,1458,870,1005,1875,521,657,1179,657,770,1428,775,971,1747,541,619,1160,605,726,1329,726,872,1602,499,645,1152,577,747,1327,660,766,1426,470,572,1043,524,656,1179,633,752,1388,2602,3163,5767,3026,3696,6724,3667,4372,8037,2179,3099,5279,2157,2836,4995,2544,3263,5806,1954,3780,5734,2303,4038,6344,2553,3986,6538,121605,127943,249544,129507,137529,267031,126084,135328,261410
119,4472,7944,8794,16741,9062,9515,18577,11295,11969,23268,1485,1680,3162,1505,1685,3191,1888,2107,3991,1400,1585,2985,1511,1714,3224,1802,1892,3694,1353,1540,2895,1401,1711,3109,1727,1824,3551,1227,1482,2709,1271,1587,2852,1534,1639,3176,1142,1404,2546,1310,1541,2850,1379,1580,2962,6605,7693,14298,7000,8233,15229,8324,9039,17365,5149,6750,11900,5356,6648,12012,5940,7305,13251,3992,7462,11456,5107,8308,13413,5962,8839,14802,258323,265290,523610,282752,288666,571417,301606,303505,605118
120,2231,3529,4082,7610,4174,4744,8914,5384,6261,11644,651,759,1409,692,765,1452,864,1051,1913,592,746,1337,689,824,1511,857,1022,1878,602,704,1303,609,736,1346,749,847,1596,576,648,1232,603,727,1325,677,776,1451,531,640,1170,547,742,1291,651,768,1422,2957,3498,6449,3138,3786,6928,3798,4468,8267,2311,3026,5335,2409,3103,5516,2710,3435,6144,1700,3502,5199,2254,3894,6153,2701,4294,7002,127947,135613,263561,142432,150861,293303,148502,156267,304771
