SA4_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
101,103,66,10,37,215,229,69,59,4,358,484,34,570,1444,75,59,19,5,154,172,17,189,531,28813,24360,8990,728,62892,25903,2284,7640,98716
102,72,60,12,13,162,191,53,103,8,353,577,50,219,1200,54,36,25,0,117,154,5,35,313,35678,37474,17619,1225,92003,35866,3845,6463,138174
103,224,109,16,60,407,141,113,39,8,303,303,22,367,993,63,69,20,6,160,124,10,80,371,22971,21393,9187,791,54344,23550,2146,6332,86372
104,118,54,10,27,207,335,83,51,18,480,643,37,966,2129,58,33,29,0,118,109,7,106,340,17418,13234,6998,547,38194,15746,1943,4561,60448
105,59,37,4,28,128,110,46,26,3,187,251,19,621,1075,80,83,31,3,199,206,17,214,635,11358,10389,5369,515,27631,12882,1193,5822,47524
106,67,69,9,23,166,227,39,75,16,359,571,51,307,1282,65,46,18,5,134,127,13,59,333,31474,32098,13773,987,78334,26243,2612,5361,112548
107,189,160,31,29,407,203,76,72,21,374,505,48,170,1096,38,44,25,0,103,97,9,36,248,31709,36365,13998,1202,83273,29162,4347,4630,121418
108,103,106,10,32,253,341,59,79,7,492,778,53,844,2167,77,35,18,4,136,168,14,121,441,30546,19190,10786,856,61375,27569,2714,6583,98245
109,47,20,4,17,85,96,23,14,0,131,156,8,282,574,62,26,9,0,102,96,12,88,295,14523,11961,4905,407,31800,14523,1362,3897,51583
110,63,48,4,32,142,102,37,21,3,166,288,27,613,1096,70,37,16,3,127,153,19,127,432,20221,17056,8135,781,46201,20576,2114,7248,76139
111,122,146,42,29,339,133,39,59,7,241,362,56,174,830,57,26,17,0,104,145,13,37,292,41154,42200,17856,1681,102887,40325,6640,5618,155470
112,107,91,19,35,250,459,81,118,17,667,1247,70,1335,3322,60,39,36,5,139,193,18,130,484,28694,23968,12120,932,65722,28401,4357,8522,107001
113,110,90,25,37,266,91,52,21,0,164,197,32,317,716,58,57,10,3,128,91,8,77,305,16951,16885,6652,603,41094,16705,1772,4449,64024
114,59,41,10,11,117,289,50,38,11,378,587,29,285,1272,57,23,4,0,96,190,8,50,339,21388,15196,6651,538,43771,17421,1599,4329,67117
115,22,5,0,6,36,32,29,10,3,76,100,5,104,281,42,50,11,0,105,65,3,11,188,20511,42456,7211,543,70724,11011,1127,1983,84846
116,61,15,4,4,85,18,39,10,0,69,24,4,8,108,46,87,12,0,152,59,5,21,237,23639,58130,16451,1745,99966,19485,3277,6253,128982
117,517,509,253,120,1393,267,131,83,32,522,509,251,191,1468,111,50,18,8,185,331,43,122,679,42077,22910,8731,2252,75973,52977,15664,9242,153861
118,518,444,136,100,1201,294,142,71,13,518,444,136,115,1212,33,26,6,0,74,91,18,37,220,27123,27740,8308,1189,64362,30608,8049,5077,108087
119,571,373,102,158,1199,208,221,120,41,584,420,105,176,1283,76,83,39,10,201,164,51,59,482,44773,74979,25207,3419,148377,44076,8398,10536,211385
120,557,394,152,85,1186,270,169,94,20,563,394,154,97,1209,69,27,11,7,111,139,26,49,329,31340,35067,10446,1897,78753,30594,7442,4627,121417
121,236,133,31,36,435,122,81,38,7,254,141,31,53,477,50,37,17,0,102,113,11,30,255,42264,57797,13510,1542,115116,39932,4799,4725,164571
122,185,97,30,24,336,99,62,42,11,217,140,30,70,459,40,41,14,3,99,73,12,14,191,25487,35799,8329,711,70330,21056,2990,2994,97369
123,19,32,5,5,61,27,9,6,5,50,124,5,39,214,28,23,12,0,66,76,6,9,155,21669,39978,13658,1079,76388,17573,1953,4008,99918
124,60,42,8,17,131,42,19,35,4,97,132,14,33,277,43,33,11,0,85,114,12,23,234,28787,40677,15859,1235,86557,27473,3012,5362,122411
125,256,116,57,53,479,67,142,42,7,266,115,57,74,518,105,94,47,5,249,198,41,58,546,35327,62312,17887,2800,118322,34907,8538,9592,171363
126,73,52,12,7,141,35,27,9,7,75,51,12,13,157,25,22,10,0,52,72,20,17,164,19048,27119,6391,999,53564,17593,2884,2442,76484
127,52,39,7,20,113,34,30,20,3,92,158,6,62,317,78,149,56,11,289,112,14,49,463,25905,63837,22384,2199,114328,23068,2794,7240,147434
128,103,50,22,20,195,61,37,32,4,132,127,30,48,332,23,20,6,5,53,56,4,14,123,22340,31652,8183,654,62825,18494,1774,2254,85350
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
