SA4_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
121,10228,19352,448,657,1105,10997,13098,24095,1610,3285,4894,2235,2693,4929,316,704,1015,4161,6682,10839,6499,9031,15527,190817,203335,394155,6864,7504,14365,204180,219870,424045
122,7013,13219,351,461,809,7561,8941,16501,1053,2194,3247,1462,1865,3328,231,434,668,2746,4493,7243,4398,5756,10154,119791,123912,243699,4740,4959,9696,128929,134627,263554
123,3874,7695,419,504,923,5418,6093,11516,570,1258,1822,573,712,1288,161,403,568,1304,2373,3676,8361,9001,17359,130012,134015,264026,7796,8110,15904,146169,151126,297292
124,5804,11068,468,597,1067,7052,8301,15357,719,1676,2390,911,1142,2054,230,553,786,1860,3371,5235,9187,9772,18960,144551,149827,294374,9462,9259,18727,163200,168858,332056
125,5944,12004,628,745,1373,8948,10058,19004,1470,2642,4108,1291,1408,2701,431,630,1054,3192,4680,7867,11971,14271,26236,220179,211394,431572,19430,16276,35702,251580,241941,493515
126,3721,7076,250,306,557,4392,5373,9771,833,1524,2354,901,1148,2046,225,508,724,1959,3180,5131,3714,5074,8794,90599,94325,184923,4065,4258,8322,98378,103657,202038
127,5012,10168,745,775,1517,8738,9743,18477,1487,2722,4212,923,922,1844,454,685,1136,2864,4329,7189,16167,18879,35044,203790,206008,409799,14974,14610,29593,234931,239497,474430
128,5720,10864,307,430,738,6318,7520,13841,963,1830,2794,1235,1549,2780,251,606,862,2449,3985,6432,4631,5717,10348,103555,107370,210923,4067,4264,8336,112253,117351,229604
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,76,192,35,20,53,170,108,277,8,15,15,10,5,14,6,8,14,24,28,49,300,232,537,3791,3220,7010,2285,1546,3831,6376,4998,11371
