SA4_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
101,1283,489,1440,1930,264,194,454,4887,4960,9843,1997,1312,3314,90,55,146,309,317,627,486,1509,1990,141,100,240,3025,3294,6317,1288,592,1882,40,24,66,178,183,366,737,2540,3279,82,96,181,2332,3448,5776,47685,47193,94874,3297,3492,6789,9358,10783,20141,2809,8850,11665,34577,29517,64095,97725,99836,197558
102,2474,734,2320,3056,380,325,711,7100,8139,15241,3108,2112,5221,122,81,201,527,780,1308,798,2551,3350,191,195,380,4747,5712,10463,2100,1104,3200,63,37,97,250,577,830,1345,4709,6046,175,196,369,3929,6619,10545,63243,63441,126684,5083,6180,11261,12709,19096,31805,4353,14409,18759,50403,45333,95737,135785,148463,284248
103,1167,459,1360,1826,281,194,474,4298,4390,8689,1686,1145,2832,81,49,126,271,305,582,477,1492,1968,155,129,287,2676,3122,5794,1078,601,1679,37,29,61,124,174,299,750,2489,3233,97,133,232,2090,3417,5504,39507,39208,78712,3050,3340,6392,7583,8809,16391,2784,8252,11032,31983,27078,59063,84902,86692,171594
104,1011,253,990,1249,184,104,284,3331,3546,6880,1401,959,2353,47,36,78,244,308,557,330,1127,1451,111,70,172,2128,2491,4615,972,517,1483,32,18,47,134,172,302,561,1948,2507,65,67,128,1758,2718,4473,27182,27004,54179,2229,2609,4838,6289,7923,14212,1871,6302,8166,21268,18630,39896,58824,62467,121293
105,558,254,758,1004,146,94,236,2126,2263,4389,871,603,1475,41,27,65,151,143,294,257,883,1134,87,57,147,1398,1708,3109,560,280,842,24,13,33,65,91,152,406,1345,1747,56,40,91,1104,1761,2866,19919,19668,39588,1755,1864,3614,3924,4393,8316,1582,4696,6276,18410,16463,34874,45590,47084,92669
106,1383,552,1607,2150,213,168,383,5447,5585,11036,2144,1412,3563,71,32,106,300,340,640,500,1652,2147,126,106,238,3152,3539,6689,1279,668,1944,31,28,56,130,217,346,738,2655,3393,79,101,181,2259,3668,5922,54586,54498,109081,4192,4730,8925,10313,12829,23144,3129,9796,12930,43663,37293,80961,115891,119155,235041
107,1452,587,1757,2344,270,175,444,5416,6035,11454,2558,1770,4328,84,57,138,306,443,748,605,2217,2827,150,98,249,3716,4578,8290,1780,912,2693,41,28,71,158,274,433,1109,3725,4833,93,94,193,3187,5039,8227,59189,59505,118697,3577,4379,7957,9615,13679,23296,3566,11517,15080,49175,43519,92692,125125,132598,257723
108,2011,631,1961,2590,326,232,556,6755,7009,13767,2741,1926,4670,117,68,185,485,460,949,663,2081,2743,156,103,254,4156,4641,8803,1871,982,2853,53,25,84,249,330,578,1113,3684,4795,110,117,227,3396,5138,8536,44489,44429,88910,3724,4087,7811,10555,12855,23405,3731,11581,15315,30615,27148,57760,93102,100094,193195
109,675,269,822,1090,143,87,234,2685,2795,5481,1110,820,1927,37,38,78,164,179,342,312,1003,1317,80,58,131,1711,2093,3800,772,370,1142,28,15,37,78,90,173,448,1496,1941,61,65,124,1382,2032,3413,23984,24050,48034,1847,1961,3808,4429,5474,9905,1670,5066,6737,17506,15264,32774,49443,51818,101262
110,910,396,1268,1668,223,133,359,3698,4016,7718,1615,1147,2768,72,29,99,195,252,448,446,1430,1884,130,99,235,2466,2968,5432,999,468,1468,38,12,48,101,131,230,562,2167,2722,82,120,194,1773,2895,4669,33783,33677,67463,2689,2923,5612,6270,7403,13672,2310,7527,9836,27923,25554,53479,72974,77085,150057
111,2136,697,2310,3001,337,267,605,7063,8048,15112,3001,2199,5200,103,61,167,426,647,1078,765,2631,3403,174,185,359,4478,5728,10206,2181,1167,3347,52,47,94,246,447,694,1393,5026,6420,116,206,318,3991,6888,10881,70519,70769,141280,4757,5629,10385,13055,18649,31706,4441,14922,19360,63485,56679,120160,156252,166643,322898
112,1897,518,1618,2131,305,217,524,5498,5888,11383,2314,1666,3982,87,45,133,442,546,991,501,1914,2422,163,151,313,3508,4322,7835,1766,981,2747,56,40,96,222,378,603,1031,3581,4616,138,147,284,3212,5124,8337,45260,45508,90768,3492,4128,7621,11063,14897,25962,3211,10680,13892,39384,36610,75997,102417,111823,214236
113,606,287,966,1248,172,93,266,2791,3001,5791,1363,937,2302,33,31,70,168,148,315,316,1139,1456,93,74,165,1979,2326,4305,892,448,1345,24,13,41,67,113,180,530,2027,2556,80,51,133,1594,2660,4250,31298,30629,61923,2202,2419,4625,4734,5684,10419,1824,6326,8155,25004,21544,46542,65059,66604,131660
114,1176,393,1229,1624,204,176,382,4445,4634,9078,1948,1342,3292,79,40,128,256,319,574,433,1279,1711,111,109,215,2832,3093,5916,1257,587,1839,32,20,58,131,220,350,667,2181,2854,77,92,170,2168,3093,5266,33328,33023,66348,2221,2437,4658,6299,8297,14598,2342,7101,9443,21365,18495,39859,65553,69352,134907
115,688,310,1110,1420,109,121,230,3946,4140,8084,1811,1174,2988,41,33,76,119,189,309,309,1243,1553,48,67,122,2335,2707,5046,1204,613,1818,27,20,46,77,144,228,643,2168,2812,50,74,121,2000,3020,5023,62813,63466,126279,1932,2401,4338,4644,7369,12013,1888,6965,8856,31589,27331,58916,102863,107538,210397
116,905,401,1549,1952,126,116,242,3636,4048,7681,1463,834,2298,74,42,119,192,274,463,410,1436,1844,66,64,134,2202,2651,4861,833,369,1208,30,20,52,94,196,286,559,2118,2679,54,65,118,1569,2770,4339,81854,81361,163213,4398,5476,9873,7772,11675,19442,2603,10203,12807,56756,47827,104584,153377,156538,309913
117,1197,218,887,1108,602,323,926,3087,3230,6315,1144,728,1875,75,48,120,270,320,592,252,1078,1327,317,173,489,2052,2354,4404,853,374,1227,34,27,59,117,237,353,370,1499,1866,200,157,353,1566,2297,3864,43790,42108,85895,3396,3550,6948,10064,12343,22404,1558,5903,7462,94764,81047,175818,153568,144949,298518
118,1225,240,1126,1364,444,394,833,3667,4372,8037,1638,1113,2754,65,47,115,257,452,710,306,1385,1694,265,271,534,2544,3263,5806,1443,605,2046,33,32,68,173,316,485,684,2716,3397,223,317,539,2553,3986,6538,43331,43089,86418,2164,2689,4851,6863,10260,17120,1793,7347,9139,51566,52302,103866,105703,115684,221391
119,1872,710,2926,3635,566,425,993,8324,9039,17365,4206,2716,6924,168,109,276,464,559,1029,811,3663,4469,292,259,552,5940,7305,13251,3650,1657,5308,90,64,153,296,467,755,1704,6392,8097,225,257,481,5962,8839,14802,123998,122446,246451,7471,9150,16621,16274,23837,40107,4844,20189,25030,92758,75358,168122,245348,250979,496332
120,1072,253,1265,1524,406,422,828,3798,4468,8267,1867,1219,3094,71,54,123,211,331,548,306,1599,1905,249,233,478,2710,3435,6144,1635,743,2379,47,39,89,110,265,371,722,2976,3699,184,281,474,2701,4294,7002,58510,58690,117199,2847,3641,6480,7918,12015,19934,2005,8648,10650,54022,50686,104716,125306,133677,258984
121,1717,415,1865,2284,382,458,840,6604,7660,14267,3276,2256,5538,68,59,125,313,661,975,505,2137,2645,235,318,556,4395,5437,9835,2602,1345,3948,55,50,100,191,463,659,1148,4408,5553,166,413,585,4163,6679,10839,92197,93876,186079,3301,4215,7510,9212,16173,25385,2972,12091,15063,57304,56510,113815,164993,182860,347853
122,1352,325,1355,1679,224,205,432,4427,5297,9722,2288,1509,3794,73,55,124,255,459,714,392,1516,1909,124,106,231,3129,3644,6773,1636,821,2456,23,23,45,170,347,517,840,3155,3992,77,147,225,2746,4499,7243,54442,54599,109044,2265,2680,4942,7203,10897,18098,2253,8365,10617,37701,34423,72124,103861,110961,214822
123,915,367,1189,1555,153,114,261,3398,3704,7098,1372,834,2205,64,32,91,161,274,440,364,1192,1548,65,59,123,2020,2399,4415,717,365,1084,33,25,61,88,160,249,407,1743,2153,56,70,131,1305,2372,3676,57051,57420,114473,3776,4843,8620,7076,10885,17962,2187,7743,9931,42163,37805,79962,112256,118690,230946
124,1432,473,1559,2028,244,206,449,4451,5015,9465,1698,1099,2806,78,63,137,251,446,696,433,1543,1981,130,138,268,2596,3293,5888,1038,506,1541,50,28,76,144,309,453,550,2386,2934,84,145,233,1858,3370,5235,60885,61034,121922,4309,5252,9564,9723,14770,24495,2690,9585,12276,51227,45784,97009,128840,136424,265262
125,1097,430,1943,2369,319,246,561,5371,5735,11106,2503,1634,4138,101,65,167,274,381,651,510,2079,2583,188,163,356,3573,4322,7895,1833,807,2639,40,37,81,185,259,448,1035,3411,4443,103,162,266,3190,4676,7867,105192,101641,206832,5557,6730,12289,11925,16755,28681,3153,12918,16070,77294,57858,135151,203119,195903,399020
126,594,168,789,957,161,198,364,2556,2910,5463,1349,967,2308,52,37,89,121,233,353,223,1088,1313,97,140,239,1839,2466,4302,1174,593,1769,37,18,60,84,185,265,568,2186,2750,90,196,287,1960,3173,5131,44123,44618,88738,1578,1966,3546,4114,6822,10930,1378,5957,7334,29575,27485,57063,80762,86849,167614
127,976,489,2144,2630,208,174,384,5304,5589,10888,2449,1355,3806,122,72,194,226,260,486,527,2342,2877,105,117,225,3429,4154,7589,1709,699,2409,62,34,102,120,199,316,888,3278,4167,82,110,195,2865,4325,7189,92620,92738,185353,6313,7948,14265,12107,17297,29404,3353,14756,18111,69482,58825,128311,183872,191563,375436
128,1022,298,1203,1500,138,100,239,3845,4458,8305,1789,1306,3096,45,30,74,187,311,495,369,1342,1709,89,70,154,2473,3061,5533,1448,802,2251,43,13,54,114,252,362,785,2809,3593,67,107,176,2445,3988,6432,48641,48948,97586,2133,2532,4662,5876,9255,15131,2132,7636,9766,31541,28506,60049,90325,96867,187196
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,54,13,6,17,9,7,17,120,66,191,28,10,41,0,0,0,15,8,25,6,16,17,3,3,9,48,39,86,6,0,10,0,0,0,4,5,3,9,23,31,0,3,6,19,32,49,1134,982,2118,554,309,863,790,647,1431,89,141,230,3174,2300,5471,5734,4381,10112
