SA4_CODE_2021,C21_15_19_NonInd_F,C21_15_19_NonInd_P,C21_15_19_Ind_st_ns_M,C21_15_19_Ind_st_ns_F,C21_15_19_Ind_st_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Indigen_M,C21_20_24_Indigen_F,C21_20_24_Indigen_P,C21_20_24_NonInd_M,C21_20_24_NonInd_F,C21_20_24_NonInd_P,C21_20_24_Ind_st_ns_M,C21_20_24_Ind_st_ns_F,C21_20_24_Ind_st_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Indigen_M,C21_25_29_Indigen_F,C21_25_29_Indigen_P,C21_25_29_NonInd_M,C21_25_29_NonInd_F,C21_25_29_NonInd_P,C21_25_29_Ind_st_ns_M,C21_25_29_Ind_st_ns_F,C21_25_29_Ind_st_ns_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Indigen_M,C21_30_34_Indigen_F,C21_30_34_Indigen_P,C21_30_34_NonInd_M,C21_30_34_NonInd_F,C21_30_34_NonInd_P,C21_30_34_Ind_st_ns_M,C21_30_34_Ind_st_ns_F,C21_30_34_Ind_st_ns_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Indigen_M,C21_35_39_Indigen_F,C21_35_39_Indigen_P,C21_35_39_NonInd_M,C21_35_39_NonInd_F,C21_35_39_NonInd_P,C21_35_39_Ind_st_ns_M,C21_35_39_Ind_st_ns_F,C21_35_39_Ind_st_ns_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Indigen_M,C21_40_44_Indigen_F,C21_40_44_Indigen_P,C21_40_44_NonInd_M,C21_40_44_NonInd_F,C21_40_44_NonInd_P,C21_40_44_Ind_st_ns_M,C21_40_44_Ind_st_ns_F,C21_40_44_Ind_st_ns_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Indigen_M,C21_45_49_Indigen_F,C21_45_49_Indigen_P,C21_45_49_NonInd_M,C21_45_49_NonInd_F,C21_45_49_NonInd_P,C21_45_49_Ind_st_ns_M,C21_45_49_Ind_st_ns_F,C21_45_49_Ind_st_ns_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Indigen_M,C21_50_54_Indigen_F,C21_50_54_Indigen_P,C21_50_54_NonInd_M,C21_50_54_NonInd_F,C21_50_54_NonInd_P,C21_50_54_Ind_st_ns_M,C21_50_54_Ind_st_ns_F,C21_50_54_Ind_st_ns_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Indigen_M,C21_55_59_Indigen_F,C21_55_59_Indigen_P,C21_55_59_NonInd_M,C21_55_59_NonInd_F,C21_55_59_NonInd_P,C21_55_59_Ind_st_ns_M,C21_55_59_Ind_st_ns_F,C21_55_59_Ind_st_ns_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Indigen_M,C21_60_64_Indigen_F,C21_60_64_Indigen_P,C21_60_64_NonInd_M,C21_60_64_NonInd_F,C21_60_64_NonInd_P,C21_60_64_Ind_st_ns_M,C21_60_64_Ind_st_ns_F,C21_60_64_Ind_st_ns_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_over_Indigen_M,C21_65_over_Indigen_F,C21_65_over_Indigen_P,C21_65over_NonInd_M,C21_65over_NonInd_F,C21_65over_NonInd_P,C21_65over_Indig_st_ns_M,C21_65over_Indig_st_ns_F,C21_65over_Indig_st_ns_P,C21_65_over_Tot_M,C21_65_over_Tot_F,C21_65_over_Tot_P,C21_Tot_Indig_M,C21_Tot_Indig_F,C21_Tot_Indig_P,C21_Tot_NonInd_M,C21_Tot_NonInd_F,C21_Tot_NonInd_P,C21_Tot_Indig_st_ns_M,C21_Tot_Indig_st_ns_F,C21_Tot_Indig_st_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
121,11409,23621,262,253,509,12543,11740,24286,71,84,159,11014,10571,21588,288,266,559,11377,10928,22306,99,63,158,11124,11855,22979,366,373,738,11590,12293,23884,52,63,115,12822,14611,27430,445,469,916,13314,15144,28460,56,46,107,15235,17239,32478,473,481,953,15764,17776,33541,45,44,89,15161,16887,32048,396,389,786,15601,17322,32925,71,57,127,14506,16068,30574,347,371,721,14923,16501,31422,44,43,89,13413,15044,28455,315,322,637,13773,15411,29178,35,39,77,12110,13039,25152,283,290,575,12434,13364,25799,36,20,58,10513,11609,22118,275,259,535,10822,11891,22710,57,65,124,31696,38886,70578,1086,1550,2636,32840,40501,73338,830,768,1600,197962,213281,411241,5389,5821,11204,204179,219868,424045
122,7536,15680,215,193,410,8455,7811,16263,83,66,149,6904,6315,13222,193,183,371,7175,6568,13740,56,58,114,6282,6412,12692,203,265,468,6548,6729,13280,56,57,110,7159,7808,14968,274,258,525,7483,8120,15599,48,43,94,7704,8758,16463,263,260,528,8021,9060,17078,40,41,84,8643,9179,17813,280,249,524,8954,9462,18426,61,63,116,9648,10229,19870,263,264,527,9969,10551,20517,59,46,106,9087,9787,18876,259,246,507,9403,10080,19492,53,41,87,8396,8600,16989,234,198,428,8672,8835,17513,43,34,71,7119,7355,14475,207,212,420,7372,7603,14968,78,59,136,20960,25122,46084,773,964,1738,21816,26144,47957,917,791,1706,124238,129964,254201,3774,3874,7647,128929,134623,263554
123,8362,17160,445,407,846,9924,9383,19300,532,551,1086,8593,8102,16692,405,372,775,9528,9020,18548,396,485,880,8561,9119,17679,425,457,884,9384,10062,19446,314,382,697,9437,10658,20100,472,494,964,10225,11535,21760,257,373,632,10373,11113,21486,492,522,1017,11129,12007,23133,264,347,611,9372,9327,18693,441,414,857,10074,10089,20159,236,315,557,8933,9105,18037,430,388,815,9605,9798,19409,231,253,482,7955,8206,16162,341,300,641,8521,8759,17284,176,212,386,7493,8192,15687,318,310,623,7987,8713,16700,157,209,368,7064,7640,14705,238,235,468,7455,8086,15545,243,326,571,17453,20013,37473,728,886,1611,18426,21232,39654,5806,6202,12008,134164,138641,272804,6206,6278,12480,146172,151122,297292
124,8785,17988,488,412,901,10537,9883,20422,751,730,1479,9313,8767,18085,533,490,1020,10590,9985,20581,591,671,1260,9765,10004,19771,570,589,1165,10927,11272,22192,493,554,1046,10288,11145,21427,555,578,1140,11337,12277,23607,395,444,837,10665,11255,21914,533,567,1099,11589,12259,23849,336,382,714,9995,10198,20195,514,475,991,10844,11059,21896,358,421,787,9855,10110,19966,461,444,906,10669,10976,21646,291,363,657,9307,9868,19175,425,406,831,10023,10632,20661,241,295,533,8867,9410,18274,399,351,753,9504,10057,19564,219,207,427,8566,9589,18155,317,293,612,9103,10094,19198,328,421,752,22270,25909,48179,1109,1604,2715,23710,27932,51650,7558,7701,15262,148178,153402,301577,7456,7763,15217,163198,168862,332056
125,11303,23527,697,651,1352,13071,12104,25171,182,179,356,17954,15607,33565,1192,932,2124,19333,16711,36044,197,161,364,22153,19710,41864,1533,1303,2838,23891,21179,45070,155,139,297,22513,21731,44246,1474,1277,2749,24150,23142,47294,129,132,261,22006,20221,42229,1398,1229,2626,23530,21583,45111,115,102,220,17241,15280,32516,1084,909,1991,18441,16281,34730,130,110,245,13692,13456,27150,826,698,1520,14650,14268,28914,103,91,200,12460,12713,25181,744,588,1334,13310,13395,26709,90,91,176,11888,12331,24218,634,571,1210,12613,12998,25605,62,71,128,10668,11100,21770,552,533,1086,11289,11701,22991,135,135,271,27258,30652,57911,1456,1748,3206,28847,32540,61387,1915,1829,3742,235307,227121,462434,14360,12982,27336,251582,241931,493515
126,4836,9990,125,111,236,5321,5009,10329,48,47,89,6380,6075,12450,202,209,409,6629,6330,12954,41,42,79,7001,7316,14320,293,285,580,7335,7640,14979,33,34,68,8112,8621,16733,279,305,581,8426,8959,17385,25,24,48,8109,8562,16671,289,289,574,8421,8875,17292,24,25,46,6967,7256,14224,218,198,419,7214,7477,14690,22,27,47,6144,6433,12576,152,152,303,6321,6607,12926,18,18,36,5529,6133,11660,157,137,297,5705,6288,11992,25,13,39,5588,6006,11589,162,134,299,5770,6161,11931,9,20,23,4931,5595,10522,123,135,258,5056,5743,10803,30,26,57,14124,17177,31299,416,572,990,14572,17772,32344,428,424,860,95043,100265,195307,2905,2971,5875,98378,103659,202038
127,14522,29940,842,721,1558,16584,15533,32117,266,286,550,15616,14990,30604,827,703,1530,16709,15974,32683,251,312,560,15668,15712,31378,871,868,1743,16783,16888,33673,186,214,399,15366,16859,32223,839,873,1708,16386,17944,34332,150,206,356,15697,16659,32360,900,887,1791,16748,17755,34505,135,169,304,14096,14950,29051,804,803,1607,15034,15929,30961,116,163,273,13816,14780,28592,740,673,1416,14667,15617,30284,119,154,271,13581,14198,27778,592,594,1181,14290,14940,29229,107,144,248,13601,13477,27077,709,552,1259,14411,14171,28581,89,120,208,12139,12771,24906,509,510,1022,12739,13403,26140,169,206,372,27722,31450,59175,1624,1744,3372,29515,33402,62922,3071,3328,6396,219934,224789,444716,11934,11388,23323,234934,239498,474430
128,6465,13351,152,124,279,7231,6769,14006,137,136,272,6316,6014,12330,175,140,312,6626,6287,12920,112,122,233,6001,5962,11967,205,180,385,6322,6264,12586,101,99,203,6230,6860,13092,231,237,468,6562,7197,13762,92,94,183,6918,7640,14564,233,222,456,7241,7959,15200,77,100,180,7109,7611,14717,212,189,399,7397,7896,15294,99,92,193,7668,8186,15854,204,201,412,7973,8479,16453,103,80,179,7121,7668,14790,210,171,384,7435,7927,15359,70,67,140,6839,7250,14085,194,140,333,7103,7459,14561,56,54,112,6521,6983,13507,149,144,293,6730,7180,13908,115,112,226,18987,22502,41486,600,840,1437,19703,23454,43154,1677,1586,3258,107448,112702,220154,3128,3067,6197,112258,117352,229604
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,183,334,57,51,106,253,279,532,56,56,116,296,314,612,56,43,101,411,418,829,67,67,129,436,400,832,87,68,152,586,533,1118,67,50,121,448,387,829,62,58,123,574,495,1068,66,51,117,424,288,710,67,54,125,562,392,954,55,43,97,422,266,689,66,53,111,542,357,902,65,40,99,411,237,648,72,60,125,540,332,877,50,21,66,348,275,627,77,33,107,473,333,801,37,14,46,378,289,662,74,61,129,480,359,844,25,10,32,369,295,664,73,37,114,470,339,808,28,23,49,704,449,1153,106,66,176,842,535,1373,712,527,1236,4689,3676,8364,980,800,1771,6375,4997,11371
