SA4_CODE_2021,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6mor,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6mor,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6mor,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6mor,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6mor,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6mor,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6mor,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6mor,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6mor,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6mor,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6mor,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6mor,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6mor,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6mor,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85over_N_c_b_0,C11_AP_85over_N_c_b_1,C11_AP_85over_N_c_b_2,C11_AP_85over_N_c_b_3,C11_AP_85over_N_c_b_4,C11_AP_85over_N_c_b_5,C11_AP_85over_N_c_b_6mor,C11_AP_85over_N_c_b_NS,C11_AP_85over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_Tot_Tot,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6mor,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6mor,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6mor,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6mor,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6mor,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6mor,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1
101,5591,122,17,4,0,0,0,590,6326,3392,622,248,72,15,4,0,289,4644,2403,971,814,302,107,22,19,274,4917,1443,1076,1546,742,243,64,51,288,5456,1040,893,2290,1308,439,144,92,305,6517,1090,908,2743,1612,613,166,111,334,7572,1109,905,2628,1697,658,181,122,311,7612,1134,844,2664,1826,768,208,119,343,7912,1022,735,2627,1758,756,212,101,331,7543,820,617,2599,1790,781,229,114,342,7295,563,428,1864,1499,752,247,146,303,5797,357,251,1131,1152,675,297,240,265,4375,300,225,669,806,557,268,249,258,3331,223,205,547,592,432,189,250,278,2726,244,245,634,546,355,189,174,415,2808,20734,9042,23025,15705,7156,2431,1783,4940,84816,5204,83,10,0,0,0,3,857,6167,3678,541,252,55,10,0,6,477,5021,2676,1073,786,305,84,27,5,475,5425,1643,1167,1531,718,233,76,37,459,5870,993,855,1942,1144,411,125,86,407,5968,964,882,2386,1491,489,165,119,460,6948,1202,910
102,9109,160,22,0,0,0,0,869,10161,6512,979,367,100,14,3,5,471,8444,4163,1664,1340,464,123,23,12,368,8166,2111,1793,2561,1206,359,98,54,366,8547,1475,1471,3829,1982,678,204,104,408,10151,1285,1423,4146,2413,841,231,152,473,10971,1260,1332,4164,2553,928,264,124,437,11049,1228,1269,4128,2715,975,261,118,516,11209,1107,1029,3826,2430,876,227,105,418,10023,997,986,3766,2523,848,231,113,455,9923,836,768,2984,2219,941,280,119,477,8626,615,570,2069,1861,950,320,243,465,7109,583,493,1517,1462,890,365,296,479,6092,520,498,1408,1168,689,323,295,604,5504,589,673,1496,1001,554,232,234,1023,5807,32399,15101,37626,24086,9682,3075,1985,7829,131777,8686,94,23,12,0,0,0,991,9809,6904,835,351,59,14,5,6,733,8911,4703,1664,1289,401,91,16,10,538,8700,2552,2030,2663,1138,320,92,49,492,9332,1396,1446,3492,1830,605,177,93,490,9528,1333,1413,4066,2242,810,251,131,566,10813,1360,1461
103,5780,154,33,5,4,0,3,601,6579,3831,792,374,108,22,6,0,344,5478,2266,1077,954,474,119,57,13,241,5204,1076,959,1536,912,338,111,75,239,5238,812,658,1994,1409,568,174,132,320,6075,693,645,2217,1637,636,221,170,279,6501,729,637,2224,1708,715,230,153,256,6652,757,592,2104,1763,818,225,131,264,6650,656,515,2014,1618,783,219,120,276,6191,543,489,2099,1585,768,236,132,307,6151,451,353,1454,1350,701,261,169,265,5010,345,226,910,1054,702,306,262,257,4055,276,208,638,749,580,307,319,235,3306,244,208,536,541,417,258,246,223,2673,286,236,583,547,398,183,227,316,2768,18736,7738,19663,15452,7576,2793,2155,4418,78527,5277,118,21,8,0,0,3,969,6400,3796,706,356,95,15,8,3,602,5586,2480,1140,1014,425,127,30,20,439,5674,1341,1046,1645,902,296,107,60,442,5846,763,666,1767,1284,515,151,118,451,5701,714,629,2056,1486,619,195,150,487,6333,710,647
104,3767,96,11,4,0,0,4,364,4246,2052,473,246,37,15,0,4,173,3000,1197,587,590,237,78,16,7,127,2848,673,619,902,512,165,49,20,133,3076,491,489,1377,809,323,101,59,152,3799,524,551,1573,994,387,129,104,170,4426,624,549,1676,1122,470,109,85,166,4805,650,568,1854,1287,544,144,83,169,5303,574,504,1786,1237,482,124,75,186,4965,478,409,1760,1209,445,139,83,205,4728,368,293,1349,1004,467,156,76,184,3895,250,235,848,776,504,186,129,168,3091,210,160,561,629,407,180,154,178,2478,153,143,391,411,316,164,159,202,1940,166,194,489,411,257,120,112,355,2109,12176,5871,15415,10677,4860,1627,1154,2930,54714,3288,51,9,0,0,0,5,509,3864,2070,380,164,50,3,0,3,281,2962,1487,607,556,218,64,15,9,273,3223,763,612,972,490,175,42,23,232,3308,514,501,1151,742,232,90,52,237,3519,475,507,1452,882,380,107,86,290,4178,549,564
105,2975,155,22,3,5,0,0,415,3578,2019,561,274,80,22,7,3,213,3193,1322,628,636,319,96,41,23,190,3262,677,514,855,558,216,79,66,158,3127,417,399,1021,798,375,129,106,184,3433,440,373,1125,869,427,143,130,215,3724,438,363,1248,946,438,119,116,192,3867,429,329,1374,1039,472,145,101,224,4101,330,312,1161,942,432,143,92,191,3601,278,238,1099,866,485,126,105,178,3361,198,186,766,703,432,184,121,192,2785,174,109,502,593,421,199,169,180,2347,132,92,346,415,343,175,194,176,1883,106,83,308,347,275,133,170,139,1561,102,130,285,287,184,109,143,209,1444,10042,4484,11027,8768,4624,1728,1532,3056,45264,2561,75,12,0,0,0,0,514,3171,1960,479,256,74,17,5,3,390,3181,1673,594,596,269,82,35,20,407,3676,777,589,923,525,202,83,51,351,3508,439,379,850,646,319,112,81,283,3110,375,330,941,743,345,143,119,339,3336,411,338
106,7217,188,28,8,5,0,8,703,8162,4899,1032,454,113,20,5,6,339,6861,3179,1461,1387,472,156,45,17,297,7016,1513,1308,2245,1194,412,108,60,261,7104,1002,1081,2942,1859,642,193,136,312,8169,838,984,3297,1938,702,212,140,354,8472,874,907,3139,1970,777,219,156,322,8356,786,803,3063,2215,814,222,114,345,8358,748,659,2826,2124,761,205,104,347,7776,634,607,2718,2035,860,232,122,318,7517,477,421,1964,1616,738,219,139,319,5898,373,288,1226,1158,704,277,185,267,4464,269,233,788,912,585,257,256,271,3569,235,241,625,596,440,214,243,319,2910,250,294,635,536,363,164,180,395,2822,23293,10511,27329,18737,7980,2569,1873,5170,97451,6918,148,12,3,0,0,4,905,7994,5333,922,487,102,20,3,0,569,7438,3510,1581,1517,521,144,38,24,573,7910,1855,1552,2472,1192,361,115,61,572,8173,1001,1042,2641,1645,624,197,124,425,7694,899,980,3101,1957,760,220,168,565,8645,904,971
107,8320,124,15,3,3,0,4,739,9203,7717,692,294,71,21,5,0,523,9313,4858,1495,1085,377,94,11,14,367,8311,2292,1685,2503,966,283,79,53,275,8138,1412,1370,3734,1816,553,139,83,315,9416,1137,1160,3819,1990,679,197,109,305,9393,1120,1114,3949,2277,697,207,119,341,9814,1075,996,3746,2336,830,236,96,352,9671,826,861,3264,2263,776,199,105,325,8623,635,676,3031,2099,704,208,86,296,7748,456,503,2346,1815,740,213,106,322,6511,409,439,1703,1518,794,296,171,280,5606,293,303,1312,1246,666,292,241,365,4720,258,301,1041,953,570,269,223,316,3932,276,448,1013,755,432,236,201,375,3740,31074,12160,32873,20494,7848,2582,1618,5484,114134,8259,103,9,3,0,0,0,888,9259,8234,584,293,49,13,3,4,810,9989,5482,1476,1021,314,73,18,8,575,8963,2771,1959,2466,981,276,90,31,501,9061,1418,1331,3418,1578,494,148,92,407,8877,1159,1251,4070,2023,633,176,133,455,9890,1167,1166
108,5218,162,21,6,5,0,3,529,5943,2514,658,346,76,36,3,0,207,3847,1492,803,803,331,127,42,20,163,3791,932,783,1191,719,265,94,52,156,4190,641,672,1878,1252,517,171,118,224,5466,719,712,2220,1462,570,208,107,249,6249,871,702,2517,1659,673,207,121,269,7026,946,777,2801,1912,735,233,109,297,7809,893,738,2606,1907,769,186,84,307,7488,827,730,2993,2053,749,231,102,326,8015,713,577,2511,1911,834,239,168,330,7292,547,372,1653,1511,933,328,218,304,5858,436,301,1125,1109,790,351,252,335,4711,335,298,888,848,602,281,270,399,3918,378,378,883,739,421,230,201,773,4005,17465,8676,24434,17486,8031,2802,1833,4886,85618,4831,94,8,3,3,0,0,766,5707,2843,563,316,75,23,3,5,372,4198,1879,864,830,352,106,39,6,353,4434,988,827,1325,664,275,87,47,319,4542,697,663,1572,944,406,143,88,312,4822,666,682,2014,1359,562,206,130,369,5997,810,785
109,3262,53,15,0,0,0,0,307,3639,2295,337,158,30,4,0,6,199,3026,1442,572,483,178,53,14,4,132,2878,701,561,840,429,162,46,32,111,2874,448,433,1139,724,293,79,33,134,3281,416,379,1256,921,332,98,69,150,3616,411,353,1291,1001,391,122,64,170,3807,412,328,1326,1186,472,109,71,151,4055,338,303,1242,1029,487,128,67,173,3770,286,270,1203,980,488,132,85,174,3624,199,184,868,818,456,171,102,159,2964,211,109,555,663,471,189,202,154,2560,144,96,352,440,365,207,209,178,1997,125,99,284,355,268,166,147,178,1624,143,143,316,300,232,127,114,275,1651,10834,4224,11326,9061,4469,1590,1202,2645,45353,2894,48,3,0,0,3,0,442,3394,2292,322,134,34,7,0,7,337,3125,1567,568,457,162,52,13,11,282,3114,819,598,927,449,129,37,22,272,3247,485,406,1003,649,251,61,59,234,3158,380,380,1167,828,319,93,60,258,3484,437,351
110,5208,189,28,3,5,0,0,584,6021,3480,767,414,105,31,4,7,321,5125,2010,861,883,450,132,47,28,231,4650,1038,801,1361,848,300,108,85,231,4774,714,588,1748,1264,489,164,135,276,5379,679,598,1933,1372,542,162,146,289,5729,639,581,2116,1473,587,209,124,266,6001,642,570,2177,1662,729,207,114,296,6404,578,501,1846,1513,695,193,107,245,5673,498,387,1874,1535,672,212,139,260,5584,392,336,1348,1233,669,233,186,261,4647,297,230,874,1016,677,244,277,269,3884,237,149,557,629,507,293,286,231,2891,177,172,474,506,398,216,239,240,2422,188,181,473,473,328,173,232,368,2414,16783,6915,18119,14081,6765,2458,2103,4360,71582,4629,139,14,0,4,0,4,812,5605,3569,652,344,96,10,5,5,584,5277,2279,970,953,404,114,44,13,485,5255,1215,900,1326,800,296,100,58,415,5106,738,603,1545,1041,404,141,128,395,4998,639,558,1657,1286,539,178,150,443,5459,663,568
