SA4_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
101,120,66,54,2263,4866,651,491,281,86,6370,81779,8727,6239,1444,531,98716
102,544,34,15,3399,4670,1290,994,187,45,7178,107480,16745,12438,1200,313,138174
103,119,34,35,2031,4952,580,351,283,64,6228,76320,6064,2628,993,371,86372
104,113,46,27,1111,2602,449,425,336,32,3853,47834,5498,4633,2129,340,60448
105,103,70,72,1611,4382,336,317,271,116,5422,41340,2452,2024,1075,635,47524
106,61,30,28,2611,4076,807,219,221,34,5357,96940,11255,2736,1282,333,112548
107,689,25,10,2012,2974,917,1217,135,45,5291,86229,15774,18075,1096,248,121418
108,397,62,34,2305,4559,783,653,510,83,6592,78440,9327,7864,2167,441,98245
109,36,25,23,1445,3191,609,87,175,90,4150,43928,6213,575,574,295,51583
110,24,53,64,2395,5779,858,256,340,73,7310,66884,6085,1642,1096,432,76139
111,351,19,16,2815,3787,1121,1147,135,52,6242,120592,19619,14136,830,292,155470
112,371,89,25,2560,5251,1115,813,750,59,7986,78666,15851,8680,3322,484,107001
113,105,32,44,1781,3585,314,443,184,66,4582,55803,2875,4327,716,305,64024
114,67,32,33,1553,2838,383,128,230,95,3671,58933,5101,1469,1272,339,67117
115,545,10,3,1904,1736,228,351,81,19,2413,70417,7131,6828,281,188,84846
116,108,0,3,1324,5503,1182,912,14,32,7646,103249,15690,9702,108,237,128982
117,1344,22,15,1916,519,1253,7380,202,116,9479,14875,29201,107640,1468,679,153861
118,1350,28,16,1962,777,725,3776,119,53,5449,23847,19683,63130,1212,220,108087
119,1139,36,11,3203,5025,1628,5867,181,103,12801,105560,29950,74115,1283,482,211385
120,1011,25,11,1799,1154,604,3238,98,64,5164,40580,18881,60419,1209,329,121417
121,1722,12,21,2870,1371,357,3029,55,33,4844,74871,12368,76599,477,255,164571
122,1016,10,8,2320,1375,399,1381,65,17,3233,55334,8623,32767,459,191,97369
123,323,8,13,1837,3542,931,326,29,27,4850,83719,11458,4369,214,155,99918
124,243,4,16,1636,4075,992,884,34,43,6021,99689,13282,8930,277,234,122411
125,1238,32,15,2774,4811,1603,4984,68,79,11549,79240,24193,66866,518,546,171363
126,702,3,10,1369,888,363,1414,25,22,2712,35704,9893,30558,157,164,76484
127,366,11,18,2143,5656,1088,2198,72,57,9075,109467,16033,21142,317,463,147434
128,755,3,5,1327,1099,514,1024,43,22,2702,51324,11967,21605,332,123,85350
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
