SA4_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
101,446,586,5776,206290,15401,1739,207,17345,15164,238810
102,638,1536,10545,304010,22559,2956,324,25839,16744,346596
103,180,500,5504,187700,8839,1094,154,10088,15177,212962
104,176,482,4473,126613,7870,1689,147,9701,9816,146127
105,72,477,2866,95955,5737,571,78,6382,13232,115566
106,181,721,5922,264108,10929,1535,145,12608,15224,291946
107,1752,1139,8227,257269,36686,6503,382,43565,12996,313842
108,267,741,8536,206095,7616,833,120,8572,14371,229035
109,163,321,3413,107423,6103,1111,108,7319,8816,123552
110,95,596,4669,158447,8440,1398,143,9980,17131,185560
111,847,1087,10881,344550,26464,3789,372,30637,15341,390519
112,322,1086,8337,223964,13238,1118,186,14547,18548,257061
113,341,486,4250,135786,13106,2963,189,16258,11621,163656
114,283,541,5266,142120,8375,917,121,9417,9472,161006
115,1123,608,5023,166485,79846,10599,783,91227,6653,264371
116,1902,453,4339,189840,166522,21231,1863,189615,21541,400997
117,1861,471,3864,193782,98954,17928,933,117820,19745,331340
118,1755,1261,6538,185450,55440,5918,510,61866,14098,261410
119,7065,2233,14802,221348,277704,69236,2904,349850,33921,605118
120,3689,810,7002,164752,104330,22222,1070,127625,12395,304771
121,2144,1005,10839,274429,117778,18569,1287,137638,11983,424045
122,956,642,7243,213359,37505,4139,441,42087,8111,263554
123,667,544,3676,206014,67852,8848,738,77435,13845,297292
124,726,812,5235,263716,45557,5548,540,51643,16698,332056
125,3304,959,7867,159729,240199,59617,2664,302483,31311,493515
126,1562,702,5131,96502,81423,16146,923,98495,7040,202038
127,4417,1027,7189,165599,211759,69644,2137,283542,25299,474430
128,774,893,6432,190233,28403,3647,322,32370,7001,229604
197,0,0,0,0,0,0,0,0,0,0
199,6,17,49,6417,1003,162,25,1187,3764,11371
