SA4_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
101,5,86,435,524,669,669,609,262,46,3302,25,171,756,763,547,454,280,55,5,3063,67,574,2440,2441,2858,3316,2926,1399,372,16382,81,559,1649,1396,1469,1602,1163,488,138,8544,56,204,713,764,965,1015,693,281,63,4754,43,411,1978,1780,2031,2506,1978,818,235,11769,27,277,1383,1658,1758,2053,2127,827,206,10301,130,711,3242,3891,4322,4035,2719,961,223,20239,73,672,2507,3008,3293,3174,2188,703,116,15732,37,171,726,740,666,625,473,183,50,3675,143,474,1426,1288,1173,914,558,224,42,6233,8,16,21,11,24,17,15,4,4,135,15,54,250,332,403,359,311,114,33,1868,1105,911,2427,2337,2625,2923,2784,2020,1082,18208,1824,5287,19943,20933,22801,23656,18814,8331,2616,124206
102,8,168,520,653,682,545,531,237,45,3392,38,207,682,1064,806,545,279,59,6,3689,98,692,2831,3226,3961,4804,4117,2612,725,23074,175,837,2326,2492,2344,2100,1526,813,225,12829,47,209,677,710,668,545,302,149,36,3349,142,969,3528,3647,3543,3568,2461,1056,304,19225,42,546,2438,2683,2532,2490,2752,1028,267,14762,241,1262,4807,6775,6745,5879,4434,1972,455,32573,192,1260,3799,4194,4289,3589,2293,873,152,20651,125,626,1460,1485,1066,722,533,249,62,6331,244,743,2097,2016,1870,1359,938,448,100,9816,29,25,42,16,15,32,25,15,8,207,31,100,286,436,471,380,280,155,46,2188,1137,1108,2684,2719,2766,2659,3066,3341,2665,22147,2554,8749,28176,32117,31770,29219,23537,13011,5094,174231
103,7,76,311,325,358,304,248,106,19,1760,4,87,292,326,228,201,121,38,0,1289,125,798,2948,2664,2862,2979,2287,1060,259,15985,86,454,1071,1009,898,956,656,313,74,5510,56,194,695,747,914,881,664,361,66,4582,87,593,2187,1882,1775,2073,1569,686,211,11060,36,352,1552,1649,1707,1612,1599,651,157,9320,101,637,2783,3129,3289,2900,1939,692,174,15636,109,646,2014,2067,2115,1747,1118,366,88,10264,21,171,538,487,415,332,237,128,23,2357,141,498,1323,1145,977,648,400,178,45,5357,8,26,41,17,14,19,13,6,0,150,17,62,168,185,231,201,149,74,23,1115,1118,1145,2566,2541,2489,2479,2455,1978,977,17756,1918,5731,18490,18177,18272,17330,13467,6635,2120,102134
104,4,42,176,225,259,241,283,110,26,1378,14,63,220,221,175,189,122,36,0,1039,52,317,1128,1168,1413,1959,2001,1029,276,9330,45,212,669,743,810,1017,871,345,102,4817,41,99,417,473,524,456,295,86,31,2413,55,323,1324,1388,1541,1763,1346,553,132,8432,15,160,859,1141,1150,1381,1557,597,141,6998,97,396,1548,1916,2248,2254,1840,686,159,11144,54,353,1340,1560,1808,1807,1250,347,68,8595,19,94,377,449,384,357,289,108,21,2100,109,346,892,881,807,605,393,171,26,4236,9,4,21,4,4,10,21,18,14,113,14,39,125,145,188,205,152,58,16,944,721,693,1820,1778,1721,1628,1684,1469,945,12457,1250,3149,10917,12106,13031,13870,12106,5611,1958,73988
105,0,19,152,133,115,107,58,31,7,624,0,39,177,171,83,89,52,9,0,622,69,364,1431,1133,1156,1296,978,438,120,7001,31,179,530,418,360,453,296,142,36,2443,38,158,481,447,479,491,300,148,31,2572,43,332,1393,999,805,1045,674,295,89,5674,19,181,961,926,920,764,570,212,51,4604,39,265,1757,1513,1442,1330,730,260,50,7389,55,312,1191,1035,983,879,461,111,24,5040,3,50,194,135,106,82,75,35,9,690,56,198,635,509,424,301,221,86,14,2438,5,10,24,5,10,10,5,3,0,85,9,26,109,96,125,96,66,37,5,568,917,881,2280,2038,1902,1898,1724,1375,701,13712,1299,3012,11314,9554,8918,8844,6209,3184,1135,53464
106,3,84,369,461,433,394,402,147,33,2328,16,109,466,454,332,294,191,43,0,1903,202,1230,5261,4992,5087,5350,4071,1931,408,28527,94,568,1401,1318,1282,1301,999,516,114,7590,92,281,652,749,721,553,316,153,32,3545,110,680,2675,2489,2450,2649,1972,773,186,13983,41,421,1780,1960,1802,1741,1840,645,159,10398,224,1178,4490,4964,4755,4133,2705,1085,202,23739,181,979,2943,2903,2704,2359,1463,445,80,14057,74,286,688,610,479,372,305,142,32,2988,260,751,2194,1869,1546,943,607,266,36,8478,14,25,30,17,12,19,14,6,5,133,20,64,287,340,372,295,203,98,21,1708,1118,1207,3055,2811,2651,2494,2512,2155,1154,19147,2450,7865,26287,25946,24623,22903,17601,8395,2456,138529
107,4,398,989,783,732,658,538,254,30,4377,25,317,1018,1098,657,462,214,38,10,3839,119,1093,4555,4085,4745,5535,4357,2201,652,27337,172,987,2354,2001,1875,1503,939,565,190,10580,20,192,535,551,509,358,211,85,13,2481,138,1085,4036,3358,2911,2756,1808,677,200,16969,48,529,2802,2735,2509,2640,2629,895,236,15022,241,1601,5382,6218,5925,4850,3146,1084,295,28735,216,1604,4306,4265,3879,3238,1943,617,144,20214,106,741,1612,1339,972,612,384,150,32,5942,216,886,1824,1684,1474,933,549,293,41,7905,20,26,26,22,15,21,31,29,35,220,29,115,345,379,414,323,209,107,42,1955,983,1213,2418,2201,2109,1945,1998,2239,1659,16767,2333,10803,32199,30721,28721,25832,18944,9221,3575,162354
108,0,40,164,222,297,352,428,197,47,1743,28,86,263,291,276,296,264,54,4,1564,93,473,1476,1738,2347,3374,3894,2265,581,16230,70,365,968,1074,1306,1569,1488,700,186,7731,41,144,430,507,682,664,444,195,42,3153,95,523,2039,1968,2272,2984,2257,981,284,13403,27,219,1226,1464,1727,2113,2474,1020,255,10531,163,561,2030,2728,3312,3872,3389,1458,372,17890,119,614,1790,2184,2600,2631,1851,596,116,12506,31,128,402,434,420,454,426,163,59,2513,154,473,1265,1262,1156,1014,862,316,79,6582,13,40,17,9,11,25,14,14,4,156,17,57,132,174,215,303,244,101,38,1295,1168,942,2118,2142,2229,2831,3288,2881,1771,19359,2023,4661,14327,16204,18852,22486,21327,10950,3844,114657
109,0,33,117,150,161,148,107,48,10,772,10,45,223,184,109,119,62,8,0,760,56,398,1415,1220,1337,1540,1362,632,140,8101,37,258,722,552,531,573,472,203,69,3411,32,154,543,605,613,528,356,155,40,3020,35,337,1279,1190,1036,1205,996,414,109,6605,13,183,897,1008,914,967,832,390,68,5267,37,371,1520,1843,1848,1652,1019,361,94,8740,49,311,1090,1154,1257,1126,712,188,27,5915,16,96,223,244,174,160,118,58,17,1108,50,279,860,703,605,465,301,141,47,3437,3,30,15,17,11,12,7,3,0,96,13,26,105,143,135,116,93,51,8,689,697,581,1325,1290,1356,1558,1648,1356,675,10491,1033,3093,10341,10308,10077,10154,8102,4008,1315,58424
110,5,89,333,352,294,282,249,115,26,1741,10,73,237,247,156,132,98,18,3,977,121,613,2060,1854,1793,2074,1692,825,190,11221,74,260,822,683,679,729,578,294,74,4195,83,285,826,940,928,801,558,297,58,4767,102,487,1814,1499,1487,1777,1399,629,197,9380,26,270,1244,1427,1386,1418,1332,570,122,7798,118,561,2271,2441,2543,2301,1492,607,127,12464,103,489,1822,1797,1862,1696,1088,391,70,9302,21,98,364,306,288,263,192,79,31,1639,143,421,996,901,705,531,347,117,23,4189,17,16,29,11,0,9,10,3,6,99,16,47,137,160,215,169,134,54,19,951,1518,1411,2588,2441,2587,2688,2477,2022,968,18711,2356,5109,15547,15061,14924,14877,11641,6005,1911,87435
