SA4_CODE_2021,C21_M_40_44_Em_Tot,C21_M_40_44_Unem_Look_FT,C21_M_40_44_Unem_Look_PT,C21_M_40_44_Unem_Tot,C21_M_40_44_Tot_LF,C21_M_40_44_Not_LF,C21_M_40_44_LF_NS,C21_M_40_44_Tot,C21_M_45_49_Em_FT,C21_M_45_49_Em_PT,C21_M_45_49_Em_AFW,C21_M_45_49_Em_Hrs_NS,C21_M_45_49_Em_Tot,C21_M_45_49_Unem_Look_FT,C21_M_45_49_Unem_Look_PT,C21_M_45_49_Unem_Tot,C21_M_45_49_Tot_LF,C21_M_45_49_Not_LF,C21_M_45_49_LF_NS,C21_M_45_49_Tot,C21_M_50_54_Em_FT,C21_M_50_54_Em_PT,C21_M_50_54_Em_AFW,C21_M_50_54_Em_Hrs_NS,C21_M_50_54_Em_Tot,C21_M_50_54_Unem_Look_FT,C21_M_50_54_Unem_Look_PT,C21_M_50_54_Unem_Tot,C21_M_50_54_Tot_LF,C21_M_50_54_Not_LF,C21_M_50_54_LF_NS,C21_M_50_54_Tot,C21_M_55_59_Em_FT,C21_M_55_59_Em_PT,C21_M_55_59_Em_AFW,C21_M_55_59_Em_Hrs_NS,C21_M_55_59_Em_Tot,C21_M_55_59_Unem_Look_FT,C21_M_55_59_Unem_Look_PT,C21_M_55_59_Unem_Tot,C21_M_55_59_Tot_LF,C21_M_55_59_Not_LF,C21_M_55_59_LF_NS,C21_M_55_59_Tot,C21_M_60_64_Em_FT,C21_M_60_64_Em_PT,C21_M_60_64_Em_AFW,C21_M_60_64_Em_Hrs_NS,C21_M_60_64_Em_Tot,C21_M_60_64_Unem_Look_FT,C21_M_60_64_Unem_Look_PT,C21_M_60_64_Unem_Tot,C21_M_60_64_Tot_LF,C21_M_60_64_Not_LF,C21_M_60_64_LF_NS,C21_M_60_64_Tot,C21_M_65_69_Em_FT,C21_M_65_69_Em_PT,C21_M_65_69_Em_AFW,C21_M_65_69_Em_Hrs_NS,C21_M_65_69_Em_Tot,C21_M_65_69_Unem_Look_FT,C21_M_65_69_Unem_Look_PT,C21_M_65_69_Unem_Tot,C21_M_65_69_Tot_LF,C21_M_65_69_Not_LF,C21_M_65_69_LF_NS,C21_M_65_69_Tot,C21_M_70_74_Em_FT,C21_M_70_74_Em_PT,C21_M_70_74_Em_AFW,C21_M_70_74_Em_Hrs_NS,C21_M_70_74_Em_Tot,C21_M_70_74_Unem_Look_FT,C21_M_70_74_Unem_Look_PT,C21_M_70_74_Unem_Tot,C21_M_70_74_Tot_LF,C21_M_70_74_Not_LF,C21_M_70_74_LF_NS,C21_M_70_74_Tot,C21_M_75over_Em_FT,C21_M_75over_Em_PT,C21_M_75over_Em_AFW,C21_M_75over_Em_Hrs_NS,C21_M_75over_Em_Tot,C21_M_75over_Unem_Lo_ft_wor,C21_M_75over_Unem_Lo_pt_wor,C21_M_75over_Unempl_Tot,C21_M_75over_Tot_LF,C21_M_75over_N_lab_forc,C21_M_75over_LF_NS,C21_M_75over_Tot,C21_M_Tot_Em_FT,C21_M_Tot_Em_PT,C21_M_Tot_Em_AFW,C21_M_Tot_Em_Hrs_NS,C21_M_Tot_Em_Tot,C21_M_Tot_Unem_Look_FT,C21_M_Tot_Unem_Look_PT,C21_M_Tot_Unem_Tot,C21_M_Tot_Tot_labo_for,C21_M_Tot_Not_LF,C21_M_Tot_LF_NS,C21_M_Tot_Tot,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Not_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Not_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Not_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Not_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Not_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Not_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Not_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Not_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot
101,5164,109,23,134,5302,615,398,6305,4741,858,216,103,5920,147,40,184,6105,882,490,7478,4823,1000,235,92,6152,149,40,191,6339,1085,512,7936,4443,1217,287,100,6051,151,46,204,6250,1742,601,8589,3128,1456,283,61,4927,129,88,217,5145,3226,575,8941,1394,1053,146,49,2634,40,51,94,2726,4946,502,8175,576,641,58,24,1295,7,21,31,1326,5729,520,7575,365,404,38,38,850,0,5,5,856,8530,847,10239,40671,12957,2255,1171,57054,1460,792,2250,59307,31825,6599,97725,659,2113,157,101,3027,129,222,350,3381,2670,273,6326,1825,1195,133,69,3220,138,88,230,3451,970,225,4644,2002,1099,244,53,3401,85,66,144,3548,1118,248,4917,1731,1629,332,52,3749,66,92,159,3907,1259,284,5456,2165,2127,268,87,4657,84,117,202,4853,1369,293,6517,2921,2584,206,96,5809,102,117,218,6026,1232,313,7572,3252,2422,229,69,5968,93,80,177,6146,1174,295,7612,3155,2379,265,85,5881,113,74,183,6067,1536,305,7912
102,7958,242,62,305,8266,1183,496,9954,6205,1441,536,117,8297,256,60,319,8621,1439,542,10598,5929,1551,575,136,8183,271,52,319,8497,1760,527,10791,5289,1620,588,83,7581,255,83,335,7916,2393,493,10807,3425,1609,556,55,5645,212,108,320,5958,4061,457,10482,1245,1058,332,29,2672,48,55,99,2776,6389,450,9614,357,559,94,15,1029,5,27,34,1056,7726,495,9275,129,331,58,37,557,6,9,13,572,13638,1568,15780,48927,19158,6753,1331,76165,2839,1362,4195,80361,47870,7556,135785,867,3394,230,171,4665,372,573,941,5606,4157,402,10161,2809,2527,250,181,5765,415,244,660,6421,1679,343,8444,3003,1866,395,93,5356,231,184,410,5769,2065,330,8166,2308,2585,482,84,5464,170,187,360,5826,2375,346,8547,2641,3519,377,93,6623,186,272,458,7081,2676,399,10151,3340,3950,274,123,7688,217,238,455,8148,2363,459,10971,3806,3812,295,161,8076,219,195,416,8498,2138,419,11049,3916,3508,327,112,7869,191,170,366,8231,2499,474,11209
103,4426,128,36,166,4590,744,446,5775,4040,559,132,93,4818,145,44,183,5009,803,435,6245,4027,632,182,80,4924,149,34,176,5104,1035,468,6607,3726,776,207,75,4784,132,45,182,4964,1444,521,6930,2893,932,215,59,4094,115,72,190,4285,2233,467,6984,1368,784,137,50,2345,25,30,58,2399,3538,442,6380,573,525,42,24,1169,8,12,19,1189,4375,447,6013,354,455,40,55,911,3,13,15,923,7298,831,9058,36815,9561,1819,1030,49224,1544,715,2261,51482,27165,6258,84902,547,1987,137,90,2762,156,262,414,3173,3125,281,6579,1757,1373,152,86,3366,201,155,352,3716,1496,267,5478,1788,1212,229,58,3281,120,112,228,3514,1458,223,5204,1349,1607,278,62,3285,115,89,205,3495,1525,221,5238,1768,2062,199,72,4100,121,106,235,4338,1433,305,6075,2207,2336,131,73,4753,95,114,210,4961,1286,251,6501,2555,2126,172,78,4927,106,97,200,5133,1284,239,6652,2637,1967,192,72,4873,75,55,133,5005,1398,246,6650
104,2719,110,47,156,2875,594,309,3776,2347,620,133,59,3160,111,42,154,3313,653,308,4272,2222,692,116,52,3078,116,38,155,3228,838,292,4364,2081,775,154,50,3061,125,47,166,3231,1278,306,4815,1519,959,164,42,2686,115,85,201,2882,2184,304,5376,649,626,76,12,1376,24,25,50,1423,3679,284,5389,196,332,25,15,577,0,5,8,583,3999,272,4857,106,173,17,20,318,6,7,6,324,6230,661,7213,18892,8528,1245,635,29300,1269,714,1983,31292,23482,4053,58824,268,1428,116,67,1875,112,255,370,2244,1847,160,4246,725,826,88,50,1679,158,103,263,1941,928,134,3000,759,736,102,28,1629,87,77,161,1791,950,107,2848,701,963,122,32,1826,100,97,193,2020,940,112,3076,932,1333,102,45,2407,98,110,203,2615,1056,133,3799,1343,1575,112,50,3074,116,105,219,3296,979,147,4426,1531,1716,123,44,3420,111,104,218,3632,1024,147,4805,1739,1735,152,52,3677,102,65,168,3842,1306,150,5303
105,2103,74,18,93,2192,407,359,2962,1827,247,72,44,2192,86,16,104,2292,507,340,3140,1962,322,78,49,2414,91,18,107,2525,565,384,3472,1962,355,79,42,2445,78,25,109,2550,730,426,3703,1672,422,88,55,2246,66,31,99,2347,1165,347,3861,787,357,70,26,1252,14,32,44,1296,1762,339,3397,369,234,31,26,655,4,11,12,672,2036,318,3026,235,182,20,34,469,0,0,0,477,3530,626,4629,19199,4507,884,645,25236,912,379,1287,26524,13898,5165,45590,330,1016,49,51,1451,121,125,245,1695,1667,218,3578,1091,667,88,45,1890,125,90,217,2111,908,172,3193,1149,719,133,28,2022,89,59,149,2171,933,153,3262,916,876,148,25,1974,79,48,131,2105,868,147,3127,1072,1046,102,38,2258,83,67,145,2405,858,177,3433,1416,1065,87,48,2610,75,63,141,2761,763,202,3724,1608,1067,92,52,2815,68,49,116,2937,739,189,3867,1646,1101,123,51,2920,61,42,98,3021,885,201,4101
106,6708,214,44,264,6969,1135,419,8522,5619,869,263,126,6875,202,48,249,7128,1234,434,8798,5469,989,327,115,6898,188,46,241,7138,1421,428,8984,4851,1085,386,92,6415,196,50,248,6663,1898,450,9012,3212,1245,362,81,4901,163,81,243,5148,3523,455,9119,1227,842,180,43,2287,50,46,94,2378,5616,365,8363,334,468,67,25,897,8,24,29,931,6384,404,7717,177,333,50,37,601,0,4,9,604,9341,906,10857,49210,13700,3385,1372,67667,2440,1143,3581,71248,38380,6266,115891,803,2869,202,120,3997,263,359,624,4621,3206,329,8162,2456,1887,207,121,4668,255,149,402,5075,1517,276,6861,2411,1669,326,86,4494,174,132,307,4794,1948,271,7016,1742,2207,364,55,4367,113,179,292,4654,2190,257,7104,2080,2919,281,83,5363,143,188,333,5696,2173,298,8169,2688,3035,225,117,6063,144,160,302,6367,1751,347,8472,2926,2835,186,84,6025,154,107,262,6286,1764,310,8356,2776,2547,246,98,5658,110,97,204,5862,2165,331,8358
107,7566,213,51,263,7832,1034,394,9261,6044,1220,509,94,7864,233,46,284,8146,1229,437,9809,5521,1104,501,89,7212,178,44,230,7439,1502,369,9307,5000,1287,506,75,6872,193,64,259,7130,2177,345,9650,3016,1288,460,65,4829,127,95,222,5054,3938,351,9339,958,817,250,29,2055,35,32,66,2123,5606,313,8046,251,418,68,13,757,8,15,26,773,6293,352,7424,100,197,52,15,366,5,7,11,379,10783,1158,12310,48631,16983,6222,1134,72975,2503,1399,3900,76874,42228,6021,125125,630,2934,204,142,3917,258,624,888,4804,4106,292,9203,2624,2847,281,171,5921,365,337,706,6628,2301,384,9313,3166,1861,425,84,5530,238,186,418,5948,2049,310,8311,2276,2531,496,73,5377,149,181,338,5718,2167,250,8138,2387,3514,395,83,6376,161,216,376,6757,2374,289,9416,2758,3562,227,92,6647,145,205,349,6995,2124,272,9393,3304,3415,245,116,7080,173,144,321,7401,2116,298,9814,3326,2961,269,103,6665,117,111,226,6887,2482,292,9671
108,3822,165,39,209,4033,859,335,5222,3327,890,161,86,4461,163,64,224,4682,1051,378,6114,3341,1016,204,97,4666,174,64,241,4908,1342,429,6680,3160,1209,253,113,4737,200,75,275,5015,2092,500,7602,2362,1489,236,85,4168,185,123,310,4477,3803,512,8799,977,980,159,37,2152,60,54,114,2272,6480,537,9288,376,523,55,28,985,0,12,16,1007,7793,552,9346,196,345,32,60,628,3,5,6,639,12453,1213,14304,27158,12237,1859,1050,42298,2037,994,3029,45330,41526,6259,93102,360,1901,153,95,2512,172,262,435,2945,2768,228,5943,954,992,96,48,2096,210,119,333,2431,1241,174,3847,982,979,143,42,2143,124,93,223,2363,1271,153,3791,987,1279,175,38,2481,116,120,241,2718,1338,130,4190,1336,1901,141,67,3455,123,139,266,3718,1534,214,5466,1879,2211,133,70,4301,143,140,283,4583,1439,223,6249,2305,2402,197,82,4984,166,134,297,5287,1490,246,7026,2483,2442,251,65,5238,148,110,261,5503,2038,267,7809
109,2585,80,14,92,2675,315,258,3248,2247,324,81,53,2708,84,16,103,2806,373,281,3469,2368,361,95,38,2859,77,14,92,2950,511,299,3759,2234,441,101,50,2822,88,34,120,2936,710,297,3944,1845,582,149,29,2612,87,39,130,2740,1280,320,4334,844,538,99,23,1505,18,33,47,1550,2298,312,4165,311,319,34,17,671,3,10,14,687,2992,299,3980,185,209,26,37,451,0,0,0,454,4715,602,5766,21077,5753,991,589,28415,899,414,1313,29730,15650,4057,49443,295,1213,82,78,1669,95,153,247,1917,1573,145,3639,948,850,111,43,1958,101,83,186,2142,727,156,3026,1090,683,146,20,1938,63,56,123,2061,697,118,2878,775,922,140,35,1866,54,58,112,1984,781,114,2874,931,1238,111,55,2336,49,67,111,2457,701,124,3281,1250,1297,90,52,2691,69,50,120,2811,665,146,3616,1511,1299,86,43,2937,58,51,104,3045,619,148,3807,1539,1324,136,59,3061,59,44,104,3165,761,133,4055
110,3578,97,43,139,3719,551,469,4735,3156,480,111,64,3814,117,43,155,3972,698,509,5176,3283,513,127,59,3981,146,41,187,4170,832,548,5551,3146,659,164,73,4039,113,45,157,4203,1180,535,5913,2521,785,161,76,3545,128,53,188,3733,1852,533,6124,1282,679,87,37,2079,26,30,58,2143,3019,449,5608,594,451,51,31,1121,4,7,12,1133,3597,499,5224,372,377,53,65,864,0,7,7,873,6157,909,7937,30476,8265,1329,940,41007,1469,734,2203,43210,22484,7276,72974,496,1744,137,100,2483,171,278,449,2932,2793,298,6021,1515,1167,131,53,2862,190,170,363,3229,1643,259,5125,1553,1036,199,51,2837,135,88,217,3053,1383,211,4650,1331,1397,182,40,2952,107,111,217,3173,1365,233,4774,1573,1804,134,60,3572,124,108,233,3801,1314,260,5379,2030,1862,114,71,4072,110,107,220,4294,1147,287,5729,2246,1945,156,85,4428,99,66,165,4593,1156,251,6001,2503,1787,194,65,4547,94,88,181,4729,1407,270,6404
