SA4_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
101,54365,754,1004,1749,56116,37338,6374,99836,1924,3670,286,208,6088,372,445,822,6908,5758,604,13272,4647,1928,251,183,7006,410,146,559,7562,1525,531,9626,5106,1622,360,151,7235,286,105,395,7631,1619,558,9810,4978,2116,456,155,7711,211,125,337,8047,1712,563,10326,6501,2729,420,203,9853,253,141,400,10247,1967,626,12843,7616,3284,378,250,11520,289,167,455,11978,1962,739,14677,8280,3200,410,207,12090,273,125,396,12487,2086,711,15277,8022,3338,487,214,12069,268,132,399,12465,2655,711,15837,6133,2968,540,136,9782,213,155,364,10147,4127,711,14987,3692,2634,368,150,6838,159,137,304,7143,7132,695,14971,1249,1195,152,80,2675,22,31,51,2727,8419,582,11729,457,505,72,44,1082,5,23,28,1107,7243,587,8934,289,324,48,61,718,6,8,8,726,13333,1659,15713,58892,29512,4218,2040,94668,2773,1737,4512,99176,59553,9277,168001,1484,3848,218,206,5751,291,505,796,6551,5326,780,12657,4466,2455,222,223,7368,456,223,676,8048,1552,768,10367
102,74670,1406,1857,3268,77935,61981,8546,148463,2333,5791,408,329,8869,968,1132,2103,10970,9208,888,21072,6972,4287,442,407,12106,1143,423,1561,13665,2748,764,17178,7919,2767,569,279,11532,656,261,924,12457,2713,764,15931,7625,3329,686,248,11895,508,233,742,12631,3042,732,16411,9063,4390,604,274,14320,511,317,827,15155,3479,890,19515,10027,4870,505,327,15735,556,297,854,16586,3311,942,20839,10684,4802,536,351,16379,542,257,807,17180,3249,917,21349,10356,4560,606,298,15816,488,241,723,16545,3951,1013,21504,7756,3919,565,216,12461,387,192,576,13034,5563,837,19432,4142,3129,431,138,7835,247,195,445,8278,9791,892,18967,1155,1475,154,50,2836,16,58,78,2916,12538,916,16370,228,522,55,27,832,5,18,24,854,11699,882,13434,84,231,48,40,405,9,14,15,425,25631,3430,29482,78353,44067,5608,2983,131014,6041,3645,9685,140700,96916,13870,251484,1945,6159,317,197,8609,760,1310,2075,10685,8383,859,19930,6864,5135,391,329,12714,1021,538,1561,14280,2921,968,18169
103,46295,772,1023,1791,48089,32665,5940,86692,1904,3160,250,175,5494,416,466,881,6373,6485,620,13480,4981,2101,253,203,7538,538,271,806,8350,2462,629,11440,5220,1624,320,168,7334,349,150,497,7834,2057,498,10385,4787,1955,377,174,7298,297,110,405,7705,2113,534,10348,5788,2444,335,198,8760,300,133,438,9199,2057,648,11903,6465,2767,275,198,9711,254,138,393,10104,2066,599,12766,6944,2669,329,206,10146,250,151,398,10545,2185,552,13288,7002,2569,385,185,10144,230,92,324,10469,2463,549,13478,5648,2362,369,142,8522,185,107,295,8814,3222,601,12634,3436,2053,301,144,5932,122,89,211,6144,5746,638,12527,1358,1136,153,66,2714,6,33,41,2752,6828,602,10180,524,573,70,61,1226,0,4,4,1229,6246,569,8041,332,378,60,74,850,5,6,7,857,12837,1423,15111,54392,25789,3484,2001,85665,2956,1745,4701,90367,56759,8457,155584,1444,3139,232,192,5010,425,526,955,5968,6134,991,13088,4447,2399,270,190,7310,614,320,935,8238,2317,1003,11563
104,29891,665,868,1533,31423,26838,4207,62467,873,2440,194,129,3639,358,459,816,4458,3934,346,8729,1952,1366,166,117,3605,467,188,659,4262,1462,299,6026,2179,1088,178,85,3525,291,123,412,3937,1365,257,5557,2249,1310,186,79,3828,276,130,407,4237,1345,226,5801,2942,1814,192,113,5061,262,147,412,5473,1534,297,7301,3489,2129,207,107,5936,282,143,424,6359,1541,330,8226,3922,2321,233,108,6587,282,151,438,7026,1780,352,9161,4169,2478,273,115,7037,290,132,415,7459,2306,350,10110,3343,2124,305,106,5872,241,116,358,6232,3339,366,9933,1806,1581,188,70,3638,155,119,277,3918,5285,359,9565,469,577,87,30,1162,13,30,44,1201,6202,324,7728,151,186,24,18,389,3,14,15,402,5305,338,6050,66,135,16,33,255,0,4,4,257,10254,1113,11621,27612,19553,2263,1110,50534,2925,1762,4684,55220,45646,4953,105821,624,2352,133,106,3217,365,426,794,4013,3527,477,8020,2024,1578,144,107,3849,420,181,604,4454,1224,459,6137
105,24269,475,499,976,25237,16564,5283,47084,1125,1685,99,134,3046,315,246,561,3599,3410,454,7462,2775,975,140,118,4004,366,135,498,4508,1408,383,6300,3072,930,197,115,4310,253,94,348,4661,1367,344,6367,2736,1061,218,93,4121,225,75,306,4418,1206,317,5946,3203,1272,174,108,4751,217,96,313,5067,1284,375,6724,3654,1348,175,120,5297,233,90,317,5621,1233,439,7289,4055,1357,162,116,5697,190,87,271,5969,1329,428,7729,4178,1436,214,124,5949,177,71,246,6196,1589,457,8237,3244,1194,226,97,4757,120,50,175,4924,2050,407,7385,2047,1035,185,92,3355,103,78,181,3538,3120,372,7029,844,579,78,65,1566,11,13,20,1582,3721,388,5690,359,297,36,43,727,0,8,10,735,3540,382,4659,236,190,44,44,515,0,6,7,522,7034,951,8508,31521,13364,1941,1267,48086,2209,1034,3245,51335,32296,5692,89321,716,1489,80,99,2381,253,259,511,2894,3150,462,6504,2521,1094,134,109,3857,371,182,549,4413,1450,593,6453
106,63158,1256,1647,2903,66060,47209,5879,119155,2598,4645,348,260,7849,650,666,1311,9162,6720,760,16635,6764,2922,380,325,10394,693,228,923,11312,2252,659,14225,7299,2231,496,256,10279,432,175,611,10889,2525,617,14024,6815,2715,536,219,10277,352,210,568,10844,2845,596,14282,7613,3484,466,279,11842,346,226,574,12413,2882,677,15971,8427,3611,443,303,12784,335,191,532,13311,2552,727,16593,8644,3507,390,242,12783,332,153,484,13265,2678,721,16664,8241,3220,491,236,12191,258,143,403,12600,3284,729,16609,6074,2844,446,199,9558,191,117,308,9871,4846,704,15420,3300,2284,333,122,6026,127,100,225,6249,8050,685,14988,936,1013,126,55,2138,13,23,35,2175,9147,629,11956,259,395,30,19,707,0,9,9,719,7557,567,8840,137,235,43,41,452,4,3,6,460,13916,1630,16007,67108,33099,4527,2559,107289,3733,2252,5983,113267,69260,9695,192225,1784,4812,261,179,7044,741,946,1692,8733,6852,832,16410,5874,3676,349,253,10145,947,438,1387,11533,2632,918,15088
107,69763,1205,1842,3048,72809,53562,6234,132598,1994,4903,388,274,7559,715,1154,1869,9427,8925,667,19019,6418,4886,535,379,12214,1045,688,1727,13946,4383,861,19186,8238,2911,612,244,12008,655,300,961,12962,3149,763,16876,7650,3334,712,211,11910,454,273,725,12640,2911,604,16147,8601,4324,639,236,13798,463,264,727,14523,3196,656,18377,8925,4339,468,258,13991,429,253,683,14668,3058,652,18378,9700,4313,507,318,14833,444,206,650,15483,3221,694,19396,9331,3842,567,248,13996,379,161,546,14538,3769,685,18994,6637,3080,551,185,10456,243,141,379,10832,5296,620,16751,3363,2089,348,114,5912,156,125,277,6187,8631,641,15463,790,940,122,41,1899,9,33,42,1933,10113,592,12643,165,317,38,23,535,7,9,15,555,9446,607,10600,76,176,31,30,308,6,6,6,322,19158,1927,21411,71889,39461,5517,2556,119423,4990,3602,8598,128021,85254,9961,223231,1744,5333,286,185,7546,568,1496,2063,9605,8642,732,18980,6665,6163,392,331,13547,941,963,1900,15450,4399,1007,20857
108,43672,917,1337,2257,45930,47611,6546,100094,1170,3255,269,175,4863,476,509,991,5852,5905,485,12249,2657,1648,184,150,4636,665,204,866,5503,1908,425,7834,2790,1465,224,118,4596,416,144,557,5149,1839,335,7326,3104,1760,275,102,5236,342,170,512,5752,1918,329,7991,4108,2482,269,174,7029,361,204,564,7593,2307,432,10331,5015,2916,253,175,8362,416,193,614,8973,2370,496,11840,5735,3222,344,188,9484,438,205,636,10126,2740,537,13400,5977,3497,428,174,10071,413,201,615,10686,3641,639,14964,4621,3088,427,121,8251,333,188,519,8770,5310,640,14730,2652,2393,315,92,5462,225,179,403,5865,9284,667,15815,837,1086,137,54,2109,15,26,44,2156,11571,704,14438,266,389,49,28,729,8,15,24,752,10192,637,11587,123,262,46,44,474,8,8,11,487,19902,2312,22700,39055,27462,3209,1584,71303,4110,2251,6365,77670,78900,8621,165196,899,3233,257,170,4565,457,565,1015,5584,5448,660,11697,2726,2017,220,174,5144,599,259,854,5998,1944,578,8520
109,27137,416,608,1024,28166,19720,3935,51818,1070,1974,132,148,3321,242,286,528,3846,3394,350,7594,2627,1238,180,129,4169,247,127,381,4549,1061,343,5950,2967,911,215,81,4179,176,77,254,4434,931,277,5638,2740,1149,200,79,4163,142,71,213,4377,996,262,5636,3187,1459,197,118,4959,134,89,221,5181,967,269,6421,3632,1548,178,129,5486,166,84,242,5734,958,319,7010,4038,1548,171,108,5860,147,67,217,6070,971,326,7372,4253,1659,236,130,6277,154,70,220,6495,1212,320,8023,3296,1555,247,94,5193,102,79,182,5373,1833,348,7556,2053,1328,202,92,3676,76,66,147,3826,3297,329,7452,736,645,120,41,1544,6,12,18,1564,4116,329,6009,272,299,39,33,641,0,5,7,645,4070,334,5045,165,169,48,43,418,3,8,11,431,7942,1020,9389,31033,15479,2158,1219,49885,1596,1042,2645,52531,31743,4827,89102,826,2025,120,106,3083,202,303,503,3585,2874,442,6901,2506,1502,115,123,4251,313,177,492,4738,1010,559,6311
110,39133,912,954,1871,41001,28696,7388,77085,1581,2899,247,203,4930,430,489,919,5847,5737,640,12227,4112,1776,229,142,6264,506,303,809,7067,2579,570,10222,4407,1440,306,127,6282,392,141,534,6811,1868,484,9166,4219,1740,260,114,6337,303,154,456,6793,1877,506,9174,4862,2208,217,181,7468,301,148,445,7911,1840,530,10281,5588,2351,221,187,8352,280,143,426,8777,1801,601,11179,5975,2457,295,200,8924,283,104,384,9306,1924,560,11788,6314,2381,353,187,9238,258,141,395,9634,2329,609,12568,5179,2114,343,150,7784,193,105,294,8077,2967,558,11604,3296,1826,272,107,5501,149,110,254,5756,4980,550,11279,1273,1073,140,79,2567,10,21,35,2604,6210,530,9341,527,515,54,53,1148,4,9,11,1165,5884,542,7593,357,323,57,48,794,0,7,8,803,11028,1500,13337,47695,23102,3013,1776,75584,3096,1864,4962,80547,51028,8179,139759,1237,2856,219,182,4495,397,463,860,5359,5346,888,11590,3772,2019,244,183,6223,538,335,877,7095,2506,906,10510
