region_id,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85o,C11_M_Foo_hos_pers_S_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85_ov,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85o,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85o,C11_M_FldStu_NS_T,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85o,C11_M_T_T,C01_F_NatPhy_sci_15_19,C01_F_NatPhy_sci_20_24,C01_F_NatPhy_sci_25_34,C01_F_NatPhy_sci_35_44,C01_F_NatPhy_sci_45_54,C01_F_NatPhy_sci_55_64,C01_F_NatPhy_sci_65_74,C01_F_NatPhy_sci_75_84,C01_F_NatPhy_sci_85O,C01_F_NatPhy_sci_T,C01_F_InfTec_15_19,C01_F_InfTec_20_24,C01_F_InfTec_25_34,C01_F_InfTec_35_44,C01_F_InfTec_45_54,C01_F_InfTec_55_64,C01_F_InfTec_65_74,C01_F_InfTec_75_84,C01_F_InfTec_85O,C01_F_InfTec_T,C01_F_EngRT_15_19,C01_F_EngRT_20_24,C01_F_EngRT_25_34,C01_F_EngRT_35_44,C01_F_EngRT_45_54,C01_F_EngRT_55_64,C01_F_EngRT_65_74,C01_F_EngRT_75_84,C01_F_EngRT_85_ov,C01_F_EngRT_Tot,C01_F_ArchBuild_15_19,C01_F_ArchBuild_20_24,C01_F_ArchBuild_25_34,C01_F_ArchBuild_35_44,C01_F_ArchBuild_45_54,C01_F_ArchBuild_55_64,C01_F_ArchBuild_65_74,C01_F_ArchBuild_75_84,C01_F_ArchBuild_85o,C01_F_Arch_building_Tot,C01_F_AgEnv_RS_15_19,C01_F_AgEnv_RS_20_24,C01_F_AgEnv_RS_25_34,C01_F_AgEnv_RS_35_44,C01_F_AgEnv_RS_45_54,C01_F_AgEnv_RS_55_64,C01_F_AgEnv_RS_65_74,C01_F_AgEnv_RS_75_84,C01_F_AgEnv_RS_85o,C01_F_AgEnv_RS_T,C01_F_Health_15_19,C01_F_Health_20_24,C01_F_Health_25_34,C01_F_Health_35_44,C01_F_Health_45_54,C01_F_Health_55_64,C01_F_Health_65_74,C01_F_Health_75_84,C01_F_Health_85o,C01_F_Healt_T,C01_F_Educ_15_19,C01_F_Educ_20_24,C01_F_Educ_25_34,C01_F_Educ_35_44,C01_F_Educ_45_54,C01_F_Educ_55_64,C01_F_Educ_65_74,C01_F_Educ_75_84,C01_F_Educ_85o,C01_F_Educ_T,C01_F_MngtCom_15_19,C01_F_MngtCom_20_24,C01_F_MngtCom_25_34,C01_F_MngtCom_35_44,C01_F_MngtCom_45_54,C01_F_MngtCom_55_64,C01_F_MngtCom_65_74,C01_F_MngtCom_75_84,C01_F_MngtCom_85o,C01_F_MngtCom_T,C01_F_Soc_cult_15_19,C01_F_Soc_cult_20_24,C01_F_Soc_cult_25_34,C01_F_Soc_cult_35_44,C01_F_Soc_cult_45_54,C01_F_Soc_cult_55_64,C01_F_Soc_cult_65_74,C01_F_Soc_cult_75_84,C01_F_Soc_cult_85o,C01_F_Soc_cult_T,C01_F_Creative_art_15_19,C01_F_Creative_art_20_24,C01_F_Creative_art_25_34,C01_F_Creative_art_35_44,C01_F_Creative_art_45_54,C01_F_Creative_art_55_64,C01_F_Creative_art_65_74,C01_F_Creative_art_75_84,C01_F_Create_art_850,C01_F_Creative_arts_T,C01_F_FoodHos_PS_15_19,C01_F_FoodHos_PS_20_24,C01_F_FoodHos_PS_25_34,C01_F_FoodHos_PS_35_44,C01_F_FoodHos_PS_45_54,C01_F_FoodHos_PS_55_64,C01_F_FoodHos_PS_65_74,C01_F_FoodHos_PS_75_84,C01_F_FoodHos_PS_85o,C01_F_FoodHos_PS_T,C01_F_MixFld_pr_15_19,C01_F_MixFld_pr_20_24,C01_F_MixFld_pr_25_34,C01_F_MixFld_pr_35_44,C01_F_MixFld_pr_45_54,C01_F_MixFld_pr_55_64,C01_F_MixFld_pr_65_74,C01_F_MixFld_pr_75_84,C01_F_MixFld_pr_85o,C01_F_MixFld_pr_T,C01_F_FldStu_ID_15_19,C01_F_FldStu_ID_20_24,C01_F_FldStu_ID_25_34,C01_F_FldStu_ID_35_44,C01_F_FldStu_ID_45_54,C01_F_FldStu_ID_55_64,C01_F_FldStu_ID_65_74,C01_F_FldStu_ID_75_84,C01_F_FldStu_ID_85o,C01_F_FldStu_ID_T,C01_F_FldStu_NS_15_19,C01_F_FldStu_NS_20_24,C01_F_FldStu_NS_25_34,C01_F_FldStu_NS_35_44,C01_F_FldStu_NS_45_54,C01_F_FldStu_NS_55_64,C01_F_FldStu_NS_65_74,C01_F_FldStu_NS_75_84,C01_F_FldStu_NS_85o,C01_F_FldStu_NS_T,C01_F_Tot_15_19,C01_F_Tot_20_24,C01_F_Tot_25_34,C01_F_Tot_35_44,C01_F_Tot_45_54,C01_F_Tot_55_64,C01_F_Tot_65_74,C01_F_Tot_75_84,C01_F_Tot_85o,C01_F_T_T
101,41,193,462,494,405,251,150,65,12,2073,6,3,3,6,7,9,6,6,0,46,4,23,94,152,141,140,82,41,9,686,998,619,1169,1438,1523,1378,1181,922,340,9568,1395,2741,7113,9935,10822,10014,6293,3061,860,52234,0,40,175,202,158,90,42,14,0,721,8,50,111,153,90,32,8,0,0,452,4,26,139,150,126,94,105,57,11,712,3,18,59,69,31,12,5,0,0,197,12,68,207,207,100,49,15,4,0,662,20,171,764,1456,1292,867,484,177,46,5277,3,94,494,883,1128,678,255,90,37,3662,153,671,1604,1753,1357,751,357,192,39,6877,47,319,762,840,766,390,132,50,15,3321,7,84,282,254,188,132,71,29,11,1058,95,289,628,447,292,145,66,39,5,2006,0,0,4,7,3,7,3,0,0,24,6,24,69,70,65,35,18,15,3,305,656,362,779,1033,906,952,1309,1125,397,7519,1014,2216,6077,7524,6502,4234,2870,1792,564,32793
102,62,214,595,651,491,383,264,117,29,2806,8,6,7,5,15,11,4,9,0,65,13,34,99,140,140,121,81,47,25,700,1135,639,1119,1490,1668,1456,1606,1711,847,11671,1721,3734,9908,12713,13392,11490,8144,5250,1918,68270,3,49,184,192,135,60,40,14,3,680,18,48,126,177,117,31,6,3,0,526,10,39,171,241,172,145,193,127,34,1132,0,11,61,83,37,11,12,3,0,218,10,42,109,116,44,20,7,7,0,355,48,334,1361,2042,1498,795,539,267,81,6965,9,170,820,1238,1283,585,399,154,44,4702,284,956,2515,2624,1979,1082,736,439,75,10690,82,373,901,933,740,364,178,76,7,3654,17,144,340,365,202,120,101,60,20,1369,139,392,915,726,525,240,166,97,13,3213,0,0,7,9,10,4,5,3,0,38,7,17,62,86,69,31,30,26,7,335,803,472,990,1380,1231,1204,2240,2789,978,12087,1430,3047,8562,10212,8042,4692,4652,4065,1262,45964
103,38,168,343,360,268,174,132,55,12,1550,5,3,6,3,7,4,0,5,0,33,9,20,50,93,110,70,44,30,11,437,838,749,1247,1334,1239,1217,1085,868,277,8854,1242,3034,6950,8019,8180,7178,4448,2288,597,41936,0,24,127,113,79,47,11,3,0,404,10,36,72,117,81,18,6,3,0,343,4,30,118,122,89,65,60,37,13,538,3,14,35,38,17,7,3,3,3,123,13,85,233,186,98,51,18,6,0,690,28,170,852,1348,1233,687,385,183,54,4940,0,140,765,966,1071,546,232,81,45,3846,158,577,1455,1519,1132,520,236,123,31,5751,37,240,576,485,437,224,67,30,7,2103,17,62,157,155,128,88,58,27,5,697,92,245,514,313,211,99,44,24,3,1545,3,3,6,6,4,3,3,0,0,28,3,7,43,38,40,17,15,6,4,173,568,263,640,770,763,804,1084,1072,484,6448,936,1896,5593,6176,5383,3176,2222,1598,649,27629
104,23,118,302,278,244,195,135,32,10,1337,5,9,3,0,0,5,6,3,3,34,3,16,33,63,73,79,38,23,7,335,447,275,510,624,699,741,717,684,310,5007,726,1308,3399,4722,5752,6188,4113,2248,677,29133,0,14,46,77,60,23,16,7,3,246,5,15,55,79,53,19,5,0,0,231,3,4,40,89,68,57,63,36,18,378,0,4,21,28,21,6,3,0,0,83,6,22,90,87,34,10,9,3,0,261,7,85,375,892,834,480,307,113,27,3120,5,41,284,606,760,394,169,74,25,2358,115,293,772,1032,908,462,259,150,13,4004,23,106,357,465,375,166,65,27,7,1591,11,37,112,144,107,66,39,17,6,539,61,169,301,277,201,104,63,32,4,1212,0,3,4,8,3,0,3,3,0,24,3,5,25,41,30,18,18,9,0,149,359,140,344,460,432,516,834,854,361,4300,598,938,2826,4285,3886,2321,1853,1325,464,18496
105,15,78,170,170,135,113,75,37,3,796,4,3,3,3,4,3,3,0,0,23,3,18,24,42,39,46,23,11,3,209,504,442,748,781,889,838,791,613,188,5794,746,1575,3716,4138,4501,3937,2526,1288,319,22746,0,11,62,51,33,21,9,0,0,187,10,12,36,69,39,16,4,0,0,186,0,14,65,63,39,31,41,14,3,270,0,3,11,15,7,3,3,0,0,42,8,54,170,109,42,16,5,3,0,407,15,135,521,895,713,429,205,97,27,3037,3,170,594,525,526,265,108,38,14,2243,88,351,827,837,564,299,112,60,8,3146,14,129,323,268,236,97,30,9,3,1109,3,26,86,73,54,36,25,7,0,310,48,116,294,212,160,83,24,7,5,949,0,0,0,4,3,3,3,3,0,16,0,5,28,21,16,14,7,3,3,97,382,234,531,618,554,569,820,704,325,4737,571,1260,3548,3760,2986,1882,1396,945,388,16736
106,31,191,599,492,317,245,199,68,11,2153,4,5,3,4,4,10,4,3,0,37,14,26,109,154,116,88,54,25,9,595,895,663,1273,1444,1441,1281,1162,948,335,9442,1338,3665,9382,10684,10675,9069,5833,2783,743,54172,3,39,130,136,103,39,18,7,3,478,11,32,103,158,101,23,5,0,0,433,5,45,145,177,95,87,79,53,16,702,3,11,35,32,24,8,3,0,0,116,22,87,182,124,58,24,4,0,0,501,38,175,884,1540,1268,653,340,128,36,5062,4,102,526,811,936,404,207,76,20,3086,199,702,1799,1632,1198,584,299,142,23,6578,44,232,527,530,438,244,89,38,7,2149,18,62,170,162,157,72,64,17,7,729,113,330,741,458,284,134,63,30,6,2159,6,0,0,7,4,6,3,0,3,29,3,13,47,53,46,26,21,10,0,219,653,334,773,892,838,841,1255,1252,517,7355,1122,2164,6062,6712,5550,3145,2450,1753,638,29596
107,55,195,531,442,325,232,168,71,15,2034,12,40,11,10,5,11,9,3,0,101,9,37,114,139,148,106,54,28,11,646,866,705,1125,1151,1318,1212,1167,1240,406,9190,1402,4575,11458,12498,12669,10289,6150,3708,1087,63836,3,116,276,260,173,55,19,4,3,909,13,98,232,172,98,20,7,0,0,640,11,67,273,272,184,123,141,75,23,1169,0,18,65,73,29,14,0,0,0,199,3,47,113,71,44,15,8,0,3,304,38,301,1276,1756,1197,566,323,153,54,5664,8,238,911,1448,1511,577,260,108,30,5091,270,1189,2695,2370,1572,773,449,212,35,9565,71,478,1245,1121,868,360,120,60,7,4330,26,145,392,333,220,117,70,38,13,1354,119,429,831,575,363,172,95,48,10,2642,3,7,8,10,7,3,3,4,0,45,7,42,71,91,82,43,21,12,3,372,785,378,964,1169,1057,1113,1559,1593,577,9195,1357,3553,9352,9721,7405,3951,3075,2307,758,41479
108,39,170,369,404,349,300,217,82,23,1953,11,3,3,3,7,3,5,5,3,43,9,8,44,60,82,100,81,41,19,444,682,431,737,858,1129,1212,1312,1367,566,8294,1025,1847,4557,6678,8328,9018,7186,4311,1339,44289,0,7,55,74,94,49,24,9,3,315,6,16,67,127,87,22,5,3,0,333,3,11,57,140,81,93,152,100,19,656,0,3,26,29,20,16,6,5,0,105,11,23,79,119,60,23,7,3,3,328,20,139,606,1352,1179,779,494,224,57,4850,6,55,409,767,950,597,338,112,36,3270,139,376,1028,1402,1187,823,549,271,54,5829,41,169,443,530,495,273,134,44,8,2137,9,50,118,163,124,97,78,41,7,687,53,185,437,399,336,171,123,56,7,1767,0,0,3,5,3,6,5,3,0,25,3,6,21,41,38,30,25,10,7,181,519,198,507,690,672,835,1441,1676,668,7206,810,1238,3856,5838,5326,3814,3381,2557,869,27689
109,21,76,213,216,158,111,66,34,9,904,0,4,0,0,5,0,0,0,0,9,0,11,37,52,52,43,31,10,8,244,440,262,431,539,631,690,692,621,250,4556,685,1533,3684,4176,4497,4027,2622,1445,447,23116,0,18,75,53,40,9,5,3,0,203,3,15,40,60,47,13,3,0,0,181,3,22,66,53,40,38,38,31,4,295,0,3,22,14,6,3,0,0,0,48,9,67,136,110,46,20,5,0,0,393,9,101,467,839,787,401,256,108,33,3001,4,73,367,541,564,313,112,55,20,2049,78,348,738,759,469,207,117,66,15,2797,14,131,352,335,245,101,47,15,0,1240,5,37,94,72,76,35,29,10,9,367,44,174,346,267,158,91,54,20,3,1157,0,0,3,4,4,3,3,0,0,17,0,10,32,31,19,15,14,6,0,127,329,180,402,465,487,516,786,769,320,4254,498,1179,3140,3603,2988,1765,1469,1083,404,16129
110,34,137,290,287,237,168,103,37,9,1302,5,5,12,4,11,0,3,5,0,45,8,20,51,95,95,57,46,14,10,396,703,489,878,1021,1078,1020,999,787,270,7245,1083,2320,5539,6391,6841,6232,4006,1913,549,34874,0,39,124,136,92,43,20,14,0,468,10,26,54,82,59,29,6,0,0,266,7,28,64,79,58,57,56,18,16,383,0,6,27,25,15,11,4,0,3,91,18,94,207,159,71,43,16,5,0,613,26,172,745,1218,1133,686,341,169,51,4541,6,157,661,922,1019,496,216,81,38,3596,150,544,1221,1414,1024,488,208,83,19,5151,31,203,564,531,499,269,82,27,7,2213,7,54,165,148,94,78,51,28,8,633,87,192,400,313,201,91,32,21,3,1340,3,0,0,5,7,3,0,0,0,18,5,16,36,44,46,33,14,6,4,204,485,260,619,768,650,734,1023,1043,408,5990,835,1791,4887,5844,4968,3061,2069,1495,557,25507
