region_id,C01_0_14_SEO,C01_0_14_SOL_SE_Vw_w,C01_0_14_SOL_SE_Nw_Na,C01_0_14_SOL_SE_P_E_n,C01_0_14_SOL_SE_T,C01_0_14_LPE_NS,C01_0_14_T,C01_15_24_SEO,C01_15_24_SOL_SE_Vw_w,C01_15_24_SOL_SE_Nw_N,C01_15_24_SOL_SE_P_E_n,C01_15_24_S_ot_l_SE_T,C01_15_24_LPE_NS,C01_15_24_T,C01_25_34_SEO,C01_25_34_SOL_SE_Vw_w,C01_25_34_SOL_SE_Na,C01_25_34_SOL_SE_P_E_n,C01_25_34_SOL_SE_To,C01_25_34_LPE_NS,C01_25_34_T,C01_35_44_SEO,C01_35_44_SOL_SE_Vw_w,C01_35_44_SOL_SE_Na,C01_35_44_SOL_SE_P_E_n,C01_35_44_SOL_SE_To,C01_35_44_LPE_NS,C01_35_44_T,C01_45_54_SEO,C01_45_54_SOL_SE_Vw_w,C01_45_54_SOL_SE_Na,C01_45_54_SOL_SE_P_E_n,C01_45_54_SOL_SE_To,C01_45_54_LPE_NS,C01_45_54_T,C01_55_64_SEO,C01_55_64_SOL_SE_Vw_w,C01_55_64_SOL_SE_Na,C01_55_64_SOL_SE_P_E_n,C01_55_64_SOL_SE_To,C01_55_64_LPE_NS,C01_55_64_T,C01_65_74_SEO,C01_65_74_SOL_SE_Vw_w,C01_65_74_SOL_SE_Na,C01_65_74_SOL_SE_P_E_n,C01_65_74_SOL_SE_To,C01_65_74_LPE_NS,C01_65_74_T,C01_75_84_SEO,C01_75_84_SOL_SE_Vw_w,C01_75_84_SOL_SE_Na,C01_75_84_SOL_SE_P_E_n,C01_75_84_SOL_SE_To,C01_75_84_LPE_NS,C01_75_84_T,C01_85ov_SEO,C01_85o_SOL_SE_Vw_w,C01_85o_SOL_SE_Na,C01_85o_SOL_SE_P_E_n,C01_85o_SOL_SE_To,C01_85o_LPE_NS,C01_85o_T,C01_T_SEO,C01_To_SOL_SE_Vw_w,C01_To_SOL_SE_Nw_Na,C01_To_SOL_SE_P_E_n,C01_T_SOL_SE_T,C01_T_LPE_NS,C01_T_T,C06_0_14_SEO,C06_0_14_SOL_SE_Vw_w,C06_0_14_SOL_SE_Nw_Na,C06_0_14_SOL_SE_P_E_n,C06_0_14_SOL_SE_T,C06_0_14_LPE_NS,C06_0_14_T,C06_15_24_SEO,C06_15_24_SOL_SE_Vw_w,C06_15_24_SOL_SE_Nw_N,C06_15_24_SOL_SE_P_E_n,C06_15_24_S_ot_l_SE_T,C06_15_24_LPE_NS,C06_15_24_T,C06_25_34_SEO,C06_25_34_SOL_SE_Vw_w,C06_25_34_SOL_SE_Na,C06_25_34_SOL_SE_P_E_n,C06_25_34_SOL_SE_To,C06_25_34_LPE_NS,C06_25_34_T,C06_35_44_SEO,C06_35_44_SOL_SE_Vw_w,C06_35_44_SOL_SE_Na,C06_35_44_SOL_SE_P_E_n,C06_35_44_SOL_SE_To,C06_35_44_LPE_NS,C06_35_44_T,C06_45_54_SEO,C06_45_54_SOL_SE_Vw_w,C06_45_54_SOL_SE_Na,C06_45_54_SOL_SE_P_E_n,C06_45_54_SOL_SE_To,C06_45_54_LPE_NS,C06_45_54_T,C06_55_64_SEO,C06_55_64_SOL_SE_Vw_w,C06_55_64_SOL_SE_Na,C06_55_64_SOL_SE_P_E_n,C06_55_64_SOL_SE_To,C06_55_64_LPE_NS,C06_55_64_T,C06_65_74_SEO,C06_65_74_SOL_SE_Vw_w,C06_65_74_SOL_SE_Na,C06_65_74_SOL_SE_P_E_n,C06_65_74_SOL_SE_To,C06_65_74_LPE_NS,C06_65_74_T,C06_75_84_SEO,C06_75_84_SOL_SE_Vw_w,C06_75_84_SOL_SE_Na,C06_75_84_SOL_SE_P_E_n,C06_75_84_SOL_SE_To,C06_75_84_LPE_NS,C06_75_84_T,C06_85ov_SEO,C06_85o_SOL_SE_Vw_w,C06_85o_SOL_SE_Na,C06_85o_SOL_SE_P_E_n,C06_85o_SOL_SE_To,C06_85o_LPE_NS,C06_85o_T,C06_T_SEO,C06_To_SOL_SE_Vw_w,C06_To_SOL_SE_Nw_Na,C06_To_SOL_SE_P_E_n,C06_T_SOL_SE_T,C06_T_LPE_NS,C06_T_T,C11_0_14_SEO,C11_0_14_SOL_SE_Vw_w,C11_0_14_SOL_SE_Nw_Na,C11_0_14_SOL_SE_P_E_n,C11_0_14_SOL_SE_T,C11_0_14_LPE_NS,C11_0_14_T,C11_15_24_SEO,C11_15_24_SOL_SE_Vw_w,C11_15_24_SOL_SE_Nw_N,C11_15_24_SOL_SE_P_E_n,C11_15_24_S_ot_l_SE_T,C11_15_24_LPE_NS,C11_15_24_T,C11_25_34_SEO,C11_25_34_SOL_SE_Vw_w,C11_25_34_SOL_SE_Na,C11_25_34_SOL_SE_P_E_n,C11_25_34_SOL_SE_To,C11_25_34_LPE_NS,C11_25_34_T,C11_35_44_SEO,C11_35_44_SOL_SE_Vw_w,C11_35_44_SOL_SE_Na,C11_35_44_SOL_SE_P_E_n,C11_35_44_SOL_SE_To,C11_35_44_LPE_NS,C11_35_44_T,C11_45_54_SEO,C11_45_54_SOL_SE_Vw_w,C11_45_54_SOL_SE_Na,C11_45_54_SOL_SE_P_E_n,C11_45_54_SOL_SE_To,C11_45_54_LPE_NS,C11_45_54_T,C11_55_64_SEO,C11_55_64_SOL_SE_Vw_w,C11_55_64_SOL_SE_Na,C11_55_64_SOL_SE_P_E_n,C11_55_64_SOL_SE_To,C11_55_64_LPE_NS,C11_55_64_T,C11_65_74_SEO,C11_65_74_SOL_SE_Vw_w,C11_65_74_SOL_SE_Na,C11_65_74_SOL_SE_P_E_n,C11_65_74_SOL_SE_To,C11_65_74_LPE_NS,C11_65_74_T,C11_75_84_SEO,C11_75_84_SOL_SE_Vw_w,C11_75_84_SOL_SE_Na,C11_75_84_SOL_SE_P_E_n,C11_75_84_SOL_SE_To,C11_75_84_LPE_NS,C11_75_84_T,C11_85o_SEO,C11_85o_SOL_SE_Vw_w,C11_85o_SOL_SE_Na,C11_85o_SOL_SE_P_E_n
101,38763,1309,207,105,1621,2595,42979,21533,987,42,22,1051,1297,23881,21109,1255,78,17,1350,1369,23828,27015,1428,117,24,1569,1391,29975,25369,1392,140,17,1549,1105,28023,19307,1292,217,18,1527,884,21718,14274,925,236,21,1182,925,16381,8157,456,158,6,620,650,9427,2239,76,52,0,128,238,2605,177766,9120,1247,230,10597,10454,198817,38397,1288,293,134,1715,2314,42426,22717,894,58,9,961,1520,25198,19605,1258,72,13,1343,1570,22518,26734,1592,121,20,1733,1599,30066,28371,1366,127,10,1503,1558,31432,24275,1365,162,12,1539,1134,26948,15353,1073,207,13,1293,744,17390,9477,605,161,10,776,575,10828,2877,95,66,20,181,236,3294,187806,9536,1267,241,11044,11250,210100,38091,1376,360,66,1802,2359,42252,22695,974,65,14,1053,1628,25376,18466,1596,114,18,1728,1352,21546,25367,1782,116,21,1919,1680,28966,29048,1556,127,23,1706,1587,32341,27731,1452,170,27,1649,1332,30712,18578,1243,182,25,1450,917,20945,10057,719,185,10,914,661,11632,3660,224,78,4
102,57451,1250,254,123,1627,3387,62465,30430,978,47,19,1044,1279,32753,31637,1252,94,39,1385,1165,34187,38633,1728,120,22,1870,1278,41781,33783,1419,151,25,1595,1053,36431,24747,1241,150,18,1409,914,27070,23121,1088,148,30,1266,1116,25503,17085,642,115,4,761,1201,19047,4774,129,43,0,172,396,5342,261661,9727,1122,280,11129,11789,284579,55795,1251,345,156,1752,2888,60435,32671,931,60,14,1005,1663,35339,28613,1301,89,10,1400,1464,31477,36324,1861,125,31,2017,1781,40122,36386,1616,140,36,1792,1707,39885,29505,1377,167,38,1582,1454,32541,22352,1217,200,20,1437,1347,25136,18259,760,140,15,915,1603,20777,5864,221,67,6,294,886,7044,265769,10535,1333,326,12194,14793,292756,56092,1678,432,79,2189,2425,60706,35176,1131,62,18,1211,1398,37785,28887,1720,107,16,1843,1259,31989,35859,2318,166,29,2513,1547,39919,38394,2029,177,21,2227,1588,42209,34120,1724,222,13,1959,1298,37377,25847,1455,233,17,1705,1224,28776,17853,905,183,31,1119,1189,20161,7656,323,88,3
103,40273,664,123,72,859,2107,43239,23004,568,50,6,624,981,24609,21403,578,56,12,646,1155,23204,25436,700,77,11,788,944,27168,23897,610,90,7,707,853,25457,18042,484,88,9,581,647,19270,12959,374,81,0,455,671,14085,7832,264,58,3,325,542,8699,2595,63,21,3,87,177,2859,175441,4305,644,123,5072,8077,188590,38361,594,183,119,896,1347,40604,22950,467,61,8,536,1033,24519,18959,570,47,10,627,1086,20672,23511,681,78,9,768,1068,25347,24312,611,82,9,702,916,25930,21357,531,80,10,621,851,22829,14126,376,80,9,465,660,15251,9024,259,50,5,314,559,9897,3004,87,26,3,116,208,3328,175604,4176,687,182,5045,7728,188377,38074,952,216,36,1204,1757,41035,23101,698,40,11,749,1331,25181,18828,776,75,11,862,1312,21002,22377,925,97,9,1031,1397,24805,24730,781,90,11,882,1107,26719,23070,624,77,6,707,1082,24859,16377,455,67,11,533,825,17735,9822,291,68,7,366,615,10803,3568,124,29,6
104,24600,570,99,42,711,1215,26526,12469,298,23,12,333,468,13270,11201,370,45,6,421,483,12105,16871,567,50,13,630,482,17983,16633,500,54,6,560,457,17650,12912,331,27,4,362,336,13610,10926,333,59,3,395,430,11751,6445,188,42,3,233,383,7061,1810,38,19,0,57,122,1989,113867,3195,418,89,3702,4376,121945,23735,562,136,67,765,773,25273,13073,391,32,7,430,551,14054,10414,412,30,3,445,446,11305,15307,574,69,12,655,574,16536,18182,573,65,11,649,597,19428,16027,431,24,4,459,495,16981,11751,319,50,3,372,433,12556,7459,224,51,3,278,463,8200,2355,65,20,0,85,241,2681,118303,3551,477,110,4138,4573,127014,22842,773,238,41,1052,920,24814,13404,584,77,10,671,545,14620,10235,649,96,20,765,525,11525,14101,750,100,9,859,591,15551,17781,691,89,8,788,615,19184,18594,559,67,11,637,609,19840,13699,361,36,0,397,507,14603,7900,295,54,0,349,364,8613,3044,82,31,3
105,26324,326,54,39,419,1713,28456,13217,185,17,4,206,683,14106,14448,297,36,7,340,701,15489,16562,397,36,7,440,669,17671,15075,432,56,3,491,585,16151,11796,357,55,10,422,457,12675,8652,305,77,8,390,531,9573,4489,126,34,5,165,393,5047,1363,32,9,3,44,162,1569,111926,2457,374,86,2917,5894,120737,24173,306,94,68,468,1241,25882,12472,174,16,4,194,851,13517,11768,296,29,5,330,668,12766,14304,332,48,16,396,779,15479,15209,330,39,11,380,811,16400,12855,329,42,3,374,650,13879,8950,266,57,3,326,515,9791,5419,135,40,3,178,431,6028,1566,34,16,0,50,207,1823,106716,2202,381,113,2696,6153,115565,22395,462,98,20,580,1195,24170,12595,245,28,6,279,860,13734,11203,473,42,5,520,817,12540,12789,494,36,8,538,821,14148,14956,390,51,3,444,888,16288,13931,347,40,9,396,761,15088,10097,250,39,5,294,622,11013,5802,176,32,5,213,452,6467,1908,44,13,0
106,45236,545,109,87,741,2520,48497,25021,391,16,10,417,1105,26543,25170,526,45,3,574,1304,27048,29854,684,61,21,766,1099,31719,27215,623,72,17,712,918,28845,19036,549,59,11,619,746,20401,13925,393,61,10,464,727,15116,8155,303,79,7,389,551,9095,2408,45,22,8,75,171,2654,196020,4059,524,174,4757,9141,209918,46825,674,180,129,983,1881,49689,26588,444,48,16,508,1151,28247,24784,550,68,6,624,1179,26587,29481,794,66,11,871,1299,31651,29372,701,84,4,789,1064,31225,24616,598,63,5,666,933,26215,15414,414,60,8,482,698,16594,9863,324,83,13,420,661,10944,2915,83,44,3,130,312,3357,209858,4582,696,195,5473,9178,224509,48037,751,248,57,1056,1899,50992,28739,596,54,14,664,1334,30737,26086,1014,113,11,1138,1326,28550,30061,1045,85,14,1144,1435,32640,30864,902,103,9,1014,1325,33203,27930,718,75,4,797,1187,29914,18985,523,54,6,583,892,20460,10567,298,61,5,364,694,11625,3745,116,47,7
107,46337,3964,684,243,4891,3176,54404,29230,5076,269,94,5439,1142,35811,27790,5371,358,105,5834,1142,34766,31878,5073,571,95,5739,1114,38731,26748,4412,1000,77,5489,952,33189,18629,3447,1440,65,4952,707,24288,14273,2871,1668,73,4612,716,19601,9237,1300,848,37,2185,618,12040,2684,174,203,13,390,191,3265,206806,31688,7041,802,39531,9758,256095,46147,3370,705,255,4330,2177,52654,30152,4194,286,61,4541,1619,36312,25832,4732,288,63,5083,1264,32179,30274,4769,366,63,5198,1337,36809,29451,4283,740,52,5075,1221,35747,21869,3705,1121,52,4878,970,27717,14984,2922,1627,47,4596,850,20430,10622,1853,1195,30,3078,773,14473,3341,325,259,9,593,265,4199,212672,30153,6587,632,37372,10476,260520,46236,3604,1001,129,4734,1522,52492,31972,4435,436,66,4937,1303,38212,25803,5338,374,42,5754,1206,32763,29828,5142,389,48,5579,1028,36435,31478,4694,526,53,5273,1093,37844,25479,3927,1004,69,5000,938,31417,17493,2958,1382,46,4386,707,22586,11070,2095,1427,32,3554,770,15394,4330,607,453,18
108,35507,472,77,57,606,1792,37905,17236,210,24,14,248,591,18075,15845,345,26,5,376,499,16720,23887,553,43,7,603,567,25057,24064,488,31,5,524,564,25152,21972,531,29,4,564,531,23067,19962,447,38,12,497,678,21137,12584,267,19,3,289,655,13528,3290,77,15,5,97,216,3603,174347,3390,302,112,3804,6093,184244,34200,415,125,73,613,1358,36171,18253,225,27,3,255,737,19245,14685,343,28,6,377,757,15819,22127,565,48,4,617,867,23611,26191,556,50,5,611,953,27755,26102,509,38,12,559,804,27465,21009,516,37,6,559,762,22330,14512,301,36,8,345,896,15753,4258,102,22,3,127,449,4834,181337,3532,411,120,4063,7583,192983,33820,628,161,29,818,1220,35858,18678,274,27,3,304,846,19828,14221,463,41,11,515,751,15487,20484,671,55,3,729,864,22077,26362,710,44,7,761,991,28114,28471,672,55,7,734,1092,30297,24588,602,36,5,643,903,26134,15166,399,34,5,438,844,16448,5499,207,23,3
109,22252,359,65,41,465,1206,23923,12388,326,25,8,359,503,13250,12014,366,39,5,410,497,12921,14677,485,42,15,542,470,15689,13935,469,42,11,522,462,14919,10213,375,60,12,447,437,11097,7923,315,60,7,382,451,8756,4738,212,42,8,262,358,5358,1532,54,29,4,87,102,1721,99672,2961,404,111,3476,4486,107634,21372,353,75,51,479,766,22617,12734,284,17,6,307,529,13570,11100,358,35,6,399,432,11931,13599,486,57,3,546,502,14647,15052,438,47,0,485,577,16114,12458,358,29,4,391,497,13346,8417,316,48,3,367,417,9201,5766,254,52,6,312,415,6493,1768,84,20,3,107,134,2009,102266,2931,380,82,3393,4269,109928,19683,469,162,31,662,808,21153,12488,401,53,3,457,568,13513,10210,691,93,7,791,454,11455,12387,598,59,8,665,525,13577,14333,496,47,3,546,576,15455,13878,378,48,4,430,591,14899,9923,330,47,10,387,492,10802,6045,254,56,3,313,385,6743,2245,104,35,4
110,36461,472,95,79,646,1945,39052,21475,470,48,10,528,706,22709,19669,436,36,7,479,715,20863,23422,562,51,10,623,740,24785,22167,494,44,13,551,631,23349,17386,372,49,3,424,531,18341,12293,277,61,5,343,590,13226,7189,176,29,3,208,443,7840,2403,37,17,0,54,127,2584,162465,3296,430,130,3856,6428,172749,35127,430,133,82,645,1368,37140,21108,516,52,12,580,747,22435,17229,409,47,9,465,729,18423,21438,520,60,3,583,928,22949,22834,450,40,5,495,781,24110,19857,366,53,5,424,774,21055,13516,288,44,7,339,649,14504,8151,183,36,4,223,634,9008,2618,42,10,3,55,389,3062,161878,3204,475,130,3809,6999,172686,33867,581,205,41,827,1574,36268,20847,601,106,3,710,1040,22597,16649,760,106,7,873,957,18479,19712,705,73,7,785,1066,21563,22665,566,38,6,610,1018,24293,21303,390,53,6,449,896,22648,15601,283,38,8,329,712,16642,8816,181,31,5,217,558,9591,3216,77,18,0
