region_id,Ag_forest_fish_C01_M,Ag_forest_fish_C01_F,Ag_forest_fish_C01_P,Ag_forest_fish_C06_M,Ag_forest_fish_C06_F,Ag_forest_fish_C06_P,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Mining_C01_M,Mining_C01_F,Mining_C01_P,Mining_C06_M,Mining_C06_F,Mining_C06_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Manuf_C01_M,Manuf_C01_F,Manuf_C01_P,Manuf_C06_M,Manuf_C06_F,Manuf_C06_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Ele_gas_wat_was_ser_01_Cen_M,Ele_gas_wat_was_ser_01_Cen_F,Ele_gas_wat_was_ser_01_Cen_P,Ele_gas_wat_was_ser_06_Cen_M,Ele_gas_wat_was_ser_06_Cen_F,Ele_gas_wat_was_ser_06_Cen_P,Ele_gas_wat_was_ser_11_Cen_M,Ele_gas_wat_was_ser_11_Cen_F,Ele_gas_wat_was_ser_11_Cen_P,Constr_C01_M,Constr_C01_F,Constr_C01_P,Constr_C06_M,Constr_C06_F,Constr_C06_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Whlesale_tde_C01_M,Whlesale_tde_C01_F,Whlesale_tde_C01_P,Whlesale_tde_C06_M,Whlesale_tde_C06_F,Whlesale_tde_C06_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Retail_tde_C01_M,Retail_tde_C01_F,Retail_tde_C01_P,Retail_tde_C06_M,Retail_tde_C06_F,Retail_tde_C06_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Accom_food_S_C01_M,Accom_food_S_C01_F,Accom_food_S_C01_P,Accom_food_S_C06_M,Accom_food_S_C06_F,Accom_food_S_C06_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Tpt_post_ware_C01_M,Tpt_post_ware_C01_F,Tpt_post_ware_C01_P,Tpt_post_ware_C06_M,Tpt_post_ware_C06_F,Tpt_post_ware_C06_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Inf_Medi_Tele_C01_M,Inf_Medi_Tele_C01_F,Inf_Medi_Tele_C01_P,Inf_Medi_Tele_C06_M,Inf_Medi_Tele_C06_F,Inf_Medi_Tele_C06_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Finan_Insu_S_C01_M,Finan_Insu_S_C01_F,Finan_Insu_S_C01_P,Finan_Insu_S_C06_M,Finan_Insu_S_C06_F,Finan_Insu_S_C06_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Rent_hir_re_est_S_01_Cen_M,Rent_hir_re_est_S_01_Cen_F,Rent_hir_re_est_S_01_Cen_P,Rent_hir_re_est_S_06_Cen_M,Rent_hir_re_est_S_06_Cen_F,Rent_hir_re_est_S_06_Cen_P,Rent_hir_re_est_S_11_Cen_M,Rent_hir_re_est_S_11_Cen_F,Rent_hir_re_est_S_11_Cen_P,Prof_scie_tech_S_01_Cens_M,Prof_scie_tech_S_01_Cens_F,Prof_scie_tech_S_01_Cens_P,Prof_scie_tech_S_06_Cens_M,Prof_scie_tech_S_06_Cens_F,Prof_scie_tech_S_06_Cens_P,Prof_scie_tech_S_11_Cens_M,Prof_scie_tech_S_11_Cens_F,Prof_scie_tech_S_11_Cens_P,Admin_supp_S_C01_M,Admin_supp_S_C01_F,Admin_supp_S_C01_P,Admin_supp_S_C06_M,Admin_supp_S_C06_F,Admin_supp_S_C06_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Pub_admin_safet_C01_M,Pub_admin_safet_C01_F,Pub_admin_safet_C01_P,Pub_admin_safet_C06_M,Pub_admin_safet_C06_F,Pub_admin_safet_C06_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Educ_trn_C01_M,Educ_trn_C01_F,Educ_trn_C01_P,Educ_trn_C06_M,Educ_trn_C06_F,Educ_trn_C06_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Hea_car_soc_assist_01_Cens_M,Hea_car_soc_assist_01_Cens_F,Hea_car_soc_assist_01_Cens_P,Hea_car_soc_assist_06_Cens_M,Hea_car_soc_assist_06_Cens_F,Hea_car_soc_assist_06_Cens_P,Hea_car_soc_assist_11_Cens_M,Hea_car_soc_assist_11_Cens_F,Hea_car_soc_assist_11_Cens_P,Arts_rec_S_C01_M,Arts_rec_S_C01_F,Arts_rec_S_C01_P,Arts_rec_S_C06_M,Arts_rec_S_C06_F,Arts_rec_S_C06_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Oth_services_C01_M,Oth_services_C01_F,Oth_services_C01_P,Oth_services_C06_M,Oth_services_C06_F,Oth_services_C06_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Inad_descr_Ns_C01_M,Inad_descr_Ns_C01_F,Inad_descr_Ns_C01_P,Inad_descr_Ns_C06_M,Inad_descr_Ns_C06_F,Inad_descr_Ns_C06_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
101,5898,2159,8057,5021,1881,6902,4522,1628,6150,232,22,254,241,28,269,372,47,419,4336,1730,6066,4659,1413,6072,4254,1439,5693,884,204,1088,1041,256,1297,1197,287,1484,5394,686,6080,7087,906,7993,8062,974,9036,2529,918,3447,1794,774,2568,1726,725,2451,4305,5159,9464,4710,6315,11025,4654,6110,10764,3812,4879,8691,3472,4829,8301,3598,4906,8504,2653,805,3458,3001,871,3872,2980,855,3835,859,660,1519,721,569,1290,661,580,1241,609,999,1608,643,1101,1744,610,1029,1639,719,735,1454,647,841,1488,690,830,1520,2208,2078,4286,2644,2393,5037,2812,2661,5473,1113,1307,2420,1117,1254,2371,1240,1341,2581,4592,3288,7880,6204,5022,11226,7230,6435,13665,1907,3715,5622,2067,4349,6416,2236,4981,7217,1611,6027,7638,1870,7341,9211,2028,8728,10756,640,463,1103,1013,771,1784,1120,837,1957,1863,1302,3165,1864,1434,3298,2068,1517,3585,990,875,1865,1284,838,2122,1238,825,2063,47154,38011,85165,51100,43186,94286,53298,46735,100033
102,817,445,1262,605,369,974,574,308,882,334,28,362,357,33,390,599,49,648,8327,3577,11904,8310,3231,11541,8453,2890,11343,1227,145,1372,1292,178,1470,1580,230,1810,9194,1321,10515,10037,1409,11446,10828,1436,12264,3548,1664,5212,2863,1673,4536,2912,1491,4403,5935,8209,14144,6637,9637,16274,6674,9579,16253,3300,4454,7754,3555,4577,8132,3913,5480,9393,3978,940,4918,4202,978,5180,4569,983,5552,1822,1073,2895,1567,775,2342,1629,917,2546,1726,2374,4100,1838,2382,4220,1715,2352,4067,1048,1139,2187,1087,1208,2295,976,1150,2126,3077,2895,5972,3224,2866,6090,3672,3316,6988,1712,1816,3528,1780,1822,3602,2151,2301,4452,3834,2041,5875,4482,2848,7330,4850,3377,8227,2404,4860,7264,2485,5635,8120,2806,6485,9291,2706,9514,12220,3203,12041,15244,3685,14685,18370,849,660,1509,875,785,1660,1032,875,1907,3047,1944,4991,2728,2162,4890,2916,2447,5363,1343,1217,2560,1602,1199,2801,1756,1228,2984,60228,50316,110544,62729,55808,118537,67290,61579,128869
103,8089,3004,11093,7037,2604,9641,6142,2292,8434,2014,152,2166,2727,239,2966,4685,553,5238,6738,2108,8846,6025,1659,7684,5476,1607,7083,988,175,1163,1061,221,1282,1125,249,1374,4012,485,4497,4532,572,5104,5140,676,5816,2446,866,3312,1658,638,2296,1639,705,2344,3557,4963,8520,3718,5574,9292,3412,5458,8870,1821,3344,5165,1875,3558,5433,1999,3783,5782,2603,755,3358,2722,792,3514,2931,784,3715,498,420,918,476,438,914,409,364,773,415,899,1314,415,927,1342,360,832,1192,392,433,825,400,502,902,405,507,912,1363,1269,2632,1341,1380,2721,1546,1611,3157,769,983,1752,670,926,1596,920,1147,2067,2596,1564,4160,3219,2203,5422,3196,2378,5574,1893,4352,6245,1805,4919,6724,2018,5450,7468,1271,6057,7328,1508,7094,8602,1805,8351,10156,350,256,606,358,302,660,374,320,694,1581,1126,2707,1659,1270,2929,1989,1327,3316,997,854,1851,997,760,1757,1112,751,1863,44393,34065,78458,44203,36578,80781,46683,39145,85828
104,2127,836,2963,1856,764,2620,1705,712,2417,36,0,36,59,10,69,151,22,173,2585,731,3316,2746,650,3396,2592,628,3220,308,42,350,386,71,457,466,94,560,2611,344,2955,3287,434,3721,3883,515,4398,1303,505,1808,1037,400,1437,1019,401,1420,2557,3235,5792,2999,3924,6923,2762,3963,6725,1692,2448,4140,1844,2634,4478,1913,2821,4734,1245,340,1585,1515,367,1882,1516,374,1890,441,325,766,412,299,711,308,242,550,341,593,934,376,650,1026,349,595,944,406,420,826,384,462,846,394,477,871,777,730,1507,898,993,1891,1016,1111,2127,611,546,1157,670,618,1288,778,714,1492,1530,970,2500,1826,1338,3164,1971,1514,3485,1245,2262,3507,1248,2662,3910,1334,3050,4384,1001,3599,4600,1320,4651,5971,1688,5866,7554,423,263,686,412,277,689,408,294,702,1072,685,1757,1085,778,1863,1153,835,1988,490,468,958,625,457,1082,593,458,1051,22801,19342,42143,24985,22439,47424,25999,24686,50685
105,6577,2302,8879,5235,1905,7140,4888,1717,6605,1161,87,1248,1537,171,1708,1698,220,1918,1981,594,2575,1931,472,2403,1837,443,2280,466,87,553,551,128,679,619,164,783,2178,288,2466,2358,295,2653,2605,292,2897,1786,565,2351,1166,409,1575,1125,396,1521,2324,2886,5210,2218,3140,5358,2125,3000,5125,1150,2199,3349,1039,2017,3056,1154,2166,3320,1457,443,1900,1619,408,2027,1660,383,2043,413,291,704,274,218,492,209,177,386,308,525,833,271,530,801,264,491,755,222,248,470,198,261,459,206,263,469,709,788,1497,648,786,1434,688,868,1556,572,694,1266,433,562,995,501,623,1124,1851,1145,2996,2097,1391,3488,2212,1590,3802,1014,2643,3657,1071,3016,4087,1099,3314,4413,963,3944,4907,1174,4481,5655,1227,5237,6464,281,196,477,251,231,482,330,271,601,1105,677,1782,1011,655,1666,1117,727,1844,749,588,1337,813,555,1368,724,442,1166,27267,21190,48457,25895,21631,47526,26288,22784,49072
106,3149,1539,4688,2767,1458,4225,2329,1322,3651,4503,258,4761,5906,521,6427,8566,1161,9727,7202,2208,9410,8182,2112,10294,8564,2229,10793,1159,225,1384,1381,263,1644,1456,320,1776,5253,844,6097,6389,1028,7417,7499,1177,8676,2840,972,3812,2123,799,2922,2213,862,3075,3730,5879,9609,4145,7151,11296,3964,7497,11461,2355,4327,6682,2533,4756,7289,2817,5494,8311,2829,737,3566,3223,905,4128,3619,1037,4656,492,351,843,447,365,812,369,360,729,444,1097,1541,538,1257,1795,519,1300,1819,628,652,1280,766,824,1590,808,898,1706,1585,1504,3089,2053,1927,3980,2345,2318,4663,1086,1297,2383,1198,1365,2563,1485,1843,3328,3771,1594,5365,4136,2253,6389,4363,2573,6936,1516,3547,5063,1531,4306,5837,1677,4835,6512,1292,5899,7191,1533,7391,8924,1608,9254,10862,472,335,807,496,513,1009,553,633,1186,2206,1379,3585,2466,1613,4079,3220,1928,5148,1071,794,1865,1439,866,2305,1532,890,2422,47583,35438,83021,53252,41673,94925,59506,47931,107437
107,435,205,640,326,165,491,336,152,488,1305,55,1360,2051,118,2169,2815,181,2996,12807,2488,15295,11338,2118,13456,9894,1807,11701,937,216,1153,931,192,1123,1107,193,1300,6985,841,7826,7776,1002,8778,8206,1000,9206,2877,1038,3915,2007,922,2929,2134,904,3038,4992,7151,12143,4948,7728,12676,4858,7588,12446,2836,4092,6928,2924,4428,7352,3512,5048,8560,4103,854,4957,4411,879,5290,5011,968,5979,1079,859,1938,949,682,1631,856,589,1445,1195,2366,3561,1376,2495,3871,1467,2751,4218,910,854,1764,989,968,1957,868,953,1821,2849,2232,5081,3195,2453,5648,3463,2642,6105,1652,1816,3468,1476,1787,3263,1636,2049,3685,3504,2387,5891,4104,3056,7160,4693,3584,8277,3305,6259,9564,3640,7122,10762,3969,8265,12234,2205,8409,10614,2588,10075,12663,3143,12565,15708,690,589,1279,807,770,1577,900,770,1670,2450,1772,4222,2411,1868,4279,2721,2065,4786,1250,977,2227,1499,934,2433,1375,966,2341,58366,45460,103826,59746,49762,109508,62964,55040,118004
108,2867,1198,4065,2443,1055,3498,2154,892,3046,203,16,219,225,23,248,490,48,538,3842,1313,5155,4145,1163,5308,3786,979,4765,699,189,888,904,410,1314,1179,572,1751,4365,552,4917,5558,742,6300,5605,714,6319,1799,600,2399,1349,516,1865,1285,503,1788,3826,4701,8527,4143,5571,9714,4051,5604,9655,2137,3225,5362,2391,3516,5907,2532,3812,6344,1896,524,2420,2126,516,2642,2275,504,2779,432,331,763,428,283,711,354,325,679,453,823,1276,487,887,1374,468,846,1314,594,596,1190,590,731,1321,507,692,1199,986,1067,2053,1165,1324,2489,1329,1400,2729,841,844,1685,896,853,1749,1154,1081,2235,1755,1060,2815,2106,1351,3457,2193,1542,3735,1615,3134,4749,1685,3640,5325,1825,4111,5936,1539,5567,7106,1870,7028,8898,2307,8801,11108,427,237,664,503,371,874,537,394,931,1576,1028,2604,1521,1161,2682,1602,1206,2808,679,658,1337,926,583,1509,855,630,1485,32531,27663,60194,35461,31724,67185,36488,34656,71144
109,5837,2063,7900,5099,1832,6931,4166,1437,5603,48,10,58,111,19,130,267,31,298,4556,1501,6057,4392,1352,5744,4118,1272,5390,362,63,425,462,80,542,520,85,605,2304,301,2605,3293,430,3723,3345,445,3790,1646,601,2247,1259,502,1761,1112,444,1556,2110,2938,5048,2318,3516,5834,2242,3278,5520,1317,2395,3712,1417,2465,3882,1419,2477,3896,1499,437,1936,1757,484,2241,1805,461,2266,370,259,629,320,222,542,218,221,439,310,508,818,351,592,943,281,583,864,271,248,519,251,271,522,239,274,513,795,798,1593,942,939,1881,923,920,1843,465,574,1039,534,552,1086,595,618,1213,1439,899,2338,1646,1236,2882,1736,1469,3205,921,2231,3152,910,2537,3447,991,2781,3772,730,3432,4162,750,4156,4906,977,4911,5888,229,138,367,221,206,427,258,246,504,933,647,1580,986,698,1684,1020,737,1757,613,525,1138,726,537,1263,715,497,1212,26755,20568,47323,27745,22626,50371,26947,23187,50134
110,9962,3805,13767,8714,3357,12071,8023,3038,11061,261,33,294,338,32,370,1006,123,1129,3674,1092,4766,3968,1151,5119,3896,1179,5075,471,51,522,584,75,659,725,98,823,3231,424,3655,3974,564,4538,4392,555,4947,2584,875,3459,1673,637,2310,1707,663,2370,3379,4194,7573,3456,4682,8138,3360,4833,8193,1742,2986,4728,1668,2989,4657,1807,3194,5001,2410,671,3081,2521,700,3221,2657,723,3380,531,347,878,488,307,795,336,296,632,487,862,1349,499,930,1429,500,944,1444,351,393,744,384,430,814,405,492,897,1292,1480,2772,1207,1532,2739,1261,1628,2889,695,912,1607,716,819,1535,760,915,1675,2347,1223,3570,2769,1515,4284,2671,1645,4316,2087,4291,6378,2143,4849,6992,2185,5216,7401,1346,5397,6743,1454,6201,7655,1607,7363,8970,338,194,532,372,263,635,363,264,627,1695,1090,2785,1774,1205,2979,1830,1220,3050,1002,899,1901,1071,793,1864,1057,661,1718,39885,31219,71104,39773,33031,72804,40548,35050,75598
