region_id,Age_74_C11_P,Age_70_74_C01_M,Age_70_74_C01_F,Age_70_74_C01_P,Age_70_74_C06_M,Age_70_74_C06_F,Age_70_74_C06_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_75_C01_M,Age_75_C01_F,Age_75_C01_P,Age_75_C06_M,Age_75_C06_F,Age_75_C06_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_76_C01_M,Age_76_C01_F,Age_76_C01_P,Age_76_C06_M,Age_76_C06_F,Age_76_C06_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_77_C01_M,Age_77_C01_F,Age_77_C01_P,Age_77_C06_M,Age_77_C06_F,Age_77_C06_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_78_C01_M,Age_78_C01_F,Age_78_C01_P,Age_78_C06_M,Age_78_C06_F,Age_78_C06_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_79_C01_M,Age_79_C01_F,Age_79_C01_P,Age_79_C06_M,Age_79_C06_F,Age_79_C06_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_75_79_C01_M,Age_75_79_C01_F,Age_75_79_C01_P,Age_75_79_C06_M,Age_75_79_C06_F,Age_75_79_C06_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_80_84_C01_M,Age_80_84_C01_F,Age_80_84_C01_P,Age_80_84_C06_M,Age_80_84_C06_F,Age_80_84_C06_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_85ov_C01_M,Age_85ov_C01_F,Age_85ov_C01_P,Age_85ov_C06_M,Age_85ov_C06_F,Age_85ov_C06_P,Age_85ov_C11_M,Age_85ov_C11_F,Age_85ov_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
101,1545,3944,3940,7884,3805,3797,7602,4625,4403,9028,631,690,1321,693,703,1396,741,761,1502,588,699,1287,641,715,1356,669,739,1408,501,629,1130,611,686,1297,619,653,1272,527,555,1082,579,625,1204,618,611,1229,459,541,1000,539,595,1134,571,622,1193,2706,3114,5820,3063,3324,6387,3218,3386,6604,1522,2085,3607,1862,2576,4438,2277,2746,5023,835,1770,2605,1153,2140,3293,1514,2818,4332,577,606,1183,544,545,1089,565,570,1135,100839,99161,200000,106497,104694,211191,110282,108953,219235
102,2438,5984,7086,13070,5516,6471,11987,6120,6921,13041,1163,1362,2525,1077,1313,2390,1008,1211,2219,1081,1318,2399,1074,1338,2412,996,1263,2259,962,1248,2210,1064,1288,2352,953,1182,2135,935,1195,2130,991,1364,2355,900,1155,2055,889,1206,2095,948,1247,2195,951,1155,2106,5030,6329,11359,5154,6550,11704,4808,5966,10774,3001,4687,7688,3737,5336,9073,3954,5434,9388,1815,3529,5344,2480,4564,7044,3134,5755,8889,379,548,927,384,578,962,358,464,822,138065,147443,285508,141419,152293,293712,148626,160005,308631
103,1511,3245,3409,6654,3365,3555,6920,3878,3947,7825,548,649,1197,628,690,1318,638,739,1377,490,653,1143,552,608,1160,620,671,1291,468,587,1055,532,650,1182,553,644,1197,382,566,948,497,611,1108,547,568,1115,364,527,891,446,571,1017,542,604,1146,2252,2982,5234,2655,3130,5785,2900,3226,6126,1285,2180,3465,1634,2478,4112,2050,2626,4676,867,1991,2858,1010,2317,3327,1277,2731,4008,212,291,503,215,239,454,304,331,635,94784,94310,189094,94321,94511,188832,98858,97920,196778
104,1218,2905,2790,5695,2848,2927,5775,3192,3238,6430,500,552,1052,518,549,1067,581,569,1150,428,485,913,476,529,1005,490,544,1034,406,467,873,483,487,970,461,500,961,363,435,798,427,453,880,446,452,898,327,415,742,413,440,853,432,474,906,2024,2354,4378,2317,2458,4775,2410,2539,4949,1151,1532,2683,1446,1980,3426,1706,1958,3664,665,1324,1989,954,1726,2680,1203,2130,3333,305,360,665,278,337,615,311,379,690,60513,62097,122610,62570,65060,127630,64877,67893,132770
105,896,2281,2255,4536,2181,2234,4415,2458,2415,4873,333,391,724,403,422,825,424,457,881,328,365,693,408,368,776,337,389,726,259,344,603,362,395,757,339,337,676,253,312,565,368,346,714,307,356,663,206,295,501,302,379,681,308,405,713,1379,1707,3086,1843,1910,3753,1715,1944,3659,741,1220,1961,910,1364,2274,1248,1557,2805,433,1134,1567,554,1268,1822,724,1437,2161,176,185,361,142,165,307,207,180,387,60936,60160,121096,57968,57903,115871,58106,57889,115995
106,1641,3462,3827,7289,3567,3930,7497,4331,4435,8766,593,699,1292,666,719,1385,792,774,1566,529,695,1224,659,713,1372,605,748,1353,515,648,1163,554,680,1234,580,689,1269,457,570,1027,525,679,1204,585,714,1299,396,551,947,495,683,1178,552,621,1173,2490,3163,5653,2899,3474,6373,3114,3546,6660,1355,2087,3442,1873,2696,4569,2091,2876,4967,803,1851,2654,1062,2297,3359,1440,2814,4254,306,319,625,323,332,655,311,371,682,105139,105404,210543,111977,113191,225168,121180,121880,243060
107,1934,4481,5104,9585,4529,5007,9536,4851,5497,10348,798,967,1765,873,964,1837,892,1007,1899,696,891,1587,852,1000,1852,783,980,1763,658,837,1495,773,937,1710,794,917,1711,594,774,1368,692,849,1541,722,888,1610,584,733,1317,634,860,1494,719,857,1576,3330,4202,7532,3824,4610,8434,3910,4649,8559,1822,2686,4508,2484,3555,6039,2940,3896,6836,1023,2242,3265,1401,2796,4197,2046,3729,5775,644,771,1415,619,727,1346,740,766,1506,127686,129824,257510,129003,132865,261868,135154,139272,274426
108,2247,5151,5271,10422,5112,5273,10385,5789,5898,11687,921,971,1892,951,1007,1958,1040,1034,2074,895,966,1861,889,1041,1930,889,977,1866,769,880,1649,895,939,1834,825,962,1787,725,803,1528,886,918,1804,871,895,1766,636,787,1423,774,875,1649,811,891,1702,3946,4407,8353,4395,4780,9175,4436,4759,9195,2234,2941,5175,2912,3665,6577,3311,3940,7251,1194,2409,3603,1697,3139,4836,2405,4018,6423,282,374,656,288,380,668,258,304,562,90293,94607,184900,94555,99096,193651,97903,103319,201222
109,907,2096,2182,4278,2030,2103,4133,2446,2498,4944,373,394,767,412,430,842,425,470,895,321,378,699,402,437,839,361,406,767,286,354,640,327,408,735,348,374,722,270,334,604,325,366,691,320,349,669,241,347,588,323,350,673,282,385,667,1491,1807,3298,1789,1991,3780,1736,1984,3720,776,1284,2060,1172,1540,2712,1404,1619,3023,554,1167,1721,610,1400,2010,912,1645,2557,135,134,269,166,174,340,170,159,329,54016,53887,107903,55031,55246,110277,54805,55683,110488
110,1392,2931,3235,6166,3197,3226,6423,3625,3806,7431,494,576,1070,544,634,1178,594,646,1240,456,557,1013,519,618,1137,539,620,1159,378,544,922,461,568,1029,511,513,1024,366,497,863,510,584,1094,494,571,1065,328,500,828,403,515,918,497,494,991,2022,2674,4696,2437,2919,5356,2635,2844,5479,1159,1985,3144,1473,2182,3655,1716,2401,4117,817,1768,2585,961,2101,3062,1193,2391,3584,340,392,732,255,301,556,384,348,732,86167,87315,173482,85587,87653,173240,87318,89083,176401
