region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
101,147,67,22,18,254,4758,2412,858,357,8385
102,248,108,51,24,431,9136,4875,1824,688,16523
103,151,78,44,22,295,4649,2285,959,482,8375
104,107,56,27,7,197,3726,1940,717,323,6706
105,166,71,32,30,299,3043,1557,704,439,5743
106,199,97,42,19,357,6064,3321,1238,543,11166
107,225,98,32,22,377,7235,3966,1292,524,13017
108,199,73,35,23,330,5514,2880,1036,570,10000
109,102,46,14,7,169,2442,1253,517,221,4433
110,174,82,36,23,315,4319,2192,960,550,8021
111,291,101,50,22,464,9609,4773,1567,601,16550
112,174,83,25,26,308,6966,3379,1137,460,11942
113,115,42,25,26,208,3314,1710,713,379,6116
114,117,42,15,9,183,3470,1836,643,287,6236
115,49,43,9,5,106,3182,2011,692,177,6062
116,289,149,49,58,545,7986,4733,1927,1131,15777
117,124,61,13,6,204,5183,1962,450,167,7762
118,127,36,10,5,178,5136,2118,495,105,7854
119,363,169,84,43,659,13539,6684,2224,998,23445
120,114,46,14,4,178,6261,2526,576,148,9511
121,113,42,8,4,167,6904,3262,836,170,11172
122,111,44,11,5,171,4662,2329,626,136,7753
123,199,102,49,33,383,6143,3700,1570,739,12152
124,235,95,44,19,393,7903,4315,1552,661,14431
125,275,113,57,41,486,9324,4652,1678,849,16503
126,55,23,9,0,87,3380,1545,361,72,5358
127,328,194,86,40,648,9481,6156,2363,1104,19104
128,91,42,9,4,146,4528,2385,710,186,7809
197,0,0,0,0,0,0,0,0,0,0
