region_id,Pre_sch_C01_M,Pre_sch_C01_F,Pre_sch_C01_P,Pre_sch_C06_M,Pre_sch_C06_F,Pre_sch_C06_P,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Infan_Prim_Govt_C01_M,Infan_Prim_Govt_C01_F,Infan_Prim_Govt_C01_P,Infan_Prim_Govt_C06_M,Infan_Prim_Govt_C06_F,Infan_Prim_Govt_C06_P,Infan_Prim_Govt_C11_M,Infan_Prim_Govt_C11_F,Infan_Prim_Govt_C11_P,Infan_Prim_Cath_C01_M,Infan_Prim_Cath_C01_F,Infan_Prim_Cath_C01_P,Infan_Prim_Cath_C06_M,Infan_Prim_Cath_C06_F,Infan_Prim_Cath_C06_P,Infan_Prim_Cath_C11_M,Infan_Prim_Cath_C11_F,Infan_Prim_Cath_C11_P,Inf_Pri_Oth_No_Gov_C01_M,Inf_Pri_Oth_No_Gov_C01_F,Inf_Pri_Oth_No_Gov_C01_P,Inf_Pri_Oth_No_Gov_C06_M,Inf_Pri_Oth_No_Gov_C06_F,Inf_Pri_Oth_No_Gov_C06_P,Inf_Pri_Oth_No_Gov_C11_M,Inf_Pri_Oth_No_Gov_C11_F,Inf_Pri_Oth_No_Gov_C11_P,Inf_Primary_Tot_C01_M,Inf_Primary_Tot_C01_F,Inf_Primary_Tot_C01_P,Inf_Primary_Tot_C06_M,Inf_Primary_Tot_C06_F,Inf_Primary_Tot_C06_P,Inf_Primary_Tot_C11_M,Inf_Primary_Tot_C11_F,Inf_Primary_Tot_C11_P,Sec_Govern_C01_M,Sec_Govern_C01_F,Sec_Govern_C01_P,Sec_Govern_C06_M,Sec_Govern_C06_F,Sec_Govern_C06_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Catholic_C01_M,Sec_Catholic_C01_F,Sec_Catholic_C01_P,Sec_Catholic_C06_M,Sec_Catholic_C06_F,Sec_Catholic_C06_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Oth_Non_Gov_C01_M,Sec_Oth_Non_Gov_C01_F,Sec_Oth_Non_Gov_C01_P,Sec_Oth_Non_Gov_C06_M,Sec_Oth_Non_Gov_C06_F,Sec_Oth_Non_Gov_C06_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Tot_C01_M,Sec_Tot_C01_F,Sec_Tot_C01_P,Sec_Tot_C06_M,Sec_Tot_C06_F,Sec_Tot_C06_P,Sec_Tot_C11_M,Sec_Tot_C11_F,Sec_Tot_C11_P,Tech_FTS_15_24_C01_M,Tech_FTS_15_24_C01_F,Tech_FTS_15_24_C01_P,Tech_FTS_15_24_C06_M,Tech_FTS_15_24_C06_F,Tech_FTS_15_24_C06_P,Tech_FTS_15_24_C11_M,Tech_FTS_15_24_C11_F,Tech_FTS_15_24_C11_P,Tech_FTS_25ove_C01_M,Tech_FTS_25ove_C01_F,Tech_FTS_25ove_C01_P,Tech_FTS_25ove_C06_M,Tech_FTS_25ove_C06_F,Tech_FTS_25ove_C06_P,Tech_FTS_25ove_C11_M,Tech_FTS_25ove_C11_F,Tech_FTS_25ove_C11_P,Tech_PTS_15_24_C01_M,Tech_PTS_15_24_C01_F,Tech_PTS_15_24_C01_P,Tech_PTS_15_24_C06_M,Tech_PTS_15_24_C06_F,Tech_PTS_15_24_C06_P,Tech_PTS_15_24_C11_M,Tech_PTS_15_24_C11_F,Tech_PTS_15_24_C11_P,Techn_PTS_25over_C01_M,Techn_PTS_25over_C01_F,Techn_PTS_25over_C01_P,Techn_PTS_25over_C06_M,Techn_PTS_25over_C06_F,Techn_PTS_25over_C06_P,Techn_PTS_25over_C11_M,Techn_PTS_25over_C11_F,Techn_PTS_25over_C11_P,Tec_F_Pt_stu_st_ns_C01_M,Tec_F_Pt_stu_st_ns_C01_F,Tec_F_Pt_stu_st_ns_C01_P,Tec_F_Pt_stu_st_ns_C06_M,Tec_F_Pt_stu_st_ns_C06_F,Tec_F_Pt_stu_st_ns_C06_P,Tec_F_Pt_stu_st_ns_C11_M,Tec_F_Pt_stu_st_ns_C11_F,Tec_F_Pt_stu_st_ns_C11_P,Tech_Tot_C01_M,Tech_Tot_C01_F,Tech_Tot_C01_P,Tech_Tot_C06_M,Tech_Tot_C06_F,Tech_Tot_C06_P,Tech_Tot_C11_M,Tech_Tot_C11_F,Tech_Tot_C11_P,U_Ft_s_15_24_01_C_M,U_Ft_s_15_24_01_C_F,U_Ft_s_15_24_01_C_P,U_Ft_s_15_24_06_C_M,U_Ft_s_15_24_06_C_F,U_Ft_s_15_24_06_C_P,U_Ft_s_15_24_11_C_M,U_Ft_s_15_24_11_C_F,U_Ft_s_15_24_11_C_P,U_Ft_s_25over_01_C_M,U_Ft_s_25over_01_C_F,U_Ft_s_25over_01_C_P,U_Ft_s_25over_06_C_M,U_Ft_s_25over_06_C_F,U_Ft_s_25over_06_C_P,U_Ft_s_25over_11_C_M,U_Ft_s_25over_11_C_F,U_Ft_s_25over_11_C_P,U_Pt_s_15_24_01_C_M,U_Pt_s_15_24_01_C_F,U_Pt_s_15_24_01_C_P,U_Pt_s_15_24_06_C_M,U_Pt_s_15_24_06_C_F,U_Pt_s_15_24_06_C_P,U_Pt_s_15_24_11_C_M,U_Pt_s_15_24_11_C_F,U_Pt_s_15_24_11_C_P,U_Pt_s_25over_01_C_M,U_Pt_s_25over_01_C_F,U_Pt_s_25over_01_C_P,U_Pt_s_25over_06_C_M,U_Pt_s_25over_06_C_F,U_Pt_s_25over_06_C_P,U_Pt_s_25over_11_C_M,U_Pt_s_25over_11_C_F,U_Pt_s_25over_11_C_P,U_F_Pt_s_s_ns_01_C_M,U_F_Pt_s_s_ns_01_C_F,U_F_Pt_s_s_ns_01_C_P,U_F_Pt_s_s_ns_06_C_M,U_F_Pt_s_s_ns_06_C_F,U_F_Pt_s_s_ns_06_C_P,U_F_Pt_s_s_ns_11_C_M,U_F_Pt_s_s_ns_11_C_F,U_F_Pt_s_s_ns_11_C_P,U_Tot_C01_M,U_Tot_C01_F,U_Tot_C01_P,U_Tot_C06_M,U_Tot_C06_F,U_Tot_C06_P,U_Tot_C11_M,U_Tot_C11_F,U_Tot_C11_P,Ot_ty_Ed_Ins_Ft_st_C01_M,Ot_ty_Ed_Ins_Ft_st_C01_F,Ot_ty_Ed_Ins_Ft_st_C01_P,Ot_ty_Ed_Ins_Ft_st_C06_M,Ot_ty_Ed_Ins_Ft_st_C06_F,Ot_ty_Ed_Ins_Ft_st_C06_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C01_M,Ot_ty_Ed_Ins_Pt_st_C01_F
101,1503,1474,2977,1773,1600,3373,1922,1751,3673,7414,7338,14752,6753,6519,13272,6325,6180,12505,2197,1990,4187,2171,2032,4203,2023,1872,3895,552,507,1059,707,662,1369,734,700,1434,10163,9835,19998,9631,9213,18844,9082,8752,17834,5129,4906,10035,5014,5032,10046,5150,4925,10075,2061,1906,3967,1867,1882,3749,1944,1872,3816,559,589,1148,658,667,1325,796,814,1610,7749,7401,15150,7539,7581,15120,7890,7611,15501,251,396,647,214,284,498,260,287,547,139,252,391,104,215,319,124,235,359,953,507,1460,1033,576,1609,1029,612,1641,1155,1768,2923,933,1440,2373,919,1633,2552,17,18,35,35,34,69,34,26,60,2515,2941,5456,2319,2549,4868,2366,2793,5159,476,564,1040,640,639,1279,494,750,1244,371,306,677,513,433,946,288,449,737,125,167,292,104,193,297,142,219,361,804,1111,1915,681,1135,1816,758,1480,2238,5,13,18,9,9,18,9,9,18,1781,2161,3942,1947,2409,4356,1691,2907,4598,155,145,300,171,137,308,124,126,250,325,590
102,2864,2678,5542,3172,2769,5941,3364,3151,6515,11941,11250,23191,10258,9868,20126,9711,9268,18979,1915,1804,3719,1880,1852,3732,2088,2060,4148,1033,943,1976,1240,1198,2438,1339,1271,2610,14889,13997,28886,13378,12918,26296,13138,12599,25737,7366,7164,14530,7513,7291,14804,7637,7530,15167,1469,1456,2925,1437,1530,2967,1775,1691,3466,1051,971,2022,1208,1249,2457,1290,1327,2617,9886,9591,19477,10158,10070,20228,10702,10548,21250,450,506,956,484,510,994,460,538,998,176,303,479,142,325,467,192,515,707,1622,870,2492,1529,766,2295,1470,808,2278,1307,1949,3256,917,1431,2348,1030,1793,2823,28,20,48,53,49,102,33,51,84,3583,3648,7231,3125,3081,6206,3185,3705,6890,725,1153,1878,947,1478,2425,1513,2243,3756,239,512,751,284,609,893,510,1025,1535,190,283,473,217,313,530,332,422,754,954,1397,2351,725,1293,2018,881,1846,2727,13,10,23,23,32,55,15,28,43,2121,3355,5476,2196,3725,5921,3251,5564,8815,123,183,306,108,188,296,149,230,379,487,1005
103,1615,1460,3075,1884,1639,3523,2013,1889,3902,7206,6946,14152,6302,5992,12294,5901,5443,11344,2384,2273,4657,2376,2148,4524,2189,2100,4289,455,432,887,461,474,935,531,513,1044,10045,9651,19696,9139,8614,17753,8621,8056,16677,4925,4904,9829,4685,4553,9238,4758,4395,9153,1690,1647,3337,1559,1557,3116,1525,1644,3169,844,816,1660,876,885,1761,778,841,1619,7459,7367,14826,7120,6995,14115,7061,6880,13941,394,515,909,245,354,599,245,339,584,160,284,444,106,243,349,121,291,412,1059,563,1622,984,517,1501,981,581,1562,1292,1899,3191,851,1353,2204,815,1481,2296,20,23,43,28,40,68,34,38,72,2925,3284,6209,2214,2507,4721,2196,2730,4926,894,1551,2445,939,1569,2508,990,1615,2605,196,254,450,143,287,430,189,323,512,107,151,258,100,163,263,131,259,390,623,861,1484,483,772,1255,554,1108,1662,8,11,19,3,15,18,8,21,29,1828,2828,4656,1668,2806,4474,1872,3326,5198,61,82,143,56,84,140,56,80,136,204,454
104,1037,976,2013,1177,1051,2228,1235,1141,2376,4860,4645,9505,4258,4130,8388,3752,3644,7396,1068,1029,2097,983,925,1908,939,825,1764,466,457,923,581,540,1121,681,616,1297,6394,6131,12525,5822,5595,11417,5372,5085,10457,3727,3761,7488,3442,3412,6854,3185,3237,6422,657,665,1322,689,691,1380,697,747,1444,468,472,940,616,621,1237,704,682,1386,4852,4898,9750,4747,4724,9471,4586,4666,9252,253,273,526,199,232,431,205,284,489,206,286,492,117,230,347,152,344,496,515,303,818,489,309,798,570,379,949,556,903,1459,462,872,1334,586,1135,1721,13,9,22,14,35,49,26,23,49,1543,1774,3317,1281,1678,2959,1539,2165,3704,213,281,494,245,464,709,291,575,866,157,172,329,137,271,408,168,374,542,48,65,113,52,72,124,72,126,198,344,578,922,285,532,817,303,675,978,3,4,7,4,6,10,3,7,10,765,1100,1865,723,1345,2068,837,1757,2594,66,86,152,56,67,123,67,99,166,180,385
105,1026,1019,2045,1132,1022,2154,1155,1078,2233,4832,4535,9367,4017,3737,7754,3357,3149,6506,1474,1334,2808,1272,1326,2598,1353,1360,2713,310,274,584,377,374,751,326,316,642,6616,6143,12759,5666,5437,11103,5036,4825,9861,3176,3265,6441,2870,2842,5712,2762,2596,5358,529,565,1094,500,508,1008,500,527,1027,241,250,491,266,290,556,248,309,557,3946,4080,8026,3636,3640,7276,3510,3432,6942,188,270,458,102,146,248,155,184,339,163,247,410,84,160,244,89,205,294,539,330,869,466,302,768,499,359,858,641,1168,1809,457,868,1325,475,911,1386,11,15,26,16,19,35,18,17,35,1542,2030,3572,1125,1495,2620,1236,1676,2912,52,200,252,55,253,308,70,322,392,58,119,177,64,157,221,58,196,254,62,141,203,49,95,144,51,125,176,421,614,1035,252,465,717,263,512,775,5,4,9,3,4,7,0,12,12,598,1078,1676,423,974,1397,442,1167,1609,53,66,119,36,63,99,49,59,108,141,274
106,1939,1866,3805,2469,2145,4614,2616,2456,5072,8834,8412,17246,8413,7950,16363,7940,7416,15356,1935,1829,3764,1697,1751,3448,1938,1939,3877,640,624,1264,882,929,1811,1137,984,2121,11409,10865,22274,10992,10630,21622,11015,10339,21354,5619,5517,11136,5540,5364,10904,5489,5555,11044,1422,1537,2959,1576,1594,3170,1563,1783,3346,640,629,1269,793,805,1598,1005,978,1983,7681,7683,15364,7909,7763,15672,8057,8316,16373,417,494,911,358,420,778,357,436,793,150,282,432,110,279,389,139,312,451,1318,751,2069,1551,716,2267,1492,758,2250,1112,1666,2778,832,1244,2076,916,1406,2322,17,10,27,51,33,84,41,27,68,3014,3203,6217,2902,2692,5594,2945,2939,5884,501,796,1297,458,920,1378,727,1196,1923,181,265,446,173,303,476,192,511,703,123,187,310,142,245,387,197,328,525,644,849,1493,506,804,1310,649,1127,1776,5,7,12,12,10,22,12,11,23,1454,2104,3558,1291,2282,3573,1777,3173,4950,133,137,270,115,160,275,116,138,254,277,613
107,2534,2283,4817,2797,2518,5315,2988,2839,5827,10010,9097,19107,8713,8189,16902,8507,7843,16350,2245,2308,4553,2281,2169,4450,2147,2219,4366,640,600,1240,800,729,1529,919,843,1762,12895,12005,24900,11794,11087,22881,11573,10905,22478,6507,6474,12981,6418,6124,12542,6285,6091,12376,1813,1898,3711,1748,1982,3730,2161,2262,4423,668,576,1244,896,863,1759,892,817,1709,8988,8948,17936,9062,8969,18031,9338,9170,18508,712,820,1532,601,653,1254,577,622,1199,283,482,765,163,397,560,287,570,857,1694,881,2575,1661,828,2489,1500,782,2282,1463,1977,3440,901,1473,2374,1014,1523,2537,30,32,62,58,51,109,47,31,78,4182,4192,8374,3384,3402,6786,3425,3528,6953,2543,2773,5316,2624,2867,5491,3807,4118,7925,925,819,1744,835,804,1639,1366,1222,2588,413,423,836,353,358,711,400,443,843,1120,1342,2462,876,1205,2081,966,1609,2575,20,22,42,27,39,66,26,29,55,5021,5379,10400,4715,5273,9988,6565,7421,13986,138,169,307,108,151,259,172,195,367,397,732
108,1517,1442,2959,1723,1626,3349,1881,1738,3619,7188,6846,14034,6004,5807,11811,5591,5327,10918,1610,1531,3141,1579,1494,3073,1578,1539,3117,439,390,829,570,545,1115,687,605,1292,9237,8767,18004,8153,7846,15999,7856,7471,15327,5204,5111,10315,4766,4675,9441,4546,4415,8961,1315,1359,2674,1366,1408,2774,1476,1558,3034,282,293,575,486,450,936,574,572,1146,6801,6763,13564,6618,6533,13151,6596,6545,13141,394,442,836,269,378,647,280,358,638,213,436,649,138,419,557,202,506,708,784,465,1249,825,400,1225,706,448,1154,938,1610,2548,745,1344,2089,694,1291,1985,21,14,35,26,29,55,26,27,53,2350,2967,5317,2003,2570,4573,1908,2630,4538,75,131,206,100,198,298,140,408,548,82,134,216,97,198,295,132,322,454,34,83,117,51,102,153,61,129,190,357,688,1045,324,647,971,347,850,1197,3,7,10,6,12,18,8,5,13,551,1043,1594,578,1157,1735,688,1714,2402,97,123,220,43,98,141,62,131,193,235,569
109,946,910,1856,936,873,1809,1029,942,1971,4235,3841,8076,3451,3260,6711,2950,2932,5882,1210,1190,2400,1120,1125,2245,1044,928,1972,328,273,601,504,441,945,509,536,1045,5773,5304,11077,5075,4826,9901,4503,4396,8899,3058,3094,6152,2728,2806,5534,2602,2554,5156,451,470,921,571,559,1130,531,602,1133,373,400,773,540,502,1042,559,576,1135,3882,3964,7846,3839,3867,7706,3692,3732,7424,217,236,453,146,183,329,203,228,431,97,165,262,49,120,169,106,192,298,614,295,909,600,323,923,548,346,894,663,1023,1686,452,892,1344,483,924,1407,10,13,23,14,25,39,21,18,39,1601,1732,3333,1261,1543,2804,1361,1708,3069,307,689,996,291,844,1135,322,857,1179,97,168,265,96,180,276,108,241,349,71,96,167,77,126,203,69,129,198,334,461,795,234,428,662,246,511,757,3,5,8,3,6,9,6,9,15,812,1419,2231,701,1584,2285,751,1747,2498,29,54,83,38,46,84,62,52,114,133,278
110,1598,1476,3074,1705,1537,3242,1812,1657,3469,6905,6414,13319,5816,5474,11290,5440,5106,10546,1766,1812,3578,1787,1738,3525,1661,1574,3235,576,577,1153,670,639,1309,705,678,1383,9247,8803,18050,8273,7851,16124,7806,7358,15164,5095,4712,9807,4586,4244,8830,4321,3958,8279,845,907,1752,842,975,1817,806,980,1786,589,1012,1601,698,1019,1717,847,1011,1858,6529,6631,13160,6126,6238,12364,5974,5949,11923,416,445,861,250,328,578,239,318,557,295,442,737,184,330,514,157,376,533,882,531,1413,723,444,1167,705,448,1153,1119,1790,2909,725,1259,1984,678,1347,2025,14,23,37,31,32,63,29,24,53,2726,3231,5957,1913,2393,4306,1808,2513,4321,972,1444,2416,1093,1617,2710,1001,1548,2549,355,381,736,285,317,602,357,450,807,131,213,344,113,197,310,126,233,359,677,997,1674,465,919,1384,513,979,1492,4,12,16,10,14,24,10,20,30,2139,3047,5186,1966,3064,5030,2007,3230,5237,112,101,213,60,84,144,78,77,155,192,420
