region_id,C06_M_LE_NS_15_19,C06_M_LE_NS_20_24,C06_M_LE_NS_25_34,C06_M_LE_NS_35_44,C06_M_LE_NS_45_54,C06_M_LE_NS_55_64,C06_M_LE_NS_65_74,C06_M_LE_NS_75_84,C06_M_LE_NS_85_ov,C06_M_LE_NS_T,C06_M_Tot_15_19_yrs,C06_M_Tot_20_24_yrs,C06_M_Tot_25_34_yrs,C06_M_Tot_35_44_yrs,C06_M_Tot_45_54_yrs,C06_M_Tot_55_64_yrs,C06_M_Tot_65_74_yrs,C06_M_Tot_75_84_yrs,C06_M_Tot_85o,C06_M_T_T,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85o,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85ov,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85o,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85o,C11_M_AdD_DL_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85_ov,C11_M_CL_CL_nfd_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85_ov,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85_ov,C11_M_CL_C_I_II_Tot,C11_M_CL_T_15_19,C11_M_CL_T_20_24,C11_M_CL_T_25_34,C11_M_CL_T_35_44,C11_M_CL_T_45_54,C11_M_CL_T_55_64,C11_M_CL_T_65_74,C11_M_CL_T_75_84,C11_M_CL_T_85_ov,C11_M_CL_T_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85o,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85_ov,C11_M_LE_NS_T,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85o,C11_M_T_T,C01_F_Post_Deg_15_19_yrs,C01_F_Post_Deg_20_24_yrs,C01_F_Post_Deg_25_34_yrs,C01_F_Post_Deg_35_44_yrs,C01_F_Post_Deg_45_54_yrs,C01_F_Post_Deg_55_64_yrs,C01_F_Post_Deg_65_74_yrs,C01_F_Post_Deg_75_84_yrs,C01_F_Post_Deg_85o,C01_F_Post_Deg_Tot,C01_F_GrDip_GrCe_15_19,C01_F_GrDip_GrCe_20_24,C01_F_GrDip_GrCe_25_34,C01_F_GrDip_GrCe_35_44,C01_F_GrDip_GrCe_45_54,C01_F_GrDip_GrCe_55_64,C01_F_GrDip_GrCe_65_74,C01_F_GrDip_GrCe_75_84,C01_F_GrDip_GrCe_85ov,C01_F_GrDip_GrCe_Tot,C01_F_BD_15_19,C01_F_BD_20_24,C01_F_BD_25_34,C01_F_BD_35_44,C01_F_BD_45_54,C01_F_BD_55_64,C01_F_BD_65_74,C01_F_BD_75_84,C01_F_BD_85o,C01_F_BD_Tot,C01_F_AdD_DL_15_19,C01_F_AdD_DL_20_24,C01_F_AdD_DL_25_34,C01_F_AdD_DL_35_44,C01_F_AdD_DL_45_54,C01_F_AdD_DL_55_64,C01_F_AdD_DL_65_74,C01_F_AdD_DL_75_84,C01_F_AdD_DL_85o,C01_F_AdD_DL_Tot,C01_F_CL_CL_nfd_15_19,C01_F_CL_CL_nfd_20_24,C01_F_CL_CL_nfd_25_34,C01_F_CL_CL_nfd_35_44,C01_F_CL_CL_nfd_45_54,C01_F_CL_CL_nfd_55_64,C01_F_CL_CL_nfd_65_74,C01_F_CL_CL_nfd_75_84,C01_F_CL_CL_nfd_85_ov,C01_F_CL_CL_nfd_Tot,C01_F_CL_C_III_IV_15_19,C01_F_CL_C_III_IV_20_24,C01_F_CL_C_III_IV_25_34,C01_F_CL_C_III_IV_35_44,C01_F_CL_C_III_IV_45_54,C01_F_CL_C_III_IV_55_64,C01_F_CL_C_III_IV_65_74,C01_F_CL_C_III_IV_75_84,C01_F_CL_C_III_IV_85_ov,C01_F_CL_C_III_IV_Tot,C01_F_CL_C_I_II_15_19,C01_F_CL_C_I_II_20_24,C01_F_CL_C_I_II_25_34,C01_F_CL_C_I_II_35_44,C01_F_CL_C_I_II_45_54,C01_F_CL_C_I_II_55_64,C01_F_CL_C_I_II_65_74,C01_F_CL_C_I_II_75_84,C01_F_CL_C_I_II_85_ov,C01_F_CL_C_I_II_Tot
101,1019,650,1309,1407,1484,1373,1095,949,285,9571,1394,2800,7283,9681,10269,8419,4951,2687,571,48055,0,12,270,617,660,682,403,107,18,2769,0,4,111,264,339,358,130,31,4,1241,3,260,1236,1655,1594,1703,932,332,90,7805,13,175,676,1154,1271,1232,653,278,76,5528,19,62,120,161,200,262,136,73,16,1049,277,1439,3295,4409,4948,4079,2602,1197,275,22521,90,154,163,136,130,103,51,17,0,844,386,1655,3578,4706,5278,4444,2789,1287,291,24414,12,43,104,142,183,184,140,88,22,918,983,591,1138,1395,1498,1410,1247,938,359,9559,1397,2740,7113,9933,10823,10013,6294,3061,860,52234,0,4,133,235,240,137,41,13,3,806,0,19,209,394,422,200,52,16,3,1315,5,406,1552,1759,1410,794,331,114,33,6404,26,312,974,1232,1243,794,378,131,41,5131,57,97,115,126,87,39,12,11,0,544,130,572,1229,1165,866,441,238,111,26,4778,91,294,656,787,611,327,166,74,13,3019
102,1240,692,1306,1664,1724,1543,1703,2019,774,12665,1821,3509,9514,12357,12795,9394,6853,5380,1437,63060,0,7,234,451,583,501,282,109,27,2194,0,10,93,204,242,312,105,41,10,1017,4,408,1596,1940,1638,1599,836,403,143,8567,33,268,1112,1785,1690,1319,822,482,126,7637,36,128,205,237,297,353,271,116,19,1662,378,2037,5088,6250,6895,5463,3948,2240,680,32979,137,192,293,190,141,136,68,31,6,1194,551,2357,5586,6677,7333,5952,4287,2387,705,35835,28,75,173,239,266,288,213,135,67,1484,1106,608,1114,1418,1639,1519,1598,1694,840,11536,1722,3733,9908,12714,13391,11490,8143,5251,1918,68270,0,4,122,219,244,95,44,10,4,742,3,14,184,407,374,130,66,17,5,1200,3,591,1958,2005,1429,638,415,163,33,7235,47,423,1749,1842,1517,804,544,254,46,7226,83,171,174,200,124,37,24,27,8,848,275,814,1757,1731,1240,617,449,254,52,7189,131,333,950,1257,923,480,276,130,20,4500
103,803,639,1218,1195,1169,1170,1052,903,254,8403,1270,2585,6336,7439,7616,6041,3504,1945,436,37172,0,5,107,230,290,323,182,56,9,1202,0,0,74,109,157,170,57,15,3,585,0,255,1009,1126,920,948,430,156,53,4897,5,118,461,813,897,821,439,163,40,3757,29,62,118,142,191,221,118,42,15,938,293,1684,3672,4055,4230,3222,1924,890,182,20152,95,146,198,132,120,89,47,13,3,843,417,1892,3988,4329,4541,3532,2089,945,200,21933,18,34,83,112,141,142,111,49,18,708,803,728,1227,1300,1233,1244,1138,906,277,8856,1243,3032,6949,8019,8179,7180,4446,2290,600,41938,0,4,92,121,157,74,15,5,0,468,0,19,173,287,306,127,43,15,3,973,3,369,1493,1335,1089,510,225,79,38,5141,13,220,803,1055,998,611,333,118,37,4188,44,82,93,114,93,37,9,5,5,482,159,556,1273,1027,755,339,150,75,14,4348,111,236,604,692,534,262,120,59,11,2629
104,545,286,491,667,702,642,725,711,273,5042,748,1225,3161,4812,5900,4746,3309,1946,503,26350,0,3,68,170,170,252,133,59,12,867,0,5,30,78,103,151,66,20,4,457,0,109,546,812,744,914,434,204,46,3809,0,80,256,518,642,744,445,200,31,2916,28,33,77,86,121,177,92,45,15,674,173,685,1720,2318,3083,2963,2040,959,239,14180,76,91,127,75,89,78,37,12,3,588,277,809,1924,2479,3293,3218,2169,1016,257,15442,15,29,67,77,111,159,130,58,12,658,434,276,509,588,690,748,735,690,315,4985,726,1311,3400,4722,5753,6186,4112,2247,677,29134,0,0,29,68,83,52,15,5,0,252,0,8,77,178,221,81,26,7,3,601,0,154,652,874,772,342,202,66,12,3074,19,99,452,777,762,473,230,99,20,2931,16,50,51,82,59,18,10,8,3,297,99,290,636,819,578,295,170,79,21,2987,73,131,344,507,440,197,98,51,8,1849
105,557,425,668,816,886,856,796,621,125,5750,777,1417,3473,4140,4333,3321,2079,1171,207,20918,0,0,72,104,123,112,49,19,3,482,0,3,45,59,70,79,17,3,0,276,3,108,590,548,468,453,160,50,12,2392,3,66,245,445,446,361,200,76,13,1855,15,38,75,98,95,82,65,22,7,497,180,832,1801,1994,2273,1863,1163,447,86,10639,49,66,102,87,74,54,14,5,0,451,244,936,1978,2179,2442,1999,1242,474,93,11587,7,24,47,54,81,78,48,22,3,364,489,438,739,748,871,854,812,645,194,5790,746,1575,3716,4137,4501,3936,2528,1289,318,22746,3,4,46,68,61,25,11,3,0,221,0,14,137,164,154,42,16,6,0,533,0,329,971,720,592,282,124,47,12,3077,7,105,511,602,467,353,135,53,18,2251,20,42,62,79,43,21,9,3,3,282,78,307,705,720,432,191,91,25,7,2556,58,147,339,374,283,135,41,26,3,1406
106,930,584,1236,1376,1224,1212,1107,1007,321,8997,1420,3109,8236,10068,9650,7489,4374,2519,544,47409,0,7,145,282,353,321,155,43,8,1314,0,3,47,137,171,175,67,13,0,613,0,279,1143,1215,1009,1050,594,188,43,5521,9,194,783,1248,1238,1115,553,219,54,5413,23,68,150,149,198,224,167,83,20,1082,343,2298,5557,6004,6057,4617,2919,1205,255,29255,81,145,209,153,121,105,43,27,3,887,447,2511,5916,6306,6376,4946,3129,1315,278,31224,16,32,118,131,167,148,133,68,13,826,866,639,1228,1365,1362,1314,1201,937,347,9259,1338,3665,9380,10684,10676,9069,5832,2783,743,54170,0,3,60,108,140,59,17,3,3,393,0,10,142,252,277,85,23,11,3,803,5,324,1245,1218,1053,491,205,77,12,4630,33,255,974,1206,1068,526,303,102,29,4496,72,98,140,127,88,31,17,8,4,585,174,638,1529,1287,835,382,198,83,20,5146,120,330,684,799,538,279,129,46,8,2933
107,1061,840,1254,1419,1371,1282,1340,1332,366,10265,1547,4345,10873,12234,12002,8393,5284,3392,752,58822,5,95,819,820,874,711,320,79,26,3749,0,20,177,227,283,317,75,35,4,1138,7,875,2514,2308,1873,1517,664,248,66,10072,52,541,1287,1909,1608,1216,572,274,88,7547,32,98,198,191,243,277,170,66,24,1299,355,1983,5007,5640,6191,4700,2957,1697,446,28976,96,169,205,131,137,98,69,28,0,933,483,2250,5410,5962,6571,5075,3196,1791,470,31208,21,83,164,191,233,243,150,79,23,1187,834,708,1087,1081,1227,1212,1173,1202,411,8935,1402,4572,11458,12498,12669,10291,6150,3708,1088,63836,4,33,362,439,455,144,31,10,0,1478,0,40,291,473,394,138,48,9,4,1397,6,899,2467,2083,1447,558,246,114,29,7849,45,533,1696,1747,1526,623,333,138,44,6685,83,202,168,194,120,30,18,12,3,830,227,831,1774,1524,956,481,288,138,34,6253,138,425,973,1111,738,382,172,75,16,4030
108,725,405,778,979,1098,1076,1257,1384,441,8143,1066,1732,4488,6758,8268,7436,5807,3944,867,40366,0,0,68,200,193,272,203,82,15,1033,0,5,34,91,164,234,97,33,11,669,0,115,589,914,961,1179,704,304,83,4849,5,70,334,755,848,1080,710,376,89,4267,22,49,119,135,157,246,198,100,23,1049,232,1042,2415,3511,4587,4458,3703,1914,466,22328,81,125,183,134,111,91,64,23,0,812,335,1216,2717,3780,4855,4795,3965,2037,489,24189,21,29,81,110,179,217,182,110,39,968,662,413,733,828,1129,1241,1326,1370,612,8314,1023,1848,4556,6678,8329,9018,7187,4312,1338,44289,3,5,38,76,102,54,26,7,0,311,0,4,94,220,269,115,29,15,0,746,3,145,791,1058,1026,567,330,103,32,4055,22,172,642,1073,1036,757,479,177,39,4397,25,64,86,106,71,36,24,13,5,430,124,371,935,1190,886,482,345,175,21,4529,89,184,430,695,518,371,212,85,11,2595
109,515,235,472,589,652,655,683,697,149,4647,754,1445,3645,4214,4599,3331,2095,1367,259,21709,0,3,119,127,138,116,55,15,6,579,0,3,45,90,102,97,39,6,0,382,0,133,701,691,520,475,199,66,24,2809,3,105,341,452,492,497,277,119,25,2311,14,26,54,70,94,117,53,16,6,450,194,919,1879,2098,2399,1897,1202,569,110,11267,41,86,104,62,63,43,15,11,0,425,249,1031,2037,2230,2556,2057,1270,596,116,12142,10,23,35,57,70,82,65,32,6,380,423,234,407,530,618,703,718,613,269,4515,685,1532,3685,4177,4496,4027,2623,1447,446,23118,3,3,44,73,69,25,9,3,0,229,0,9,130,187,151,63,12,6,0,558,0,263,892,793,633,286,147,56,16,3086,7,117,426,634,619,347,167,70,25,2412,17,46,57,53,37,15,7,0,0,232,58,326,699,676,450,201,122,56,7,2595,69,156,300,333,220,113,43,21,0,1255
110,691,393,838,1057,1007,1056,1030,879,248,7199,1115,2119,5123,6404,6594,5347,3278,1769,406,32155,0,3,137,254,327,331,197,60,26,1335,3,3,67,120,115,145,48,10,0,511,3,221,925,933,813,882,348,128,50,4303,11,111,436,768,708,655,361,132,24,3206,33,59,109,128,158,165,117,39,10,818,281,1290,2766,2947,3456,2817,1767,666,142,16132,72,148,162,134,88,69,41,10,3,727,386,1497,3037,3209,3702,3051,1925,715,155,17677,15,29,79,82,114,123,81,38,10,571,666,457,858,1023,1061,1047,1046,829,283,7270,1084,2321,5539,6389,6840,6234,4006,1912,548,34873,0,4,91,181,209,92,22,7,3,609,0,27,202,304,300,93,27,14,4,971,8,433,1330,1194,1038,572,216,108,27,4926,16,205,782,1057,903,561,280,105,42,3951,44,61,88,98,72,46,12,5,0,426,156,449,925,992,657,301,131,49,19,3679,104,256,494,620,503,238,94,36,7,2352
