region_id,C01_P_FoodHos_PS_15_19,C01_P_FoodHos_PS_20_24,C01_P_FoodHos_PS_25_34,C01_P_FoodHos_PS_35_44,C01_P_FoodHos_PS_45_54,C01_P_FoodHos_PS_55_64,C01_P_FoodHos_PS_65_74,C01_P_FoodHos_PS_75_84,C01_P_FoodHos_PS_85o,C01_P_Foo_hos_pers_S_Tot,C01_P_MixFld_pr_15_19,C01_P_MixFld_pr_20_24,C01_P_MixFld_pr_25_34,C01_P_MixFld_pr_35_44,C01_P_MixFld_pr_45_54,C01_P_MixFld_pr_55_64,C01_P_MixFld_pr_65_74,C01_P_MixFld_pr_75_84,C01_P_MixFld_pr_85_ov,C01_P_MixFld_pr_Tot,C01_P_FldStu_ID_15_19,C01_P_FldStu_ID_20_24,C01_P_FldStu_ID_25_34,C01_P_FldStu_ID_35_44,C01_P_FldStu_ID_45_54,C01_P_FldStu_ID_55_64,C01_P_FldStu_ID_65_74,C01_P_FldStu_ID_75_84,C01_P_FldStu_ID_85o,C01_P_FldStu_ID_Tot,C01_P_FldStu_NS_15_19,C01_P_FldStu_NS_20_24,C01_P_FldStu_NS_25_34,C01_P_FldStu_NS_35_44,C01_P_FldStu_NS_45_54,C01_P_FldStu_NS_55_64,C01_P_FldStu_NS_65_74,C01_P_FldStu_NS_75_84,C01_P_FldStu_NS_85o,C01_P_FldStu_NS_T,C01_P_Tot_15_19,C01_P_Tot_20_24,C01_P_Tot_25_34,C01_P_Tot_35_44,C01_P_Tot_45_54,C01_P_Tot_55_64,C01_P_Tot_65_74,C01_P_Tot_75_84,C01_P_Tot_85o,C01_P_T_T,C06_P_NatPhy_sci_15_19,C06_P_NatPhy_sci_20_24,C06_P_NatPhy_sci_25_34,C06_P_NatPhy_sci_35_44,C06_P_NatPhy_sci_45_54,C06_P_NatPhy_sci_55_64,C06_P_NatPhy_sci_65_74,C06_P_NatPhy_sci_75_84,C06_P_NatPhy_sci_85_ov,C06_P_NatPhy_sci_Tot,C06_P_InfTec_15_19,C06_P_InfTec_20_24,C06_P_InfTec_25_34,C06_P_InfTec_35_44,C06_P_InfTec_45_54,C06_P_InfTec_55_64,C06_P_InfTec_65_74,C06_P_InfTec_75_84,C06_P_InfTec_85_ov,C06_P_InfTec_Tot,C06_P_EngRT_15_19,C06_P_EngRT_20_24,C06_P_EngRT_25_34,C06_P_EngRT_35_44,C06_P_EngRT_45_54,C06_P_EngRT_55_64,C06_P_EngRT_65_74,C06_P_EngRT_75_84,C06_P_EngRT_85_ov,C06_P_EngRT_Tot,C06_P_ArchBuild_15_19,C06_P_ArchBuild_20_24,C06_P_ArchBuild_25_34,C06_P_ArchBuild_35_44,C06_P_ArchBuild_45_54,C06_P_ArchBuild_55_64,C06_P_ArchBuild_65_74,C06_P_ArchBuild_75_84,C06_P_ArchBuild_85o,C06_P_Arch_building_Tot,C06_P_AgEnv_RS_15_19,C06_P_AgEnv_RS_20_24,C06_P_AgEnv_RS_25_34,C06_P_AgEnv_RS_35_44,C06_P_AgEnv_RS_45_54,C06_P_AgEnv_RS_55_64,C06_P_AgEnv_RS_65_74,C06_P_AgEnv_RS_75_84,C06_P_AgEnv_RS_85o,C06_P_AgEnv_RS_Tot,C06_P_Health_15_19,C06_P_Health_20_24,C06_P_Health_25_34,C06_P_Health_35_44,C06_P_Health_45_54,C06_P_Health_55_64,C06_P_Health_65_74,C06_P_Health_75_84,C06_P_Health_85o,C06_P_Healt_To,C06_P_Educ_15_19,C06_P_Educ_20_24,C06_P_Educ_25_34,C06_P_Educ_35_44,C06_P_Educ_45_54,C06_P_Educ_55_64,C06_P_Educ_65_74,C06_P_Educ_75_84,C06_P_Educ_85o,C06_P_Educ_Tot,C06_P_MngtCom_15_19,C06_P_MngtCom_20_24,C06_P_MngtCom_25_34,C06_P_MngtCom_35_44,C06_P_MngtCom_45_54,C06_P_MngtCom_55_64,C06_P_MngtCom_65_74,C06_P_MngtCom_75_84,C06_P_MngtCom_85o,C06_P_MngtCom_T,C06_P_Soc_cult_15_19,C06_P_Soc_cult_20_24,C06_P_Soc_cult_25_34,C06_P_Soc_cult_35_44,C06_P_Soc_cult_45_54,C06_P_Soc_cult_55_64,C06_P_Soc_cult_65_74,C06_P_Soc_cult_75_84,C06_P_Soc_cult_85o,C06_P_Soc_cult_T,C06_P_Creative_art_15_19,C06_P_Creative_art_20_24,C06_P_Creative_art_25_34,C06_P_Creative_art_35_44,C06_P_Creative_art_45_54,C06_P_Creative_art_55_64,C06_P_Creative_art_65_74,C06_P_Creative_art_75_84,C06_P_Creative_arts_85o,C06_P_Creative_arts_Tot,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_FoodHos_PS_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_T,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T
101,141,512,1120,831,535,304,137,74,15,3669,0,0,8,10,3,11,3,0,0,35,11,41,128,156,166,107,60,46,7,722,1417,953,1948,2285,1952,1895,2399,1926,567,15342,2073,4737,13100,16535,14955,10160,7020,3890,926,73396,0,120,373,477,518,419,177,81,9,2174,35,198,415,431,352,158,34,3,0,1626,100,601,1937,2964,2962,2663,1729,807,136,13899,58,392,952,1336,1468,997,655,273,46,6177,41,243,717,890,794,521,262,129,16,3613,38,229,921,1628,2232,1441,811,388,100,7788,15,119,795,1160,2039,1527,650,233,56,6594,179,1006,2463,3134,2741,1945,818,400,109,12795,100,564,1618,2006,1754,1357,490,200,26,8115,26,175,484,499,430,313,152,76,19,2174,171,591,1148,999,756,522,212,88,25,4512,13,11,8,11,17,13,4,7,7,91,11,45,153,224,239,170,81,49,15,987,1833,1099,2205,2624,2673,2375,2299,2192,752,18052,2620,5393,14189,18383,18975,14421,8374,4926,1316,88597
102,224,627,1473,1225,918,510,336,160,28,5501,3,0,10,12,13,9,9,6,0,62,13,36,132,191,170,88,80,60,15,785,1803,995,2138,2781,2504,2363,3852,4482,1456,22374,2889,5858,18047,22591,18937,11907,10839,8319,2193,101580,4,101,342,398,354,234,154,110,17,1714,70,295,517,554,387,141,35,6,3,2008,147,738,2653,4194,4413,3420,2542,1819,393,20319,116,577,1706,2107,1819,1286,888,549,98,9146,60,190,544,521,414,191,114,57,13,2104,77,487,1831,2486,2801,1479,860,512,137,10670,13,259,1286,1618,2487,1469,802,408,88,8430,323,1641,3810,4363,3967,2791,1443,978,212,19528,150,703,1842,1857,1775,1085,489,284,60,8245,58,316,703,620,472,345,192,118,26,2850,232,772,1578,1457,1032,746,371,208,51,6447,8,6,14,21,27,13,15,17,7,128,14,55,159,242,244,193,92,84,28,1111,2440,1287,2492,3409,3375,3178,3986,5228,2361,27756,3712,7427,19477,23847,23567,16571,11983,10378,3494,120456
103,146,402,845,579,407,254,114,44,14,2805,3,3,6,12,7,3,7,3,0,44,10,24,96,96,105,59,39,10,10,449,1272,816,1847,1883,1782,1628,1965,1746,677,13616,2037,4168,12084,13717,12287,7604,4918,2942,968,60725,3,51,215,256,260,221,68,25,5,1104,43,146,184,226,171,94,27,0,0,891,149,729,2145,2777,2659,2000,1109,526,99,12193,67,282,818,773,818,587,364,160,23,3892,69,276,777,898,817,627,303,114,20,3901,53,309,994,1461,1847,1186,591,309,84,6834,13,183,993,1137,1760,1177,468,206,55,5992,211,909,2060,2345,2039,1428,549,231,63,9835,75,429,1034,1074,994,724,246,109,28,4713,36,153,309,260,234,207,90,45,17,1351,188,517,922,763,505,329,139,59,21,3443,6,10,9,14,7,8,3,3,3,63,21,43,122,134,151,97,47,23,10,648,1484,990,1873,2120,1934,2080,2175,2101,767,15524,2418,5027,12455,14238,14196,10765,6179,3911,1195,70384
104,91,278,568,498,388,221,118,48,7,2217,0,3,9,8,3,0,6,3,0,32,3,12,54,85,79,43,45,24,3,348,800,368,852,1058,981,984,1475,1449,515,8482,1232,1920,5921,9165,8972,5671,4589,2774,748,40992,0,24,127,155,188,142,72,35,6,749,25,86,137,136,161,74,16,0,0,635,50,252,807,1543,1823,1693,1245,662,117,8192,23,148,454,737,1011,648,447,220,45,3733,18,90,324,391,331,180,114,53,10,1511,20,121,584,1074,1529,852,483,246,58,4967,5,92,428,741,1378,933,481,178,49,4285,153,569,1160,1510,1651,1187,575,294,68,7167,52,230,638,957,1032,721,217,88,13,3948,14,78,235,277,270,186,72,36,6,1174,98,320,633,666,489,362,150,78,11,2807,5,8,5,10,15,9,5,0,3,60,10,21,75,107,127,88,55,17,9,509,969,447,889,1269,1293,1233,1535,1772,779,10186,1442,2486,6496,9573,11298,8308,5467,3679,1174,49923
105,68,205,465,350,279,170,68,21,9,1635,0,3,0,4,3,3,3,3,0,19,5,16,62,47,53,33,21,8,3,248,864,563,1195,1430,1239,1156,1553,1130,425,9555,1258,2558,7413,8221,6818,4467,3166,1718,543,36162,0,21,117,113,102,94,27,8,0,482,9,74,102,109,84,37,7,3,0,425,93,373,1040,1342,1434,1047,640,281,44,6294,14,117,354,451,478,342,215,84,14,2069,41,210,537,570,453,324,148,62,13,2358,16,179,650,881,1079,649,335,139,49,3977,11,208,769,706,898,514,217,96,14,3433,106,408,1109,1236,1060,648,271,111,20,4969,45,207,592,610,512,320,120,41,6,2453,5,50,106,112,104,77,37,21,3,515,77,269,487,384,297,219,96,48,12,1889,0,6,0,11,15,10,0,8,0,50,11,15,66,66,65,50,33,11,0,317,1070,721,1263,1498,1627,1539,1551,1393,463,11125,1498,2858,7192,8089,8208,5870,3697,2306,638,40356
106,155,507,1178,750,525,344,131,60,14,3664,6,0,0,10,7,10,6,3,3,45,9,34,111,129,126,61,48,22,3,543,1366,920,2082,2199,1946,1676,2236,2060,739,15224,2209,4844,13941,16456,13907,8340,5775,3500,1006,69978,6,54,241,301,334,226,67,43,0,1272,58,160,259,283,273,112,20,3,3,1171,200,1205,3799,4963,4362,3157,1716,860,150,20412,49,328,887,1124,1049,848,536,229,26,5076,75,247,609,553,396,245,114,39,11,2289,49,356,1155,1736,2145,1249,601,260,72,7623,10,177,845,1032,1719,1085,508,218,40,5634,292,1218,2832,2821,2379,1675,673,346,65,12301,96,410,1139,1110,1125,724,300,102,22,5028,15,150,307,266,262,221,101,50,11,1383,240,678,1393,1108,646,496,195,91,23,4870,0,6,5,9,12,17,3,3,0,55,10,47,151,192,184,115,43,29,9,780,1822,976,2022,2578,2309,2330,2364,2452,1006,17859,2922,6012,15644,18076,17195,12500,7241,4725,1438,85753
107,181,679,1317,915,607,372,185,83,15,4354,6,11,11,17,14,6,3,4,0,72,15,89,157,193,167,94,48,32,8,803,1722,960,2118,2444,2229,2081,2842,2673,830,17899,2708,7194,20337,22036,18067,10254,7506,4862,1247,94211,6,206,595,509,541,355,145,52,12,2421,47,478,830,537,369,119,21,7,0,2408,126,1046,3960,5198,5225,3683,2240,1250,247,22975,80,515,1496,1568,1246,885,675,357,63,6885,32,155,444,436,270,117,49,29,9,1541,48,486,1715,2113,2236,1075,555,281,75,8584,14,372,1477,1685,2782,1537,588,254,70,8779,328,1864,4011,3915,3293,1852,823,448,97,16631,137,946,2138,2039,1892,1032,389,150,37,8760,57,392,682,639,466,242,110,48,21,2657,222,788,1416,1137,717,481,203,126,31,5121,15,41,14,18,28,14,18,11,0,159,23,88,209,237,224,142,71,41,12,1047,2072,1490,2313,2930,2669,2565,2996,3238,1146,21419,3207,8867,21300,22961,21958,14099,8883,6292,1820,109387
108,98,317,752,701,629,384,233,110,13,3237,0,3,6,5,6,10,9,6,0,45,9,20,54,98,108,73,65,37,12,476,1093,495,1023,1443,1422,1583,2586,2852,955,13452,1638,2504,7915,12393,12381,9415,8335,5548,1424,61553,4,17,99,164,220,228,135,68,10,945,28,112,172,230,242,122,24,4,0,934,98,376,1229,2255,2715,2756,2370,1416,226,13441,51,238,771,1174,1369,1062,796,417,67,5945,35,136,352,537,468,268,151,75,15,2037,37,198,825,1518,2199,1359,788,407,85,7416,5,106,619,1009,1890,1389,787,343,60,6208,222,707,1529,2127,2221,1972,1057,660,114,10609,71,322,877,1119,1173,809,398,166,37,4972,11,91,241,280,303,227,151,88,21,1413,169,455,940,874,751,591,281,151,33,4245,8,11,6,19,19,6,9,13,6,97,15,23,93,138,151,113,91,56,21,701,1402,685,1359,1860,2111,2090,2764,3374,1384,17029,2156,3477,9112,13304,15832,12992,9802,7238,2079,75992
109,71,283,552,430,285,163,109,40,11,1944,3,0,3,4,4,3,3,0,0,20,3,17,68,64,63,45,31,12,0,303,703,415,896,1057,1078,1041,1440,1271,466,8367,1092,2450,6653,7854,6886,4179,3171,2045,643,34973,0,27,147,121,132,80,26,17,3,553,26,75,153,119,91,50,9,3,0,526,60,426,1241,1501,1536,1118,637,345,59,6923,39,180,414,497,609,383,239,111,16,2488,54,228,575,607,487,284,122,47,10,2414,12,197,640,843,1147,660,342,177,48,4066,0,112,502,622,967,600,286,97,34,3220,87,525,1244,1284,1135,682,301,159,34,5451,39,261,631,612,638,407,112,49,11,2760,13,93,166,131,126,81,49,19,11,689,105,357,604,552,373,243,127,55,13,2429,4,8,3,3,0,3,3,6,0,30,6,22,74,92,76,52,37,17,8,384,958,434,852,1099,1216,1170,1437,1587,508,9261,1403,2945,7246,8083,8533,5813,3727,2689,755,41194
110,127,338,664,558,397,215,86,36,7,2428,6,3,3,8,10,7,3,0,0,40,11,35,86,101,105,72,39,15,7,471,1074,633,1427,1668,1517,1446,1917,1619,601,11902,1737,3624,10188,12097,10966,7057,4555,2712,877,53813,6,60,240,267,269,214,90,55,11,1212,47,137,181,177,143,74,17,3,0,779,151,590,1531,1962,2027,1595,930,384,80,9250,44,181,538,742,768,559,363,134,22,3351,79,318,802,867,670,586,282,101,24,3729,41,246,840,1352,1714,1053,588,293,87,6214,21,203,909,1143,1590,1101,474,180,56,5677,219,802,1806,2069,1900,1307,456,221,61,8841,63,365,1000,1126,1102,758,267,99,17,4797,22,126,263,239,205,165,77,49,11,1157,139,390,734,622,480,290,146,47,13,2861,11,16,6,12,5,11,12,0,0,73,12,35,108,171,138,88,41,23,8,624,1298,701,1512,1967,1833,1950,2066,2119,804,14250,2153,4170,10470,12716,12844,9751,5809,3708,1194,62815
