region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
101,83,32,10,754,3551,452,671,466,469,5609,69287,6019,6294,1967,619,84186
102,334,18,3,1536,4543,1105,990,276,20,6934,96289,14416,9228,1668,161,121762
103,37,9,5,581,3732,346,413,385,62,4938,68439,3664,3560,1131,136,76930
104,68,50,7,553,1813,235,363,414,5,2830,42441,3947,4261,2656,51,53356
105,98,59,5,583,2548,117,272,473,11,3421,39956,1222,2598,1685,159,45620
106,79,29,3,809,3851,493,467,255,14,5080,80000,6281,4208,1538,81,92108
107,327,22,0,884,3064,680,1310,232,0,5286,77302,11799,14486,1421,55,105063
108,127,91,3,968,3109,508,776,431,6,4830,66754,7260,7232,2837,68,84151
109,32,19,3,448,2083,147,466,182,4,2882,37728,1732,4612,1001,69,45142
110,24,32,3,710,3230,249,564,313,9,4365,60883,2197,4816,1350,105,69351
111,282,10,0,1063,4331,824,1234,212,8,6609,108352,12722,12837,1157,125,135193
112,233,43,3,945,3243,775,879,860,9,5766,69107,11589,9510,4070,111,94387
113,73,15,3,497,2516,171,443,162,20,3312,50139,1999,4199,751,77,57165
114,64,11,9,512,2538,260,195,131,8,3132,48822,3210,1941,956,83,55012
115,158,8,7,824,1911,264,218,38,0,2431,58199,6085,2538,346,53,67221
116,34,5,0,509,3590,621,525,59,3,4798,80153,11320,5262,433,72,97240
117,357,4,22,634,1092,2289,10382,600,72,14435,16976,26210,77983,1214,657,123040
118,418,4,3,645,1723,1524,7346,99,11,10703,25862,18865,59179,518,186,104610
119,375,8,0,1152,5608,1532,5082,198,19,12439,104583,23415,53603,1069,304,182974
120,236,5,4,562,2217,1014,3935,138,13,7317,43388,16954,41708,837,166,103053
121,660,6,8,1142,2489,673,4867,88,19,8136,75393,12005,57872,373,236,145879
122,511,6,0,1050,1892,464,2295,86,5,4742,52839,7365,28563,437,78,89282
123,133,7,3,598,2983,679,259,51,3,3975,66495,9140,2451,394,47,78527
124,68,6,35,648,3942,638,574,178,34,5366,86465,10042,5955,522,123,103107
125,430,3,0,1100,4137,1132,3914,120,13,9316,77601,17744,39509,399,225,135478
126,264,3,3,541,1213,304,1045,21,3,2586,35377,7609,16790,202,30,60008
127,63,3,3,663,4975,1031,1739,40,7,7792,83542,14007,13777,312,111,111749
128,255,3,0,536,1533,491,1443,52,0,3519,51157,8891,17154,376,19,77597
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
