region_id,CFNC_FI_H_MI_C01_Fam,CFNC_FI_H_MI_C01_Per,CFNC_FI_H_MI_C06_Fam,CFNC_FI_H_MI_C06_Per,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_S_MI_C01_Fam,CFNC_FI_S_MI_C01_Per,CFNC_FI_S_MI_C06_Fam,CFNC_FI_S_MI_C06_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_L_MI_C01_Fam,CFNC_FI_L_MI_C01_Per,CFNC_FI_L_MI_C06_Fam,CFNC_FI_L_MI_C06_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CF_CU15_DS_FI_H_MI_C01_Fam,CF_CU15_DS_FI_H_MI_C01_Per,CF_CU15_DS_FI_H_MI_C06_Fam,CF_CU15_DS_FI_H_MI_C06_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_S_MI_C01_Fam,CF_CU15_DS_FI_S_MI_C01_Per,CF_CU15_DS_FI_S_MI_C06_Fam,CF_CU15_DS_FI_S_MI_C06_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_L_MI_C01_Fam,CF_CU15_DS_FI_L_MI_C01_Per,CF_CU15_DS_FI_L_MI_C06_Fam,CF_CU15_DS_FI_L_MI_C06_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15noDS_FI_H_MI_C01_Fam,CF_CU15noDS_FI_H_MI_C01_Per,CF_CU15noDS_FI_H_MI_C06_Fam,CF_CU15noDS_FI_H_MI_C06_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_S_MI_C01_Fam,CF_CU15noDS_FI_S_MI_C01_Per,CF_CU15noDS_FI_S_MI_C06_Fam,CF_CU15noDS_FI_S_MI_C06_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_L_MI_C01_Fam,CF_CU15noDS_FI_L_MI_C01_Per,CF_CU15noDS_FI_L_MI_C06_Fam,CF_CU15noDS_FI_L_MI_C06_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CFNCU15_DS_FI_H_MI_C01_Fam,CFNCU15_DS_FI_H_MI_C01_Per,CFNCU15_DS_FI_H_MI_C06_Fam,CFNCU15_DS_FI_H_MI_C06_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_S_MI_C01_Fam,CFNCU15_DS_FI_S_MI_C01_Per,CFNCU15_DS_FI_S_MI_C06_Fam,CFNCU15_DS_FI_S_MI_C06_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_L_MI_C01_Fam,CFNCU15_DS_FI_L_MI_C01_Per,CFNCU15_DS_FI_L_MI_C06_Fam,CFNCU15_DS_FI_L_MI_C06_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CF_nonDC_FI_H_MI_C01_Fam,CF_nonDC_FI_H_MI_C01_Per,CF_nonDC_FI_H_MI_C06_Fam,CF_nonDC_FI_H_MI_C06_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_S_MI_C01_Fam,CF_nonDC_FI_S_MI_C01_Per,CF_nonDC_FI_S_MI_C06_Fam,CF_nonDC_FI_S_MI_C06_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_L_MI_C01_Fam,CF_nonDC_FI_L_MI_C01_Per,CF_nonDC_FI_L_MI_C06_Fam,CF_nonDC_FI_L_MI_C06_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,Tot_CF_FI_H_MI_C01_Fam,Tot_CF_FI_H_MI_C01_Per,Tot_CF_FI_H_MI_C06_Fam,Tot_CF_FI_H_MI_C06_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_S_MI_C01_Fam,Tot_CF_FI_S_MI_C01_Per,Tot_CF_FI_S_MI_C06_Fam,Tot_CF_FI_S_MI_C06_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_L_MI_C01_Fam,Tot_CF_FI_L_MI_C01_Per,Tot_CF_FI_L_MI_C06_Fam,Tot_CF_FI_L_MI_C06_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_Tot_C01_Fam,Tot_CF_Tot_C01_Per,Tot_CF_Tot_C06_Fam,Tot_CF_Tot_C06_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per
101,2586,14.0,3162,15.3,3888,17.3,8313,45.0,9263,44.7,9492,42.3,7594,41.1,8286,40.0,9070,40.4,455,18.2,464,17.6,452,17.3,557,22.3,662,25.1,594,22.7,1482,59.4,1512,57.3,1574,60.1,2064,17.3,1797,15.1,1944,16.4,2297,19.2,2430,20.4,2182,18.4,7598,63.5,7708,64.6,7711,65.1,362,17.5,455,20.0,497,20.0,557,26.9,590,26.0,619,24.9,1152,55.6,1227,54.0,1372,55.1,376,12.5,494,14.5,622,18.0,1178,39.2,1311,38.6,1216,35.1,1450,48.3,1593,46.9,1627,47.0,5843,15.4,6372,15.6,7403,17.3,12902,33.9,14256,34.8,14103,32.9,19276,50.7,20326,49.6,21354,49.8,38021,100,40954,100,42860,100
102,3216,11.9,3418,12.2,4282,14.7,12840,47.6,13647,48.8,13206,45.4,10891,40.4,10873,38.9,11569,39.8,463,12.5,460,12.3,579,14.9,670,18.0,703,18.7,660,16.9,2584,69.5,2589,69.0,2655,68.2,2275,12.0,2133,12.0,2461,13.8,2792,14.7,2673,15.0,2523,14.1,13882,73.3,12960,72.9,12880,72.1,393,12.8,532,14.9,683,16.1,672,21.9,789,22.1,840,19.8,1999,65.2,2246,63.0,2717,64.1,640,11.5,747,12.9,958,15.6,1997,35.9,2056,35.4,1942,31.6,2925,52.6,3007,51.8,3249,52.8,6987,12.0,7290,12.4,8963,14.6,18971,32.6,19868,33.8,19171,31.3,32281,55.4,31675,53.8,33070,54.0,58239,100,58833,100,61204,100
103,2116,12.7,2373,13.0,2943,15.3,7948,47.6,8838,48.3,8571,44.7,6621,39.7,7099,38.8,7660,39.9,492,17.2,414,15.9,377,15.2,631,22.1,625,24.0,534,21.6,1736,60.7,1565,60.1,1565,63.2,1869,14.7,1546,13.2,1568,13.7,2266,17.9,2294,19.6,1892,16.5,8537,67.4,7841,67.1,8016,69.9,340,15.6,370,17.5,381,18.1,582,26.6,564,26.7,507,24.0,1263,57.8,1178,55.8,1221,57.9,422,12.9,430,13.5,532,17.0,1362,41.5,1261,39.7,1101,35.1,1499,45.7,1485,46.8,1504,47.9,5239,13.9,5133,13.5,5801,15.1,12789,33.9,13582,35.9,12605,32.8,19656,52.2,19168,50.6,19966,52.0,37684,100,37883,100,38372,100
104,1495,12.2,1776,13.2,2375,16.5,6437,52.6,7157,53.1,7005,48.6,4314,35.2,4543,33.7,5038,34.9,393,22.5,341,20.7,313,21.0,400,22.9,406,24.6,343,23.0,955,54.6,901,54.7,837,56.1,1585,22.0,1264,18.8,1319,19.7,1568,21.8,1539,22.9,1341,20.1,4054,56.3,3917,58.3,4026,60.2,225,17.1,317,22.4,345,23.6,389,29.5,396,28.0,363,24.9,704,53.4,703,49.6,751,51.5,224,13.0,308,15.8,372,17.9,802,46.5,878,45.0,816,39.4,697,40.5,766,39.2,885,42.7,3922,16.2,4006,15.9,4724,18.1,9596,39.6,10376,41.2,9868,37.8,10724,44.2,10830,43.0,11537,44.2,24242,100,25212,100,26129,100
105,1463,14.4,1504,14.5,1756,16.9,5045,49.5,5239,50.6,4887,47.0,3680,36.1,3603,34.8,3765,36.2,292,19.2,235,17.4,237,19.9,389,25.5,398,29.5,294,24.7,842,55.3,716,53.1,657,55.3,1383,18.1,1028,15.7,1152,18.8,1637,21.4,1512,23.1,1210,19.7,4619,60.5,4010,61.2,3778,61.5,193,17.6,204,19.2,184,18.7,316,28.8,306,28.8,302,30.6,587,53.6,553,52.0,500,50.7,283,15.2,265,15.4,284,16.4,828,44.4,772,44.8,710,40.9,755,40.5,687,39.8,743,42.8,3614,16.2,3236,15.4,3613,17.7,8215,36.8,8227,39.1,7403,36.2,10483,47.0,9569,45.5,9443,46.2,22312,100,21032,100,20459,100
106,1977,10.7,2217,10.3,2879,12.1,8520,46.0,9858,45.6,9800,41.2,8027,43.3,9526,44.1,11110,46.7,428,14.1,305,10.4,363,12.1,509,16.8,492,16.8,453,15.1,2101,69.2,2134,72.8,2189,72.8,1952,13.2,1533,10.3,1547,10.1,2101,14.2,2123,14.3,1840,12.0,10727,72.6,11177,75.4,11986,78.0,328,12.8,358,13.3,410,13.7,519,20.2,550,20.4,545,18.2,1718,67.0,1793,66.4,2038,68.1,463,10.8,512,10.8,645,13.0,1598,37.1,1571,33.3,1407,28.4,2242,52.1,2637,55.9,2904,58.6,5148,11.9,4925,10.5,5844,11.7,13247,30.7,14594,31.2,14045,28.0,24815,57.4,27267,58.3,30227,60.3,43210,100,46786,100,50116,100
107,2478,11.2,2666,11.4,3360,13.4,10440,47.3,11226,47.9,11257,45.0,9135,41.4,9568,40.8,10380,41.5,437,11.6,385,10.9,487,13.4,672,17.8,589,16.7,547,15.1,2674,70.7,2547,72.3,2600,71.5,1987,11.6,1768,10.8,1914,11.5,2321,13.5,2222,13.5,2250,13.5,12874,74.9,12421,75.7,12506,75.0,397,11.0,453,11.7,635,14.9,817,22.6,796,20.6,768,18.0,2405,66.5,2611,67.6,2870,67.2,642,10.0,678,10.7,876,13.8,2416,37.6,2299,36.2,2132,33.6,3375,52.5,3380,53.2,3329,52.5,5941,11.2,5950,11.1,7272,13.0,16666,31.4,17132,32.0,16954,30.3,30463,57.4,30527,56.9,31685,56.7,53070,100,53609,100,55911,100
108,2417,11.2,2828,12.0,3717,15.0,11853,55.2,13202,56.0,12905,52.2,7221,33.6,7551,32.0,8104,32.8,577,23.1,440,19.7,455,21.5,590,23.6,548,24.6,486,23.0,1333,53.3,1244,55.7,1173,55.5,2276,22.1,1763,18.0,1867,20.1,2204,21.4,2276,23.2,1851,19.9,5802,56.4,5768,58.8,5567,60.0,360,20.6,358,18.6,468,22.6,533,30.5,610,31.7,544,26.3,853,48.9,954,49.6,1057,51.1,386,14.0,449,14.6,512,16.7,1298,46.9,1376,44.7,1330,43.4,1083,39.1,1250,40.7,1223,39.9,6016,15.5,5838,14.4,7019,17.0,16478,42.5,18012,44.3,17116,41.5,16292,42.0,16767,41.3,17124,41.5,38786,100,40617,100,41259,100
109,1306,13.0,1395,12.6,1744,14.8,4732,47.0,5432,48.9,5398,45.8,4032,40.0,4287,38.6,4637,39.4,229,15.0,199,13.3,224,16.0,391,25.6,379,25.4,305,21.7,907,59.4,915,61.3,875,62.3,897,12.8,814,12.3,926,15.2,1443,20.6,1344,20.3,1098,18.0,4669,66.6,4478,67.5,4087,66.9,176,14.8,194,16.8,253,20.3,363,30.4,355,30.8,334,26.8,654,54.8,605,52.4,659,52.9,210,12.2,215,12.5,262,16.2,706,40.9,695,40.5,601,37.2,810,46.9,807,47.0,753,46.6,2818,13.1,2817,12.7,3409,15.4,7635,35.5,8205,37.1,7736,34.9,11072,51.4,11092,50.2,11011,49.7,21525,100,22114,100,22156,100
110,2093,13.2,2317,13.9,2811,15.9,7589,48.0,8382,50.3,8254,46.7,6140,38.8,5962,35.8,6602,37.4,467,19.2,359,16.9,399,19.9,615,25.3,546,25.7,455,22.6,1347,55.5,1223,57.5,1156,57.5,1888,16.8,1624,15.7,1657,17.0,2311,20.6,2360,22.9,1963,20.1,7036,62.6,6344,61.4,6131,62.9,327,17.4,327,18.1,376,20.9,527,28.0,531,29.4,480,26.6,1027,54.6,946,52.4,947,52.5,340,12.2,384,13.5,467,16.6,1265,45.3,1245,43.9,1125,39.9,1190,42.6,1207,42.6,1226,43.5,5115,15.0,5011,14.8,5710,16.8,12307,36.0,13064,38.7,12277,36.1,16740,49.0,15682,46.5,16062,47.2,34162,100,33757,100,34049,100
