region_id,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
101,55290,21421,1932,5543,84186
102,82604,31362,3238,4559,121763
103,50773,20349,1979,3829,76930
104,35110,13643,1590,3013,53356
105,28757,12510,1089,3265,45621
106,65202,20662,2169,4074,92107
107,73208,24859,3525,3468,105060
108,54966,22830,2124,4231,84151
109,29008,12504,1334,2297,45143
110,45781,18244,1854,3473,69352
111,90755,34589,5568,4280,135192
112,60247,24847,3767,5527,94388
113,38554,14607,1680,2325,57166
114,37113,14276,1184,2440,55013
115,56186,8312,980,1743,67221
116,77099,15252,2120,2770,97241
117,56733,38706,13452,14147,123038
118,57766,27973,9265,9606,104610
119,132253,36961,5636,8123,182973
120,66777,24170,6212,5895,103054
121,98936,33925,5509,7509,145879
122,63048,19283,3214,3737,89282
123,61217,13191,1558,2560,78526
124,75234,21432,2605,3837,103108
125,97440,26776,4695,6567,135478
126,41956,13538,2557,1957,60008
127,88382,16638,2048,4681,111749
128,57003,16288,1866,2439,77596
197,0,0,0,0,0
