SOSR_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR101,193815,418376,103398,9743,725336,114714,18567,858616,15346,19825,7722,795,43692,21950,2862,68499,32239,54253,19650,1726,107872,33174,6881,147929,47591,74080,27375,2525,151565,55131,9738,216434,18644,15304,7735,1378,43051,37595,5861,86513,37716,27871,14571,2613,82773,58712,11560,153046,53313,36880,14348,2980,107525,63437,12943,183907,37477,20189,6961,2220,66846,39971,11196,118012,1691,2357,904,127,5079,2202,416,7695,148843,102599,44516,9323,305277,201920,41973,549172,49,21,12,6,85,190,8,281,75,15,26,4,121,263,9,393,13,7,5,0,25,23,0,45,1402,1060,557,143,3166,2230,811,6210,1538,1103,601,153,3395,2705,833,6931,705,705,247,45,1700,1534,267,3506,392487,596864,176137,21788,1187279,376008,71380,1634660
SOSR102,83232,103928,38517,2938,228609,58860,9372,296840,6839,2746,3470,353,13405,15242,1056,29701,6353,4359,3933,346,14988,9915,1674,26577,13194,7103,7402,698,28395,25157,2728,56282,3840,1695,2090,248,7874,11982,1075,20928,2079,742,806,98,3729,4641,770,9140,3277,904,753,138,5068,4687,778,10535,1715,427,259,42,2443,2082,394,4917,319,212,161,17,706,494,70,1270,11235,3981,4064,539,19818,23879,3088,46789,198,22,50,0,271,505,29,806,272,40,92,14,419,787,36,1245,3,0,3,0,9,3,0,12,165,107,87,21,372,357,85,816,644,166,230,37,1073,1655,146,2885,134,92,54,7,285,384,24,700,108425,115270,50260,4211,278177,109944,15369,403488
SOSR111,17070,19411,8127,604,45209,12329,1740,59275,1528,637,921,91,3173,4411,302,7883,460,269,309,31,1072,1084,116,2277,1989,899,1237,120,4248,5490,418,10156,454,242,344,45,1089,1796,143,3029,77,42,60,3,179,237,23,444,90,10,25,3,126,180,14,321,43,3,6,0,58,53,4,115,34,19,18,0,67,57,5,133,695,310,455,52,1512,2328,191,4039,46,10,7,3,64,178,5,249,41,7,8,0,57,154,8,220,0,0,0,0,0,4,0,0,16,8,7,6,40,39,3,86,104,25,30,4,164,376,16,553,22,23,14,3,65,84,8,151,19883,20671,9859,786,51200,20614,2374,74180
SOSR112,47725,46998,22503,1767,118993,39501,5254,163753,3771,1327,1772,165,7037,10267,631,17934,928,425,600,56,2002,2275,232,4512,4697,1750,2378,218,9044,12542,864,22449,1628,859,818,105,3414,6398,505,10315,335,100,99,10,549,951,78,1587,405,76,98,5,586,785,71,1441,104,8,9,0,125,83,0,214,88,55,45,7,196,121,16,326,2570,1107,1079,127,4874,8338,670,13883,59,8,12,0,79,189,3,273,83,10,20,0,116,364,12,490,0,0,4,0,8,9,0,18,73,53,35,8,163,169,46,377,219,72,65,6,358,728,68,1155,105,72,32,8,218,329,33,574,55318,49999,26053,2118,133491,61433,6891,201813
SOSR113,22441,19084,10337,754,52612,18379,2172,73160,1481,556,740,60,2838,3979,275,7085,1307,580,681,46,2616,2110,280,5009,2790,1136,1421,107,5457,6084,558,12096,617,223,361,40,1236,2587,147,3966,145,46,49,3,238,308,28,579,292,28,43,5,365,378,17,762,9,0,0,0,10,10,0,18,48,21,22,0,94,65,8,165,1105,320,472,53,1942,3352,199,5490,51,6,14,4,75,252,17,335,150,23,42,15,242,485,35,764,4,0,0,0,9,15,0,19,55,28,25,8,119,79,16,211,269,60,83,27,434,825,71,1329,48,29,25,4,103,171,16,291,26645,20624,12340,940,60549,28817,3005,92372
SOSR114,26244,23277,10703,857,61073,21251,2226,84551,1665,635,777,75,3155,5216,253,8629,635,357,364,27,1384,1103,108,2591,2302,989,1147,99,4536,6322,360,11222,663,252,380,28,1318,2595,140,4063,149,48,51,9,251,275,27,552,56,4,8,4,71,79,5,151,0,0,0,0,0,0,0,3,48,32,19,0,99,89,4,188,911,333,454,33,1736,3037,178,4952,73,7,11,3,102,162,9,266,144,7,18,5,181,316,12,503,3,0,3,0,8,9,3,18,56,59,21,5,137,121,22,281,276,76,56,14,424,607,42,1066,88,44,28,4,169,192,22,378,29818,24721,12387,1008,67933,31406,2825,102169
SOSR115,41137,33067,15311,1207,90729,32989,3342,127051,1606,421,633,57,2712,4129,213,7052,645,307,272,25,1247,999,110,2352,2248,723,908,79,3957,5126,320,9406,514,195,340,31,1078,2306,190,3580,58,15,14,4,88,151,19,257,0,0,0,0,3,10,0,19,0,0,0,0,0,0,0,5,88,51,33,3,171,129,16,320,657,263,385,37,1344,2608,235,4181,126,24,25,9,178,270,25,473,291,29,38,3,364,592,20,979,7,9,0,0,20,27,6,50,135,101,64,3,302,225,26,551,562,155,128,15,860,1117,77,2057,137,69,30,3,241,325,25,585,44747,34278,16760,1341,97126,42161,3995,143285
SOSR121,11363,10113,3756,275,25507,7836,847,34194,157,79,78,5,319,374,35,723,103,50,55,0,213,155,17,384,256,133,133,12,528,524,52,1108,67,42,34,5,138,257,13,410,52,5,0,0,58,56,0,115,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,15,9,8,0,35,29,8,68,137,55,44,5,241,351,15,603,40,16,11,0,62,116,3,187,133,8,5,0,145,201,9,354,3,0,0,0,0,5,0,7,35,15,9,4,67,35,3,99,205,44,23,6,275,356,14,651,29,40,8,0,78,60,3,141,11996,10375,3968,292,26627,9131,933,36690
SOSR122,5817,4559,1984,184,12548,5109,503,18155,39,23,13,0,76,147,0,221,11,13,9,0,34,21,3,58,55,35,23,4,107,165,5,281,35,14,10,0,61,113,5,181,3,0,4,0,7,7,0,18,7,0,0,0,7,5,0,8,0,0,0,0,0,0,0,0,7,0,0,0,12,7,0,13,51,18,10,3,82,130,8,224,32,10,5,0,43,118,8,167,44,0,4,0,52,84,7,136,0,4,3,0,6,8,0,16,17,7,3,0,25,24,3,57,91,23,20,3,134,230,15,379,20,13,7,3,40,69,3,112,6028,4643,2048,197,12914,5697,537,19148
SOSR131,66317,63836,15354,1336,146844,36159,4136,187132,291,239,89,9,624,270,14,906,89,66,28,8,184,51,15,248,381,303,117,11,805,320,26,1151,61,37,24,3,127,145,11,285,0,4,0,0,8,0,0,7,4,0,0,0,6,0,0,5,3,4,0,0,16,0,0,13,121,82,32,5,240,133,9,378,196,130,62,9,393,285,16,692,179,46,29,3,260,406,18,681,231,54,68,11,359,530,61,956,83,31,27,4,143,197,15,358,128,116,28,3,273,88,8,368,626,248,144,19,1036,1226,106,2365,342,281,100,12,730,540,45,1315,67857,64799,15775,1378,149805,38519,4335,192660
