SOSR_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR101,1325,4883,10057,13756,5547,27095,3619,15075,1338,82695,9951,42878,25326,33253,26642,29126,11231,18053,4224,200686,66826,203778,58551,49423,65868,35404,26445,30470,11855,548628,104220,185320,47652,37065,71288,28276,24734,23125,10685,532357,89190,123179,39085,33501,66191,24299,25330,24777,7663,433209,50326,75808,28985,23753,50164,17857,23152,23595,4886,298522,12367,24661,7113,5517,14700,5172,5778,6541,1591,83445,1890,3511,668,447,1702,771,394,637,511,10545,202,230,47,17,96,71,9,39,151,864,336297,664243,217484,196729,302211,168069,120687,142315,42906,2190950
SOSR102,463,688,4301,5321,1155,10059,1233,6877,404,30499,2059,6150,8946,11004,4705,7002,2192,5280,717,48054,9692,29322,17810,13763,11714,6823,5226,7287,1658,103287,15485,29418,14280,11150,13518,5512,5608,6540,1669,103173,15740,23920,12533,11819,15459,6094,6607,7884,1646,101705,9862,16063,9309,9162,12496,5142,6159,7481,1050,76723,2251,4580,1863,1755,2939,1308,1411,1713,334,18136,345,492,146,90,289,152,140,166,159,1989,33,34,7,7,16,12,4,3,62,176,55927,110660,69190,64072,62291,42106,28570,43231,7689,483747
SOSR111,107,91,857,960,239,2153,204,1407,87,6097,365,797,1737,1845,783,1155,428,1047,145,8297,1755,4366,3785,2930,2151,1488,1422,1920,332,20133,2538,4399,2766,2380,2393,1206,1514,1681,335,19212,2509,3557,2237,2325,2703,1237,1454,1611,285,17929,1608,2464,1605,1702,2131,1043,1365,1590,197,13712,442,755,330,342,562,293,359,384,55,3519,69,58,23,22,52,31,21,35,34,346,4,0,0,0,0,4,0,5,11,34,9390,16474,13341,12500,11021,8611,6772,9682,1473,89270
SOSR112,231,266,2187,2775,605,5130,499,3326,264,15287,990,2199,4136,4691,1735,2911,968,2905,360,20896,4283,11263,8967,7770,4979,3867,2812,5731,849,50529,5922,11030,6509,6047,5323,2904,2726,4683,789,45918,6364,9860,5295,6091,6311,2931,3088,4570,756,45267,4849,7815,4237,4740,5815,2624,3078,4281,530,37962,1533,2716,1084,1116,1648,887,938,1150,189,11265,317,308,125,85,200,107,107,132,125,1517,29,17,7,4,17,9,4,6,44,142,24527,45474,32551,33322,26633,21376,14229,26776,3897,228784
SOSR113,110,88,935,1049,195,2133,195,1453,109,6259,321,657,1774,1638,683,1123,456,1080,140,7871,1599,3639,3859,3037,1790,1456,1553,2066,370,19370,2357,3734,2966,2704,2079,1326,1592,1713,360,18818,2542,3455,2681,2757,2481,1366,1770,2029,342,19420,2111,2843,2078,2290,2415,1299,1640,1996,251,16922,645,917,491,505,655,407,452,484,96,4657,129,125,39,38,60,44,49,51,42,570,13,3,3,0,0,4,3,4,20,50,9828,15446,14815,14012,10354,9161,7707,10875,1736,93937
SOSR114,118,103,1166,1216,255,2226,215,1664,143,7106,420,903,2058,1889,812,1214,537,1519,136,9484,2061,4753,4302,3171,2246,1622,1514,2579,356,22614,3170,4756,3244,2757,2567,1331,1528,2276,387,22010,3290,4064,2753,2882,2978,1545,1672,2471,331,21995,2359,3045,2289,2479,2810,1575,1854,2502,300,19207,796,998,611,493,764,476,570,687,139,5533,230,113,79,34,87,55,71,77,67,824,25,12,9,0,10,4,3,4,28,91,12470,18750,16505,14928,12532,10043,7964,13781,1897,108869
SOSR115,138,136,1849,1863,325,2666,278,2243,192,9685,469,919,2905,2491,865,1356,737,1766,219,11728,2617,5590,5855,4173,2815,1874,2072,3278,515,28791,4145,6310,4774,3830,3430,1785,2276,2781,549,29881,4627,5924,4219,4112,4138,2072,2740,3260,562,31661,3807,5057,3460,3757,4002,2052,2899,3570,491,29101,1380,1743,949,787,1215,606,878,1005,182,8754,291,169,79,39,132,75,117,130,91,1113,41,11,6,0,3,8,0,3,35,112,17517,25865,24096,21055,16934,12489,12005,18034,2830,150819
SOSR121,39,32,483,497,99,850,89,669,70,2823,132,209,746,633,244,382,169,435,57,3012,649,1367,1478,925,708,438,506,729,136,6943,1200,1850,1401,996,996,437,588,693,137,8290,1446,1893,1408,1202,1329,582,762,923,198,9753,1116,1579,1120,1078,1148,584,838,985,149,8594,402,545,283,233,336,184,248,251,64,2544,107,54,29,9,39,20,23,27,20,325,14,4,0,3,5,0,0,0,11,29,5113,7542,6946,5575,4904,3478,3222,4705,841,42319
SOSR122,18,23,183,211,47,310,34,269,33,1130,55,124,388,313,125,177,71,224,23,1499,312,592,660,466,340,213,220,409,76,3284,580,705,575,453,484,185,284,411,85,3754,694,733,599,602,653,267,400,496,85,4525,675,770,581,600,562,298,462,621,79,4642,232,224,149,126,179,82,148,140,32,1317,50,38,7,4,28,14,20,17,7,185,9,0,0,0,0,0,0,0,3,14,2615,3211,3135,2772,2420,1546,1650,2596,415,20362
SOSR131,512,316,3630,2956,690,4460,677,4153,396,17786,1225,1684,4542,3172,1648,1932,1190,2973,354,18723,5518,6784,7116,3682,3864,1994,2629,4412,677,36665,10539,9497,6877,4072,5899,2155,3344,3951,914,47243,15617,11643,7644,5694,8566,3251,4850,5199,1149,63617,15961,10011,6524,4835,7683,2985,4772,5586,1017,59369,9760,3572,1721,995,2410,923,1518,1834,551,23286,3279,441,160,64,308,133,160,384,325,5252,474,16,23,6,14,9,6,46,64,658,62882,43960,38237,25472,31073,17847,19128,28537,5451,272591
