SOSR_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR101,858616,2712053,68499,161183,147929,400311,216434,561498,86513,171584,153046,309387,183907,383827,118012,246428,7695,19969,549172,1131184,281,427,393,566,45,90,6210,13479,6931,14570,3506,7437,1634660,4426736,143964,..,1778627,4426736
SOSR102,296840,798596,29701,51608,26577,55007,56282,106616,20928,34547,9140,15541,10535,18560,4917,8758,1270,2673,46789,80082,806,1196,1245,1817,12,28,816,1620,2885,4664,700,1266,403488,991220,33408,..,436895,991220
SOSR111,59275,156997,7883,13117,2277,4281,10156,17398,3029,4987,444,765,321,513,115,181,133,257,4039,6702,249,340,220,302,0,3,86,158,553,813,151,295,74180,182200,5329,..,79507,182200
SOSR112,163753,416890,17934,29332,4512,8135,22449,37475,10315,16599,1587,2474,1441,2303,214,371,326,693,13883,22433,273,385,490,658,18,34,377,778,1155,1856,574,1040,201813,479697,19937,..,221751,479697
SOSR113,73160,181616,7085,11747,5009,9678,12096,21425,3966,6035,579,937,762,1230,18,27,165,334,5490,8563,335,467,764,1125,19,30,211,434,1329,2061,291,485,92372,214148,16067,..,108442,214148
SOSR114,84551,210104,8629,13835,2591,4996,11222,18832,4063,6283,552,956,151,229,3,4,188,391,4952,7859,266,430,503,735,18,34,281,614,1066,1811,378,707,102169,239315,12213,..,114385,239315
SOSR115,127051,309440,7052,11285,2352,4598,9406,15876,3580,5619,257,423,19,30,5,9,320,635,4181,6714,473,854,979,1472,50,79,551,1206,2057,3615,585,1072,143285,336708,25905,..,169190,336708
SOSR121,34194,87175,723,1276,384,776,1108,2050,410,668,115,193,9,23,0,4,68,133,603,1015,187,299,354,543,7,14,99,221,651,1074,141,324,36690,91640,7244,..,43937,91640
SOSR122,18155,43222,221,364,58,134,281,494,181,299,18,43,8,17,0,0,13,33,224,384,167,242,136,210,16,37,57,97,379,591,112,190,19148,44880,4499,..,23645,44880
SOSR131,187132,509289,906,2217,248,634,1151,2852,285,518,7,18,5,7,13,43,378,879,692,1471,681,1128,956,1579,358,634,368,958,2365,4306,1315,2865,192660,520780,30951,..,223613,520780
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
