SOSR_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SOSR101,85754,139498,106134,621264,6959,959605,1403,4998,2507,54237,827,63974,505781,8422,14933,11827,3200,544163,25324,3838,2343,8797,254,40552,19029,6196,3827,11130,163,40340,284539,107095,77010,550116,7623,1026388,110695,3295,9135,2204,437,125762,19473,2689,2044,6609,131,30950,40151,9699,7047,46795,667,104363,65529,12142,6557,35001,639,119870,10917,2172,1214,3435,85,17823,223314,3736,2980,1870,475,232380,74436,27862,19194,215509,1663,338657,97866,24621,11694,67678,1091,202948,64392,670,1972,561,273,67867,103526,23907,10604,27417,723,166179,19752,2528,1533,4320,157,28287,21444,6499,3559,18309,267,50087,17996,3389,2157,1541,205,25288,17221,6069,4336,2967,175,30771,24322,3531,2923,7084,176,38036,20508,1652,1817,3041,153,27164,24078,3088,1348,879,301,29700,59465,24633,18181,157707,1209,261196,21905,2160,1493,2643,137,28334,22013,3165,2302,963,96,28537,30884,1830,1696,2848,223,37480,15890,943,749,618,58,18263,109243,2055,3507,2061,662,117526,9166,2393,1596,7788,71,21008,848213,55679,45473,56079,5378,1010826,44861,2797,2076,10118,221944,281804,2626223,298546,218121,1305289,250474,4698656
SOSR102,7409,42921,31773,319950,3725,405777,220,2197,1210,42210,502,46340,12366,661,1004,2347,103,16480,3437,774,383,1727,52,6369,6141,2458,1504,5835,77,16011,64520,38274,27983,293614,4054,428447,7595,415,1973,482,65,10526,2366,524,496,2653,25,6063,9468,3474,2612,24670,291,40518,4545,1299,600,4152,78,10670,1681,472,192,900,24,3263,10182,505,364,489,23,11568,14350,8147,5523,91621,764,120403,13384,4507,1942,17041,267,37141,2218,48,187,98,8,2567,2009,640,363,1278,20,4314,8943,1191,623,2688,88,13533,3306,1221,654,3989,65,9234,3142,1311,724,945,49,6175,3267,2106,1480,1284,38,8176,4286,1058,762,2854,47,9015,1852,302,353,936,28,3466,1033,554,135,142,16,1880,16993,9856,6844,78792,616,113098,3306,441,245,677,31,4710,2754,653,517,279,13,4223,3915,520,407,1504,39,6395,723,163,108,152,3,1157,2697,121,256,122,17,3212,3186,1226,836,4695,34,9977,53221,10373,8111,16389,662,88758,2789,534,418,5846,45293,54878,225095,79426,57282,638760,54613,1055174
SOSR111,957,6121,4420,67163,650,79310,45,376,179,11014,125,11744,1257,91,124,387,11,1876,233,95,30,192,3,555,987,427,275,1147,8,2845,7998,5636,3866,62639,744,80880,1402,65,361,109,9,1950,270,70,44,454,9,854,1397,636,424,7373,72,9906,294,125,41,412,8,876,223,65,26,160,3,475,2146,93,45,90,3,2385,1644,1144,764,19031,135,22718,866,454,166,2398,16,3901,185,14,23,9,0,229,91,55,25,175,0,356,53,21,0,81,0,154,173,89,72,375,6,715,435,184,69,174,4,862,432,305,206,228,7,1179,612,154,117,611,5,1503,181,30,43,123,7,388,136,65,27,40,0,276,2089,1395,996,16050,100,20633,132,24,7,65,0,236,460,90,54,52,4,661,276,52,32,183,4,547,112,20,18,18,0,175,254,8,26,5,0,294,321,152,105,705,9,1291,9308,1301,1058,2687,131,14485,400,93,50,1486,8671,10696,28943,11169,7807,136084,10330,194335
SOSR112,2748,15909,11448,174617,2266,206990,105,1187,573,37573,575,40006,4170,191,354,1142,52,5911,640,191,92,412,17,1349,2562,989,620,2222,34,6433,22960,14954,10562,160251,2318,211041,4030,121,712,202,33,5097,938,230,199,1276,10,2653,3530,1345,963,14613,151,20598,847,281,171,1072,24,2397,632,175,70,286,7,1166,5854,207,126,184,20,6401,4967,3349,2119,52367,481,63276,4378,1784,618,8369,101,15251,628,24,54,17,3,729,471,209,66,521,10,1286,166,44,25,79,5,320,642,326,168,1093,13,2243,948,370,199,365,15,1902,1181,747,540,595,32,3094,1253,309,196,983,16,2756,569,112,108,333,13,1131,695,152,50,37,11,949,6181,3927,2765,41661,355,54889,333,41,30,100,8,520,1029,221,191,111,10,1563,876,121,94,467,8,1569,465,48,50,34,0,601,1034,33,83,23,3,1179,862,377,202,1568,16,3020,24849,3567,2557,6682,298,37955,1189,195,159,3570,31828,36937,83296,29711,20586,353431,37367,524391
SOSR113,1052,7100,5262,81291,1231,95932,42,484,225,17022,336,18111,1183,93,108,412,12,1807,489,97,37,283,16,923,1293,410,281,911,19,2925,11679,6737,4747,73347,1332,97851,1539,61,417,105,22,2142,522,107,65,541,11,1248,1833,651,386,6633,70,9569,531,158,63,505,11,1263,250,72,29,150,3,497,1051,68,38,114,13,1283,2479,1460,945,21603,261,26757,1754,624,203,2814,35,5429,119,7,18,6,0,154,153,54,17,187,8,422,108,23,16,42,0,192,525,199,116,638,8,1481,507,187,133,193,4,1018,559,383,215,249,10,1414,609,155,87,415,12,1278,273,55,28,134,14,504,97,39,21,18,0,176,3081,1775,1208,18012,212,24290,153,37,9,66,3,270,409,95,62,52,4,622,554,50,39,179,4,834,60,19,16,30,0,126,283,15,46,9,0,356,501,192,94,681,11,1483,6633,1524,1176,3021,127,12483,398,111,83,1871,14431,16893,32374,13287,9312,161877,17418,234258
SOSR114,1253,7830,5794,91773,1242,107898,38,495,265,17441,317,18558,1653,102,152,561,26,2483,337,90,31,304,11,780,1348,484,319,1063,25,3250,12010,7232,5365,81940,1323,107869,1742,58,328,87,19,2242,457,87,65,603,6,1217,1827,652,459,7409,84,10426,361,156,54,520,8,1096,267,71,43,210,8,590,2132,128,125,134,16,2540,2486,1525,1034,25967,273,31290,1623,712,264,3487,46,6138,181,10,20,5,0,215,238,89,42,258,6,633,163,42,17,71,0,293,574,188,156,774,10,1700,470,187,120,196,16,990,603,357,245,248,16,1464,531,140,110,385,11,1181,229,41,35,139,0,442,161,73,21,32,6,293,3036,1860,1364,20390,176,26837,214,43,20,89,0,369,536,108,70,68,4,781,375,41,43,239,5,704,131,24,24,12,6,201,234,23,37,7,5,307,489,165,93,694,11,1449,8463,1675,1310,3322,134,14903,474,125,57,2114,15598,18372,35928,14318,10390,182104,18647,261391
SOSR115,1563,11810,8437,127904,1795,151511,46,731,403,24007,378,25564,1723,159,196,777,23,2880,632,155,69,384,18,1252,2181,709,463,1559,38,4948,19635,11304,8055,115055,2117,156162,1435,76,367,136,20,2035,783,168,130,873,10,1958,3179,1083,782,10430,170,15646,599,218,66,731,10,1634,477,128,67,247,13,931,1353,123,72,164,7,1720,4125,2532,1702,36388,453,45203,2196,1030,417,4600,79,8317,173,12,28,26,3,239,297,130,57,330,3,825,165,37,4,82,0,292,1000,369,172,1226,17,2783,677,271,180,272,9,1408,904,563,362,378,20,2222,1021,261,118,727,27,2147,401,103,86,234,6,832,136,83,30,25,6,282,4975,2876,2020,29281,339,39494,299,75,23,92,0,491,665,144,122,96,0,1036,579,89,51,290,9,1024,125,38,24,45,0,233,366,20,36,12,0,439,847,294,160,1054,12,2369,10106,2440,1750,4695,200,19194,565,149,144,2940,23665,27469,49772,21844,15328,254346,28226,369508
SOSR121,429,3317,2313,35376,385,41812,13,204,107,6281,118,6720,299,49,53,228,8,636,127,32,20,87,6,270,564,245,155,423,16,1398,5157,2992,2213,31359,503,42224,349,17,107,55,8,536,208,40,49,220,0,517,805,336,215,2861,45,4257,184,70,22,226,5,498,137,45,16,59,3,261,279,30,21,40,0,366,1085,636,450,9622,106,11892,622,305,145,1315,7,2394,40,3,18,8,0,69,96,47,16,85,0,247,38,12,4,17,0,70,240,104,57,304,3,708,153,68,40,63,3,330,235,154,104,119,6,614,281,68,51,186,0,588,121,26,22,71,5,251,29,16,0,0,0,46,1308,793,539,8205,93,10932,66,11,0,17,0,96,175,24,19,26,0,251,135,18,21,103,0,283,40,17,8,17,0,80,74,0,11,7,0,96,221,54,59,315,3,657,2326,667,493,1357,42,4880,114,26,37,765,5604,6547,12442,6025,4210,69514,6663,98845
SOSR122,190,1464,1115,17279,211,20265,8,114,63,3707,79,3954,219,21,26,88,0,353,66,18,18,59,0,157,316,119,58,168,10,674,2599,1399,1075,15154,268,20492,192,14,57,14,3,284,99,28,16,107,0,256,435,161,84,1425,24,2130,90,45,16,98,5,249,54,26,11,26,0,120,112,25,7,16,0,161,546,295,205,4697,49,5798,345,136,69,607,7,1166,19,0,0,0,0,21,29,17,13,37,0,100,22,4,3,15,0,50,151,58,31,164,3,403,67,41,23,14,4,160,126,69,49,59,0,298,115,27,16,78,0,242,53,6,8,29,0,99,19,7,4,0,0,32,696,381,261,3996,62,5388,38,7,3,20,0,61,97,21,18,13,0,148,66,10,4,47,0,125,0,3,4,0,0,10,15,0,3,0,0,22,116,29,9,132,0,296,1123,251,262,587,30,2255,53,21,11,395,3774,4258,6340,2779,2043,34445,4356,49959
SOSR131,2740,16855,13249,200518,2201,235560,60,702,462,22422,315,23964,3157,200,311,1059,41,4774,1245,291,166,776,28,2506,3685,1224,868,2315,58,8151,27445,15638,11953,173445,2449,230922,1434,93,439,143,27,2138,1096,247,187,1284,19,2831,5334,1638,1370,16242,234,24815,1175,404,169,1219,26,2991,690,192,94,288,6,1275,1631,201,151,209,14,2214,5950,3630,2487,55879,589,68524,6401,2189,818,9373,124,18909,304,13,41,26,0,380,2012,529,246,1061,15,3862,308,65,28,155,5,562,4002,950,561,3987,51,9558,738,299,209,266,10,1520,1383,719,624,541,25,3299,1413,375,231,914,34,2964,661,132,113,319,11,1237,224,82,51,41,8,405,6837,4036,3119,48392,466,62850,594,101,60,189,9,951,1165,227,159,129,6,1693,766,114,76,459,13,1428,160,49,38,37,0,286,413,21,70,28,4,546,1038,352,228,1640,12,3268,14718,3432,2891,6745,279,28063,757,223,182,4127,44323,49616,79248,32173,24056,388982,49811,574269
