SOSR_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SOSR101,157,343,819,736,737,700,322,124,14,3944,16,86,486,700,578,511,167,37,0,2579,1404,4437,14674,17656,18484,16037,3995,453,29,77169,107,522,2565,3672,3217,2121,508,48,0,12759,6486,15350,39233,31770,24826,16163,3968,396,27,138227,556,2313,8486,11505,10555,7864,2064,314,28,43697,8222,15480,22339,18359,13035,9577,2927,476,36,90456,11891,10723,14752,10364,6594,4888,1307,189,19,60722,1221,5332,17588,20052,19327,16454,4302,338,9,84618,364,1751,8037,10656,7542,3746,765,95,14,32961,265,5153,21964,28487,19111,8774,2103,369,57,86288,337,1507,5211,5889,4605,3197,1341,328,62,22470,780,8994,38028,40627,26420,16305,6687,1224,83,139156,739,3319,8830,8234,6861,5324,1779,244,13,35338,535,3780,14948,16184,14571,10650,2784,232,12,63687,2221,4907,12189,11474,10050,8466,3234,396,19,52951,905,5396,18375,16302,13626,11236,4657,765,44,71314,1045,2253,4613,3772,2723,1887,692,114,11,17109,1325,3188,8349,8029,7549,6107,1934,301,15,36808,1728,5809,17308,15776,12058,8572,2497,531,96,64377
SOSR102,48,136,306,228,238,212,82,34,4,1290,42,230,1541,1995,1552,980,102,9,0,6456,644,1494,3895,4176,4945,4188,725,73,3,20144,43,197,810,1089,1193,905,135,6,0,4377,2786,5537,10959,9268,7958,5632,1209,96,4,43443,168,388,1166,1473,1669,1307,326,41,3,6533,2821,3464,4339,3081,2883,2234,673,89,3,19588,5147,3159,3059,1876,1381,1054,332,47,5,16054,229,704,2304,2977,3813,3788,939,119,4,14873,95,252,710,897,832,510,106,20,7,3430,29,369,1278,1683,1549,891,235,39,3,6079,65,206,561,683,719,562,241,63,10,3102,187,1225,3763,4316,3405,2330,990,161,7,16378,213,663,1437,1535,1644,1378,400,49,0,7319,150,897,3502,4780,5116,3462,614,41,0,18574,265,915,2813,2921,2783,2308,790,71,3,12871,265,1526,4829,4276,4073,3564,1061,121,7,19719,411,450,672,596,550,377,138,20,6,3221,499,1025,1959,1915,1872,1591,447,71,5,9391,481,1127,2547,2334,2229,1659,475,123,33,11005
SOSR111,25,63,184,219,166,128,63,21,5,861,15,108,537,702,536,311,32,3,0,2246,134,341,1019,936,914,773,127,13,0,4259,9,39,154,194,180,160,27,0,0,764,442,995,1814,1481,1120,972,238,13,0,7078,31,91,349,363,356,276,74,8,0,1560,646,578,909,682,569,438,164,12,3,4001,974,477,571,390,297,242,84,6,3,3051,46,131,481,590,696,666,248,23,0,2876,24,22,82,65,79,61,13,8,0,351,5,40,154,174,151,102,29,3,0,677,12,33,113,107,112,99,46,5,0,522,50,113,513,484,398,300,162,23,0,2046,42,118,319,314,310,255,84,7,0,1452,27,145,687,763,813,509,92,6,3,3032,41,112,438,446,455,380,145,7,0,2027,68,252,780,784,735,538,182,18,0,3363,75,50,72,84,76,61,28,3,0,450,124,234,490,389,340,268,73,13,0,1930,107,240,544,483,395,318,80,22,3,2198
SOSR112,114,267,724,624,583,577,314,115,10,3327,39,204,968,952,735,462,51,4,0,3407,424,997,2670,2462,2100,1677,398,58,4,10789,32,82,407,583,589,532,80,7,0,2314,1235,2268,4428,3290,2793,2307,654,67,3,17046,128,262,664,683,775,650,160,27,0,3353,1631,1417,2259,1630,1481,1205,473,88,10,10191,2354,1219,1802,1173,788,673,267,43,4,8301,114,293,1054,1171,1461,1582,619,80,6,6378,61,102,230,262,199,182,61,10,0,1101,6,88,267,365,443,327,114,24,4,1643,27,75,226,240,272,257,137,25,8,1279,89,275,1041,1007,977,855,536,95,3,4894,113,313,749,711,792,722,233,26,0,3662,93,447,1846,1941,2227,1829,371,27,0,8783,114,391,1143,1383,1554,1385,450,46,3,6465,124,604,2425,2241,1997,1890,615,67,0,9959,168,112,260,225,236,238,91,23,0,1355,289,527,1194,925,930,760,266,52,9,4952,343,536,1261,1039,1014,789,267,88,22,5359
SOSR113,27,62,148,152,156,153,91,38,9,845,48,272,1158,1188,1039,690,85,0,0,4490,149,306,698,613,695,594,125,15,4,3207,9,69,188,218,261,270,34,3,0,1052,513,877,1758,1438,1374,1119,313,24,0,7417,55,101,262,307,281,256,58,14,3,1328,675,497,819,673,593,548,220,26,0,4043,1071,537,827,572,449,444,148,25,0,4071,39,120,347,426,633,720,286,39,0,2609,22,24,67,60,70,62,19,5,0,340,7,21,81,115,108,121,50,11,3,517,16,32,67,104,125,126,62,28,0,559,35,67,325,430,433,325,190,35,0,1846,50,123,358,314,342,346,105,12,0,1649,33,181,748,866,948,771,180,10,0,3735,25,97,345,369,389,410,177,10,0,1830,48,181,635,666,672,722,225,15,0,3169,54,60,97,83,100,92,36,18,0,540,120,228,432,374,386,357,121,21,4,2039,138,212,479,422,457,363,115,35,8,2233
SOSR114,99,262,636,554,500,530,283,107,20,2991,15,141,495,451,405,256,33,3,0,1798,242,502,1221,1088,1104,929,233,34,0,5355,14,60,268,287,302,272,38,4,0,1238,639,1086,2469,1843,1518,1230,338,48,3,9181,80,122,298,363,385,343,107,23,0,1712,695,581,819,699,698,676,241,36,0,4446,1056,460,597,491,442,428,164,19,0,3658,57,155,467,585,724,871,346,56,5,3279,14,31,96,88,101,71,23,10,0,437,10,24,119,159,139,114,41,8,0,615,11,24,99,93,123,113,66,12,5,544,27,122,414,497,426,334,211,44,7,2083,56,133,271,315,383,343,122,15,0,1635,46,206,834,1147,1171,915,190,12,4,4521,35,144,458,537,586,500,171,16,0,2450,48,153,633,639,653,626,165,21,9,2942,53,45,128,104,117,110,36,8,0,598,179,259,554,472,441,422,173,34,0,2530,186,255,620,505,484,432,169,57,14,2718
SOSR115,166,362,791,714,651,801,473,146,20,4120,51,176,799,835,739,499,65,14,0,3183,318,542,1332,1287,1392,1231,292,35,3,6446,26,73,315,398,418,384,58,0,0,1677,1033,1626,3319,2822,2447,2068,605,51,6,13975,79,141,405,377,426,446,131,25,0,2034,886,636,979,905,834,913,324,68,4,5551,1189,537,789,610,686,661,259,22,5,4757,82,153,585,732,1066,1254,529,92,4,4501,23,42,97,144,151,126,47,10,0,629,11,27,117,160,185,155,61,12,0,721,21,40,132,176,154,140,105,23,3,794,43,121,530,700,673,568,354,49,0,3036,66,155,400,406,488,549,191,21,0,2279,173,375,1125,1501,1780,1505,321,18,0,6804,47,149,626,729,813,766,298,27,0,3459,49,210,685,772,954,1005,325,26,4,4019,86,122,192,198,189,185,84,13,0,1063,209,326,646,595,616,572,199,43,5,3210,251,346,740,755,758,696,256,68,24,3889
SOSR121,42,82,188,196,215,233,125,64,4,1150,3,30,160,216,193,123,30,3,0,760,82,119,281,321,449,350,74,10,0,1684,4,11,70,120,113,126,19,0,0,462,287,432,894,846,851,661,185,9,0,4172,16,35,101,126,161,124,39,3,0,611,294,197,227,235,252,240,101,13,0,1566,366,151,160,152,171,170,85,10,0,1258,23,60,156,195,356,433,136,21,0,1382,7,7,28,41,45,34,7,5,0,167,3,18,35,66,66,56,20,4,0,265,6,10,25,40,51,58,15,0,0,208,16,35,134,192,213,199,106,19,0,908,26,38,106,130,174,171,52,3,0,704,27,66,241,368,479,408,82,12,0,1682,18,45,133,198,242,243,100,9,0,978,20,59,190,244,284,320,118,18,0,1250,29,23,48,66,55,61,36,6,0,321,64,119,171,179,208,191,65,5,0,1008,82,94,185,196,232,190,77,20,5,1089
SOSR122,25,50,150,133,137,182,92,22,6,792,0,19,62,79,79,57,7,0,0,317,47,69,117,167,184,199,38,4,0,817,3,15,45,51,71,52,7,0,0,247,103,221,384,347,354,370,86,7,0,1873,16,22,51,43,62,80,28,3,0,293,92,71,121,114,109,135,39,8,0,678,157,81,98,97,104,111,34,12,0,685,10,21,70,110,141,204,82,16,0,652,5,0,11,16,20,24,5,0,0,84,0,6,15,23,30,29,5,5,0,115,0,10,7,22,16,34,10,7,6,106,0,19,67,72,81,92,53,18,0,409,10,18,49,65,79,65,30,0,0,322,10,31,123,186,244,212,51,4,0,868,3,20,68,73,116,102,38,9,0,423,5,38,75,83,136,160,39,6,0,541,10,5,27,25,31,42,12,0,0,160,26,48,81,73,112,101,34,0,0,477,34,34,96,107,125,146,51,6,3,606
SOSR131,984,1404,3715,4480,5845,7358,5655,2170,360,31965,89,235,928,1443,1451,947,163,12,0,5277,563,755,1373,1599,2326,2038,664,98,5,9408,39,104,311,517,711,656,109,10,0,2462,1966,2650,4253,4578,5223,4422,1268,100,6,24468,252,243,496,740,966,963,313,80,8,4047,1453,857,951,881,1303,1343,508,84,3,7386,1683,565,550,472,623,688,305,63,6,4953,179,303,766,1136,1958,2110,803,110,3,7374,47,55,105,157,243,242,70,16,0,941,16,85,168,318,487,379,139,27,0,1617,61,86,179,292,433,379,205,58,6,1693,95,318,644,1022,1484,1477,818,132,6,5997,120,216,476,527,744,800,248,28,0,3149,317,611,1032,1597,2532,2103,470,29,0,8696,140,230,554,852,1280,1384,537,51,3,5024,115,228,609,842,1357,1565,642,87,0,5439,174,166,230,280,336,360,148,31,5,1733,524,589,853,921,1207,1099,380,49,3,5628,510,539,941,1110,1478,1413,610,290,54,6946
