SOSR_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR101,336297,664243,217484,196729,302211,168069,120687,142315,42906,2190950
SOSR102,55927,110660,69190,64072,62291,42106,28570,43231,7689,483747
SOSR111,9390,16474,13341,12500,11021,8611,6772,9682,1473,89270
SOSR112,24527,45474,32551,33322,26633,21376,14229,26776,3897,228784
SOSR113,9828,15446,14815,14012,10354,9161,7707,10875,1736,93937
SOSR114,12470,18750,16505,14928,12532,10043,7964,13781,1897,108869
SOSR115,17517,25865,24096,21055,16934,12489,12005,18034,2830,150819
SOSR121,5113,7542,6946,5575,4904,3478,3222,4705,841,42319
SOSR122,2615,3211,3135,2772,2420,1546,1650,2596,415,20362
SOSR131,62882,43960,38237,25472,31073,17847,19128,28537,5451,272591
SOSR179,0,0,0,0,0,0,0,0,0,0
SOSR199,234,500,279,334,236,171,253,419,77,2511
