SOSR_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,48605,108108,282725,262742,219314,146260,36400,3633,288,1108073,73000,36350,76036,79324,72308,103623,152701,102081,45974,741399,5195,7987,22109,17495,12457,10167,9063,8998,10237,103704,126802,152436,380866,359568,304077,260048,198163,114713,56501,1953176,10656,80921,350123,351832,287181,175944,35020,2574,149,1294401,49058,81523,130228,127309,106386,88172,37098,6307,493,626573,21643,33554,55989,44464,34141,30703,10166,1331,124,232114,1342,4685,12299,8749,5504,3697,1161,330,102,37858,82695,200686,548628,532357,433209,298522,83445,10545,864,2190950,2746,9008,18628,14883,12618,9372,1330,63,9,68660,10567,10215,9938,6716,5442,5615,1741,189,21,50448,13308,19225,28563,21597,18072,14994,3070,255,23,119104,96003,219910,577192,553955,451283,313507,86516,10798,894,2310052,154963,76640,130544,124152,119185,174003,273593,186128,75846,1315055,11014,17387,45904,36409,26047,21509,17686,16141,15330,207417,261971,313934,753648,714513,596518,509021,377790,213068,92069,3832530
SOSR102,18035,25653,52677,52709,52898,39058,8346,728,67,250171,10673,5473,11218,11296,12694,26756,49250,34743,15623,177711,1275,1485,3171,2819,2410,2429,2851,3279,3425,23125,29980,32608,67067,66817,67991,68238,60452,38742,19113,451009,5595,20881,62012,63009,65076,42583,6544,408,23,266134,19751,20902,29783,31735,29412,27255,9461,1259,87,169637,4691,5395,9624,7106,6090,6136,1900,209,33,41172,461,882,1873,1326,1130,754,234,111,39,6801,30499,48054,103287,103173,101705,76723,18136,1989,176,483747,1241,2142,2956,2124,2344,1803,220,18,7,12853,3356,1779,1596,1274,1178,1327,406,33,6,10958,4596,3922,4557,3401,3519,3136,625,50,10,23810,35098,51978,107841,106571,105221,79856,18762,2044,187,507562,23690,10999,17989,17648,21728,46152,90141,63612,25164,317124,2640,3159,6639,5823,5304,5050,5336,5608,5147,44694,61418,66135,132466,130034,132254,131061,114242,71267,30494,869377
SOSR111,3631,4423,10296,9922,9559,7128,1568,127,12,46664,1849,986,2366,2109,2158,4423,8757,6001,2508,31157,237,279,675,594,447,475,480,560,456,4213,5724,5687,13334,12628,12167,12026,10801,6687,2981,82029,1295,4427,12520,12241,11840,7925,1292,68,3,51612,4227,3305,6019,5930,5223,4878,1930,217,14,31744,477,388,1226,791,673,750,247,29,6,4583,97,179,368,254,194,154,45,26,13,1325,6097,8297,20133,19212,17929,13712,3519,346,34,89270,292,406,580,455,445,356,41,0,0,2568,635,291,324,288,245,253,79,5,0,2119,930,692,910,744,688,608,119,5,3,4691,7021,8994,21042,19951,18611,14321,3637,342,34,93960,3969,1728,3470,3257,3706,7462,15837,10769,3983,54182,541,553,1424,1259,1009,960,901,925,699,8270,11534,11277,25933,24467,23325,22736,20378,12040,4715,156414
SOSR112,8704,11179,25890,23814,24070,19765,5225,545,45,119250,5476,2898,6342,5252,5793,11934,24677,18716,8693,89783,1004,1061,2116,1779,1581,1461,1563,1729,1545,13832,15182,15136,34351,30854,31444,33159,31469,20989,10278,222863,3694,11394,32060,29668,30169,22185,4243,325,29,133757,10179,7884,14400,13654,12789,13239,6060,985,64,79260,1104,1101,3076,1945,1756,2114,779,118,20,12016,316,513,982,660,551,424,180,94,28,3753,15287,20896,50529,45918,45267,37962,11265,1517,142,228784,675,1022,1457,1075,1087,870,118,5,0,6304,1378,797,847,642,559,669,229,30,9,5162,2051,1819,2305,1717,1643,1541,355,30,8,11464,17339,22718,52822,47636,46905,39502,11616,1551,152,240249,11654,5545,10671,9306,10616,20492,44713,33709,13926,160635,2034,2190,4310,3548,3303,2959,2992,2981,2330,26649,31027,30457,67805,60489,60830,62954,59320,38241,16410,427530
SOSR113,3531,4101,9991,9833,10293,8784,2063,194,15,48808,2125,1066,2852,2613,3084,6656,13126,9162,4171,44864,360,379,973,835,791,772,829,897,802,6636,6018,5547,13814,13279,14165,16213,16020,10253,4991,100303,1460,4214,11320,11295,12113,9093,1634,125,3,51264,4081,3007,6220,6218,6125,6464,2567,358,24,35056,568,443,1329,927,878,1112,371,38,11,5671,160,215,499,377,301,250,83,47,10,1947,6259,7871,19370,18818,19420,16922,4657,570,50,93937,369,489,709,578,579,472,53,5,4,3254,574,297,366,293,293,364,112,6,0,2307,946,790,1075,871,869,835,166,12,4,5559,7203,8657,20449,19687,20288,17753,4821,582,51,99495,4752,2006,4584,4393,5470,11711,24469,16953,6652,80998,826,817,1948,1754,1677,1633,1630,1564,1158,13002,12787,11479,26977,25839,27435,31098,30922,19095,7856,193489
SOSR114,3968,5037,11624,11490,11685,10036,2461,261,26,56593,2507,1195,2830,2569,2756,6378,13874,10594,4859,47554,441,444,1103,960,821,908,934,1037,746,7406,6922,6674,15561,15020,15260,17322,17270,11893,5633,111551,1829,5444,14126,13980,14388,10675,2120,211,17,62791,4588,3318,6406,6675,6424,7142,2923,507,53,38029,519,502,1615,1012,879,1100,380,51,9,6066,167,219,465,350,295,296,111,61,22,1986,7106,9484,22614,22010,21995,19207,5533,824,91,108869,314,465,678,507,517,483,71,5,0,3037,539,296,380,287,287,364,110,14,3,2281,858,759,1052,790,805,847,186,16,7,5324,7961,10243,23665,22805,22800,20057,5717,837,99,114192,5321,2024,4177,3992,4920,11134,25579,19381,7877,84412,904,992,2193,2010,1835,1808,1922,1749,1172,14576,14190,13258,30040,28809,29552,32999,33212,21969,9144,213174
SOSR115,5361,5946,14774,15552,16846,15139,3885,370,35,77912,3537,1431,3619,3405,3996,10342,21294,14350,6208,68181,635,568,1409,1426,1363,1422,1635,1533,1064,11056,9539,7943,19796,20385,22209,26907,26813,16251,7304,157150,2689,6499,17437,18109,20005,15417,3155,262,25,83606,5895,4153,8638,9631,9662,11301,4719,692,41,54726,822,757,2048,1622,1471,1936,706,85,11,9452,276,318,667,521,521,447,170,69,35,3032,9685,11728,28791,29881,31661,29101,8754,1113,112,150819,404,579,799,679,777,696,102,3,0,4033,683,351,481,375,482,595,173,15,3,3153,1081,930,1280,1049,1264,1288,270,17,3,7193,10769,12657,30069,30931,32925,30392,9024,1135,116,158009,7568,2598,5542,5572,7165,18078,40639,27218,10081,124457,1346,1236,2856,2766,2792,3017,3239,2783,1658,21696,19681,16491,38468,39268,42877,51481,52903,31139,11859,304163
SOSR121,1563,1476,3540,4302,5095,4357,1094,106,20,21549,1082,375,931,895,1180,2928,5412,2957,986,16745,165,146,343,353,316,400,410,309,198,2625,2804,1993,4811,5549,6590,7684,6915,3368,1199,40916,694,1605,4143,5093,6083,4583,921,98,7,23220,1797,1131,2172,2640,3074,3295,1354,190,12,15667,257,199,458,413,445,593,217,21,0,2608,73,81,169,141,154,128,52,17,5,813,2823,3012,6943,8290,9753,8594,2544,325,29,42319,105,148,196,145,204,211,22,6,0,1025,203,80,116,116,112,187,56,3,0,878,304,229,316,258,315,397,78,6,0,1907,3125,3241,7250,8550,10072,8994,2628,336,31,44222,2271,665,1408,1425,2009,5171,10587,5927,1715,31171,343,284,688,701,708,835,888,594,330,5373,5735,4192,9347,10674,12789,14998,14096,6858,2080,80771
SOSR122,626,747,1644,1927,2376,2363,572,60,4,10327,492,216,506,444,686,1581,2797,1467,488,8682,130,86,220,218,267,273,282,176,79,1742,1247,1053,2372,2585,3328,4223,3645,1710,575,20745,292,822,1941,2271,2826,2452,509,53,3,11163,701,547,1038,1198,1390,1769,684,116,10,7454,111,93,233,192,217,331,87,14,0,1274,27,45,80,85,88,91,40,5,3,464,1130,1499,3284,3754,4525,4642,1317,185,14,20362,58,84,125,93,122,172,20,0,0,678,68,37,44,48,53,95,26,0,0,378,122,124,173,144,179,267,50,0,0,1054,1259,1628,3455,3893,4704,4909,1365,187,16,21413,1074,373,765,739,1254,2938,5578,3041,853,16610,271,191,457,441,566,618,583,379,126,3625,2599,2187,4676,5073,6515,8463,7524,3607,1000,41640
SOSR131,9196,8945,18130,24048,32327,28398,9347,1756,184,132337,6840,1988,4725,4986,6496,14805,23676,12153,3453,79115,1213,947,1984,2514,3065,3379,2739,1585,578,18000,17250,11874,24836,31539,41886,46587,35755,15494,4215,229449,5386,10809,22495,29509,41454,34148,11175,2233,214,157425,10126,6045,10486,14291,18109,20699,10174,2362,319,92599,1660,1367,2784,2473,2895,3452,1393,283,51,16360,609,500,904,968,1161,1070,542,374,79,6212,17786,18723,36665,47243,63617,59369,23286,5252,658,272591,432,634,914,772,1031,1061,150,4,0,5007,1037,405,515,494,551,819,247,24,5,4096,1470,1039,1427,1268,1587,1883,397,31,5,9103,19250,19758,38097,48511,65208,61248,23679,5282,662,281693,14520,4061,8200,8520,11626,26768,47605,25349,6488,153135,2652,2123,4192,5110,6334,7298,5998,3342,1071,38114,36426,25946,50478,62140,83164,95316,77284,33967,8221,472950
