SOSR_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOSR101,423157,856230,9563,56508,58633,275097,11796,56364,327234,1265952,407228,1653923,34108,149523,55579,197440,108783,364077,198474,711039,605701,2364957,2602,12688,12057,42563,5102,19147,58920,157107,78687,231512,8915,30229,21046,48819,74859,170452,104827,249506,183509,481018,21788,46655,1234155,3748859
SOSR102,113105,227036,1929,10722,10861,50011,3355,15429,62035,241197,78185,317359,5877,24836,8958,30794,23223,75068,38066,130694,116245,448054,673,3119,3328,11311,1981,7215,18848,49802,24831,71443,1983,6280,4558,10057,20304,44485,26850,60821,51679,132265,4212,8785,285246,816142
SOSR111,20633,41281,365,2018,1987,9241,720,3345,11816,45985,14888,60589,879,3664,1334,4436,3741,11893,5952,19990,20844,80575,141,651,731,2558,433,1581,4345,11720,5657,16513,322,1033,794,1747,3378,7362,4491,10144,10147,26659,784,1654,52406,150165
SOSR112,57062,114194,1001,5718,4803,22488,1751,8246,28415,111413,35971,147860,1952,8202,3422,11283,9064,28772,14437,48257,50405,196112,397,1895,1798,6428,1177,4380,11363,31318,14735,44024,802,2519,2057,4423,9207,19963,12061,26898,26802,70929,2120,4442,136394,385678
SOSR113,27520,54984,383,2128,1876,8718,821,3839,11380,44627,14458,59312,791,3285,1317,4315,4222,13349,6333,20944,20791,80252,192,923,813,2908,638,2344,5272,14603,6915,20772,337,1069,862,1814,4593,9971,5789,12852,12711,33625,937,1961,61951,170832
SOSR114,30730,61464,415,2340,2299,10632,868,3998,14366,56555,17952,73526,919,3801,1461,4783,4577,14462,6955,23051,24915,96573,175,794,843,2947,563,2120,5310,14937,6889,20799,374,1181,925,1975,4541,9741,5844,12895,12735,33691,1007,2128,69379,193852
SOSR115,46119,92058,613,3447,3175,14770,1278,5898,19284,76157,24345,100272,1314,5491,2144,6990,6789,21451,10248,33930,34597,134195,258,1160,1200,4218,765,2753,7041,19454,9263,27587,473,1510,1281,2728,6215,13405,7967,17640,17235,45224,1340,2828,99291,274304
SOSR121,12489,24960,216,1234,1004,4675,424,1970,5399,21605,7043,29480,432,1810,742,2475,2232,7039,3416,11324,10462,40805,61,297,281,1018,190,721,1640,4561,2162,6593,129,409,309,677,1506,3250,1947,4335,4115,10930,290,618,27359,77303
SOSR122,6259,12477,92,536,395,1831,197,898,2426,9665,3113,12931,188,791,286,919,1104,3450,1573,5162,4686,18090,19,99,156,546,109,395,807,2243,1090,3285,63,201,164,346,796,1724,1025,2273,2109,5555,199,409,13249,36531
SOSR131,72516,145113,1562,8744,7100,33313,2552,11961,30532,124974,41742,178988,3621,15215,5240,17240,15332,49093,24191,81553,65939,260539,251,1217,1069,3769,632,2300,5881,16191,7829,23483,522,1674,1245,2678,7095,15439,8860,19788,16692,43270,1380,2908,156531,451824
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
