SOSR_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOSR101,28820,26883,55702,28872,27552,56425,29262,27410,56669,28951,27173,56118,29682,28171,57852,145583,137189,282767,30171,28793,58965,30109,28350,58460,30258,29014,59268,30672,29086,59754,30771,29045,59810,151977,144283,296258,30059,28384,58445,30170,28336,58504,29235,27894,57123,29240,27829,57067,28828,27132,55960,147526,139573,287098,27852,26150,54002,27291,25308,52603,26718,24858,51579,26560,25084,51646,26758,25383,52143,135176,126802,261971,29724,27565,57291,32283,29818,62103,32243,30262,62505,32981,31487,64470,34259,33302,67567,161493,152436,313934,35432,34351,69786,36434,35861,72298,36679,36577,73257,37294,37288,74583,37166,38423,75585,183013,182506,365516,38227,39764,77985,38542,40001,78546,38401,39798,78197,37398,39481,76880,37197,39326,76529,189765,198365,388131,37860,39057,76909,37923,39000,76921,37995,38795,76787,38003,38886,76883,36910,37370,74282,188690,193105,381789,36395,35868,72256,34239,33949,68190,33076,33320,66390,31524,31947,63472,31022,31387,62414,166256,166470,332724,30513,31025,61534,30325,30846,61172,30133,31284,61423,30533,31606,62138,31111,32279,63391,152620,157039,309662,30865,32757,63628,28475,29824,58304,27894,29413,57310,26645,28306,54950,25931,26731,52662,139817,147038,286852,26252,26536
SOSR102,5913,5724,11638,5964,5538,11507,5938,5582,11516,6159,5776,11935,6121,5839,11955,30095,28459,58553,6582,5952,12531,6383,6045,12434,6547,6032,12577,6699,6081,12779,6559,6163,12727,32772,30275,63046,6619,6063,12678,6596,6316,12911,6642,6195,12840,6591,6397,12993,6589,6182,12773,33030,31163,64201,6502,6074,12571,6270,5884,12148,6093,5731,11828,6121,5993,12109,6456,6300,12761,31448,29980,61418,6799,6436,13230,6623,6762,13385,6774,6618,13394,6678,6430,13106,6660,6362,13017,33526,32608,66135,6701,6398,13105,6667,6469,13133,6591,6633,13225,6535,6604,13134,6466,6727,13196,32962,32830,65793,6600,6789,13385,6625,6867,13495,6503,6829,13329,6317,6781,13105,6391,6968,13366,32438,34237,66673,6430,6915,13354,6645,6907,13552,6384,6934,13322,6508,6764,13270,6518,6705,13224,32490,34237,66724,6362,6788,13154,6231,6608,12837,6043,6549,12591,6049,6291,12342,6043,6350,12394,30728,32587,63316,6115,6447,12568,6114,6612,12726,6518,6697,13223,6698,7075,13770,6968,7437,14409,32415,34274,66692,7055,7515,14577,6450,6682,13130,6326,6684,13014,5966,6313,12279,6052,6519,12572,31846,33719,65563,6112,6376
SOSR111,1234,1183,2415,1206,1200,2401,1282,1213,2487,1243,1217,2465,1238,1207,2446,6201,6017,12218,1287,1277,2560,1277,1289,2564,1323,1282,2603,1388,1209,2600,1355,1313,2670,6632,6371,12997,1301,1279,2579,1291,1274,2563,1298,1206,2501,1246,1215,2458,1311,1286,2598,6441,6258,12704,1224,1217,2441,1180,1215,2396,1139,1141,2281,1184,1075,2257,1086,1073,2158,5812,5724,11534,1080,1012,2091,1105,1149,2252,1095,1154,2247,1117,1204,2320,1195,1171,2361,5592,5687,11277,1185,1211,2397,1263,1206,2467,1274,1314,2587,1293,1408,2698,1304,1346,2655,6319,6475,12799,1294,1446,2738,1291,1433,2719,1273,1359,2633,1207,1321,2533,1220,1300,2523,6281,6862,13140,1271,1370,2639,1294,1361,2656,1239,1305,2541,1178,1312,2484,1178,1273,2450,6158,6619,12775,1194,1262,2459,1114,1182,2293,1125,1142,2261,1145,1206,2350,1112,1222,2329,5684,6008,11693,1075,1229,2301,1079,1137,2220,1070,1176,2247,1113,1215,2326,1232,1321,2553,5573,6075,11646,1195,1277,2473,1192,1202,2392,1111,1224,2336,1031,1206,2237,1065,1186,2246,5589,6095,11684,1000,1134
SOSR112,3149,2884,6033,3140,3047,6189,3203,3007,6215,3110,3008,6121,3373,3073,6447,15974,15027,31005,3283,3223,6502,3335,3100,6436,3233,3259,6495,3371,3253,6624,3408,3284,6691,16621,16122,32745,3232,3109,6341,3352,3267,6618,3376,3290,6668,3423,3256,6677,3418,3394,6816,16803,16315,33113,3347,3138,6483,3320,3129,6447,3143,3087,6229,3089,2943,6027,2950,2890,5842,15845,15182,31027,3092,2924,6023,3107,3001,6106,2894,3018,5913,3058,3051,6112,3162,3138,6299,15316,15136,30457,3105,3227,6335,3376,3514,6890,3357,3381,6738,3410,3435,6850,3575,3497,7079,16830,17063,33889,3446,3625,7073,3520,3453,6974,3231,3439,6667,3227,3386,6620,3217,3375,6593,16632,17283,33919,3248,3279,6530,3179,3308,6492,3056,3232,6288,3101,3318,6420,3067,3148,6214,15652,16285,31941,2940,3117,6057,2934,2906,5833,2772,2853,5622,2680,2916,5597,2657,2773,5432,13986,14564,28551,2842,2830,5670,2823,2953,5779,2924,3103,6028,2945,3201,6150,3188,3396,6579,14723,15483,30209,3204,3445,6649,2947,3181,6129,2895,3200,6091,2759,3082,5840,2855,3046,5906,14661,15965,30626,2769,2896
SOSR113,1253,1166,2423,1261,1214,2467,1302,1187,2489,1247,1190,2437,1330,1269,2592,6392,6020,12413,1421,1370,2791,1415,1339,2755,1377,1313,2686,1470,1371,2837,1443,1449,2886,7120,6828,13952,1452,1331,2781,1494,1425,2919,1465,1415,2874,1470,1420,2886,1522,1416,2939,7401,7001,14405,1426,1391,2820,1326,1254,2580,1401,1184,2587,1329,1147,2481,1278,1044,2320,6766,6018,12787,1145,1087,2224,1170,1019,2192,1225,1123,2351,1185,1133,2324,1205,1177,2388,5932,5547,11479,1183,1236,2422,1276,1302,2578,1282,1329,2613,1351,1413,2761,1355,1442,2791,6446,6716,13162,1335,1434,2768,1408,1467,2876,1382,1411,2790,1349,1385,2733,1256,1386,2644,6722,7098,13816,1381,1386,2770,1322,1366,2686,1323,1413,2736,1298,1358,2658,1256,1312,2568,6583,6841,13425,1227,1310,2540,1153,1276,2427,1212,1255,2464,1158,1298,2457,1224,1296,2524,5973,6437,12413,1228,1266,2494,1261,1322,2576,1309,1373,2679,1361,1459,2819,1426,1583,3008,6578,6997,13577,1464,1585,3053,1344,1401,2743,1296,1366,2659,1260,1448,2704,1329,1365,2702,6697,7171,13865,1321,1414
SOSR114,1499,1555,3056,1585,1541,3125,1620,1417,3037,1613,1473,3079,1558,1530,3088,7877,7500,15375,1613,1597,3205,1590,1558,3150,1660,1560,3224,1660,1656,3318,1678,1655,3327,8201,8022,16226,1750,1664,3417,1701,1686,3391,1697,1627,3328,1688,1588,3275,1678,1532,3210,8524,8097,16615,1519,1509,3032,1510,1441,2954,1518,1392,2906,1436,1366,2801,1278,1214,2493,7265,6922,14190,1306,1343,2649,1312,1288,2603,1356,1323,2682,1267,1383,2648,1347,1326,2677,6586,6674,13258,1339,1401,2742,1370,1424,2793,1468,1530,2991,1411,1593,3001,1552,1588,3141,7135,7536,14669,1470,1659,3129,1502,1682,3184,1469,1605,3073,1458,1539,2997,1435,1545,2983,7334,8031,15363,1474,1547,3016,1365,1606,2975,1425,1537,2968,1396,1557,2943,1400,1568,2963,7054,7816,14869,1432,1539,2974,1373,1363,2733,1338,1449,2791,1266,1419,2690,1325,1432,2752,6734,7205,13941,1257,1434,2687,1427,1414,2839,1402,1509,2916,1455,1605,3058,1585,1590,3174,7131,7547,14674,1616,1703,3316,1372,1531,2902,1433,1578,3011,1376,1432,2811,1368,1468,2839,7163,7713,14874,1353,1487
SOSR115,1915,1887,3801,2074,1991,4068,2141,2001,4146,2148,2017,4160,2114,2072,4185,10391,9967,20357,2263,2052,4311,2178,2135,4312,2347,2166,4515,2321,2174,4490,2337,2287,4630,11442,10814,22259,2288,2232,4530,2307,2257,4560,2362,2236,4600,2338,2167,4504,2445,2101,4545,11739,10993,22732,2276,2111,4382,2160,1991,4154,1946,1924,3866,1944,1854,3799,1819,1661,3478,10144,9539,19681,1758,1574,3326,1719,1550,3268,1677,1623,3302,1627,1566,3184,1769,1646,3414,8544,7943,16491,1678,1720,3399,1820,1846,3664,1756,1816,3572,1892,1889,3783,1912,2005,3919,9049,9282,18336,1946,2074,4023,1893,2140,4034,1894,2036,3929,1903,2113,4017,1981,2150,4132,9615,10516,20131,1959,2134,4092,1935,2047,3984,1895,2090,3987,1968,2163,4130,1961,1986,3953,9721,10422,20138,1911,2084,3994,1820,2000,3827,1787,1973,3767,1799,1939,3744,1838,1965,3801,9162,9969,19126,1865,1985,3846,1955,2100,4053,2039,2156,4198,2107,2220,4327,2164,2356,4525,10132,10818,20949,2215,2518,4734,2099,2272,4367,2154,2308,4463,2072,2092,4164,1994,2203,4195,10537,11392,21928,2029,2318
SOSR121,478,443,926,532,506,1034,579,537,1115,562,542,1104,575,551,1128,2718,2578,5307,639,591,1227,664,591,1261,619,557,1177,626,618,1244,635,575,1213,3184,2926,6112,647,651,1299,658,687,1345,677,650,1328,667,649,1318,699,668,1365,3350,3304,6654,669,628,1290,613,605,1217,597,572,1170,564,530,1093,481,473,957,2929,2804,5735,494,406,907,444,365,809,436,417,851,439,391,829,383,409,797,2201,1993,4192,423,428,851,414,431,846,433,421,855,408,455,861,448,442,886,2125,2180,4298,463,521,994,493,493,984,436,537,968,503,558,1063,512,526,1038,2412,2638,5049,513,564,1079,515,531,1043,507,517,1030,528,538,1066,474,537,1014,2540,2695,5226,512,645,1154,510,503,1018,511,572,1086,542,567,1107,518,568,1081,2590,2857,5446,559,577,1137,564,612,1175,574,616,1189,624,671,1297,670,743,1411,2989,3215,6208,749,716,1465,653,696,1346,622,646,1267,588,659,1253,591,663,1252,3205,3377,6579,606,625
SOSR122,230,227,453,231,275,503,235,214,450,240,222,459,246,213,461,1181,1152,2327,288,259,548,282,278,561,305,272,575,297,270,570,321,277,600,1492,1363,2856,331,284,613,323,294,616,320,292,612,330,333,659,348,278,623,1644,1486,3136,304,287,596,292,251,542,272,266,542,243,224,470,233,216,453,1346,1247,2599,235,209,442,210,223,429,231,208,437,223,198,423,239,211,450,1138,1053,2187,188,207,397,233,226,456,238,217,450,278,248,530,216,223,439,1151,1117,2271,210,225,436,252,274,529,226,248,472,197,243,438,260,265,529,1141,1255,2398,213,261,479,219,260,482,259,256,516,294,254,549,225,249,475,1218,1280,2495,250,263,508,261,235,495,248,265,517,244,276,526,266,269,535,1271,1305,2579,262,289,548,273,261,535,300,291,594,318,324,642,354,374,734,1512,1541,3048,332,374,704,331,364,696,322,348,667,346,336,679,358,366,723,1679,1788,3472,339,401
SOSR131,2529,2464,4989,2863,2548,5407,2800,2570,5368,2901,2748,5651,2949,2907,5854,14047,13225,27273,3358,3062,6419,3416,3000,6416,3435,3232,6670,3742,3343,7089,3835,3515,7347,17787,16152,33938,3971,3686,7659,4102,3866,7961,4295,3844,8139,4129,3864,7990,4305,4057,8365,20793,19320,40115,4105,3866,7972,4074,3709,7786,3935,3583,7517,3697,3208,6907,3362,2891,6253,19179,17250,36426,3098,2684,5784,2973,2463,5437,2807,2270,5075,2620,2273,4895,2564,2189,4754,14066,11874,25946,2492,2124,4618,2504,2296,4798,2550,2326,4880,2442,2387,4830,2533,2458,4989,12519,11600,24119,2559,2588,5148,2617,2592,5210,2613,2643,5256,2639,2665,5312,2692,2748,5443,13125,13237,26363,2871,2787,5657,2840,2946,5779,2820,3100,5917,3050,3173,6227,3092,3163,6254,14674,15167,29844,3114,3248,6365,3148,3118,6271,3133,3217,6349,3212,3362,6576,3317,3423,6740,15925,16371,32295,3423,3577,7000,3637,3672,7310,3933,4038,7969,3997,4156,8150,4385,4560,8948,19376,20007,39379,4655,4562,9215,4192,4323,8508,4423,4477,8902,4230,4153,8382,4408,4365,8774,21900,21882,43783,4396,4321
