SOSR_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1144938,1194399,2339338,114621,116820,231437,556905,567956,1124862,11779,11497,23275,12438,12190,24622,3624,3609,7237,5476,5082,10559,935,926,1860,1197,1014,2209,3785,3758,7541,44,39,81,596187,606064,1202249,185326,189415,374745,15859,13714,29566,911992,926009,1838004,121922,116632,238550,2178850,2237034,4415887
SOSR102,273498,286791,560290,32150,34035,66187,121341,131591,252931,2712,2893,5609,5854,6322,12175,684,702,1384,1038,1069,2104,337,409,742,579,570,1148,2441,2596,5036,20,31,48,135006,146171,281181,12595,13128,25723,4132,3751,7883,183881,197089,380970,26794,28568,55359,484172,512448,996623
SOSR111,45567,48775,94344,7141,7835,14980,22050,24693,46744,2387,2635,5022,1248,1368,2614,204,211,416,258,253,513,118,131,250,180,183,364,204,229,429,0,3,10,26658,29703,56361,2040,2291,4335,847,804,1649,36688,40632,77319,5201,5256,10457,87457,94662,182117
SOSR112,119997,129276,249277,26607,29578,56187,54160,60532,114697,2829,2901,5728,2923,3337,6258,476,513,989,602,649,1252,198,254,449,291,322,609,789,919,1698,16,11,27,62276,69433,131708,7194,7520,14712,2086,2059,4141,98157,108589,206747,19937,17424,37363,238094,255290,493386
SOSR113,56621,59558,116181,14972,16593,31564,19057,20942,39999,1186,1311,2491,1872,1989,3857,392,385,774,346,366,709,125,137,255,222,208,435,527,551,1074,6,13,21,23717,25898,49613,2149,2447,4594,931,832,1762,41773,45767,87540,9319,8803,18125,107712,114133,221843
SOSR114,61811,65742,127554,16276,18209,34481,21166,23788,44951,1561,1830,3391,2411,2769,5187,214,258,478,355,402,759,103,107,209,189,182,376,1279,1356,2630,10,5,12,27288,30702,57991,2437,2532,4970,1003,928,1929,47006,52369,99370,9526,9563,19084,118343,127672,246012
SOSR115,92625,96190,188820,19214,21747,40959,32037,34923,66954,2330,2429,4766,2534,2770,5299,320,320,638,492,463,950,160,181,347,263,265,528,1350,1437,2787,10,16,24,39489,42804,82292,2810,2917,5728,1318,1155,2477,62831,68624,131452,14746,14137,28881,170201,178951,349158
SOSR121,26619,26741,53364,4012,4199,8214,9837,10254,20095,429,473,903,625,702,1328,74,84,154,120,131,249,26,40,68,68,76,142,286,285,573,8,9,13,11468,12056,23523,518,556,1077,297,237,535,16302,17046,33347,3470,3364,6825,46392,47152,93541
SOSR122,14227,13721,27949,1768,1911,3678,4337,4403,8734,233,252,492,353,372,724,30,30,57,73,59,133,20,17,43,19,29,54,206,216,420,5,0,5,5281,5381,10662,240,290,539,122,114,240,7416,7702,15114,2396,2173,4567,24038,23595,47631
SOSR131,174703,162975,337678,17615,17059,34675,48163,47933,96095,2367,2384,4749,3937,3953,7884,389,398,782,654,598,1252,182,142,326,389,382,778,1910,1924,3831,4,0,5,58002,57706,115707,2850,3208,6060,1400,1146,2545,79865,79123,158990,27510,22823,50336,282081,264916,546997
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,761,424,1186,221,160,382,1929,1707,3632,110,138,249,225,214,438,30,35,62,37,47,83,14,16,31,19,16,38,33,33,65,0,0,0,2400,2195,4597,373,438,814,56,35,95,3046,2835,5882,2307,1536,3835,6115,4793,10906
