SOSR_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
SOSR101,..,10609,4066,14680,62,14744,..,295389,115397,410787,3046,413831,..,14825,2191,17016,114,17128,..,17592,635,18224,230,18450,..,11792,314,12108,148,12252,..,60473,10906,71376,416,71800,..,34298,2697,36990,321,37306,..,22348,1696,24045,216,24266,..,71902,2997,74901,518,75416,..,57483,3044,60526,524,61051,..,39410,3461,42871,377,43246,..,11357,394,11748,80,11831,..,39763,2869,42631,447,43078,..,14419,616,15035,128,15156,..,290980,17771,308745,2617,311366,..,43949,6015,49966,365,50334,..,12920,1863,14786,124,14909,..,7749,4060,11810,79,11895,..,40788,17878,58663,365,59025,..,16050,2840,18892,91,18984,..,14056,688,14744,149,14889,..,21235,3610,24842,182,25025,..,9823,964,10790,64,10853,..,22446,3104,25556,274,25831,..,15137,2305,17445,117,17556,..,14036,1518,15556,154,15709,..,15889,3191,19081,108,19191,..,24940,688,25627,210,25840,..,26795,3053,29851,293,30140,..,42970,1411,44380,293,44676,..,7529,705,8231,69,8302,..,102234,5860,108092,862,108954,..,53236,6860,60097,530,60628,..,33629
SOSR102,..,257,71,330,0,329,..,7431,2389,9822,97,9916,..,1393,217,1607,10,1618,..,1679,67,1748,24,1772,..,2502,81,2580,42,2615,..,3238,479,3722,37,3761,..,988,82,1069,13,1074,..,631,29,656,0,663,..,1986,88,2076,18,2091,..,2056,113,2167,18,2181,..,2105,177,2285,17,2302,..,635,26,659,0,659,..,1612,109,1726,29,1755,..,411,18,427,3,428,..,10418,640,11057,99,11153,..,5098,764,5865,35,5904,..,1232,134,1369,11,1378,..,217,69,285,3,289,..,1378,514,1893,13,1906,..,6807,1547,8359,36,8397,..,2438,183,2623,31,2656,..,851,95,946,9,960,..,1225,122,1349,12,1359,..,2383,372,2757,37,2791,..,1115,135,1245,11,1261,..,529,35,565,9,570,..,2178,461,2641,27,2667,..,1734,63,1798,19,1814,..,1002,87,1088,10,1096,..,2490,107,2596,19,2620,..,702,39,741,12,753,..,5930,298,6224,57,6287,..,4879,574,5451,51,5504,..,850
SOSR111,..,25,13,40,0,40,..,740,333,1070,16,1084,..,74,14,86,0,86,..,210,10,216,7,221,..,333,12,340,3,346,..,210,27,234,0,234,..,150,15,167,0,167,..,121,16,131,0,131,..,364,18,386,0,388,..,631,321,956,7,958,..,1303,164,1468,18,1483,..,118,11,133,0,132,..,212,17,229,0,226,..,73,0,78,0,79,..,2974,566,3539,34,3571,..,302,28,332,4,333,..,154,25,178,0,181,..,28,8,37,0,37,..,119,57,174,4,175,..,32,4,36,0,36,..,441,46,488,7,499,..,60,6,65,0,67,..,118,10,126,0,128,..,88,4,97,0,98,..,99,5,102,0,102,..,93,5,96,3,96,..,54,3,62,0,62,..,320,12,335,8,338,..,93,9,98,0,102,..,535,26,566,0,565,..,115,13,126,0,132,..,1073,59,1124,5,1137,..,393,51,442,0,444,..,106
SOSR112,..,78,20,98,0,94,..,2286,1031,3325,44,3369,..,226,19,244,0,251,..,712,18,731,9,741,..,946,28,970,4,977,..,567,44,612,13,632,..,622,46,671,9,681,..,1058,364,1426,5,1429,..,930,77,1004,4,1012,..,2551,126,2681,29,2712,..,2254,346,2603,34,2632,..,491,9,500,11,507,..,790,68,857,7,866,..,142,8,151,0,154,..,8843,1047,9889,111,10002,..,1740,257,1996,17,2012,..,359,40,397,3,399,..,102,27,124,0,124,..,397,143,538,8,543,..,102,5,105,0,107,..,1330,126,1461,19,1483,..,284,34,320,9,328,..,251,20,277,0,277,..,288,25,313,7,319,..,292,27,321,0,325,..,468,36,506,8,516,..,153,23,172,5,174,..,1136,30,1165,14,1184,..,278,13,289,3,292,..,1535,57,1589,10,1604,..,449,56,508,9,511,..,3399,158,3554,36,3588,..,1187,118,1305,12,1318,..,444
SOSR113,..,25,8,33,0,32,..,657,236,893,9,898,..,177,16,197,3,193,..,376,12,390,6,398,..,464,22,484,6,494,..,360,47,410,8,412,..,89,6,95,0,95,..,58,7,65,0,66,..,177,12,184,0,184,..,316,18,332,7,334,..,342,36,380,0,383,..,39,4,43,0,43,..,100,8,110,3,111,..,32,6,37,0,38,..,1147,92,1247,17,1261,..,628,50,678,3,677,..,208,43,249,0,246,..,32,8,40,0,40,..,66,24,91,0,91,..,75,12,87,0,86,..,272,29,296,6,303,..,38,12,51,0,51,..,123,5,132,0,132,..,298,13,311,8,316,..,110,13,128,4,127,..,44,0,45,0,45,..,58,10,68,0,68,..,381,9,394,4,393,..,102,11,107,0,107,..,527,17,543,4,546,..,121,16,137,0,137,..,1134,51,1184,10,1191,..,759,48,805,4,815,..,65
SOSR114,..,30,15,46,0,47,..,878,484,1361,12,1376,..,99,13,111,0,111,..,287,11,299,4,304,..,491,10,502,12,514,..,250,29,274,0,280,..,107,14,120,0,117,..,71,8,81,0,81,..,287,15,301,6,303,..,452,10,460,3,463,..,1426,299,1728,16,1747,..,167,13,180,0,177,..,179,13,195,0,190,..,66,0,68,0,70,..,2748,380,3126,28,3157,..,604,71,672,3,676,..,180,18,195,0,193,..,55,14,64,0,68,..,117,35,153,0,157,..,139,4,147,0,147,..,508,61,564,10,572,..,79,3,84,0,84,..,132,15,142,0,148,..,230,37,270,4,276,..,104,9,112,0,113,..,102,15,118,9,128,..,106,6,116,3,121,..,536,24,557,9,565,..,135,7,141,3,138,..,577,26,598,0,601,..,166,28,197,3,199,..,1412,82,1496,13,1511,..,480,44,526,9,536,..,126
SOSR115,..,42,24,66,0,63,..,915,492,1410,11,1423,..,231,31,267,5,271,..,577,12,589,9,599,..,926,28,959,16,978,..,418,42,464,4,469,..,62,3,64,0,63,..,123,8,129,0,133,..,190,9,203,3,200,..,307,12,323,0,322,..,483,64,545,10,562,..,100,3,105,0,105,..,135,4,139,0,141,..,39,4,38,0,39,..,1443,104,1546,20,1565,..,778,59,838,12,852,..,249,26,276,6,276,..,46,20,64,3,65,..,98,39,141,0,141,..,84,10,92,0,92,..,290,37,320,7,328,..,44,3,48,3,52,..,171,7,179,8,184,..,223,12,241,4,241,..,169,14,179,0,185,..,48,0,45,0,45,..,115,24,135,0,134,..,280,5,292,3,291,..,141,7,156,0,156,..,448,21,462,5,466,..,167,52,218,3,224,..,1037,85,1124,10,1138,..,885,61,942,11,953,..,97
SOSR121,..,9,4,6,0,6,..,137,52,187,0,191,..,29,0,36,0,36,..,158,5,166,4,169,..,193,7,204,0,206,..,99,9,111,0,112,..,6,0,6,0,6,..,11,0,11,0,11,..,34,0,34,0,34,..,27,0,28,0,28,..,127,23,149,0,149,..,14,4,15,0,15,..,24,0,29,0,29,..,12,0,12,0,12,..,269,28,295,0,295,..,203,14,217,3,224,..,67,14,75,0,78,..,11,0,11,0,11,..,31,6,35,0,35,..,19,3,23,0,23,..,39,7,36,0,39,..,18,3,17,0,17,..,44,7,51,0,51,..,64,5,64,0,64,..,61,4,63,0,63,..,7,0,7,0,10,..,28,0,28,0,28,..,73,0,78,0,78,..,31,5,38,0,38,..,88,0,92,0,92,..,47,6,52,0,54,..,244,13,252,0,253,..,233,11,246,0,246,..,14
SOSR122,..,0,0,0,0,0,..,127,53,174,0,174,..,31,6,30,0,30,..,56,3,62,0,62,..,94,9,98,0,102,..,62,3,70,4,73,..,6,0,6,0,6,..,0,0,0,0,0,..,26,3,29,0,29,..,11,0,11,0,11,..,26,3,32,0,32,..,3,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,82,9,87,0,87,..,101,16,112,4,119,..,34,0,38,0,38,..,0,0,0,0,0,..,12,0,14,0,14,..,15,0,15,0,15,..,26,3,27,0,31,..,6,0,6,0,6,..,18,0,19,0,19,..,14,0,17,0,17,..,13,0,12,0,12,..,24,0,23,0,23,..,9,3,17,0,14,..,45,7,48,0,48,..,18,0,17,0,17,..,50,0,47,0,51,..,23,9,31,0,33,..,136,14,147,0,153,..,96,8,98,0,98,..,12
SOSR131,..,60,20,88,3,87,..,1680,879,2563,46,2609,..,613,61,678,8,684,..,758,27,785,11,793,..,1598,31,1636,20,1648,..,779,89,868,15,884,..,70,6,77,0,77,..,58,12,65,0,65,..,348,15,361,0,364,..,53,13,57,0,59,..,779,113,888,12,900,..,72,5,79,0,79,..,199,9,208,0,209,..,71,3,78,0,78,..,1652,166,1817,12,1836,..,2582,282,2860,15,2881,..,282,39,320,0,320,..,95,48,144,0,151,..,137,70,201,0,201,..,179,20,198,3,203,..,78,17,92,0,92,..,163,14,173,6,180,..,314,17,332,5,338,..,270,15,288,4,289,..,271,35,303,4,309,..,124,21,148,0,146,..,377,51,429,3,431,..,272,14,279,3,290,..,171,14,184,3,192,..,372,12,379,6,387,..,169,39,206,11,219,..,985,75,1055,20,1077,..,1158,88,1244,13,1256,..,87
SOSR179,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
SOSR199,..,8,0,7,0,7,..,153,55,210,0,213,..,10,0,12,0,12,..,68,3,71,4,72,..,22,0,22,0,22,..,35,4,37,0,37,..,4,0,4,0,4,..,4,0,4,0,4,..,30,0,30,0,30,..,14,0,14,0,14,..,15,0,12,0,12,..,3,3,8,0,8,..,10,0,10,0,10,..,7,0,7,0,7,..,79,7,88,0,88,..,24,4,28,0,25,..,9,6,12,0,12,..,0,0,0,0,0,..,12,7,20,0,24,..,12,0,12,0,12,..,5,0,5,0,5,..,17,6,20,0,20,..,14,0,15,0,15,..,18,0,18,0,18,..,8,5,16,0,15,..,10,0,13,0,13,..,6,0,6,4,12,..,14,0,14,0,14,..,30,3,31,0,31,..,14,0,14,0,14,..,28,0,28,0,30,..,83,3,84,0,84,..,62,5,67,0,67,..,13
