SOSR_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR101,..,376008,376008,448974,47046,496023,271514,14655,286167,281013,6177,287192,118017,2252,120269,67762,1249,69004,1187279,447385,1634660
SOSR102,..,109944,109944,127642,10768,138415,58645,3037,61678,58342,1073,59421,23405,328,23730,10146,164,10305,278177,125311,403488
SOSR111,..,20614,20614,23493,1876,25374,10975,340,11312,10206,104,10309,4432,42,4472,2097,14,2107,51200,22981,74180
SOSR112,..,61433,61433,65292,5260,70555,27163,1072,28238,24398,348,24739,11050,134,11181,5586,70,5662,133491,68322,201813
SOSR113,..,28817,28817,31355,2342,33695,11818,425,12245,10489,157,10640,4608,59,4663,2291,19,2309,60549,31818,92372
SOSR114,..,31406,31406,34636,2300,36936,13221,349,13568,11977,112,12090,5588,40,5635,2516,25,2538,67933,34234,102169
SOSR115,..,42161,42161,51028,3335,54363,18220,449,18668,16547,134,16684,7649,36,7693,3681,37,3719,97126,46157,143285
SOSR121,..,9131,9131,13324,804,14128,4913,81,4995,4855,31,4890,2369,12,2378,1166,6,1176,26627,10062,36690
SOSR122,..,5697,5697,6804,477,7280,2475,40,2512,2064,17,2077,1013,0,1016,553,3,556,12914,6232,19148
SOSR131,..,38519,38519,71007,3637,74646,26508,435,26944,27224,162,27382,15399,56,15455,9678,41,9712,149805,42853,192660
SOSR179,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
