SOSR_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR101,62495,43281,58010,50820,42066,34361,23951,16382,12252,343614,866125,575904,753648,714513,596518,509021,377790,213068,92069,4698656
SOSR102,14985,10636,9868,9448,9683,8974,7236,5313,3628,79761,185792,127556,132466,130034,132254,131061,114242,71267,30494,1055174
SOSR111,3413,1989,2090,2001,1777,1634,1212,922,537,15586,37923,22815,25933,24467,23325,22736,20378,12040,4715,194335
SOSR112,9945,6844,7081,6180,5811,4932,4003,2995,1801,49593,96859,61479,67805,60489,60830,62954,59320,38241,16410,524391
SOSR113,4507,2759,2979,2724,2648,2459,2208,1549,917,22740,40767,24263,26977,25839,27435,31098,30922,19095,7856,234258
SOSR114,5124,2867,3047,2900,2724,2720,2426,1864,1076,24747,48218,27447,30040,28809,29552,32999,33212,21969,9144,261391
SOSR115,7262,4051,4026,4172,4216,4454,4109,2760,1412,36468,65345,36173,38468,39268,42877,51481,52903,31139,11859,369508
SOSR121,1818,1020,885,1017,1097,1214,1137,614,294,9092,18073,9925,9347,10674,12789,14998,14096,6858,2080,98845
SOSR122,961,631,558,589,752,833,736,359,127,5539,8317,4783,4676,5073,6515,8463,7524,3607,1000,49959
SOSR131,10930,7302,6588,7670,9114,9902,7544,3664,999,63710,101325,62369,50478,62140,83164,95316,77284,33967,8221,574269
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
