SOSR_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOSR101,40297,100634,278795,280248,222466,158599,48049,6967,588,1136652,81,188,532,566,658,459,188,45,6,2724,0,34,208,238,205,134,28,6,0,858,1103,2237,7951,9792,9847,7005,1471,116,9,39530,20,228,1103,1430,1199,601,97,5,0,4678,374,1863,7789,7943,6281,3581,895,112,8,28847,298,1645,6632,8124,7196,4295,921,96,13,29221,11411,16545,23293,18869,15989,11344,2744,265,18,100490,14583,10624,12681,8150,6242,4466,942,77,6,57773,439,1942,6464,7201,6863,4527,895,62,0,28395,342,1690,6917,6453,4270,1999,427,44,3,22158,306,4788,21318,24731,16223,7223,1437,124,24,76172,366,1761,5366,5389,4177,2459,810,174,34,20540,987,10152,36418,29808,19766,10841,3320,428,10,111723,482,2899,9511,8396,7231,5057,1285,137,7,35001,447,3166,12656,14812,13215,8599,1776,102,4,54781,3877,10370,30380,30240,30107,21308,5633,427,20,132355,3552,20393,55453,48235,43991,35099,9473,825,19,217049,1246,2238,4281,3318,2522,1602,524,86,5,15821,1210,2976,7941,7029,6363,4216,1041,127,11,30907
SOSR102,14600,23972,52435,52087,50399,38931,10014,1281,119,243837,31,76,134,123,125,126,50,20,0,681,6,43,190,213,166,88,19,6,0,731,427,501,1277,1484,1578,1038,217,21,0,6541,4,53,218,288,286,158,25,0,0,1049,133,393,1345,1521,1366,1001,262,23,5,6048,64,183,516,660,688,503,138,9,0,2763,4348,4215,4628,4054,4530,3720,799,74,8,26372,6709,3784,2844,2105,1963,1482,324,29,0,19228,72,246,661,759,902,816,172,25,3,3663,101,212,545,551,447,257,56,9,0,2183,69,558,2351,2554,2147,1265,197,14,0,9163,83,355,825,811,826,540,163,35,10,3647,207,1249,3587,3784,2854,1743,510,65,0,14007,168,628,1636,1755,1952,1513,317,19,0,7985,126,852,3427,4545,4465,2599,340,9,0,16365,719,2326,6790,7674,7940,5652,1236,64,0,32406,1341,6222,15495,14294,15479,12935,2604,135,9,68518,385,430,701,641,511,311,104,16,0,3103,520,1024,2139,1817,1747,1110,292,19,0,8684
SOSR111,2899,4184,10210,9650,8703,6859,1989,217,22,44728,15,30,95,106,95,70,25,8,0,446,3,21,81,85,63,18,3,0,0,283,104,98,376,305,316,245,46,0,0,1488,4,5,38,44,59,23,0,0,0,177,39,87,294,270,228,210,59,4,0,1184,12,25,109,129,115,74,27,0,0,500,992,715,1060,930,927,770,160,15,0,5567,1253,600,681,532,463,310,70,3,0,3917,14,46,140,170,193,152,44,9,0,770,25,22,64,66,48,35,7,0,0,270,11,71,327,296,240,122,14,0,0,1087,16,65,153,135,129,79,28,5,0,605,27,144,479,517,405,286,92,13,0,1958,40,122,398,381,412,310,69,3,0,1740,23,132,588,733,780,454,64,6,0,2781,127,365,1160,1439,1441,984,220,15,0,5756,233,1158,3039,2700,2707,2339,478,19,0,12671,60,52,104,84,69,37,7,0,0,421,107,203,465,368,299,192,52,3,0,1692
SOSR112,7493,10471,25622,22902,21943,18896,6161,985,97,114568,51,106,299,218,243,189,110,36,0,1250,3,44,149,118,75,35,5,0,0,429,286,354,1040,896,757,608,151,15,0,4098,5,19,97,170,201,151,16,3,0,660,64,185,523,565,479,434,118,10,0,2380,44,91,228,245,275,233,73,4,0,1191,2439,1739,2643,2201,2214,1885,523,36,5,13693,2764,1588,1930,1325,1154,1033,267,26,6,10099,33,86,259,290,409,403,119,13,0,1605,59,94,190,178,166,107,38,13,0,840,33,161,547,531,518,368,82,14,0,2251,45,118,378,305,334,226,105,19,0,1534,89,396,1232,1122,1059,813,287,27,3,5024,91,259,782,871,977,808,174,10,3,3969,82,375,1466,1781,1888,1191,227,15,0,7025,346,1041,3127,3762,4100,3091,794,61,0,16323,699,2796,7953,6751,6889,6312,1579,103,0,33085,178,167,276,257,229,156,72,14,0,1354,256,459,1074,846,776,590,184,23,5,4209
SOSR113,3134,4074,9838,9400,9508,8506,2628,379,38,47508,24,27,66,72,77,77,39,9,0,389,7,63,242,201,150,72,5,0,0,737,80,81,223,213,245,193,50,3,0,1080,3,10,46,65,64,42,9,0,0,237,24,65,247,237,252,182,71,5,0,1082,16,43,97,91,126,89,21,7,0,482,928,638,1087,1042,1112,964,251,27,0,6043,1307,769,982,782,747,577,149,7,0,5324,11,49,108,133,152,174,66,6,0,685,17,38,65,62,54,45,12,0,0,296,11,66,219,221,228,165,36,4,0,949,20,73,150,150,173,135,40,6,0,747,30,119,462,492,434,344,119,7,0,2009,36,150,458,457,498,420,90,0,0,2109,25,132,551,701,748,531,75,0,0,2774,88,294,1152,1310,1394,1114,243,19,0,5616,235,840,2441,2428,2711,2757,580,30,0,12022,62,56,114,119,106,82,23,3,0,573,110,154,456,353,379,236,71,14,0,1783
SOSR114,3550,4763,11481,10932,10691,9521,3153,568,68,54731,41,127,225,191,202,165,88,28,5,1076,6,43,97,83,45,25,4,0,0,301,138,175,385,396,432,320,86,5,0,1929,12,21,50,56,83,58,7,0,0,290,24,90,287,296,244,211,56,14,0,1205,17,57,135,140,156,143,38,3,0,694,1071,722,1186,1098,1251,1152,285,25,0,6784,1340,728,838,741,680,604,146,20,0,5102,17,59,153,192,246,230,67,10,0,978,9,43,67,71,54,53,17,6,0,323,19,77,271,278,272,179,38,4,0,1140,22,75,199,145,166,129,33,5,0,781,47,188,656,628,556,392,136,12,0,2614,28,132,368,430,450,426,111,11,0,1958,36,230,919,1016,963,542,95,8,0,3809,152,471,1608,1787,1812,1409,352,26,0,7609,280,1041,2757,2649,2911,3034,606,28,0,13316,62,60,118,112,108,91,36,4,0,595,122,210,502,409,370,282,84,13,0,1994
SOSR115,4805,6165,14581,14820,15428,14536,4968,753,78,76136,52,127,322,220,245,247,142,52,7,1415,8,58,167,119,96,42,5,0,0,501,164,171,470,517,555,470,90,14,0,2449,0,16,79,82,84,57,8,0,0,329,54,103,457,451,407,306,100,10,0,1886,32,65,193,197,222,175,43,9,0,937,1439,849,1430,1422,1666,1593,424,38,0,8864,1777,898,1179,1032,1062,987,252,22,0,7219,19,83,231,235,324,348,116,13,0,1373,20,31,87,118,108,121,41,4,0,529,14,81,297,342,344,286,40,5,0,1404,39,98,226,221,228,169,87,17,0,1090,67,207,729,866,786,606,240,16,0,3505,55,168,466,615,648,639,141,10,0,2745,99,255,1034,1322,1393,915,170,11,0,5198,206,582,2048,2627,2669,2202,531,21,0,10886,400,1208,3544,3436,4191,4434,999,44,0,18259,86,99,212,190,213,153,48,9,0,1008,154,252,612,538,524,409,116,12,0,2622
SOSR121,1416,1617,3550,4120,4804,4395,1475,221,11,21611,20,39,53,66,76,70,33,19,3,388,0,10,24,28,29,7,3,0,0,94,41,32,105,112,171,131,19,3,0,626,0,0,16,23,29,19,0,0,0,91,15,29,126,166,144,96,37,0,0,610,3,18,30,56,64,48,17,0,0,234,404,229,337,386,471,479,110,7,0,2415,521,230,302,268,298,238,60,12,4,1939,13,22,51,69,132,102,46,3,0,438,4,11,26,33,27,24,11,0,0,128,10,14,85,111,101,74,14,4,0,416,12,27,54,54,54,68,15,0,0,294,29,45,228,216,253,198,59,7,0,1031,11,37,119,145,196,177,40,4,0,728,6,49,218,336,377,262,47,7,0,1297,65,153,498,764,870,683,166,11,0,3206,116,323,782,1008,1275,1263,292,11,0,5067,27,22,52,32,50,43,15,3,0,242,51,65,164,147,180,99,42,0,0,756
SOSR122,561,790,1698,1889,2224,2393,761,120,15,10456,14,13,51,44,50,43,23,7,0,240,0,3,5,6,7,3,0,0,0,34,21,23,46,56,97,54,11,4,0,317,0,8,10,11,16,13,3,0,0,61,4,21,50,77,72,53,21,0,0,294,3,10,30,21,37,32,4,0,0,144,145,101,145,161,235,226,47,6,0,1072,240,114,170,139,140,160,33,10,0,1004,3,12,24,45,57,70,22,5,0,244,6,3,6,11,8,20,0,5,0,59,3,8,27,60,54,39,9,3,0,201,0,21,15,14,15,18,3,0,0,96,8,30,78,103,105,94,26,4,0,449,12,22,59,89,98,99,27,6,0,405,6,26,124,172,200,139,21,0,0,685,24,73,238,302,373,332,83,7,0,1418,34,150,359,400,539,677,156,7,0,2329,13,14,24,26,41,30,10,0,0,157,12,32,55,72,79,54,25,0,0,328
SOSR131,9329,10216,19144,23766,31999,31720,14053,3509,473,144209,414,622,1419,1923,2810,3520,2869,1003,129,14706,18,57,204,241,253,106,20,4,0,905,311,284,556,757,1064,922,249,34,7,4182,17,26,85,144,229,124,29,3,0,650,165,245,772,1157,1292,963,269,26,0,4885,75,164,296,381,543,441,134,28,0,2071,2288,1184,1497,1712,2508,2255,558,65,4,12082,2575,954,903,959,1220,1149,310,30,3,8106,73,121,337,468,773,741,226,38,0,2772,30,76,126,147,200,169,55,4,0,800,23,132,390,559,656,419,96,11,0,2298,77,169,292,386,528,350,149,29,3,2002,174,485,1284,1614,1867,1393,477,58,0,7349,97,223,533,730,1017,883,227,31,0,3729,129,336,1121,1830,2454,1528,247,15,0,7663,416,848,2365,4024,5176,4106,1018,66,0,18031,609,1676,3564,4425,6424,6527,1546,77,3,24851,235,197,302,314,393,331,107,21,0,1896,327,362,796,865,1016,789,193,20,0,4362
