SOSR_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOSR101,713,2070,8741,4013,1684,8810,2765,10794,713,40297,4957,18198,20976,10644,8684,12565,9035,13166,2405,100634,35004,89997,48127,16701,21802,16983,22342,21195,6641,278795,61263,90936,39257,11812,21440,13537,21267,14818,5924,280248,54425,58710,32301,9348,16584,10502,21520,14595,4487,222466,33406,37664,24317,6610,12104,7836,20022,13725,2924,158599,8933,14188,6073,1953,3835,2703,5195,4218,952,48049,1527,2528,578,203,486,492,363,471,306,6967,155,188,39,5,33,41,12,35,82,588,200392,314474,180404,61290,86656,73467,102522,93016,24434,1136652,612,2814,1312,9746,3870,18284,850,4280,626,42401,4989,24673,4351,22612,17964,16564,2200,4889,1817,100047,31823,113785,10429,32726,44072,18419,4103,9274,5213,269829,42954,94389,8395,25254,49844,14739,3468,8309,4758,252105,34770,64477,6784,24155,49604,13803,3802,10185,3167,210749,16923,38143,4673,17138,38059,10023,3129,9875,1962,139920,3435,10471,1046,3563,10867,2464,585,2328,639,35400,367,987,87,243,1216,282,31,160,199,3575,45,44,7,10,60,30,0,9,73,277,135910,349771,37079,135435,215553,94601,18170,49299,18469,1054301
SOSR102,209,239,3696,1229,289,3026,940,4758,211,14600,977,2323,7553,3044,1199,2751,1813,3916,401,23972,5044,11206,15129,4366,2699,3023,4616,5398,955,52435,9037,11895,12140,3549,2808,2138,5095,4434,988,52087,9530,9924,10520,3397,3092,2168,5954,4851,960,50399,6316,6980,8009,2529,2622,1826,5589,4432,631,38931,1560,2465,1604,570,660,579,1286,1106,186,10014,268,341,131,36,85,93,129,117,91,1281,24,21,5,3,7,11,4,4,33,119,32969,45386,58790,18722,13455,15607,25437,29021,4459,243837,256,448,608,4093,868,7036,294,2119,192,15901,1086,3821,1390,7963,3510,4244,378,1370,312,24084,4648,18117,2676,9397,9018,3802,608,1882,706,50851,6450,17525,2138,7603,10705,3374,511,2104,677,51083,6211,13999,2012,8421,12364,3923,649,3032,684,51305,3548,9085,1299,6631,9880,3319,569,3045,419,37792,691,2118,251,1179,2275,733,124,602,145,8123,80,149,11,48,207,64,10,55,75,710,10,7,0,7,6,5,0,0,27,58,22962,65271,10399,45352,48837,26495,3145,14212,3234,239908
SOSR111,48,36,708,218,54,655,176,967,39,2899,164,274,1505,431,169,424,374,756,83,4184,971,1497,3195,787,456,583,1253,1271,196,10210,1515,1613,2281,689,506,442,1380,1021,205,9650,1462,1403,1874,637,514,440,1319,900,161,8703,1028,969,1364,402,418,384,1271,895,121,6859,317,398,281,120,120,145,338,243,36,1989,50,41,23,5,15,17,17,27,18,217,4,0,0,0,0,4,0,5,8,22,5565,6230,11234,3288,2260,3091,6131,6077,855,44728,60,53,148,741,183,1503,26,442,44,3201,196,525,234,1413,611,734,52,293,63,4118,781,2864,587,2142,1695,902,166,651,131,9926,1027,2785,481,1692,1884,763,134,661,132,9560,1045,2156,363,1691,2192,801,133,710,125,9222,581,1488,244,1296,1715,658,95,697,76,6852,122,353,54,224,446,142,23,143,23,1529,19,14,0,16,37,14,0,7,16,124,0,0,0,0,4,0,0,0,12,13,3829,10250,2110,9208,8766,5514,638,3607,620,44538
SOSR112,146,87,1890,635,151,1726,398,2319,147,7493,511,649,3518,1198,361,1150,834,2053,202,10471,2374,3749,7564,2382,1071,1579,2556,3843,503,25622,3448,4065,5403,1838,1131,1169,2510,2884,467,22902,3695,3737,4367,1848,1237,1135,2818,2678,424,21943,3037,3184,3557,1371,1190,1016,2825,2395,320,18896,1056,1376,911,349,362,409,857,723,112,6161,243,217,116,23,62,68,102,84,54,985,24,17,8,4,3,8,4,4,24,97,14537,17078,27327,9651,5568,8265,12914,16977,2254,114568,96,183,292,2146,455,3399,101,1009,120,7801,482,1549,621,3489,1375,1758,133,853,150,10421,1910,7517,1406,5389,3902,2288,260,1889,344,24909,2470,6966,1105,4213,4187,1733,220,1799,327,23016,2672,6118,929,4236,5074,1797,271,1896,333,23323,1807,4630,677,3371,4629,1608,252,1881,208,19068,481,1342,173,764,1284,477,77,435,73,5101,73,96,10,61,139,40,5,47,72,539,9,4,3,0,11,3,0,0,19,43,9988,28398,5220,23670,21063,13107,1314,9801,1641,114220
SOSR113,63,28,808,190,42,722,165,1045,64,3134,169,218,1541,397,137,390,365,786,74,4074,799,1131,3283,892,323,506,1337,1357,212,9838,1351,1337,2526,771,358,428,1398,1023,213,9400,1482,1308,2216,731,412,442,1577,1124,216,9508,1330,1110,1776,627,445,429,1532,1101,157,8506,445,472,426,172,148,192,429,298,50,2628,93,84,32,17,22,29,44,40,20,379,8,3,3,0,0,4,3,3,10,38,5741,5690,12602,3796,1892,3145,6850,6778,1016,47508,47,63,127,856,151,1406,31,405,45,3125,157,433,232,1250,544,733,93,295,67,3796,795,2507,577,2138,1466,954,218,710,159,9534,1007,2392,441,1929,1723,892,192,685,149,9418,1066,2142,461,2025,2069,927,191,906,127,9914,775,1734,302,1661,1969,872,104,893,93,8410,206,441,66,334,502,217,26,188,50,2022,33,35,3,19,37,15,0,16,20,189,3,0,0,0,0,0,0,4,5,10,4089,9756,2216,10220,8464,6014,859,4102,714,46426
SOSR114,73,34,1001,228,48,761,175,1145,79,3550,239,261,1717,406,132,461,434,1028,81,4763,1191,1523,3647,818,397,573,1337,1790,213,11481,1784,1744,2724,734,433,473,1380,1434,223,10932,1894,1547,2292,738,500,506,1535,1496,185,10691,1465,1142,1886,555,529,574,1723,1456,196,9521,564,472,538,131,170,223,537,429,88,3153,172,83,73,20,24,34,70,59,41,568,25,10,9,0,4,4,3,4,19,68,7409,6821,13886,3628,2232,3616,7200,8832,1116,54731,44,69,161,989,207,1459,39,524,65,3553,182,641,339,1489,679,745,98,489,57,4722,871,3236,654,2353,1855,1046,179,791,144,11129,1380,3010,525,2023,2137,856,147,845,165,11087,1399,2512,464,2138,2480,1042,137,974,144,11297,894,1904,401,1922,2279,999,131,1047,105,9688,232,529,75,369,592,253,31,257,52,2388,55,32,6,21,69,19,4,25,27,256,5,0,0,0,11,0,0,0,8,22,5063,11932,2619,11302,10301,6428,767,4947,779,54137
SOSR115,86,47,1607,370,63,853,224,1474,88,4805,237,278,2476,591,129,475,623,1239,121,6165,1421,1715,4981,1104,413,626,1820,2198,299,14581,2373,2193,4006,1007,539,562,2077,1750,305,14820,2675,2099,3425,1140,691,663,2525,1883,332,15428,2319,1887,2925,927,738,678,2676,2091,299,14536,947,836,802,247,281,264,828,664,100,4968,209,125,68,21,43,50,104,91,53,753,33,4,0,0,0,8,0,0,21,78,10309,9191,20298,5398,2893,4170,10879,11383,1614,76136,52,89,242,1497,268,1816,49,765,101,4879,232,643,425,1896,735,880,115,530,96,5562,1200,3873,872,3068,2402,1249,254,1079,215,14207,1770,4112,765,2822,2895,1225,201,1032,241,15058,1954,3824,794,2977,3452,1408,212,1379,228,16233,1486,3172,531,2833,3271,1371,227,1476,194,14564,428,909,156,536,938,343,52,344,81,3781,81,46,11,25,89,27,9,39,35,360,6,7,4,0,4,0,0,0,11,35,7211,16672,3795,15652,14040,8324,1122,6659,1207,74678
SOSR121,18,10,411,100,26,283,71,448,41,1416,76,65,639,153,44,147,148,314,34,1617,343,382,1262,249,128,134,454,509,79,3550,686,628,1187,278,157,150,539,429,70,4120,862,669,1161,319,202,191,700,570,124,4804,696,601,970,280,200,190,782,588,89,4395,281,260,250,76,75,83,231,180,45,1475,81,40,25,0,8,14,17,15,11,221,8,0,0,0,0,0,0,0,5,11,3048,2651,5905,1457,844,1196,2952,3059,498,21611,18,17,74,394,72,563,20,216,34,1406,56,145,107,489,201,235,21,121,27,1395,314,982,211,671,585,303,52,217,54,3386,509,1223,216,715,835,289,47,262,65,4168,585,1236,246,879,1127,390,66,350,73,4954,430,981,149,803,941,393,50,396,59,4199,125,289,36,158,264,104,15,68,21,1075,26,14,6,9,29,7,0,10,10,105,4,4,0,0,0,0,0,0,8,19,2062,4887,1047,4117,4063,2281,269,1645,338,20708
SOSR122,8,5,162,42,4,94,33,186,23,561,34,36,329,77,17,64,68,162,13,790,175,195,558,128,48,81,202,278,38,1698,333,223,481,132,68,87,262,259,46,1889,394,254,493,166,108,82,359,316,51,2224,411,274,471,155,115,107,419,392,48,2393,156,107,127,32,47,34,135,96,18,761,35,33,7,0,8,11,20,8,4,120,7,0,0,0,0,0,0,0,3,15,1559,1125,2632,734,422,548,1489,1696,249,10456,6,17,21,170,37,214,8,85,14,570,21,95,57,231,104,114,8,62,9,712,142,398,102,340,282,128,27,135,35,1587,248,482,91,322,411,100,27,151,34,1863,299,475,104,437,542,184,39,181,29,2302,263,500,101,443,450,196,41,227,30,2250,70,118,20,93,133,51,5,46,12,557,12,8,0,4,22,6,3,7,8,60,0,0,0,0,0,0,0,0,4,0,1058,2084,506,2040,1997,996,162,892,166,9901
SOSR131,341,120,3085,723,132,1438,556,2720,212,9329,808,612,3828,807,307,689,977,1990,203,10216,3573,1931,5858,913,484,679,2296,3021,389,19144,6664,2839,5675,1045,678,757,3006,2564,539,23766,9727,4056,6271,1387,1155,1149,4366,3231,650,31999,10518,3796,5492,1247,1126,1113,4337,3507,593,31720,6663,1806,1452,297,427,455,1397,1240,318,14053,2330,307,134,25,54,85,144,250,180,3509,360,14,19,0,3,4,3,26,43,473,40976,15481,31817,6453,4361,6364,17092,18546,3125,144209,167,192,546,2233,556,3020,116,1435,187,8450,420,1072,718,2368,1340,1242,208,991,147,8498,1943,4847,1257,2769,3381,1316,336,1390,289,17524,3872,6656,1201,3026,5228,1398,333,1385,378,23479,5890,7589,1376,4305,7412,2100,479,1971,498,31621,5447,6218,1029,3586,6557,1875,428,2079,428,27648,3102,1769,265,694,1985,470,115,595,237,9232,951,132,31,38,251,52,11,138,150,1744,113,6,4,0,7,7,3,13,24,185,21910,28481,6415,19018,26713,11484,2038,9995,2330,128384
