SOSR_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR101,866125,575904,753648,714513,596518,509021,377790,213068,92069,4698656
SOSR102,185792,127556,132466,130034,132254,131061,114242,71267,30494,1055174
SOSR111,37923,22815,25933,24467,23325,22736,20378,12040,4715,194335
SOSR112,96859,61479,67805,60489,60830,62954,59320,38241,16410,524391
SOSR113,40767,24263,26977,25839,27435,31098,30922,19095,7856,234258
SOSR114,48218,27447,30040,28809,29552,32999,33212,21969,9144,261391
SOSR115,65345,36173,38468,39268,42877,51481,52903,31139,11859,369508
SOSR121,18073,9925,9347,10674,12789,14998,14096,6858,2080,98845
SOSR122,8317,4783,4676,5073,6515,8463,7524,3607,1000,49959
SOSR131,101325,62369,50478,62140,83164,95316,77284,33967,8221,574269
SOSR179,0,0,0,0,0,0,0,0,0,0
SOSR199,1260,1357,2187,1859,1678,1648,1055,277,49,11371
