SOSR_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOSR101,12181,67847,16248,15115,2447,162316,49197,12878,106832,36566,36224,6837,248536,3368,788,10257,3921,4667,569,23576,5031,1225,12578,8516,23692,1334,52379,12019,1428,26323,10439,15080,9106,74392,309088,62375,675282,243580,330691,50527,1671544
SOSR102,3399,17702,4647,5955,555,40461,8706,3834,25733,12732,20713,1976,73698,277,138,1281,731,1453,109,3990,560,204,1767,2037,8827,282,13679,730,150,2294,1500,4780,1416,10874,32217,12684,95394,55710,135101,9757,340857
SOSR111,661,3069,897,1269,87,6936,1224,726,4324,2404,4384,380,13440,22,18,130,102,261,14,544,54,36,215,451,1936,64,2752,80,19,254,239,974,305,1868,3820,2215,14253,9903,28362,1823,60372
SOSR112,1879,8414,2371,3477,302,20122,3955,1896,11719,6249,11001,961,35787,155,63,476,294,734,51,1765,228,91,769,996,4645,142,6873,269,62,679,579,2374,812,4775,13138,6011,38759,23663,68193,5149,154913
SOSR113,669,2704,841,1351,130,6588,1049,626,3505,2338,4531,403,12455,44,18,160,110,324,26,683,58,35,253,383,2038,73,2844,53,21,343,261,1061,363,2108,3542,2083,13037,9871,31388,2408,62325
SOSR114,811,3933,1103,1670,134,8832,1041,644,3914,2492,4757,428,13280,46,26,206,137,348,31,790,84,44,291,441,2460,74,3397,78,29,295,268,1228,423,2314,4328,2494,16255,11094,34780,2766,71720
SOSR115,1226,5456,1653,2373,210,12712,1501,924,5369,3676,6270,622,18360,102,47,388,214,580,37,1366,139,47,390,626,3215,99,4518,136,34,492,418,1798,590,3469,6168,3478,21894,15906,49108,3821,100374
SOSR121,338,1628,454,676,61,3713,451,274,1589,1010,1763,184,5264,30,12,115,55,149,6,376,34,18,115,175,1003,29,1372,50,13,166,125,551,161,1067,1806,1045,6446,4589,14040,1085,29009
SOSR122,153,623,195,366,26,1599,150,122,657,492,837,72,2339,21,13,59,27,82,3,206,18,15,48,75,458,19,630,14,9,73,58,287,99,539,769,492,2754,2098,6809,553,13481
SOSR131,1855,8641,2658,3833,368,20216,2495,1501,8344,4906,7280,887,25412,174,74,633,374,898,84,2234,181,85,619,924,5546,187,7546,313,101,1145,923,3242,1124,6839,11596,6299,43627,29130,84013,7714,182372
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
