SOSR_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR101,15091,10285,6798,3476,12048,11309,2871,5103,735,67716,9188,11534,9579,5129,20975,21847,4056,8750,18601,109662,232114,277237,221875,127465,457091,487033,113773,236506,37858,2190950
SOSR102,2886,2851,1940,1125,3537,3205,831,1509,186,18073,1262,2176,1581,972,3230,3341,712,1507,3000,17779,41172,74466,57605,37570,99260,93829,25981,47065,6801,483747
SOSR111,168,547,428,289,763,773,228,378,44,3626,147,428,301,178,620,653,176,332,582,3417,4583,13327,10853,7570,19113,17022,5445,10029,1325,89270
SOSR112,484,1392,1058,708,2075,1849,519,997,88,9162,422,1023,652,462,1675,1469,353,809,1704,8567,12016,33807,26721,18730,51157,43591,13311,25696,3753,228784
SOSR113,191,635,464,300,812,748,219,391,51,3824,182,480,301,218,600,598,119,323,898,3721,5671,15359,11851,7841,18834,16628,5090,10703,1947,93937
SOSR114,296,622,541,311,967,957,255,527,47,4522,231,534,354,220,805,727,185,446,851,4359,6066,15961,12951,9119,22942,20396,6227,13225,1986,108869
SOSR115,409,911,679,405,1141,1163,336,712,68,5831,418,804,531,403,1017,1087,245,602,1244,6351,9452,23408,18576,12749,29219,27630,8314,18445,3032,150819
SOSR121,130,247,194,135,324,396,105,198,26,1759,109,255,149,110,313,305,58,171,328,1801,2608,6826,5345,3503,7943,7859,2153,5265,813,42319
SOSR122,45,123,90,60,161,157,59,99,21,806,64,127,75,52,141,160,43,107,192,967,1274,3195,2545,1712,3761,3711,1104,2581,464,20362
SOSR131,815,1548,1098,678,1704,1970,546,1489,139,9992,833,1620,1076,676,1554,1948,408,1543,2348,11997,16360,40158,31788,20651,41549,50043,14830,51005,6212,272591
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
