SOSR_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOSR101,546276,38021,13363,5568,544,223,1707,605701
SOSR102,97590,11912,4870,921,179,71,707,116245
SOSR111,16790,2576,1096,162,49,15,161,20844
SOSR112,40776,5830,2686,500,98,52,460,50405
SOSR113,16391,2629,1244,250,47,24,198,20791
SOSR114,20177,2844,1326,255,53,19,237,24915
SOSR115,28062,3874,1846,341,74,31,375,34597
SOSR121,8602,1139,471,114,18,10,105,10462
SOSR122,3786,526,241,52,14,0,74,4686
SOSR131,56049,5933,2502,731,120,48,560,65939
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
