SOSR_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SOSR101,2080,590,599,28,642,256,492,1891,93,6667,870,1016,444,13,388,30,528,111,43,3435,23210,16387,22522,1253,12945,5923,15305,17754,1405,116697,3470,4562,2368,61,2488,439,2601,1191,260,17441,28730,14286,70561,362,18499,2477,8477,21385,2280,167067,19513,15970,4128,163,12545,8323,8783,2683,812,72913,33946,16930,9442,1401,13047,87615,12579,14486,1499,190947,23318,3276,18056,29428,4733,15878,2810,20078,920,118498,12635,9348,4080,2449,24081,4791,47964,5946,1721,113011,10829,27968,5789,228,5848,2937,449,480,587,55114,33039,71413,1562,537,48065,4444,91,190,3116,162467,7531,7597,1052,287,7155,17076,696,915,711,43011,40221,154435,14950,584,32173,4298,696,1206,2326,250883,10723,12913,4216,4468,8272,1687,3121,24246,697,70347,18274,31550,7698,24560,27627,706,1897,3812,2343,118468,17394,112763,3639,28225,18965,492,521,2236,1062,185311,18888,125011,9473,80810,39650,1719,2011,8700,2106,288363,6621,9143,2767,7200,3654,1275,242,1545,476,32926,7913,9435,24210,10890,7953,1324,959,4463,570,67716,17108,19659,9925,3781,13483,6379,10456,8985,19881,109662
SOSR102,465,114,308,12,135,54,96,751,30,1968,763,940,2156,24,423,16,2584,208,68,7185,4391,2982,7463,270,2474,1433,4041,3286,336,26682,718,901,1419,30,745,124,980,421,85,5421,5858,1705,25575,76,4288,603,3155,7692,550,49490,2055,1279,1073,28,1337,1610,1363,460,100,9297,6912,1717,2629,423,2105,25637,1931,4403,198,45957,5381,416,4064,9609,1157,5035,1580,7831,214,35284,1731,1188,1234,401,3247,615,8338,1585,199,18534,947,2235,852,34,673,432,230,121,76,5609,2258,4830,166,76,7017,581,33,37,233,15239,905,665,250,83,1285,3051,149,268,87,6757,3826,16217,3532,104,5569,386,171,358,215,30380,1434,1750,1408,1171,1894,240,482,6812,116,15306,5154,7654,2256,7132,9279,208,732,1731,788,34935,3599,27087,1002,7944,4457,95,160,699,236,45280,4770,33788,2661,30959,11562,416,602,2946,537,88238,1163,1456,584,1696,561,250,53,470,90,6325,1469,1533,8073,3013,1919,281,305,1338,137,18073,2123,2180,2483,982,2175,1045,1585,1811,3398,17779
SOSR111,353,75,89,4,77,35,75,566,24,1310,188,225,878,4,144,11,956,88,30,2527,846,438,1539,48,524,317,895,1068,83,5746,113,119,258,0,126,29,192,92,16,945,891,253,4045,10,798,131,714,1322,86,8259,333,188,354,3,302,387,351,131,22,2057,1386,231,580,80,433,5399,438,964,52,9570,1097,49,911,1764,257,1002,254,1592,39,6965,321,121,220,63,723,112,1859,179,31,3642,107,195,97,3,80,99,10,21,9,625,214,483,35,24,908,57,5,12,32,1759,125,73,62,18,228,516,27,56,18,1125,395,1986,545,17,882,45,26,72,29,4004,216,280,231,227,363,38,221,1584,35,3192,656,1154,486,1222,1679,37,129,308,141,5814,596,4402,199,1667,701,11,16,163,31,7783,819,5574,483,6288,2040,65,94,571,101,16034,152,152,98,225,80,42,14,85,9,869,267,234,1762,607,323,63,58,302,20,3626,310,254,479,220,360,208,418,505,657,3417
SOSR112,1500,283,451,21,320,133,316,1473,70,4577,251,366,1170,19,163,11,1642,160,40,3830,1896,858,3475,174,1140,752,1714,4664,212,14883,396,473,746,15,478,57,541,217,42,2969,2220,473,9937,51,1679,281,1579,3008,200,19428,825,419,572,11,641,1014,721,294,43,4548,3559,668,1461,238,1129,13402,868,2473,87,23887,2948,122,2597,4820,756,2261,526,4253,106,18401,687,267,434,85,1755,276,4029,359,91,7985,297,712,275,17,245,300,26,46,20,1944,534,1226,46,26,1831,119,10,22,69,3892,320,215,103,35,519,1379,64,142,37,2810,869,5071,1315,34,2250,116,65,144,63,9915,485,659,802,506,729,94,257,4032,64,7629,1900,3311,1340,3869,3617,108,516,843,301,15809,1884,12873,651,4393,2246,67,87,495,104,22791,2106,15495,1364,16226,5210,208,318,1846,274,43046,433,595,355,626,256,96,15,296,33,2706,625,690,4169,1637,851,168,115,866,50,9162,787,690,1304,508,821,515,813,1156,1975,8567
SOSR113,407,58,113,5,93,30,61,462,3,1238,294,489,1499,24,236,12,2410,219,44,5221,605,290,1290,82,375,247,600,751,44,4287,127,125,464,10,149,29,239,129,20,1288,965,187,4202,20,725,92,830,1392,91,8499,300,132,363,5,229,344,266,141,23,1810,1471,236,677,79,423,5762,304,1096,38,10086,1576,58,1332,2402,457,1127,198,2174,65,9394,286,129,169,60,649,102,1720,174,19,3301,110,217,97,3,80,107,11,20,12,641,182,412,22,22,733,59,0,6,34,1467,131,81,40,16,246,683,30,61,23,1311,376,1822,501,25,913,65,25,86,37,3850,220,289,337,245,356,40,290,1936,32,3759,810,1160,639,1582,1438,28,267,449,125,6511,506,4059,137,1825,668,14,28,171,29,7441,665,4916,429,6443,1807,67,64,696,110,15189,165,260,125,261,99,61,15,109,19,1110,257,253,1850,650,334,59,49,329,33,3824,373,275,522,256,347,227,319,475,934,3721
SOSR114,1297,200,438,14,265,86,402,1300,60,4066,146,227,494,8,82,6,1057,67,20,2101,886,396,1725,84,592,307,821,2390,82,7291,177,230,447,7,228,26,253,148,16,1534,1130,262,5410,11,831,121,1006,1503,106,10383,455,214,272,10,347,586,328,180,22,2403,1669,338,774,94,568,6207,383,1145,58,11229,1537,64,1120,2372,345,1057,186,2025,50,8759,421,129,205,57,882,149,2190,184,46,4252,112,276,137,0,95,89,14,20,11,760,263,472,19,5,894,63,3,11,20,1754,129,101,54,15,226,704,33,53,16,1326,465,2184,623,27,1211,57,28,60,36,4699,187,327,403,250,307,46,167,1872,37,3593,1248,1601,611,1704,1930,36,454,587,164,8338,734,5587,188,2305,905,23,36,242,55,10062,761,5263,509,6791,1888,82,75,781,97,16254,188,255,148,273,126,25,17,146,10,1188,263,318,2316,651,415,92,65,381,22,4522,418,306,604,247,391,266,459,688,976,4359
SOSR115,1708,210,626,27,284,109,531,1971,71,5534,197,258,1013,21,155,0,1856,151,33,3675,1275,480,2459,145,783,461,1215,1979,107,8898,220,174,646,9,237,49,415,220,24,2002,1737,295,7919,35,1263,163,1790,2493,170,15860,546,241,403,15,421,633,411,260,37,2976,2245,460,1007,132,688,7938,465,1416,59,14417,2221,97,1601,3518,558,969,208,2732,71,11976,591,208,294,104,1089,227,3020,281,57,5873,198,430,198,8,176,105,16,20,18,1162,319,576,29,25,1056,72,3,9,39,2125,226,112,91,21,340,933,51,70,32,1880,608,3168,843,31,1611,75,47,107,47,6541,368,413,541,315,404,62,247,2621,46,5020,1553,2117,1200,2757,2470,47,795,841,223,12000,1130,7921,257,3250,1333,12,31,328,75,14343,1158,7295,719,9017,2689,91,128,1023,153,22280,305,477,298,421,167,72,50,245,34,2067,340,434,2995,834,579,90,89,436,32,5831,580,486,944,356,631,376,636,839,1494,6351
SOSR121,533,50,168,6,82,20,152,508,22,1536,66,45,243,5,41,4,408,35,13,854,341,138,672,28,213,131,309,453,36,2313,66,59,188,7,79,12,110,33,5,551,559,91,2358,10,423,38,534,694,57,4777,168,85,138,6,116,166,97,55,11,840,621,128,324,48,203,2185,111,339,18,3980,606,20,353,872,178,325,60,758,25,3193,197,69,103,32,386,74,890,59,18,1825,54,95,65,0,47,34,0,3,0,300,87,224,11,6,304,19,3,9,14,678,69,31,25,8,107,227,21,18,4,497,208,875,302,8,444,26,12,32,24,1939,121,117,157,91,142,21,62,709,14,1430,358,565,245,678,630,20,211,212,55,2980,332,2331,87,880,413,4,9,99,23,4185,341,2201,203,2475,725,22,39,265,43,6312,77,135,81,122,35,12,13,79,9,571,111,112,960,208,162,32,24,130,15,1759,198,166,280,90,167,96,156,213,433,1801
SOSR122,333,20,127,3,44,19,90,385,17,1032,20,19,93,0,10,0,187,14,3,352,156,78,318,18,105,60,152,240,11,1131,23,21,97,6,45,8,71,31,3,304,271,40,990,10,197,14,276,342,20,2160,86,44,63,3,73,85,65,15,3,439,300,48,129,23,94,942,51,153,6,1750,373,11,212,463,98,135,16,375,13,1696,117,27,33,10,185,36,436,46,5,896,20,56,27,0,14,18,0,0,0,138,51,90,9,0,148,11,0,0,3,316,36,16,8,0,30,87,9,10,3,202,87,409,116,4,208,12,0,7,9,857,40,50,89,50,64,9,27,393,5,726,197,251,110,354,347,10,112,135,32,1551,154,920,45,441,211,5,3,54,11,1843,153,891,95,1203,327,14,15,144,28,2869,45,96,31,40,29,7,19,43,0,312,71,38,433,83,87,14,11,54,11,806,92,77,109,59,97,62,100,143,233,967
SOSR131,31630,739,1898,90,1828,350,1699,7968,466,46668,592,484,1759,10,310,12,2701,234,70,6178,2739,952,3900,174,1470,625,1395,2173,161,13597,472,308,956,10,440,39,601,233,51,3110,4648,605,12202,41,3479,244,3628,4163,336,29352,1427,605,745,18,908,1331,627,400,63,6121,3413,744,1500,205,1078,10146,603,1697,91,19466,2733,118,1330,3538,602,1451,272,2925,93,13057,1428,401,513,129,1982,316,4913,354,111,10146,305,626,310,19,224,165,24,39,16,1743,774,1279,50,35,1526,106,12,18,104,3916,508,326,149,35,656,1716,101,129,76,3694,1713,6559,1596,56,2948,146,70,142,120,13344,714,567,935,407,734,78,350,3032,58,6880,2586,3242,1234,3604,3540,82,811,898,356,16357,2047,12364,635,4611,2465,32,85,700,123,23058,1917,11667,949,10292,3993,123,155,1003,196,30293,522,910,531,638,304,94,46,548,43,3634,895,510,5400,1059,1236,144,109,573,70,9992,1823,943,1647,514,1337,643,927,1310,2852,11997
