SOSR_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOSR101,36,2500,898,475,2412,1,2122,2.7
SOSR102,41,2000,762,395,2062,0.8,1604,2.5
SOSR111,39,1731,753,340,1895,0.8,1481,2.5
SOSR112,40,1608,733,320,1826,0.7,1401,2.4
SOSR113,44,1517,659,320,1625,0.7,1268,2.3
SOSR114,43,1520,687,300,1699,0.7,1292,2.3
SOSR115,46,1551,672,300,1661,0.7,1291,2.3
SOSR121,46,1690,694,320,1762,0.8,1424,2.5
SOSR122,48,1400,640,250,1615,0.8,1227,2.3
SOSR131,46,1900,753,300,1996,0.8,1704,2.7
SOSR179,56,0,1649,0,0,0,0,0
SOSR199,39,0,487,0,0,0,0,0
