SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR101,1621,4967,216,189162,4006,854,748,3046,1100,2786,576,1260,1063,3720,13874,33032,340,68,346,253,137,216,72,90,230,635,2602,4998,139989,27277,11939,121463,37343,99302,15337,36787,18764,79432,18062,605701
SOSR102,179,420,31,25603,1162,236,120,1114,261,535,156,286,118,609,3411,7999,56,6,57,85,38,30,18,16,26,80,323,729,25119,6413,1688,35301,7741,15406,3050,6075,2019,9492,3941,116245
SOSR111,14,35,7,3222,246,44,21,241,29,98,23,45,16,85,840,1691,22,5,4,17,3,3,3,0,5,19,55,136,5048,1035,178,6699,1040,2791,334,996,273,1500,950,20844
SOSR112,38,110,4,7725,616,92,36,530,87,228,49,129,39,255,1906,3974,32,3,27,29,10,15,10,0,17,45,138,324,12836,2482,520,15391,2398,6644,869,2426,708,3962,2166,50405
SOSR113,19,49,9,2934,207,57,24,220,49,104,22,58,19,172,900,1837,10,3,15,21,6,8,0,0,7,31,56,155,4375,1139,230,6152,1022,2877,398,1154,353,2047,1035,20791
SOSR114,13,56,6,3555,348,53,29,276,47,108,22,58,22,125,934,2030,19,0,17,26,9,3,0,3,7,37,96,225,6064,1290,316,7574,1398,3240,447,1202,316,1960,1111,24915
SOSR115,35,73,7,4938,428,85,53,391,80,180,51,106,35,215,1455,3084,26,3,29,26,6,18,3,7,10,37,124,291,7741,1990,513,10370,1815,4385,744,1824,572,2982,1664,34597
SOSR121,8,24,4,1632,154,47,9,131,23,66,14,44,18,76,459,1046,7,3,6,12,7,0,0,0,8,8,37,90,2354,676,113,3160,504,1284,204,597,155,887,528,10462
SOSR122,6,23,0,676,55,17,4,66,8,29,3,26,14,43,187,444,12,0,7,9,3,5,0,0,0,10,20,55,1024,261,56,1344,209,595,106,278,102,495,216,4686
SOSR131,96,289,25,13706,1549,229,103,1292,185,475,89,268,95,465,2521,7275,111,20,76,103,32,38,10,8,36,73,262,772,17128,3623,1065,19824,3026,7581,1370,3186,1037,5114,2990,65939
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
