SOSR_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SOSR101,1273,4311,12932,11393,8392,5109,1489,305,86,45290,42401,100047,269829,252105,210749,139920,35400,3575,277,1054301,245,529,1349,1304,1396,1158,509,170,24,6667,14,119,695,944,786,643,191,44,4,3435,2502,6679,22629,27450,28330,23045,5466,565,37,116697,126,753,3671,5097,4417,2714,607,55,3,17441,6859,17207,47020,39714,31109,19745,4867,508,39,167067,853,3965,15117,19631,17750,12163,2983,418,40,72913,19630,32029,45635,37233,29022,20923,5675,740,55,190947,26477,21345,27435,18515,12833,9354,2251,268,20,118498,1664,7279,24050,27253,26195,20976,5193,399,11,113011,704,3440,14953,17103,11811,5746,1195,140,14,55114,575,9942,43281,53218,35334,16003,3537,489,79,162467,703,3270,10578,11277,8783,5653,2155,504,94,43011,1770,19143,74445,70431,46187,27146,10005,1653,99,250883,1214,6219,18338,16633,14087,10385,3065,380,23,70347,977,6947,27604,30996,27787,19245,4553,331,19,118468,6095,15272,42575,41718,40154,29779,8867,819,34,185311,4460,25786,73828,64537,57620,46339,14134,1594,69,288363,2288,4487,8891,7091,5243,3486,1223,196,10,32926
SOSR102,389,712,1533,1449,1321,936,296,109,28,6777,15901,24084,50851,51083,51305,37792,8123,710,58,239908,78,209,439,350,372,335,127,54,5,1968,49,276,1733,2208,1720,1069,123,13,0,7185,1070,1993,5167,5661,6525,5227,941,90,3,26682,47,252,1027,1379,1477,1072,163,13,0,5421,2920,5938,12303,10783,9322,6635,1467,118,7,49490,227,569,1683,2136,2359,1814,461,45,3,9297,7176,7684,8963,7130,7410,5953,1473,162,10,45957,11851,6942,5902,3980,3341,2532,657,73,5,35284,308,948,2966,3734,4715,4606,1110,147,7,18534,194,470,1252,1452,1276,768,162,25,7,5609,100,935,3636,4237,3698,2148,432,53,8,15239,151,560,1385,1496,1546,1097,407,101,17,6757,391,2474,7347,8098,6260,4072,1500,225,13,30380,383,1299,3076,3286,3597,2887,713,68,0,15306,277,1758,6932,9325,9588,6055,947,50,3,34935,988,3240,9607,10599,10720,7963,2021,138,0,45280,1610,7747,20320,18570,19551,16493,3665,258,7,88238,794,877,1373,1236,1061,688,245,34,6,6325
SOSR111,84,146,273,261,219,160,49,18,4,1213,3201,4118,9926,9560,9222,6852,1529,124,13,44538,32,98,281,319,255,198,91,25,5,1310,17,131,618,785,606,331,38,3,0,2527,239,443,1393,1241,1230,1013,178,18,0,5746,8,48,195,239,239,178,31,0,0,945,480,1076,2103,1750,1353,1186,295,17,0,8259,49,119,460,492,473,360,100,13,0,2057,1638,1295,1969,1611,1497,1209,324,21,3,9570,2226,1082,1258,923,761,552,160,14,3,6965,63,175,625,760,893,816,294,24,0,3642,50,43,147,134,124,100,21,7,0,625,19,116,477,475,396,227,41,4,0,1759,30,96,259,242,246,170,77,7,0,1125,71,261,994,1008,801,584,252,34,0,4004,84,237,717,697,721,566,156,11,0,3192,47,274,1276,1498,1597,958,159,5,3,5814,170,474,1600,1890,1897,1361,365,20,0,7783,301,1413,3825,3483,3441,2873,654,37,3,16034,140,102,176,162,142,103,37,9,0,869
SOSR112,236,337,713,580,595,447,184,93,14,3209,7801,10421,24909,23016,23323,19068,5101,539,43,114220,168,370,1017,842,819,766,432,153,15,4577,39,241,1117,1071,802,491,60,3,0,3830,704,1349,3713,3355,2856,2284,547,67,4,14883,37,103,505,745,793,682,89,7,0,2969,1304,2450,4948,3854,3271,2742,776,75,10,19428,170,353,894,931,1050,882,230,32,6,4548,4075,3165,4906,3827,3697,3087,995,128,11,23887,5119,2804,3726,2499,1941,1704,528,71,7,18401,149,376,1312,1457,1866,1980,736,94,12,7985,116,193,428,436,363,289,100,20,0,1944,37,245,808,896,965,696,193,38,4,3892,72,198,602,545,608,480,240,52,8,2810,180,678,2266,2130,2037,1670,825,129,9,9915,200,574,1533,1580,1769,1533,405,43,3,7629,174,830,3314,3725,4113,3017,602,40,0,15809,464,1437,4270,5146,5655,4478,1244,104,3,22791,820,3400,10383,8992,8881,8205,2187,165,0,43046,343,278,534,486,467,390,163,41,0,2706
SOSR113,101,130,367,283,272,228,75,27,12,1494,3125,3796,9534,9418,9914,8410,2022,189,10,46426,52,90,217,230,230,235,127,46,6,1238,53,329,1402,1390,1190,763,91,0,0,5221,229,394,918,825,939,788,176,14,4,4287,8,83,230,283,323,310,45,3,0,1288,532,942,1999,1671,1625,1302,382,29,0,8499,64,139,355,398,401,344,80,20,3,1810,1598,1135,1905,1714,1706,1511,471,50,0,10086,2375,1300,1809,1353,1196,1028,286,34,0,9394,51,172,452,560,781,890,347,48,0,3301,40,62,139,126,124,106,35,5,0,641,20,87,297,337,338,288,85,14,3,1467,33,106,217,249,301,261,106,37,0,1311,62,184,794,920,864,664,310,51,0,3850,87,276,816,771,841,760,194,18,0,3759,59,317,1299,1572,1699,1307,256,10,0,6511,117,394,1490,1680,1793,1521,421,28,0,7441,285,1026,3072,3095,3380,3472,805,47,0,15189,115,118,211,196,206,177,60,22,4,1110
SOSR114,114,165,310,361,308,245,98,39,8,1641,3553,4722,11129,11087,11297,9688,2388,256,22,54137,136,390,859,748,702,693,376,138,25,4066,13,186,596,538,445,286,34,0,3,2101,378,675,1607,1485,1532,1253,318,33,0,7291,29,84,320,349,379,323,50,4,0,1534,667,1172,2753,2137,1760,1438,398,60,3,10383,101,182,424,499,541,487,146,22,0,2403,1761,1303,1999,1803,1951,1827,529,58,3,11229,2397,1189,1434,1223,1123,1039,310,40,0,8759,75,216,627,778,976,1095,416,69,5,4252,26,76,160,168,157,129,40,9,4,760,28,105,393,440,417,287,79,8,0,1754,34,102,299,242,286,244,98,19,5,1326,75,310,1066,1120,983,727,347,57,10,4699,90,262,637,745,829,772,234,25,0,3593,87,436,1758,2165,2131,1459,280,18,4,8338,188,613,2059,2325,2396,1913,526,44,0,10062,328,1198,3393,3289,3567,3655,773,48,9,16254,109,105,241,223,225,198,66,19,0,1188
SOSR115,192,203,424,514,479,413,179,50,17,2465,4879,5562,14207,15058,16233,14564,3781,360,35,74678,218,493,1110,934,897,1048,613,192,27,5534,62,236,967,953,835,542,68,14,0,3675,485,718,1808,1805,1949,1705,388,47,4,8898,29,94,391,480,501,444,69,0,0,2002,1087,1728,3779,3278,2853,2375,705,60,7,15860,113,212,599,573,649,623,175,34,0,2976,2324,1492,2406,2325,2502,2511,746,106,4,14417,2962,1435,1974,1640,1748,1649,511,50,5,11976,103,235,816,972,1393,1603,648,105,6,5873,42,70,181,260,257,246,84,15,0,1162,19,111,410,498,528,438,101,20,0,2125,59,139,351,398,382,305,193,39,3,1880,109,329,1256,1566,1461,1170,591,59,0,6541,124,319,865,1022,1140,1190,332,28,0,5020,275,632,2162,2822,3174,2424,486,31,0,12000,251,734,2670,3364,3485,2969,830,48,0,14343,448,1414,4231,4207,5148,5438,1324,70,5,22280,172,223,403,386,398,334,127,23,0,2067
SOSR121,50,51,120,147,160,118,58,12,5,709,1406,1395,3386,4168,4954,4199,1075,105,19,20708,64,117,241,260,287,308,156,82,7,1536,3,43,185,238,223,133,32,3,0,854,125,153,386,432,626,486,97,11,0,2313,10,11,88,142,138,147,19,6,0,551,304,463,1019,1011,996,753,221,13,0,4777,25,51,134,185,221,168,53,8,0,840,692,424,571,616,718,719,219,23,0,3980,885,374,467,421,466,406,149,17,4,3193,31,86,207,264,491,538,186,31,0,1825,11,17,51,75,73,56,16,5,0,300,12,37,120,173,164,131,29,8,0,678,18,37,85,93,106,127,29,3,0,497,42,76,359,407,466,394,165,22,0,1939,37,73,230,278,367,348,90,8,0,1430,35,114,457,707,852,671,127,11,0,2980,83,193,626,964,1112,923,258,13,0,4185,139,378,973,1249,1555,1582,406,25,0,6312,62,38,100,99,110,101,50,5,0,571
SOSR122,27,20,64,57,81,74,33,10,4,362,570,712,1587,1863,2302,2250,557,60,0,9901,36,62,200,177,188,224,115,30,6,1032,3,22,71,90,87,61,12,0,0,352,65,91,167,220,278,248,57,8,0,1131,3,18,54,66,92,61,11,0,0,304,109,243,429,419,419,426,103,7,0,2160,23,31,80,63,105,106,32,5,0,439,238,174,266,274,343,363,86,9,0,1750,399,194,266,235,239,273,70,20,0,1696,14,32,97,159,204,274,104,19,0,896,6,3,16,28,32,44,12,5,0,138,6,13,44,80,83,67,16,9,0,316,4,26,23,37,37,54,16,10,6,202,11,47,149,177,186,192,77,19,0,857,21,37,105,154,173,168,54,5,0,726,13,55,242,360,449,358,70,3,0,1551,23,98,307,379,487,435,116,11,0,1843,44,188,432,477,674,843,196,13,0,2869,24,19,51,50,76,73,25,0,0,312
SOSR131,402,354,676,845,1175,936,449,188,26,5051,8450,8498,17524,23479,31621,27648,9232,1744,185,128384,1397,2022,5134,6400,8660,10878,8526,3166,486,46668,104,297,1135,1686,1709,1055,184,13,0,6178,873,1040,1924,2354,3389,2954,909,136,16,13597,60,132,395,656,941,779,136,13,0,3110,2134,2886,5028,5738,6512,5385,1543,127,4,29352,325,408,791,1120,1507,1400,446,108,7,6121,3742,2037,2455,2595,3815,3594,1072,145,12,19466,4258,1514,1452,1436,1844,1829,614,97,9,13057,248,423,1104,1600,2736,2849,1032,144,8,10146,71,129,227,307,450,413,128,15,0,1743,42,214,558,881,1145,794,238,41,3,3916,139,257,470,681,970,726,354,88,7,3694,267,800,1924,2634,3355,2873,1290,184,14,13344,215,435,1005,1252,1755,1685,472,53,0,6880,444,944,2153,3426,4990,3631,722,41,0,16357,560,1077,2924,4873,6456,5495,1554,117,3,23058,728,1902,4179,5261,7788,8092,2191,164,3,30293,412,364,534,595,738,693,251,47,7,3634
