SOSR_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOSR101,54247,11604,1118,509,60526,7175,135176,49501,24059,3573,1775,71491,11090,161493,92389,91721,18839,8707,133097,28011,372776,74609,111382,35043,16160,95181,22563,354942,64802,97130,29654,12689,72339,15827,292439,52987,77979,25320,11420,68459,12811,248972,31838,50084,21177,10479,56689,9357,179630,16247,22628,10225,5527,36291,7441,98353,4803,5307,2332,1427,16590,5105,35570,441422,491892,147285,68690,610660,119398,1879348,53606,15957,1908,792,48175,6357,126802,46479,35028,7189,3730,51015,8996,152436,66732,107596,39993,40249,101897,24394,380866,34217,97108,67824,70149,70968,19317,359568,28845,92865,64505,49440,54795,13631,304077,25384,75209,52211,39001,56999,11245,260048,16971,46972,39437,30825,54169,9791,198163,11614,22903,17597,14229,39021,9345,114713,6111,7186,3718,2518,26653,10315,56501,289968,500815,294390,250937,503678,113391,1953176,107851,27558,3025,1301,108703,13530,261971,95979,59090,10764,5511,122509,20087,313934,159128,199318,58838,48960,234990,52408,753648,108827,208485,102866,86306,166150,41880,714513,93644,189991,94152,62130,127132,29466,596518,78373,153184,77536,50421,125456,24050,509021,48813,97056,60613,41301,110852,19148,377790,27858,45532,27822,19756,75304,16789,213068,10917,12487,6053,3944
SOSR102,13994,2353,215,84,13106,1693,31448,12076,5543,745,328,12967,1871,33526,18424,19480,4241,1833,17629,3794,65404,14682,23049,6990,3109,12040,3354,63218,15452,23015,6791,2685,13116,3200,64262,14018,20802,6753,3078,15286,2885,62818,8752,15357,7438,3893,15589,2760,53798,4691,7368,3909,2515,11555,2495,32519,1354,1580,836,575,5218,1812,11378,103440,118552,37916,18093,116508,23856,418370,14096,3580,364,160,10214,1564,29980,11238,8531,1794,974,8414,1649,32608,11175,22342,9545,9613,10925,3465,67067,6166,21223,15051,13883,7424,3076,66817,7412,24223,15009,9578,9054,2719,67991,7393,22346,14136,9393,12307,2661,68238,4673,14106,12697,10037,15820,3122,60452,3411,6949,5769,5296,13799,3520,38742,1969,2354,1183,873,9180,3555,19113,67538,125651,75542,59801,97137,25337,451009,28089,5926,580,243,23320,3256,61418,23316,14080,2540,1297,21379,3515,66135,29600,41825,13786,11441,28557,7258,132466,20842,44272,22041,16985,19467,6429,130034,22860,47239,21795,12266,22172,5925,132254,21413,43147,20891,12467,27593,5546,131061,13432,29464,20130,13929,31408,5880,114242,8104,14315,9676,7811,25353,6014,71267,3323,3935,2019,1447
SOSR111,2463,409,41,17,2504,382,5812,1881,930,139,50,2270,326,5592,3434,3748,842,326,3448,801,12602,2892,4125,1173,503,2442,703,11839,2835,3802,1039,444,2422,617,11161,2546,3476,1037,440,2680,532,10713,1663,2717,1283,614,2813,479,9580,755,1212,665,435,1885,400,5351,225,258,141,104,768,240,1737,18688,20681,6365,2940,21227,4477,74382,2515,654,84,34,2128,311,5724,1640,1502,420,250,1560,315,5687,1928,4269,2032,2050,2317,734,13334,1256,4017,2703,2438,1557,655,12628,1322,4519,2565,1485,1782,489,12167,1415,3961,2381,1454,2290,527,12026,824,2483,2378,1788,2806,516,10801,528,1176,1027,949,2401,606,6687,304,385,215,153,1451,469,2981,11734,22976,13806,10606,18289,4626,82029,4978,1061,125,47,4634,688,11534,3519,2434,561,302,3827,632,11277,5365,8021,2879,2382,5765,1532,25933,4155,8139,3880,2946,3992,1360,24467,4155,8318,3603,1931,4211,1111,23325,3956,7435,3420,1895,4967,1063,22736,2487,5209,3665,2401,5617,1004,20378,1281,2392,1690,1386,4285,1005,12040,527,646,358,255
SOSR112,6611,1202,128,59,6561,1288,15845,4840,2490,357,170,5855,1614,15316,8506,9103,2043,933,9320,3550,33457,6768,9614,2852,1260,6228,2910,29638,6911,9749,2740,1128,6395,2468,29387,6834,9454,2896,1390,7351,1867,29795,4680,7903,3583,1887,8137,1665,27849,2438,3958,2062,1304,6135,1360,17249,738,900,454,342,2862,838,6127,48333,54362,17102,8470,58841,17559,204668,6545,1793,252,95,5306,1198,15182,4057,4161,1013,728,4022,1158,15136,4939,10364,5032,5304,6408,2289,34351,2872,9732,6472,5762,4108,1909,30854,3498,11390,6420,3844,4555,1725,31444,3845,11008,6508,4030,6179,1582,33159,2438,7576,6603,5130,8046,1675,31469,1788,3819,3275,2953,7306,1840,20989,1020,1253,658,522,5241,1593,10278,31004,61102,36225,28368,51175,14987,222863,13159,2991,382,147,11867,2484,31027,8894,6655,1361,896,9871,2775,30457,13447,19471,7073,6238,15734,5843,67805,9643,19345,9324,7027,10331,4816,60489,10412,21134,9157,4975,10949,4200,60830,10676,20462,9402,5423,13535,3453,62954,7117,15478,10187,7014,16189,3342,59320,4226,7780,5335,4253,13443,3205,38241,1755,2155,1109,857
SOSR113,2616,541,41,23,2944,601,6766,1828,924,176,80,2342,582,5932,3438,3481,866,358,3625,1400,13168,2946,4060,1205,560,2559,1226,12557,3006,4330,1234,562,3102,1040,13273,3206,4666,1496,747,3780,990,14884,2294,4189,2008,1075,4417,914,14900,1177,1955,1065,775,3154,721,8843,336,426,202,141,1394,367,2868,20850,24564,8294,4324,27318,7839,93193,2527,668,92,36,2227,463,6018,1463,1462,390,300,1500,429,5547,1900,4038,2014,2272,2518,1072,13814,1201,4164,2660,2651,1674,930,13279,1582,4916,2717,1830,2243,877,14165,1696,5054,3273,2206,3158,840,16213,1175,3661,3276,2693,4297,916,16020,806,1742,1489,1496,3738,987,10253,470,581,311,230,2578,826,4991,12821,26278,16214,13708,23943,7334,100303,5148,1208,136,63,5171,1065,12787,3293,2383,568,376,3843,1009,11479,5341,7521,2881,2628,6150,2466,26977,4147,8225,3867,3211,4235,2151,25839,4587,9245,3954,2393,5347,1915,27435,4903,9712,4766,2950,6939,1827,31098,3475,7853,5282,3765,8717,1834,30922,1983,3695,2552,2269,6899,1708,19095,804,1007,512,370
SOSR114,2928,553,51,35,3081,612,7265,2108,1109,180,79,2497,609,6586,3863,4097,976,401,3856,1274,14476,3256,4599,1332,634,2771,1192,13787,3454,4599,1284,563,3263,1129,14292,3571,4881,1490,763,3986,981,15678,2602,4330,2077,1188,4713,1039,15942,1429,2234,1245,814,3522,823,10077,412,478,268,215,1685,463,3513,23630,26889,8909,4690,29388,8115,101622,2995,871,106,47,2343,563,6922,1804,1879,433,357,1714,480,6674,2015,4661,2401,2803,2505,1175,15561,1323,4685,3262,2927,1785,1041,15020,1625,5569,3066,1963,2160,873,15260,1913,5642,3436,2232,3121,976,17322,1336,3974,3593,3046,4311,1014,17270,982,2047,1823,1749,4156,1137,11893,559,635,352,305,2966,809,5633,14549,29971,18468,15431,25063,8069,111551,5927,1425,159,83,5426,1173,14190,3916,2991,617,437,4220,1089,13258,5883,8762,3378,3208,6361,2449,30040,4577,9288,4598,3555,4555,2227,28809,5080,10171,4355,2525,5418,1999,29552,5483,10525,4920,3000,7109,1961,32999,3939,8301,5668,4235,9026,2049,33212,2415,4288,3070,2559,7680,1960,21969,971,1117,619,518
SOSR115,4159,817,89,36,4118,922,10144,2786,1423,213,116,3177,828,8544,5071,5336,1249,556,4665,1784,18668,4463,6374,2033,948,3384,1676,18881,4774,6999,2153,896,4197,1654,20666,5168,7799,2682,1299,5852,1780,24580,4090,7293,3610,2198,7078,1820,26088,1900,3229,1862,1385,5146,1367,14889,535,614,333,291,2173,608,4552,32944,39883,14231,7724,39789,12437,147017,4209,1138,133,61,3159,837,9539,2213,2161,530,434,1979,631,7943,2488,6038,3134,3586,3047,1508,19796,1649,6497,4465,4243,2038,1498,20385,2350,7957,4680,2982,2801,1437,22209,2731,8713,5671,3772,4510,1501,26907,1890,6140,5878,4975,6172,1764,26813,1246,2785,2496,2623,5456,1648,16251,668,872,470,371,3788,1132,7304,19439,42301,27464,23046,32958,11949,157150,8369,1960,225,100,7278,1757,19681,4999,3583,745,554,5159,1453,16491,7559,11372,4384,4145,7711,3292,38468,6114,12870,6492,5194,5417,3177,39268,7121,14955,6833,3876,7000,3086,42877,7905,16510,8356,5067,10364,3284,51481,5977,13429,9488,7170,13253,3581,52903,3141,6007,4363,4007,10602,3015,31139,1206,1487,806,663
SOSR121,1300,234,22,13,1088,265,2929,762,350,46,36,850,154,2201,1230,1333,329,162,1102,383,4535,1248,1862,604,283,746,383,5125,1469,2163,747,303,1100,419,6199,1537,2350,899,429,1664,446,7321,1134,1962,1124,667,1789,509,7184,454,778,463,351,1132,309,3482,115,103,80,62,382,135,879,9248,11134,4317,2306,9844,3006,39852,1279,359,47,12,873,237,2804,578,527,123,96,504,161,1993,606,1536,747,907,660,361,4811,452,1740,1359,1151,488,362,5549,625,2374,1546,999,703,345,6590,725,2532,1661,1233,1108,427,7684,481,1502,1565,1419,1526,419,6915,292,554,565,595,1034,328,3368,151,146,81,86,522,215,1199,5185,11273,7695,6497,7415,2858,40916,2579,591,71,26,1963,506,5735,1340,882,169,136,1354,314,4192,1839,2870,1079,1066,1760,742,9347,1702,3604,1967,1433,1231,740,10674,2095,4534,2290,1304,1796,767,12789,2256,4881,2561,1656,2770,869,14998,1617,3462,2691,2084,3315,931,14096,739,1333,1029,946,2168,636,6858,261,249,158,155
SOSR122,549,118,19,3,482,171,1346,400,172,36,19,408,107,1138,580,645,182,80,564,252,2300,522,851,301,143,427,235,2489,677,1020,353,173,663,308,3188,862,1279,459,282,991,370,4241,544,996,543,355,1119,322,3877,236,371,241,199,636,206,1895,59,74,31,24,181,58,427,4434,5525,2163,1282,5469,2027,20901,531,151,14,11,374,159,1247,318,256,79,44,256,101,1053,274,659,383,464,362,235,2372,192,778,541,575,269,232,2585,314,1130,675,506,428,279,3328,415,1317,891,690,627,289,4223,242,751,753,726,850,328,3645,131,255,260,308,574,181,1710,60,70,47,40,274,92,575,2475,5363,3650,3355,4013,1887,20745,1081,271,33,17,862,335,2599,716,421,118,61,664,208,2187,850,1305,563,549,923,482,4676,714,1638,845,717,696,465,5073,992,2150,1028,672,1092,587,6515,1280,2594,1352,969,1620,658,8463,781,1741,1300,1080,1968,650,7524,370,632,497,502,1212,385,3607,117,141,79,68
SOSR131,8171,1960,199,105,6709,2030,19179,4950,2264,403,223,4680,1548,14066,6901,6913,1898,898,5673,3356,25644,6877,10177,3597,1711,4746,3489,30595,9471,13912,4820,2377,6832,3862,41279,10448,14991,5798,3583,9590,4321,48733,6914,10780,5894,4520,9792,3623,41527,2655,3948,2352,2155,5400,1958,18477,547,668,302,311,1671,510,4005,56931,65614,25265,15890,55095,24710,243500,7937,2524,284,110,4717,1679,17250,3782,3195,767,514,2548,1062,11874,3252,7347,4155,4939,2850,2297,24836,2135,9282,7611,7517,2209,2791,31539,3433,14573,9953,7267,3378,3284,41886,3767,14383,11166,8755,4978,3530,46587,2096,7773,8379,8922,5666,2913,35755,1201,2692,2770,3418,3783,1628,15494,504,617,392,434,1669,598,4215,28119,62383,45487,41881,31793,19785,229449,16111,4479,484,211,11426,3711,36426,8736,5454,1170,744,7227,2611,25946,10153,14265,6047,5837,8527,5654,50478,9011,19455,11212,9225,6947,6283,62140,12903,28493,14777,9645,10205,7146,83164,14216,29372,16965,12339,14571,7856,95316,9013,18549,14274,13443,15462,6542,77284,3854,6643,5126,5575,9181,3591,33967,1051,1275,696,747
