SOSR_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOSR101,23396,912,262,1172,24574,11185,143,35893,148,42,15,262,472,3,0,10,478,98,484,1055,85884,16620,7826,1816,112146,2741,627,3364,115514,17519,873,133909,23590,3047,1438,136,28208,540,88,627,28835,2170,47,31053,16532,3912,1210,132,21782,343,62,405,22184,1707,21,23911,2304,573,994,29,3900,57,9,68,3966,310,10,4289,173,34,29,265,499,6,8,18,515,63,68,649,42593,7564,3667,566,54396,937,176,1108,55501,4249,149,59904,564,113,41,9,726,147,17,170,897,90,0,987,627,122,47,16,819,97,57,152,967,119,0,1088,1195,235,92,27,1542,246,75,323,1865,208,0,2076,43787,7797,3756,590,55940,1183,243,1431,57368,4463,152,61981,9489,2569,1411,362,13834,541,184,729,14556,7338,79,21977,65,27,17,126,237,3,0,6,239,43,273,554,53343,10397,5185,1081,70000,1729,431,2156,72159,11844,505,84504,30406,4183,1908,184,36683,756,125,880,37566,3029,48,40641,20200,4959,1470,169,26796,461,85,538,27337,2303,38,29683
SOSR102,3325,98,34,133,3453,831,7,4295,22,7,3,22,56,4,0,4,58,9,56,121,19243,3510,1057,299,24111,335,98,429,24542,1842,119,26497,4985,711,198,38,5929,62,20,79,6006,358,3,6372,5129,938,228,42,6323,62,18,79,6408,322,11,6730,504,132,133,7,776,8,5,14,786,42,0,833,45,8,0,48,105,3,0,3,113,15,15,146,10659,1787,558,130,13137,131,46,175,13314,737,30,14080,57,11,4,0,73,12,0,12,89,16,0,98,117,32,3,0,156,9,8,17,171,10,0,181,171,47,13,3,231,22,8,29,260,19,0,283,10834,1829,569,135,13370,156,45,202,13570,762,28,14363,1569,339,110,29,2052,54,28,81,2132,610,12,2754,10,9,0,13,25,0,0,0,28,7,35,75,12411,2180,679,180,15455,211,71,280,15733,1376,76,17186,6386,952,276,36,7647,116,29,144,7796,473,3,8273,6122,1127,306,44,7594,74,25,93,7690,385,20,8089
SOSR111,637,20,8,26,666,184,0,856,0,4,0,4,11,0,0,0,11,0,6,17,3740,580,114,55,4490,72,16,91,4583,368,20,4966,1043,140,29,9,1218,11,4,17,1235,66,4,1304,956,139,25,3,1123,9,0,16,1133,51,0,1189,59,10,10,0,80,0,0,0,80,5,0,83,5,5,0,12,23,0,0,0,23,0,5,24,2062,291,63,23,2441,24,4,38,2474,122,10,2608,9,0,0,0,12,0,0,0,14,6,0,19,19,5,0,0,30,0,0,0,28,0,0,28,37,8,0,0,41,4,0,4,41,3,0,51,2099,290,63,23,2475,33,4,38,2517,127,10,2653,281,65,12,12,364,11,5,17,382,124,0,510,0,0,0,5,10,0,0,0,9,0,3,13,2379,357,78,40,2851,40,11,54,2903,257,12,3174,1312,139,28,8,1494,15,3,22,1514,65,0,1580,1098,199,31,8,1333,11,4,10,1350,50,0,1403
SOSR112,1437,58,17,75,1509,514,0,2022,8,0,0,3,12,0,0,0,12,0,22,39,9114,1388,311,145,10962,160,59,216,11182,997,56,12227,2725,336,58,10,3139,28,16,36,3176,154,5,3335,2330,412,61,17,2821,27,12,35,2859,154,5,3012,157,37,32,5,224,5,0,5,229,17,0,245,27,3,0,22,53,0,0,0,49,9,6,61,5238,788,155,57,6236,51,27,73,6307,326,15,6649,26,11,3,0,36,8,0,10,46,5,0,55,43,6,0,4,51,7,4,9,64,12,0,75,67,18,8,4,95,13,7,22,112,17,0,135,5310,806,160,58,6331,66,31,96,6425,342,16,6785,682,146,37,23,885,43,7,51,931,359,5,1295,8,0,0,0,9,0,0,0,9,3,27,38,5995,950,194,82,7224,109,36,143,7371,701,49,8122,3588,420,70,21,4099,26,8,35,4133,203,7,4343,2557,459,71,24,3105,18,14,35,3140,182,0,3323
SOSR113,654,30,13,44,696,233,0,933,12,3,0,0,14,0,0,0,14,0,11,30,3575,611,146,82,4419,76,28,106,4519,471,25,5021,940,130,37,6,1120,24,0,24,1141,60,0,1205,977,175,30,6,1184,7,0,7,1192,80,0,1279,65,16,8,0,90,4,0,4,95,6,0,96,9,5,0,19,29,0,0,0,29,6,5,38,1994,321,73,31,2417,36,0,35,2454,154,9,2621,19,5,0,0,24,4,0,4,29,5,0,34,25,4,0,0,30,4,0,8,36,5,0,42,45,6,0,0,51,12,0,11,66,8,0,78,2037,328,77,37,2474,44,3,46,2522,164,9,2694,290,76,14,10,388,15,8,18,413,176,0,588,4,0,0,3,4,0,0,0,4,3,13,21,2329,403,87,44,2868,57,8,63,2941,343,18,3305,1191,144,40,8,1383,16,3,21,1400,85,0,1486,1077,191,41,5,1313,13,0,13,1332,110,0,1442
SOSR114,800,14,6,14,818,247,0,1063,0,0,0,3,5,0,0,0,15,3,23,34,4685,778,165,91,5713,61,21,87,5804,507,33,6347,1277,170,46,6,1495,15,4,21,1516,79,3,1598,1178,180,31,12,1398,12,3,17,1415,65,4,1480,70,12,16,0,97,0,0,0,97,5,0,103,17,0,0,20,34,0,0,0,34,6,4,42,2541,361,90,36,3032,29,6,38,3071,153,8,3228,17,0,0,0,20,8,0,8,22,0,0,27,33,6,0,0,36,6,4,11,51,0,0,50,44,9,0,0,56,17,4,19,69,3,0,76,2588,373,90,36,3086,46,9,56,3140,155,8,3305,320,63,12,11,412,13,0,9,423,152,0,577,5,3,0,0,7,0,0,0,8,4,19,26,2907,439,109,46,3504,56,13,67,3569,311,25,3905,1497,178,54,14,1741,11,5,18,1763,117,4,1881,1237,212,35,9,1493,8,5,14,1505,97,3,1609
SOSR115,1033,38,4,44,1077,313,3,1389,16,0,0,7,29,0,0,0,29,5,28,54,6163,1127,298,147,7741,112,36,143,7883,675,42,8605,1658,229,61,5,1954,19,5,24,1979,101,3,2081,1545,340,65,28,1976,20,5,21,2001,140,3,2142,106,40,34,0,178,0,0,0,181,15,0,199,21,4,0,34,50,0,0,0,54,0,3,58,3323,616,161,66,4166,39,11,55,4214,256,11,4485,25,0,0,0,30,4,3,5,30,8,0,44,28,3,0,0,28,3,0,5,34,8,0,39,51,3,0,0,58,7,5,9,65,12,0,81,3379,617,161,67,4219,44,12,62,4279,269,11,4565,463,110,35,24,627,14,7,22,652,256,0,910,9,4,0,8,18,0,0,0,18,3,16,37,3844,733,197,100,4868,65,25,85,4955,531,32,5511,2068,274,81,15,2437,18,15,29,2464,156,5,2624,1684,339,68,26,2113,20,6,27,2136,118,3,2265
SOSR121,308,14,0,14,323,100,3,421,6,0,0,4,9,0,0,0,9,5,10,24,1927,390,79,47,2435,27,13,37,2478,235,17,2730,529,78,17,4,636,8,6,12,647,39,5,688,543,122,10,4,682,11,0,10,689,45,0,736,39,12,9,0,51,4,0,4,56,3,0,62,3,0,0,4,14,0,0,0,14,0,0,9,1111,205,43,19,1377,17,10,25,1406,96,5,1500,11,6,0,0,11,6,0,6,13,0,0,13,17,0,0,0,17,0,4,4,20,0,0,21,27,6,0,0,33,6,4,3,39,0,0,39,1139,213,46,19,1409,21,13,29,1444,97,5,1540,135,41,3,12,187,4,0,9,191,70,0,262,0,0,0,3,9,0,0,0,9,0,6,16,1273,252,48,29,1606,23,11,41,1641,169,7,1821,703,98,20,5,824,3,3,11,835,54,0,891,569,144,15,3,736,11,3,10,747,53,0,806
SOSR122,146,3,0,3,158,75,0,236,3,0,0,0,3,0,0,0,3,0,5,3,798,146,39,32,1015,11,8,19,1034,130,4,1175,224,39,11,4,276,4,6,3,277,22,3,301,217,47,12,6,278,0,0,0,283,23,0,305,22,7,3,3,34,0,0,0,34,6,0,37,0,6,0,0,7,0,0,0,5,0,0,5,469,89,20,15,592,5,6,10,605,47,3,652,0,6,0,0,7,0,0,0,7,0,0,7,4,0,0,0,5,0,0,0,6,0,0,6,8,6,0,0,7,0,4,4,11,0,0,11,479,91,22,15,601,5,8,11,616,47,3,668,80,15,3,3,101,4,0,4,110,55,0,162,3,0,0,0,0,0,0,0,0,0,3,4,553,107,26,22,708,8,10,18,724,97,5,830,269,23,11,0,304,0,0,0,309,24,3,332,205,41,13,0,259,7,0,7,267,19,0,291
SOSR131,2124,48,21,60,2184,612,11,2805,14,8,0,21,40,0,0,0,40,3,77,128,13381,1983,561,323,16254,158,52,211,16465,1242,130,17837,4047,434,95,33,4613,38,5,43,4653,175,5,4834,3546,641,126,46,4363,39,12,47,4411,207,15,4634,226,53,67,3,349,0,0,4,354,31,3,388,54,5,7,77,141,4,0,8,152,6,9,168,7874,1132,297,161,9465,75,24,107,9562,422,37,10020,22,9,0,0,28,7,0,10,41,5,0,47,58,12,0,0,71,3,4,6,78,12,0,88,82,19,0,0,103,15,4,15,119,20,0,133,7952,1148,300,162,9566,90,25,117,9684,440,37,10160,1003,219,74,53,1341,22,4,33,1370,456,12,1845,14,0,0,4,21,0,0,0,24,3,54,83,8968,1368,370,222,10925,116,37,153,11080,902,108,12086,5061,591,138,39,5834,51,8,54,5886,291,4,6191,4056,784,141,44,5021,41,10,53,5068,260,8,5339
