SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR101,386,4147,105,70776,308,69,198,160,205,300,108,217,220,998,10477,13256,232,52,226,102,93,105,37,108,130,1762,2421,5262,97841,18211,5927,45080,16028,42646,7774,28368,9686,136806,14785,423157
SOSR102,76,673,13,8913,57,24,25,44,33,80,34,58,48,373,3060,3833,33,24,30,34,18,26,13,32,20,730,642,1598,18621,4957,955,13447,2875,9149,1674,7936,1932,47258,4297,113105
SOSR111,9,98,4,1150,18,0,9,14,6,13,0,9,3,61,660,789,21,9,10,5,6,5,0,5,3,147,116,323,3889,915,127,2915,353,1668,179,1433,267,8010,878,20633
SOSR112,29,335,9,3496,33,16,20,44,23,37,9,31,15,204,1787,2210,37,13,19,27,10,16,4,20,10,458,350,968,10212,2670,385,7345,932,4366,596,4192,712,23165,2496,57062
SOSR113,24,194,4,1603,13,0,10,21,17,20,3,23,11,109,921,1140,19,8,23,11,0,15,4,7,8,288,185,555,3602,1252,209,3138,432,2016,293,2057,405,12816,1305,27520
SOSR114,15,163,6,1581,23,10,7,12,15,29,9,24,13,108,985,1222,17,12,24,11,8,12,3,7,9,295,221,617,4847,1303,233,3543,457,2197,290,2266,389,13753,1447,30730
SOSR115,24,214,4,2322,26,12,8,16,11,52,15,38,6,163,1535,1890,37,17,31,24,12,21,0,21,9,414,379,967,6147,2122,367,5104,753,3360,477,3584,694,21260,2256,46119
SOSR121,5,72,0,721,9,4,0,8,0,20,5,10,11,54,399,511,6,3,5,4,0,3,0,6,4,114,93,253,1651,611,80,1452,215,982,149,1030,232,5507,574,12489
SOSR122,5,28,0,314,0,0,0,0,0,9,0,3,4,21,222,264,5,8,0,7,4,3,0,4,0,65,44,133,833,318,63,726,106,525,68,510,118,2664,321,6259
SOSR131,71,560,17,6511,94,41,25,69,33,86,19,74,42,214,2497,3188,173,45,66,81,20,63,12,34,38,489,452,1462,13431,4574,874,10315,1292,6318,947,5930,1269,24134,3416,72516
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
