SOSR_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR101,1879348,1953176,3832530,747171,547232,1294401,252826,373749,626573,136653,133317,269972,65331,53774,119104,1201977,1108073,2310052,573656,741399,1315055,5.4,4.9,5.2,64,56.7,60.3,60.5,54,57.2,191326,191754,383075,30915,51784,82702,405105,471115,876218,161992,207764,369753,273211,140479,413683,11825,21547,33371,28592,44587,73175,313622,206612,520233,1816190,1868721,3684918,361286,365195,726476,1144938,1194399,2339338,911992,926009,1838004
SOSR102,418370,451009,869377,163879,102256,266134,59176,110462,169637,20781,27190,47974,13551,10263,23810,257390,250171,507562,139412,177711,317124,5.3,4.1,4.7,61.5,55.5,58.4,58.3,53.2,55.6,19854,21551,41403,5803,11978,17786,51440,73027,124468,33411,49069,82480,113596,61626,175222,4113,7576,11691,7172,12835,20003,124878,82031,206913,411927,432562,844484,70925,75540,146464,273498,286791,560290,183881,197089,380970
SOSR111,74382,82029,156414,31936,19680,51612,10273,21471,31744,2527,3386,5911,2566,2124,4691,47299,46664,93960,23030,31157,54182,5.4,4.5,5,63.6,56.9,60.1,60.1,54.3,57.1,2158,2672,4837,961,2075,3033,6974,11452,18429,5611,8747,14360,21473,13353,34828,840,1553,2396,1170,2079,3253,23484,16986,40476,73564,79191,152757,13840,15192,29032,45567,48775,94344,36688,40632,77319
SOSR112,204668,222863,427530,80774,52985,133757,27017,52237,79260,6771,8995,15768,6436,5031,11464,120999,119250,240249,70853,89783,160635,5.3,4.2,4.8,59.1,53.5,56.2,56,51.2,53.5,8099,9266,17360,2758,5742,8505,20316,32205,52517,13820,22616,36434,53059,32075,85133,2242,4202,6441,3207,6171,9372,58508,42444,100948,193032,208544,401576,38450,41940,80388,119997,129276,249277,98157,108589,206747
SOSR113,93193,100303,193489,32072,19197,51264,12011,23035,35056,3425,4193,7619,3179,2384,5559,50684,48808,99495,36139,44864,80998,6.3,4.9,5.6,54.4,48.7,51.4,51,46.3,48.5,2265,2728,4985,1011,2179,3192,7377,11727,19102,6160,9990,16149,26453,15172,41624,1067,1933,3006,1522,2814,4333,29044,19920,48966,87755,93169,180926,16171,17340,33512,56621,59558,116181,41773,45767,87540
SOSR114,101622,111551,213174,38563,24227,62791,12599,25427,38029,3565,4479,8052,2865,2452,5324,57598,56593,114192,36858,47554,84412,5,4.3,4.7,56.7,50.7,53.6,53.9,48.5,51.1,2548,3192,5737,1140,2513,3645,8371,13871,22242,6427,11121,17550,28253,16282,44533,1010,2049,3057,1643,3039,4678,30905,21371,52274,97381,104390,201777,18041,19836,37876,61811,65742,127554,47006,52369,99370
SOSR115,147017,157150,304163,52146,31465,83606,18226,36499,54726,5767,6716,12488,3962,3226,7193,80105,77912,158009,56273,68181,124457,4.9,4.1,4.6,54.5,49.6,51.9,51.8,47.5,49.6,3815,4966,8783,1675,3827,5500,11757,19829,31585,9452,16436,25889,42492,22319,64813,1459,2910,4370,2346,4222,6571,46297,29449,75749,140117,147140,287259,24169,26066,50232,92625,96190,188820,62831,68624,131452
SOSR121,39852,40916,80771,14736,8488,23220,5245,10423,15667,1635,1790,3427,1065,844,1907,22676,21549,44222,14426,16745,31171,4.7,3.9,4.3,56.9,52.7,54.8,54.2,50.6,52.4,1131,1395,2526,508,1084,1589,3430,5653,9082,2673,4518,7195,12187,6017,18204,366,853,1214,681,1134,1817,13237,8001,21240,39310,39789,79100,5892,6217,12109,26619,26741,53364,16302,17046,33347
SOSR122,20901,20745,41640,6995,4165,11163,2589,4860,7454,865,874,1737,632,423,1054,11082,10327,21413,7925,8682,16610,5.7,4.1,4.9,53,49.8,51.4,50,47.7,48.9,501,631,1130,228,501,733,1448,2545,3992,1298,2075,3378,5926,3085,9011,184,430,616,340,527,863,6446,4047,10488,19972,19568,39536,2700,2780,5476,14227,13721,27949,7416,7702,15114
SOSR131,243500,229449,472950,101640,55781,157425,31614,60981,92599,10949,11614,22568,5144,3957,9103,149358,132337,281693,74021,79115,153135,3.4,3,3.2,61.3,57.7,59.6,59.2,56,57.6,6982,8690,15679,2559,6253,8816,22374,36061,58433,16518,26003,42518,69522,30946,100464,2280,4515,6793,4106,6847,10954,75911,42299,118212,237378,224292,461664,28979,28630,57604,174703,162975,337678,79865,79123,158990
