SOSR_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOSR101,52786,26252,27061,53315,26500,27637,54134,27051,27838,54893,26280,26705,52987,132341,135778,268118,25317,26591,51906,23848,25402,49252,23061,24206,47262,22717,24496,47212,21687,23584,45269,116630,124266,240902,20840,22863,43707,20118,22361,42479,19352,21263,40624,18525,20556,39078,17368,19609,36976,96205,106656,202862,17306,19196,36504,17223,18811,36035,16124,17855,33976,16412,17793,34200,16357,17855,34209,83423,91508,174928,13850,15417,29265,12614,14275,26892,12170,13368,25537,10421,11888,22307,9976,11299,21271,59028,66252,125273,39328,48463,87791,22738,31847,54583,10192,18011,28204,2407,5823,8228,229,818,1046,2324431,2374220,4698656
SOSR102,12487,6140,6386,12525,6464,6886,13351,6452,7103,13558,6645,7255,13900,31810,34005,65816,6556,7024,13577,6229,6994,13222,6143,6761,12909,6090,6870,12962,5985,6586,12574,31007,34234,65244,5780,6429,12205,5553,6376,11922,5588,6243,11828,5526,6309,11835,5267,6069,11337,27715,31414,59131,5315,5839,11155,5040,5868,10909,5099,5584,10688,5199,5708,10908,5422,6030,11454,26079,29031,55114,4415,4936,9356,4278,4782,9063,4001,4585,8588,3428,4111,7534,3307,3937,7244,19437,22356,41789,13088,16386,29473,7214,11030,18241,3386,6053,9433,713,1789,2505,60,247,310,514266,540905,1055174
SOSR111,2133,951,1116,2062,1074,1193,2261,1115,1235,2350,1172,1243,2414,5317,5912,11230,1122,1237,2362,1116,1286,2401,1071,1242,2315,1105,1198,2303,979,1154,2135,5395,6115,11512,1080,1151,2230,934,1120,2058,998,1124,2116,989,1167,2160,1002,1053,2053,5002,5613,10614,934,1047,1985,927,1016,1945,854,1061,1913,934,999,1934,929,1059,1985,4576,5184,9762,737,892,1632,712,884,1597,679,811,1500,575,696,1271,560,613,1174,3275,3894,7170,2077,2792,4870,1147,1717,2866,471,922,1396,108,295,399,8,43,52,93659,100680,194335
SOSR112,5665,2878,3139,6015,2945,3230,6178,3026,3304,6333,3095,3411,6502,14719,15978,30692,3088,3497,6585,3002,3449,6446,3162,3458,6622,2905,3416,6316,2925,3363,6291,15078,17181,32260,2880,3176,6053,2953,3184,6136,2808,3230,6040,2847,3205,6052,2780,3207,5986,14269,15997,30266,2778,3121,5898,2626,3008,5635,2701,3019,5720,2624,3040,5660,2850,3286,6140,13583,15471,29058,2297,2507,4805,2211,2616,4827,2076,2591,4664,1906,2190,4098,1821,2164,3985,10316,12066,22381,6932,8924,15855,4018,5950,9968,1757,3227,4980,334,958,1288,24,145,166,254071,270318,524391
SOSR113,2738,1370,1439,2809,1439,1553,2994,1575,1672,3247,1509,1595,3109,7215,7681,14894,1534,1753,3288,1566,1696,3256,1496,1716,3216,1547,1728,3278,1522,1638,3161,7669,8534,16203,1596,1701,3301,1454,1726,3181,1429,1532,2966,1546,1651,3203,1529,1671,3201,7558,8286,15845,1442,1546,2986,1430,1524,2961,1490,1495,2981,1412,1482,2893,1575,1676,3255,7341,7733,15075,1175,1315,2488,1193,1338,2531,1143,1116,2258,912,1139,2054,916,1073,1986,5340,5973,11316,3508,4278,7783,1865,2869,4728,831,1594,2426,157,474,631,13,54,74,114105,120152,234258
SOSR114,2839,1395,1515,2908,1596,1615,3211,1613,1775,3390,1642,1888,3530,7598,8279,15873,1638,1843,3481,1625,1776,3402,1632,1805,3436,1616,1822,3437,1569,1795,3367,8078,9043,17127,1590,1735,3326,1558,1727,3283,1591,1703,3295,1617,1730,3344,1655,1731,3379,8007,8624,16625,1592,1726,3323,1539,1716,3250,1593,1737,3334,1556,1720,3280,1654,1748,3407,7934,8650,16588,1347,1462,2816,1296,1394,2693,1204,1374,2574,1077,1262,2337,1053,1233,2285,5969,6729,12703,4107,5159,9273,2316,3330,5653,948,1695,2647,225,543,773,19,58,78,126221,135174,261391
SOSR115,4351,2218,2355,4572,2349,2559,4911,2415,2682,5093,2499,2852,5351,11508,12764,24272,2644,2857,5504,2577,2793,5368,2658,2880,5538,2554,2799,5346,2639,2814,5458,13071,14140,27208,2671,2803,5476,2632,2759,5389,2554,2773,5330,2764,2792,5560,2619,2663,5278,13243,13794,27035,2604,2706,5304,2586,2626,5214,2448,2641,5089,2557,2399,4960,2645,2646,5296,12843,13019,25867,2115,2145,4265,2029,2039,4067,1805,1984,3786,1691,1754,3445,1548,1701,3240,9181,9615,18799,5705,6632,12340,3057,4137,7191,1206,2390,3589,269,679,952,21,101,121,180592,188916,369508
SOSR121,1231,647,753,1394,729,760,1484,769,759,1526,828,779,1607,3568,3680,7249,737,834,1566,735,738,1474,779,868,1652,747,756,1499,746,809,1557,3749,4005,7748,800,768,1569,772,802,1572,763,751,1515,722,743,1464,785,677,1466,3846,3740,7582,686,705,1389,707,666,1368,633,577,1207,657,593,1251,660,640,1299,3336,3178,6513,547,501,1049,500,462,966,439,439,874,352,354,710,348,356,700,2183,2117,4303,1301,1252,2555,591,726,1314,239,364,607,46,92,141,5,14,15,49118,49733,98845
SOSR122,734,343,350,693,397,386,783,407,431,841,431,426,852,1916,1991,3908,467,479,951,496,454,947,450,434,881,458,430,891,458,431,886,2324,2233,4555,408,433,842,416,394,810,396,382,780,443,420,866,356,371,720,2018,2002,4020,442,317,755,375,341,715,374,369,743,305,298,608,367,319,677,1861,1643,3502,304,245,555,241,232,474,259,236,493,202,174,379,204,157,359,1207,1056,2262,685,651,1342,298,348,646,105,182,281,26,43,64,0,3,5,25218,24744,49959
SOSR131,8716,4494,4485,8977,4915,4659,9574,4934,5015,9952,5133,4902,10035,23871,23387,47257,5167,4925,10094,5112,4726,9841,4919,4674,9589,4859,4523,9376,4809,4351,9154,24859,23200,48059,4673,4147,8822,4610,4137,8749,4353,3972,8330,4466,3837,8301,4107,3550,7658,22216,19650,41867,4196,3591,7783,4000,3399,7396,3787,2986,6773,3664,3043,6701,3675,3086,6761,19313,16102,35421,2927,2336,5265,2685,2256,4946,2468,2060,4534,2005,1710,3723,1921,1550,3467,12009,9916,21930,6467,5571,12043,2875,2601,5468,958,1256,2213,165,327,491,7,38,46,296123,278147,574269
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,167,88,65,152,99,65,162,111,70,185,87,96,179,480,359,844,112,78,185,85,61,151,102,78,178,78,50,127,91,74,161,470,339,808,81,48,133,74,71,137,94,36,138,78,41,119,75,36,115,403,236,637,70,46,113,55,30,85,42,39,82,32,25,58,50,26,75,250,163,415,43,17,59,29,11,45,18,13,32,18,17,32,17,7,22,120,66,191,48,39,86,8,17,26,11,7,17,0,4,3,0,0,0,6375,4997,11371
