SOSR_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR101,17458,21056,9400,11468,16560,6792,4188,4881,1310,93120,24726,25195,15791,26601,27508,12293,6674,7760,2295,148832,33040,17237,92459,33539,35234,16557,19824,19777,4492,272164,2227,1555,1589,2523,5212,2483,1505,1963,254,19302,5523,4388,3366,5117,10364,4086,2696,3111,581,39228,2623,4998,1599,1617,2973,1344,1038,1232,429,17861,3637,5559,2587,3164,4623,2292,2210,2747,5844,32667,283106,621105,166911,142456,215057,90950,57598,64800,29552,1671544
SOSR102,3341,4766,1786,3280,3171,1000,475,649,198,18668,5574,6275,3965,9050,6604,2278,999,1468,463,36687,11557,6565,41015,17740,14737,6892,8801,9540,1697,118546,586,392,596,1135,1552,958,467,963,78,6723,1073,910,789,1774,2544,987,653,959,143,9833,303,648,255,350,511,196,133,217,58,2672,654,1001,677,1026,1023,552,511,728,913,7087,44142,103489,53827,44999,42008,16896,13668,16989,4840,340857
SOSR111,495,759,366,544,494,156,92,128,29,3071,991,1000,698,1818,1150,449,248,306,105,6768,2346,1192,8263,4072,3230,1625,2161,2016,331,25237,114,43,130,270,289,238,135,204,5,1439,193,109,137,355,372,184,114,186,24,1685,42,93,44,54,73,30,29,52,7,421,115,159,121,218,174,95,112,225,190,1402,7055,15490,10435,9060,7395,3358,3155,3581,842,60372
SOSR112,1244,1975,711,1565,1269,443,188,343,106,7849,2152,2488,1551,4450,2641,964,384,826,204,15650,5910,3007,19226,9954,7064,3920,4357,5474,842,59749,336,205,347,610,800,587,275,656,37,3850,438,341,365,930,1110,508,297,552,59,4600,123,270,121,176,196,102,54,164,28,1245,312,442,380,607,478,356,268,580,480,3902,18160,42674,24952,23664,17760,8509,6427,10502,2267,154913
SOSR113,526,814,341,655,478,161,84,125,38,3212,928,971,694,1887,1041,430,200,348,88,6589,2509,1294,9220,4572,2887,1736,2705,2376,402,27697,155,67,151,289,336,265,145,278,15,1697,233,131,156,402,417,226,145,240,30,1992,61,90,64,71,83,44,32,68,11,519,160,198,170,289,207,179,169,281,238,1889,7274,14371,11509,9950,6810,3534,3673,4188,1011,62325
SOSR114,611,911,290,765,559,206,94,174,37,3637,1120,1138,658,2086,1210,499,192,375,84,7357,3159,1444,10140,4619,3385,1940,2552,2960,459,30656,164,101,139,272,396,273,127,327,23,1825,276,145,177,465,493,258,148,309,30,2295,79,95,60,61,82,63,29,70,16,554,213,225,206,322,259,183,197,380,230,2211,9021,17494,12532,10647,8144,3993,3570,5252,1075,71720
SOSR115,936,1414,425,1282,807,281,163,229,67,5607,1544,1577,937,2872,1728,601,274,509,138,10190,4473,1998,14941,6369,4496,2397,3971,4166,651,43464,245,111,222,410,523,367,202,427,16,2522,356,207,258,623,669,313,245,411,39,3114,91,159,77,95,124,58,46,91,17,766,307,300,296,443,328,253,306,460,362,3060,12728,24160,18256,14927,11090,5086,5490,7029,1611,100374
SOSR121,299,401,164,329,252,73,58,72,16,1663,422,476,278,786,515,170,83,132,40,2903,1337,531,4433,1685,1310,678,1060,1147,207,12388,72,41,63,118,175,98,45,113,14,729,109,74,86,166,215,103,47,117,12,926,36,48,17,24,42,16,9,19,9,225,80,100,82,132,90,77,78,128,98,858,3825,7084,5451,3971,3332,1440,1465,1931,509,29009
SOSR122,141,162,71,182,145,28,21,22,6,780,213,181,119,381,238,61,34,74,19,1310,703,296,1945,825,653,322,559,608,91,6013,39,25,26,61,91,33,25,49,4,358,43,36,46,78,86,43,33,58,13,438,18,23,16,6,16,5,10,11,0,101,51,40,48,52,55,29,45,77,44,454,1884,3000,2403,1955,1611,618,759,1020,234,13481
SOSR131,3827,2583,847,1501,1769,516,264,567,180,12051,4070,2484,1484,3335,3000,918,453,885,252,16878,14396,2927,23148,7225,7180,3141,6618,6999,1243,72882,898,191,402,525,1023,455,275,658,54,4474,1657,475,473,802,1442,608,431,664,111,6663,377,282,136,142,247,91,63,146,47,1524,1490,569,538,539,666,434,514,780,654,6189,41938,40976,28939,17710,20624,7538,9083,12304,3269,182372
