SOSR_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1816190,1868721,3684918,68715,69057,137781,250112,253806,503910,5849,5352,11196,4442,4666,9111,1185,1168,2349,1295,1276,2568,451,488,934,433,391,821,1461,1468,2930,36,11,44,265257,268620,533875,22043,23321,45363,5272,4194,9465,361286,365195,726476,118138,113424,231558,2295616,2347339,4642951
SOSR102,411927,432562,844484,13510,14266,27784,48474,52283,100752,1205,1172,2373,2095,2286,4378,232,241,473,274,276,548,181,179,358,164,199,364,993,1036,2032,9,13,22,53626,57682,111303,2262,2368,4625,1520,1224,2745,70925,75540,146464,25504,27085,52588,508356,535182,1043535
SOSR111,73564,79191,152757,2896,3147,6045,8603,9505,18100,1028,1147,2173,408,442,852,52,56,108,73,74,152,38,36,78,62,54,114,70,75,150,0,0,4,10336,11392,21735,325,374,699,282,278,560,13840,15192,29032,5020,5108,10135,92421,99498,191921
SOSR112,193032,208544,401576,11919,13226,25143,21476,23696,45172,1218,1206,2424,1086,1156,2244,168,144,310,182,188,373,100,99,200,125,119,236,317,335,658,7,5,7,24681,26940,51617,1095,1076,2166,756,695,1456,38450,41940,80388,19439,16957,36392,250918,267440,518354
SOSR113,87755,93169,180926,6515,7055,13565,7199,7737,14929,466,495,961,643,710,1349,135,113,252,80,89,171,40,51,93,80,93,171,210,216,426,5,0,8,8850,9508,18357,467,466,929,342,316,658,16171,17340,33512,8917,8474,17394,112851,118987,231836
SOSR114,97381,104390,201777,7003,7801,14806,7994,8768,16762,599,693,1295,862,969,1837,83,101,186,76,91,166,38,37,79,59,67,124,436,451,883,3,0,4,10147,11187,21335,565,537,1095,334,310,638,18041,19836,37876,9299,9389,18686,124719,133617,258334
SOSR115,140117,147140,287259,8365,9350,17715,11919,12839,24758,942,969,1916,981,1037,2013,107,114,225,147,129,272,90,97,187,95,93,187,442,465,905,0,4,4,14721,15742,30462,614,584,1190,474,390,864,24169,26066,50232,14390,13831,28219,178679,187034,365710
SOSR121,39310,39789,79100,1695,1781,3472,3448,3638,7085,165,163,329,189,225,418,25,23,45,43,56,101,13,12,21,18,13,27,83,85,162,0,3,4,3973,4217,8192,128,126,250,98,91,187,5892,6217,12109,3431,3284,6719,48637,49288,97921
SOSR122,19972,19568,39536,643,679,1324,1614,1636,3248,78,85,159,111,140,251,8,7,12,28,27,53,10,15,20,11,10,18,75,82,157,0,0,0,1934,1989,3925,66,56,122,55,53,103,2700,2780,5476,2317,2177,4490,24992,24515,49505
SOSR131,237378,224292,461664,6587,6526,13110,17447,17566,35013,954,876,1830,1437,1373,2814,154,122,275,210,154,361,84,79,157,117,78,202,685,649,1332,11,5,14,21087,20909,41993,767,736,1502,538,459,991,28979,28630,57604,27242,22766,50011,293594,275683,569283
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284
